"PROFIT_CENTER_GROUP_CODE","PROFIT_CENTER_GROUP_NAME","PROFIT_CENTER_KEY","PROFIT_CENTER_ID","PROFIT_CENTER_NAME","PC_LEVEL1_SORT","PC_LEVEL1_CATEGORY","PC_LEVEL2_SORT","PC_LEVEL2_CATEGORY","PC_LEVEL3_SORT","PC_LEVEL3_CATEGORY","PC_LEVEL4_SORT","PC_LEVEL4_CATEGORY","PC_LEVEL5_SORT","PC_LEVEL5_CATEGORY","PC_LEVEL6_SORT","PC_LEVEL6_CATEGORY","PC_LEVEL7_SORT","PC_LEVEL7_CATEGORY","PC_LEVEL8_SORT","PC_LEVEL8_CATEGORY","DLC_KEY","DLC_NAME","WAREHOUSE_LOAD_DATE"
"P00_MIT","P. C. Standard Hierarchy","P159400-001","P159400","Cntr For Sustainability Sci & Strategy",2,"MIT Corporation",3,"President Node",4,"Provost Node",315,"Science Node",330,"Cntr for Sustainability Sci & Strategy",,"",,"",,"","D_CS3","Center for Sustainability Science & Strategy",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P159400-001","P159400","Cntr For Sustainability Sci & Strategy",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_CS3","Center for Sustainability Science & Strategy",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P442003-001","P442003","Grad Junction",2,"Provost",195,"Division of Student Life",206,"Grad Junction",,"",,"",,"",,"",,"","D_GRADJUNCTION","GRAD JUNCTION",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P442003-001","P442003","Grad Junction",10,"Student Related",11,"SR--Student Related (IPEDS)",11,"SR--Student Related (IPEDS)",,"",,"",,"",,"",,"","D_GRADJUNCTION","GRAD JUNCTION",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P442003-001","P442003","Grad Junction",2,"Provost",205,"Division of Student Life",216,"Grad Junction",,"",,"",,"",,"",,"","D_GRADJUNCTION","GRAD JUNCTION",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P442003-001","P442003","Grad Junction",2,"MIT Corporation",3,"President Node",4,"Provost Node",512,"Division of Student Life Node",569,"Grad Junction",,"",,"",,"","D_GRADJUNCTION","GRAD JUNCTION",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P404524-001","P404524","Office Of Business &Digital Transformati",242,"Executive Vice President & Treasurer",384,"Office of Business&Digital Transformatio",385,"Office of Business&Digital Transformatio",,"",,"",,"",,"",,"","D_OBDT","Office of Business & Digital Transformation",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P404524-001","P404524","Office Of Business &Digital Transformati",252,"Executive Vice President & Treasurer",394,"Office of Business&Digital Transformatio",395,"Office of Business&Digital Transformatio",,"",,"",,"",,"",,"","D_OBDT","Office of Business & Digital Transformation",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P404524-001","P404524","Office Of Business &Digital Transformati",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_OBDT","Office of Business & Digital Transformation",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P404524-001","P404524","Office Of Business &Digital Transformati",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",758,"Office of Business&Digital Transformatio",759,"Office of Business&Digital Transformatio",,"",,"",,"","D_OBDT","Office of Business & Digital Transformation",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P442002-001","P442002","Irdf",2,"Provost",195,"Division of Student Life",205,"IRDF",,"",,"",,"",,"",,"","D_IRDF","Independent Residence Development Fund",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P442002-001","P442002","Irdf",10,"Student Related",11,"SR--Student Related (IPEDS)",11,"SR--Student Related (IPEDS)",,"",,"",,"",,"",,"","D_IRDF","Independent Residence Development Fund",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P442002-001","P442002","Irdf",2,"Provost",205,"Division of Student Life",215,"IRDF",,"",,"",,"",,"",,"","D_IRDF","Independent Residence Development Fund",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P442002-001","P442002","Irdf",2,"MIT Corporation",3,"President Node",4,"Provost Node",512,"Division of Student Life Node",568,"IRDF",,"",,"",,"","D_IRDF","Independent Residence Development Fund",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P030300-001","P030300","Morningside Academy For Design",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P030300-001","P030300","Morningside Academy For Design",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P030300-001","P030300","Morningside Academy For Design",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P030300-001","P030300","Morningside Academy For Design",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P440103-001","P440103","D-Lab A&A",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P440103-001","P440103","D-Lab A&A",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P440103-001","P440103","D-Lab A&A",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P440103-001","P440103","D-Lab A&A",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P440104-001","P440104","D-Lab Idin",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P440104-001","P440104","D-Lab Idin",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P440104-001","P440104","D-Lab Idin",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P440104-001","P440104","D-Lab Idin",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P440105-001","P440105","D-Lab Other",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P440105-001","P440105","D-Lab Other",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P440105-001","P440105","D-Lab Other",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P440105-001","P440105","D-Lab Other",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P440106-001","P440106","D-Lab Scale Ups",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P440106-001","P440106","D-Lab Scale Ups",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P440106-001","P440106","D-Lab Scale Ups",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P440106-001","P440106","D-Lab Scale Ups",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P440107-001","P440107","D-Lab Innovation Practice",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P440107-001","P440107","D-Lab Innovation Practice",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P440107-001","P440107","D-Lab Innovation Practice",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P440107-001","P440107","D-Lab Innovation Practice",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P440108-001","P440108","D-Lab Research Program",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P440108-001","P440108","D-Lab Research Program",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P440108-001","P440108","D-Lab Research Program",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P440108-001","P440108","D-Lab Research Program",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P030302-001","P030302","Mad-Designx",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P030302-001","P030302","Mad-Designx",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P030302-001","P030302","Mad-Designx",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P030302-001","P030302","Mad-Designx",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P030303-001","P030303","Mad-D-Lab",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P030303-001","P030303","Mad-D-Lab",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P030303-001","P030303","Mad-D-Lab",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P030303-001","P030303","Mad-D-Lab",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P440102-001","P440102","D-Lab",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P440102-001","P440102","D-Lab",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P440102-001","P440102","D-Lab",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P440102-001","P440102","D-Lab",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P030301-001","P030301","Mad-Project Manus",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P030301-001","P030301","Mad-Project Manus",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P030301-001","P030301","Mad-Project Manus",2,"Provost",3,"Architecture & Planning",15,"Design Academy",,"",,"",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P030301-001","P030301","Mad-Project Manus",2,"MIT Corporation",3,"President Node",4,"Provost Node",5,"Architecture Node",17,"Design Academy",,"",,"",,"","D_MITMAD","MORNINGSIDE ACADEMY FOR DESIGN",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P402468-001","P402468","Revolutionizing Agriculture With Low Emi",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P402468-001","P402468","Revolutionizing Agriculture With Low Emi",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P402468-001","P402468","Revolutionizing Agriculture With Low Emi",2,"MIT Corporation",3,"President Node",4,"Provost Node",333,"VP for Research Node",376,"Climate Grand Challenges",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P402468-001","P402468","Revolutionizing Agriculture With Low Emi",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P402460-001","P402460","Climate Grand Challenges",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P402460-001","P402460","Climate Grand Challenges",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P402460-001","P402460","Climate Grand Challenges",2,"MIT Corporation",3,"President Node",4,"Provost Node",333,"VP for Research Node",376,"Climate Grand Challenges",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P402460-001","P402460","Climate Grand Challenges",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P402465-001","P402465","Bringing Computation To The Climate Chal",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P402465-001","P402465","Bringing Computation To The Climate Chal",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P402465-001","P402465","Bringing Computation To The Climate Chal",2,"MIT Corporation",3,"President Node",4,"Provost Node",333,"VP for Research Node",376,"Climate Grand Challenges",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P402465-001","P402465","Bringing Computation To The Climate Chal",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P402466-001","P402466","Center For Electriciation And Decarboniz",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P402466-001","P402466","Center For Electriciation And Decarboniz",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P402466-001","P402466","Center For Electriciation And Decarboniz",2,"MIT Corporation",3,"President Node",4,"Provost Node",333,"VP for Research Node",376,"Climate Grand Challenges",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P402466-001","P402466","Center For Electriciation And Decarboniz",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P402467-001","P402467","Preparing For A New World Of Weather And",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P402467-001","P402467","Preparing For A New World Of Weather And",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P402467-001","P402467","Preparing For A New World Of Weather And",2,"MIT Corporation",3,"President Node",4,"Provost Node",333,"VP for Research Node",376,"Climate Grand Challenges",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P402467-001","P402467","Preparing For A New World Of Weather And",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P402469-001","P402469","Reinventing Climate Change Adaption-The",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P402469-001","P402469","Reinventing Climate Change Adaption-The",2,"Provost",109,"VP for Research",140,"Climate Grand Challenges",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P402469-001","P402469","Reinventing Climate Change Adaption-The",2,"MIT Corporation",3,"President Node",4,"Provost Node",333,"VP for Research Node",376,"Climate Grand Challenges",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P402469-001","P402469","Reinventing Climate Change Adaption-The",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_CGC","Climate Grand Challenges",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P401823-001","P401823","Office Of Innovation",2,"Provost",16,"Engineering",56,"Office of Innovation",,"",,"",,"",,"",,"","D_MITOI","MIT OFFICE OF INNOVATION",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P401823-001","P401823","Office Of Innovation",2,"Provost",16,"Engineering",56,"Office of Innovation",,"",,"",,"",,"",,"","D_MITOI","MIT OFFICE OF INNOVATION",28-OCT-24
