"FCLT_BUILDING_ADDRESS_KEY","FCLT_BUILDING_KEY","FISCAL_PERIOD","FCLT_BUILDING_ADDRESS_HIST_KEY","BUILDING_NUMBER","ADDRESS_PURPOSE","ADDRESS_CITY_ID","IS_E911_ADDRESS","STREET_NUMBER","STREET_NUMBER_SUFFIX","PRE_DIRECTIONAL","STREET_NAME","STREET_SUFFIX","POST_DIRECTIONAL","CITY","STATE","POSTAL_CODE","WAREHOUSE_LOAD_DATE"
"64B-E911_1","64B","201505","64B-E911_1-201505","64B","E911_1","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"64B-STREET","64B","201505","64B-STREET-201505","64B","STREET","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"64G-E911_1","64G","201505","64G-E911_1-201505","64G","E911_1","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"64G-STREET","64G","201505","64G-STREET-201505","64G","STREET","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"64W-E911_1","64W","201505","64W-E911_1-201505","64W","E911_1","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"64W-STREET","64W","201505","64W-STREET-201505","64W","STREET","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"66-E911_1","66","201505","66-E911_1-201505","66","E911_1","25344","","25","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"66-MAIL","66","201505","66-MAIL-201505","66","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"66-PARCL1","66","201505","66-PARCL1-201505","66","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"66-STREET","66","201505","66-STREET-201505","66","STREET","25344","","25","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"68-E911_1","68","201505","68-E911_1-201505","68","E911_1","25345","","31","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"68-MAIL","68","201505","68-MAIL-201505","68","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"68-PARCL1","68","201505","68-PARCL1-201505","68","PARCL1","","","AME31","","","","","","","","02142",01-DEC-14
"68-STREET","68","201505","68-STREET-201505","68","STREET","25345","","31","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"76-E911_1","76","201505","76-E911_1-201505","76","E911_1","31707","","500","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"76-MAIL","76","201505","76-MAIL-201505","76","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"76-STREET","76","201505","76-STREET-201505","76","STREET","31707","","500","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E1-E911_1","E1","201505","E1-E911_1-201505","E1","E911_1","24118","","111","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"E1-MAIL","E1","201505","E1-MAIL-201505","E1","MAIL","24118","","111","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"E1-PARCL1","E1","201505","E1-PARCL1-201505","E1","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"E1-STREET","E1","201505","E1-STREET-201505","E1","STREET","24118","","111","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"E2-E911_1","E2","201505","E2-E911_1-201505","E2","E911_1","29136","","4","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E2-E911_2","E2","201505","E2-E911_2-201505","E2","E911_2","","","70","","","AMHERST","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E2-MAIL","E2","201505","E2-MAIL-201505","E2","MAIL","","","70","","","AMHERST","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E2-PARCL1","E2","201505","E2-PARCL1-201505","E2","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"E2-STREET","E2","201505","E2-STREET-201505","E2","STREET","29136","","4","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E14-E911_1","E14","201505","E14-E911_1-201505","E14","E911_1","31393","","75","","","AMHERST","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E14-MAIL","E14","201505","E14-MAIL-201505","E14","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E14-STREET","E14","201505","E14-STREET-201505","E14","STREET","31393","","75","","","AMHERST","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E15-E911_1","E15","201505","E15-E911_1-201505","E15","E911_1","25342","","20","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E15-MAIL","E15","201505","E15-MAIL-201505","E15","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E15-PARCL1","E15","201505","E15-PARCL1-201505","E15","PARCL1","","","MAI364","","","","","","","","02142",01-DEC-14
"E15-PARCL2","E15","201505","E15-PARCL2-201505","E15","PARCL2","","","AME12","","","","","","","","02142",01-DEC-14
"E15-STREET","E15","201505","E15-STREET-201505","E15","STREET","25342","","20","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E17-E911_1","E17","201505","E17-E911_1-201505","E17","E911_1","29173","","40","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E17-MAIL","E17","201505","E17-MAIL-201505","E17","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E17-PARCL1","E17","201505","E17-PARCL1-201505","E17","PARCL1","","","MAI364","","","","","","","","02142",01-DEC-14
"E17-STREET","E17","201505","E17-STREET-201505","E17","STREET","29173","","40","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E18-E911_1","E18","201505","E18-E911_1-201505","E18","E911_1","29507","","50","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E18-MAIL","E18","201505","E18-MAIL-201505","E18","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E18-PARCL1","E18","201505","E18-PARCL1-201505","E18","PARCL1","","","MAI364","","","","","","","","02142",01-DEC-14
"E18-STREET","E18","201505","E18-STREET-201505","E18","STREET","29507","","50","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E19-E911_1","E19","201505","E19-E911_1-201505","E19","E911_1","25938","","400","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E19-MAIL","E19","201505","E19-MAIL-201505","E19","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E19-PARCL1","E19","201505","E19-PARCL1-201505","E19","PARCL1","","","MAI364","","","","","","","","02142",01-DEC-14
"E19-STREET","E19","201505","E19-STREET-201505","E19","STREET","25938","","400","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E23-E911_1","E23","201505","E23-E911_1-201505","E23","E911_1","25550","","25","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E23-MAIL","E23","201505","E23-MAIL-201505","E23","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E23-PARCL1","E23","201505","E23-PARCL1-201505","E23","PARCL1","","","CAR1","","","","","","","","02142",01-DEC-14
"E23-PARCL2","E23","201505","E23-PARCL2-201505","E23","PARCL2","","","CAR45","","","","","","","","02142",01-DEC-14
"E23-STREET","E23","201505","E23-STREET-201505","E23","STREET","25550","","25","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E25-E911_1","E25","201505","E25-E911_1-201505","E25","E911_1","733","","45","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E25-MAIL","E25","201505","E25-MAIL-201505","E25","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E25-PARCL1","E25","201505","E25-PARCL1-201505","E25","PARCL1","","","DEA18","","","","","","","","02142",01-DEC-14
"E25-PARCL2","E25","201505","E25-PARCL2-201505","E25","PARCL2","","","CAR45","","","","","","","","02142",01-DEC-14
"E25-PARCL3","E25","201505","E25-PARCL3-201505","E25","PARCL3","","","MAI364","","","","","","","","02142",01-DEC-14
"E25-STREET","E25","201505","E25-STREET-201505","E25","STREET","733","","45","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E33-E911_1","E33","201505","E33-E911_1-201505","E33","E911_1","738","","34","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E33-MAIL","E33","201505","E33-MAIL-201505","E33","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E33-PARCL1","E33","201505","E33-PARCL1-201505","E33","PARCL1","","","HAY1","","","","","","","","02142",01-DEC-14
"E33-STREET","E33","201505","E33-STREET-201505","E33","STREET","738","","34","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E34-E911_1","E34","201505","E34-E911_1-201505","E34","E911_1","14130","","42","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E34-E911_2","E34","201505","E34-E911_2-201505","E34","E911_2","31043","","44","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E34-MAIL","E34","201505","E34-MAIL-201505","E34","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E34-PARCL1","E34","201505","E34-PARCL1-201505","E34","PARCL1","","","HAY1","","","","","","","","02142",01-DEC-14
"E34-STREET","E34","201505","E34-STREET-201505","E34","STREET","","","42-44","","","CARLETON","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E38-E911_1","E38","201505","E38-E911_1-201505","E38","E911_1","742","","292","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E38-MAIL","E38","201505","E38-MAIL-201505","E38","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E38-PARCL1","E38","201505","E38-PARCL1-201505","E38","PARCL1","","","MAI292","","","","","","","","02142",01-DEC-14
"E38-STREET","E38","201505","E38-STREET-201505","E38","STREET","742","","292","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E39-E911_1","E39","201505","E39-E911_1-201505","E39","E911_1","29","","264","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E39-E911_2","E39","201505","E39-E911_2-201505","E39","E911_2","","","290","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E39-E911_3","E39","201505","E39-E911_3-201505","E39","E911_3","","","55","","","HAYWARD","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E39-MAIL","E39","201505","E39-MAIL-201505","E39","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E39-PARCL1","E39","201505","E39-PARCL1-201505","E39","PARCL1","","","MAI264","","","","","","","","02142",01-DEC-14
"E39-STREET","E39","201505","E39-STREET-201505","E39","STREET","","","290","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E40-E911_1","E40","201505","E40-E911_1-201505","E40","E911_1","26457","","1","","","AMHERST","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E40-MAIL","E40","201505","E40-MAIL-201505","E40","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E40-PARCL1","E40","201505","E40-PARCL1-201505","E40","PARCL1","","","AMH1","","","","","","","","02142",01-DEC-14
"E40-STREET","E40","201505","E40-STREET-201505","E40","STREET","26457","","1","","","AMHERST","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E48-E911_1","E48","201505","E48-E911_1-201505","E48","E911_1","5406","","238","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E48-E911_2","E48","201505","E48-E911_2-201505","E48","E911_2","","","242","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E48-E911_3","E48","201505","E48-E911_3-201505","E48","E911_3","","","250","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E48-E911_4","E48","201505","E48-E911_4-201505","E48","E911_4","","","226","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E48-MAIL","E48","201505","E48-MAIL-201505","E48","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"E48-PARCL1","E48","201505","E48-PARCL1-201505","E48","PARCL1","","","MAI238","","","","","","","","02142",01-DEC-14
"E48-STREET","E48","201505","E48-STREET-201505","E48","STREET","5406","","238","","","MAIN","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"E51-E911_1","E51","201505","E51-E911_1-201505","E51","E911_1","739","","70","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"E51-MAIL","E51","201505","E51-MAIL-201505","E51","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
