"FCLT_ORGANIZATION_HIST_KEY","FISCAL_PERIOD","FCLT_ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","FCLT_ORG_PARENT_KEY","ORG_PARENT","FCLT_MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","DLC_KEY","DLC_NAME","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"126-201505","201505","126","126","CHEM","CHEMISTRY","246","S SCI","230","PROVST","5","152000","0101060177","1","5","",01-DEC-14,"D_CHEM","Chemistry","152000","10000491","Chemistry"
"127-201505","201505","127","127","CHEME","CHEMICAL ENG","243","S ENG","230","PROVST","5","062000","0101060075","1","10","",01-DEC-14,"D_CHEME","Chemical Engineering","062000","10000319","Chemical Engineering"
"128-201505","201505","128","128","CHILDC","CHILD CARE","172","HMNRES","163","EXECVP","6","409500","0101030666","1","","",01-DEC-14,"D_BA","Benefits Administration","","",""
"129-201505","201505","129","129","CHNCLR","CHANCELLOR","224","PRES","129","CHNCLR","3","","0101030000","1","","",01-DEC-14,"D_CHANCELLOR","Chancellor's Office","","",""
"130-201505","201505","130","130","CIPD","C INNOV PROD DEV","243","S ENG","230","PROVST","5","068900","0101060069","1","","",01-DEC-14,"D_CIPD","Center for Innovation in Product Development","068900","10000346","Center for Innovation in Product Develmt"
"131-201505","201505","131","131","CIS","C FOR INT STUDIE","244","S H&SS","230","PROVST","5","097500","0101060138","1","","",01-DEC-14,"D_CIS","Center for International Studies","097500","10000371","Center for International Studies"
"132-201505","201505","132","132","CIVIL","CIVIL & ENV ENG","243","S ENG","230","PROVST","5","063000","0101060078","1","1","",01-DEC-14,"D_CEE","Civil & Environmental Engineering","063000","10000320","Civil and Environmental Engineering"
"133-201505","201505","133","133","CMPACT","CAMP ACTIV COMPL","151","DSL","129","CHNCLR","5","405500","0101030303","1","","",01-DEC-14,"D_CAC","Campus Activities Complex","405500","10000636","Campus Activities Complex"
"134-201505","201505","134","134","CMRA&E","C FOR MT RES A&E","204","MS&E","230","PROVST","6","401830","0101060117","1","","",01-DEC-14,"D_DMSE","Dept Material Science and Engineering","","",""
"135-201505","201505","135","135","CMS/W","COMPARATIVE MEDIA STUDIES","244","S H&SS","230","PROVST","5","093800","0101060139","1","CMS","",01-DEC-14,"D_CMS","Comparative Media Studies/Writing","093800","10000366","Comparative Media Studies/Writing"
"136-201505","201505","136","136","CMSE","C FOR M S & ENG","199","MECH","230","PROVST","6","246000","0101060121","1","","",01-DEC-14,"D_CMSE","Center for Materials Science & Engineering","246000","10000573","Center for Matl Science and Engineering"
"137-201505","201505","137","137","CONCRS","CONCOURSE","152","DUE","129","CHNCLR","5","069600","0101030405","1","","",01-DEC-14,"D_CONCOURSE","Concourse","069600","10002483","Concourse"
"138-201505","201505","138","138","COPYTC","COPY TECH CENTER","160","ENTSVC","129","CHNCLR","6","874200","0101030311","1","","",01-DEC-14,"D_COPYTECH","Copy Technology Center","874200","10000918","Copy Technology Centers"
"139-201505","201505","139","139","CRC","CLINICAL RES CTR","175","IMES","230","PROVST","6","163000","0101060252","1","","",01-DEC-14,"D_CLINRES","Clinical Research Center","163000","10000550","Clinical Research Center"
"140-201505","201505","140","140","CRE","C FOR RL ESTATE","247","SAP","230","PROVST","5","033000","0101060042","1","","",01-DEC-14,"D_CRE","Center for Real Estate","033000","10000272","Center for Real Estate"
"141-201505","201505","141","141","CRPDEV","CORP DEVELOPMENT","263","VP-DEV","163","EXECVP","5","410010","0101030678","1","","",01-DEC-14,"D_RESDEV","Vice President for Resource Development","410010","10000659","Corporate Development"
"142-201505","201505","142","142","CSAIL","COMP SCI & AI LAB","243","S ENG","230","PROVST","5","067900","0101060080","1","","",01-DEC-14,"D_CSAIL","Computer Sciences and Artificial Intelligence Lab","067900","10000957","Comp Sci & Artificial Intelligence Lab"
"143-201505","201505","143","143","CTL","C FOR TRANSP LOG","243","S ENG","230","PROVST","5","069500","0101060066","1","","",01-DEC-14,"D_CTL","Center for Transportation & Logistics","069500","10000350","Center for Transportation & Logistics"
"144-201505","201505","144","144","D-GRAD","DEAN-GRAD STU","129","CHNCLR","129","CHNCLR","4","402200","0101030100","1","","",01-DEC-14,"D_DEANGRAD","Dean Of The Grad School Office","402200","10000613","Ofc of the Dean for Graduate Education"
"145-201505","201505","145","145","DCM","DIV OF COMP MED","266","VP-RES","230","PROVST","5","402100","0101060213","1","","",01-DEC-14,"D_COMPMED","Division Of Comparative Medicine","402100","10000612","Division of Comparative Medicine"
"146-201505","201505","146","146","DIBNER","DIBNER INSTITUTE","217","OTHNON","217","OTHNON","4","401100","0101031506","1","","",01-DEC-14,"D_DIBNER","Dibner Institute","401100","10000596","Dibner Institute"
"147-201505","201505","147","147","DINING","CAMPUS DINING","151","DSL","129","CHNCLR","5","801000","0101030304","1","","",01-DEC-14,"D_DINING","Campus Dining","801000","10000889","Dining"
"148-201505","201505","148","148","DIRLIB","DIR OF LIBRARIES","230","PROVST","230","PROVST","4","270000","0101060015","1","","",01-DEC-14,"D_LIBRARIES","Libraries","","",""
"149-201505","201505","149","149","DOF","DP OF FACILITIES","150","DOFADM","163","EXECVP","5","591000","0101030624","0","","",01-DEC-14,"D_FACILITIES","Department of Facilities","591000","10000853","Department of Facilities"
"150-201505","201505","150","150","DOFADM","DP OF FACIL ADM","163","EXECVP","163","EXECVP","4","592000","0101030621","1","","",01-DEC-14,"D_FACILITIES","Department of Facilities","","",""
"151-201505","201505","151","151","DSL","DEAN-STU LIFE","129","CHNCLR","129","CHNCLR","4","442000","0101030300","1","","",01-DEC-14,"D_DSL:HQ","Dean for Student Life - Headquarters","442000","10000745","Dean for Student Life"
"152-201505","201505","152","152","DUE","DEAN-UNDERGRD ED","129","CHNCLR","129","CHNCLR","4","441000","0101030400","1","","",01-DEC-14,"D_DUE:HQ","DUE HQ","441000","10000722","Dean for Undergraduate Education"
"153-201505","201505","153","153","EA&PS","EARTH ATMO&PL SC","246","S SCI","230","PROVST","5","153000","0101060183","1","12","",01-DEC-14,"D_EAPS","Earth, Atmospheric & Planetary Sciences","153000","10000527","Earth, Atmospheric &  Planetary Sciences"
"154-201505","201505","154","154","ECONOM","ECONOMICS","244","S H&SS","230","PROVST","5","091000","0101060141","1","14","",01-DEC-14,"D_ECO","Economics","091000","10000359","Economics"
"155-201505","201505","155","155","EDGCTR","EDGERTON CENTER","152","DUE","129","CHNCLR","5","440100","0101030406","1","","",01-DEC-14,"D_EDGERTON","Edgerton Center","440100","10000721","Edgerton Center"
"156-201505","201505","156","156","EE&CS","ELEC ENG&COMP SC","243","S ENG","230","PROVST","5","064000","0101060084","1","6","",01-DEC-14,"D_EECS","Electrical Engineering & Computer Science","064000","10000322","Electrical Engineering-Computer Science"
"157-201505","201505","157","157","EHS","ENV HLTH & SAFE","163","EXECVP","163","EXECVP","4","392000","0101030631","1","","",01-DEC-14,"D_EHSO","Environment, Health and Safety Office","392000","10000591","Environment, Health & Safety Office"
"158-201505","201505","158","158","EI","ENERGY INITIATIV","266","VP-RES","230","PROVST","5","320000","0101060216","1","","",01-DEC-14,"D_LFEE","MIT Energy Initiative","320000","10000582","MIT Energy Initiative"
"159-201505","201505","159","159","ENDCTT","ENDICOTT HOUSE","160","ENTSVC","129","CHNCLR","6","872500","0101030312","1","","",01-DEC-14,"D_ENDICOTT","Endicott House","872500","10000912","Endicott House"
"160-201505","201505","160","160","ENTSVC","ENTERPRISE SERVICES","151","DSL","129","CHNCLR","5","406200","0101030308","1","","",01-DEC-14,"D_ENTSRVCS","Enterprise Services","406200","10000648","Enterprise Services"
"161-201505","201505","161","161","ESDHQ","ENG SYS DIV HQTR","243","S ENG","230","PROVST","5","068100","0101060087","1","ESD","",01-DEC-14,"D_ENGSYS","Engineering Systems Division","068100","10000333","Engineering Systems Division"
"162-201505","201505","162","162","ESTDY","EXPER STUDY GRP","152","DUE","129","CHNCLR","5","159000","0101030407","1","","",01-DEC-14,"D_ESG","Experimental Study Group","159000","10000541","Experimental Study Group"
"163-201505","201505","163","163","EXECVP","EXEC VICE PRES","224","PRES","163","EXECVP","3","404500","0101030600","1","","",01-DEC-14,"D_EXECVP","Executive Vice President's Office","404500","10000622","Executive Vice President and Treasurer"
"164-201505","201505","164","164","F CLUB","FACULTY CLUB","147","DINING","129","CHNCLR","6","873000","0101030305","1","","",01-DEC-14,"D_DINING","Campus Dining","","",""
"165-201505","201505","165","165","FBML","F BITTER MAG LAB","266","VP-RES","230","PROVST","5","265000","0101060219","1","","",01-DEC-14,"D_MAGLAB","Francis Bitter Magnet Laboratory","265000","10000576","Francis Bitter Magnet Laboratory"
"166-201505","201505","166","166","FINANC","OFF OF BUDGT&FIN","163","EXECVP","163","EXECVP","4","427000","0101030640","1","","",01-DEC-14,"D_OBFP","Office of Budget & Financial Planning","427000","10000705","Budget and Financial Planning"
"167-201505","201505","167","167","FOR L&L","FOREIGN LANGUAGE & LITERATURE","244","S H&SS","230","PROVST","5","093300","0101060142","1","21F","",01-DEC-14,"D_FLL","Foreign Languages & Literature","093300","10000362","Global Studies and Languages"
"168-201505","201505","168","168","FSS","FINANC SYS SVCS","179","IS&T","163","EXECVP","5","421200","0101030638","1","","",01-DEC-14,"D_IS&T","Information Services and Technology","421200","10000682","Financial Systems Services"
"169-201505","201505","169","169","HAYSTK","HAYSTACK OBS","266","VP-RES","230","PROVST","5","401710","0101060222","1","","",01-DEC-14,"D_HAYSTACK","Haystack Observatory","401710","10000601","Haystack Observatory"
"170-201505","201505","170","170","HHMI","HH MEDICAL INST","271","ZORG","271","ZORG","4","","0101120006","1","","",01-DEC-14,"D_HHMI","Howard Hughes Medical Institute","","",""
"171-201505","201505","171","171","HIST","HISTORY","244","S H&SS","230","PROVST","5","093400","0101060143","1","21H","",01-DEC-14,"D_HISTORY","History","093400","10000363","History Section"
"172-201505","201505","172","172","HMNRES","HUMAN RESOURCES","265","VP-HUM","163","EXECVP","5","409000","0101030663","1","","",01-DEC-14,"D_HR","Human Resources Department","409000","10000653","Human Resources"
"174-201505","201505","174","174","HUMAN","HUMANITIES","244","S H&SS","230","PROVST","5","093000","0101060144","1","21","",01-DEC-14,"D_DHSS","Dean of Humanities & Social Sciences","","",""
"175-201505","201505","175","175","IMES","INST MED E & SCI","243","S ENG","230","PROVST","5","061901","0101060093","1","IMES","Institute For Medical Engineering & Science",01-DEC-14,"D_IMES","Institute for Medical Engineering and Science","061901","10004284","Institute for Medical Eng. and Science"
"176-201505","201505","176","176","INSTPF","INST PROFESSORS","271","ZORG","271","ZORG","4","010000","0101120009","1","","",01-DEC-14,"D_INST_PROF","Institute Professors","010000","10000265","Institute Professors"
"177-201505","201505","177","177","INVEST","INVEST MGMT CO","163","EXECVP","163","EXECVP","4","420000","0101030639","1","","",01-DEC-14,"D_MITIMCO","MIT Investment Management Company","420000","10000673","MIT Investment Management Company"
"178-201505","201505","178","178","IPC","IND PERFORM CTR","243","S ENG","230","PROVST","5","060300","0101060090","1","","",01-DEC-14,"D_NUCENG","Nuclear Science and Engineering","060300","10000292","Industrial Performance Center"
"179-201505","201505","179","179","IS&T","INFO SVCS & TECH","163","EXECVP","163","EXECVP","4","404400","0101030637","1","","",01-DEC-14,"D_IS&T","Information Services and Technology","404400","10000621","HQ, Information Systems & Technology"
"180-201505","201505","180","180","ISN","INST SLDR NANOTECH","266","VP-RES","230","PROVST","5","417000","0101060223","1","","",01-DEC-14,"D_ISN","Institute for Soldier Nanotechnologies","417000","10000933","Institute for Soldier Nanotechnologies"
"181-201505","201505","181","181","KAVLI","K I FOR AST&SP R","246","S SCI","230","PROVST","5","159600","0101060187","1","","",01-DEC-14,"D_CSR","Kavli Institute for Astrophysics & Space Research","159600","10000544","Kavli Inst for Astrophysics & Space Rsrh"
"182-201505","201505","182","182","KIICR","KOCH INS INT C R","246","S SCI","230","PROVST","5","159700","0101060224","1","","",01-DEC-14,"D_KI","Koch Institute for Integrative Cancer Research","","",""
"183-201505","201505","183","183","LCS","LAB FOR COMP SC","243","S ENG","230","PROVST","5","068600","0101060096","1","","",01-DEC-14,"D_CSAIL","Computer Sciences and Artificial Intelligence Lab","","",""
"184-201505","201505","184","184","LE&ES","LAB FOR E&E SYS","237","RLE","230","PROVST","6","069300","0101060235","1","","",01-DEC-14,"D_RLE","Research Lab Of Electronics","069300","10000348","Lab for Electromagnetic Electronic Sys"
"186-201505","201505","186","186","LGO-SDM","LDRS GBL OPS-SYS DSN MGMT","243","S ENG","230","PROVST","5","170000","0101060108","1","","Leaders for Global Operations-Systems Design Management",01-DEC-14,"D_LGO","Leaders for Global Operations","170000","10000554","Leaders for Global Operations Program"
"187-201505","201505","187","187","LI&DS","LAB INFO&DEC SYS","243","S ENG","230","PROVST","5","068700","0101060105","1","","",01-DEC-14,"D_LIDS","Laboratory for Information & Decision Systems","068700","10000338","Lab for Information & Decision Systems"
"188-201505","201505","188","188","LI&PHL","LING & PHIL","244","S H&SS","230","PROVST","5","094000","0101060147","1","24","",01-DEC-14,"D_L&P","Linguistics & Philosophy","094000","10000367","Linguistics & Philosophy"
"189-201505","201505","189","189","LIBRAR","LIBRARIES","148","DIRLIB","230","PROVST","5","271000","0101060018","1","","",01-DEC-14,"D_LIBRARIES","Libraries","271000","10000579","Libraries"
"190-201505","201505","190","190","LICENC","TECH LICENSE OFF","109","APROV","230","PROVST","5","404000","0101060004","1","","",01-DEC-14,"D_TLO","Techology Licensing Office","404000","10000618","Technology Licensing Office"
"191-201505","201505","191","191","LINCLB","LINCOLN LAB","266","VP-RES","230","PROVST","5","310000","0101060260","1","","",01-DEC-14,"D_LINCOLN","Lincoln Laboratory","310000","10000581","Lincoln Laboratory"
"192-201505","201505","192","192","LIST","LIST VIS ART CTR","108","APRART","230","PROVST","5","401812","0101060009","1","","",01-DEC-14,"D_LVA","List Visual Arts Center","401812","10000605","List Visual Arts Center"
"193-201505","201505","193","193","LIT","LITERATURE","244","S H&SS","230","PROVST","5","093600","0101060148","1","21L","",01-DEC-14,"D_LIT","Literature","093600","10000364","Literature Section"
"194-201505","201505","194","194","LM&P","LAB FOR MFG&PROD","199","MECH","230","PROVST","6","069700","0101060122","1","","",01-DEC-14,"D_MECHE","Mechanical Engineering","069700","10000352","Lab for Manufacturing & Productivity"
"195-201505","201505","195","195","LNS","LAB FOR NUCL SCI","246","S SCI","230","PROVST","5","159900","0101060189","1","","",01-DEC-14,"D_LNS","Laboratory for Nuclear Science","159900","10000547","Laboratory for Nuclear Science"
"196-201505","201505","196","196","M&T ART","MUSIC & THEATER ART","244","S H&SS","230","PROVST","5","093700","0101060149","1","21M","",01-DEC-14,"D_MTA","Music & Theater Arts","093700","10000365","Music and Theater Arts Section"
"197-201505","201505","197","197","MATH","MATHEMATICS","246","S SCI","230","PROVST","5","154000","0101060192","1","18","",01-DEC-14,"D_MATHS","Mathematics","154000","10000533","Mathematics"
"198-201505","201505","198","198","MATPRO","MATS PROC CTR","243","S ENG","230","PROVST","5","069800","0101060111","1","","",01-DEC-14,"D_MPC","Materials Processing Center","069800","10000353","Materials Processing Center"
"199-201505","201505","199","199","MECH","MECHANICAL ENG","243","S ENG","230","PROVST","5","065000","0101060120","1","2","",01-DEC-14,"D_MECHE","Mechanical Engineering","065000","10000324","Mechanical Engineering"
"200-201505","201505","200","200","MEDIA","MEDIA LABORATORY","247","SAP","230","PROVST","5","039000","0101060045","1","","",01-DEC-14,"D_MEDIA","Media Lab","039000","10000277","Media Laboratory"
"201-201505","201505","201","201","MEDICL","MEDICAL DEPT","265","VP-HUM","163","EXECVP","5","495000","0101030667","1","","",01-DEC-14,"D_MEDICAL","MIT Medical Department","495000","10000792","Medical"
"202-201505","201505","202","202","MGMT","MANAGEMENT","245","S MGMT","230","PROVST","5","121000","0101060159","1","15","",01-DEC-14,"D_SLOAN","Sloan School of Management","121000","10000378","Sloan School of Management"
"203-201505","201505","203","203","MIBR","MCGOVERN INSTITUTE","211","OFPROV","230","PROVST","5","400600","0101060026","1","","",01-DEC-14,"D_MCGOVERN","McGovern Institute for Brain Research","400600","10000593","McGovern Institute for Brain Research"
"204-201505","201505","204","204","MS&E","MATS SCI & ENG","243","S ENG","230","PROVST","5","066000","0101060114","1","3","",01-DEC-14,"D_DMSE","Dept Material Science and Engineering","066000","10000325","Materials Science and Engineering"
"205-201505","201505","205","205","MTL","MICROSYSTEMS LAB","243","S ENG","230","PROVST","5","060600","0101060124","1","","",01-DEC-14,"D_MTL","Microsystems Technology Laboratory","060600","10000294","Microsystems Technology Laboratories"
"206-201505","201505","206","206","MUSEUM","MIT MUSEUM","108","APRART","230","PROVST","5","401811","0101060012","1","","",01-DEC-14,"D_MUSEUM","MIT Museum","401811","10000604","Museum"
"207-201505","201505","207","207","NRL","NUCL REACTOR LAB","266","VP-RES","230","PROVST","5","264000","0101060226","1","","",01-DEC-14,"D_NRL","Nuclear Reactor Laboratory","264000","10000575","Nuclear Reactor Laboratory"
"208-201505","201505","208","208","NSE","NUCLEAR SCI & ENG","243","S ENG","230","PROVST","5","068000","0101060126","1","22","",01-DEC-14,"D_NUCENG","Nuclear Science and Engineering","068000","10000331","Nuclear Science and Engineering"
"209-201505","201505","209","209","OEI&T","OFF ED IN & TECH","152","DUE","129","CHNCLR","5","447100","0101030408","1","","",01-DEC-14,"D_OEIT","Office of Education, Innovation and Technology","447100","10002734","Strategic Education Initiatives"
"210-201505","201505","210","210","OFPRES","OFF OF PRESIDENT","224","PRES","210","OFPRES","4","401000","0101030900","1","","",01-DEC-14,"D_PRESIDENT","Office of President / Chairman","401000","10000595","Office of the President"
"211-201505","201505","211","211","OFPROV","OFF OF PROVOST","230","PROVST","230","PROVST","4","401800","0101060024","1","","",01-DEC-14,"D_PROVOST","Provost's Office","401800","10000603","Office of the Provost"
"212-201505","201505","212","212","OFS","OFF FACULTY SUPPORT","152","DUE","129","CHNCLR","5","445000","0101030409","1","","",01-DEC-14,"D_OFS","Office of Faculty Support","445000","10002635","Office of Faculty Support"
"213-201505","201505","213","213","OME","OFF OF MINR EDUC","152","DUE","129","CHNCLR","5","441100","0101030415","1","","",01-DEC-14,"D_OME","Office of Minority Education","441100","10000728","Office of Minority Education"
"214-201505","201505","214","214","ORC","OPER RES CENTER","266","VP-RES","230","PROVST","5","247000","0101060228","1","OR","",01-DEC-14,"D_ORC","Operations Research Center","247000","10000574","Operations Research Center"
"215-201505","201505","215","215","OSP","SPONSORED PGMS","163","EXECVP","163","EXECVP","4","391000","0101030654","1","","",01-DEC-14,"D_OSP","Office of Sponsored Programs","391000","10000590","Office of Sponsored Programs"
"216-201505","201505","216","216","OTHMIT","OTHER MIT","224","PRES","216","OTHMIT","3","","0101031200","1","","",01-DEC-14,"D_UNDEF","Undefined - no DLC","","",""
"217-201505","201505","217","217","OTHNON","OTHER NON-MIT","224","PRES","217","OTHNON","3","","0101031500","1","","",01-DEC-14,"D_UNDEF","Undefined - no DLC","","",""
"218-201505","201505","218","218","PARK&T","PARKING & TRANSP","150","DOFADM","163","EXECVP","5","405900","0101030625","1","","",01-DEC-14,"D_PARKING","Parking and Transportation","405900","10000641","Parking and Transportation Office"
"219-201505","201505","219","219","PHYSIC","PHYSICS","246","S SCI","230","PROVST","5","158000","0101060195","1","8","",01-DEC-14,"D_PHYSICS","Physics","158000","10000536","Physics"
"220-201505","201505","220","220","PI","PROFNL INSTITUTE","243","S ENG","230","PROVST","5","061500","0101060130","1","","",01-DEC-14,"D_PI","Professional Institute","061500","10000929","Professional Institute"
"221-201505","201505","221","221","PILM","PICOWER INSTITUTE","246","S SCI","230","PROVST","5","159300","0101060196","1","","",01-DEC-14,"D_PILM","Picower Institute for Learning & Memory","159300","10000542","Picower Institute for Learning & Memory"
"222-201505","201505","222","222","POLICE","CAMPUS POLICE","163","EXECVP","163","EXECVP","4","492900","0101030609","1","","",01-DEC-14,"D_POLICE","MIT Police","492900","10000791","MIT POLICE"
"223-201505","201505","223","223","POLSCI","POLITICAL SCI","244","S H&SS","230","PROVST","5","095500","0101060150","1","17","",01-DEC-14,"D_POLSCI","Political Science","095500","10000368","Political Science"
"224-201505","201505","224","224","PRES","PRESIDENT","105","ALL","224","PRES","2","","0101000000","1","","",01-DEC-14,"D_PRESIDENT","Office of President / Chairman","","",""
"225-201505","201505","225","225","PRESS","MIT PRESS","148","DIRLIB","230","PROVST","5","875000","0101060021","1","","",01-DEC-14,"D_PRESS","MIT Press","875000","10000919","MIT Press"
"226-201505","201505","226","226","PRHSE","PRESIDENTS HOUSE","163","EXECVP","163","EXECVP","4","497400","0101030645","1","","",01-DEC-14,"D_GRAY","Gray House","497400","10000803","Gray House"
"227-201505","201505","227","227","PROCUR","PROCUREMENT","264","VP-FIN","163","EXECVP","5","426000","0101030616","1","","",01-DEC-14,"D_PROCURE","Procurement Office","","",""
"228-201505","201505","228","228","PROPTY","PROPERTY OFFICE","264","VP-FIN","163","EXECVP","5","406800","0101030616","1","","",01-DEC-14,"D_PROPERTY","Property Office","406800","10000651","Property Office"
"229-201505","201505","229","229","PRORES","PROVOST RESERVE","216","OTHMIT","216","OTHMIT","4","010100","0101031203","1","","",01-DEC-14,"D_PROVOST","Provost's Office","","",""
"230-201505","201505","230","230","PROVST","PROVOST","224","PRES","230","PROVST","3","","0101060000","1","","",01-DEC-14,"D_PROVOST","Provost's Office","","",""
"231-201505","201505","231","231","PSFC","PLASMA SCI FSN CTR","266","VP-RES","230","PROVST","5","243000","0101060231","1","","",01-DEC-14,"D_PSFC","Plasma Sciences & Fusion Center","243000","10000569","Plasma Science and Fusion Center"
"232-201505","201505","232","232","PUBSVC","PUBLIC REL SVCS","267","VP-SCP","267","VP-SCP","4","490000","0101090006","1","","",01-DEC-14,"D_VP_SEC_CORP","VP and Secretary of the Corporation","490000","10000789","Office of the VP for Institute Affairs"
"233-201505","201505","233","233","REGIST","REGISTRAR","152","DUE","129","CHNCLR","5","446700","0101030417","1","","",01-DEC-14,"D_REG","Registrar","446700","10000760","Registrar's Office"
"234-201505","201505","234","234","RESDEV","RESOURCE DEVLMNT","263","VP-DEV","163","EXECVP","5","411000","0101030681","1","","",01-DEC-14,"D_RESDEV","Vice President for Resource Development","","",""
"235-201505","201505","235","235","RESDOF","RESIDENCE DOF","238","RLSLAD","129","CHNCLR","6","861400","0101030324","0","","",01-DEC-14,"D_DOF_RESIDENCE","Facilities Residences","","",""
