"MOIRA_LIST_KEY","MOIRA_LIST_NAME","MOIRA_LIST_DESCRIPTION","IS_ACTIVE","IS_MOIRA_MAILING_LIST","IS_MOIRA_GROUP","IS_NFS_GROUP","IS_PUBLIC","IS_HIDDEN"
"empservices-request","empservices-request","none","Y","Y","N","N","N","N"
"nrl-ro-request","nrl-ro-request","none","Y","Y","N","N","N","N"
"msca-eecs-students","msca-eecs-students","none","Y","Y","N","N","N","N"
"mengfellows-request","mengfellows-request","none","Y","Y","N","N","N","N"
"nrl-sro-request","nrl-sro-request","none","Y","Y","N","N","N","N"
"providence-request","providence-request","none","Y","Y","N","N","N","N"
"ibbetson2","ibbetson2","none","Y","Y","N","N","N","N"
"ibbetson1","ibbetson1","none","Y","Y","N","N","N","N"
"ibbetson3","ibbetson3","none","Y","Y","N","N","N","N"
"cee-tenuredfac-request","cee-tenuredfac-request","none","Y","Y","N","N","N","N"
"cmi-cam-02-request","cmi-cam-02-request","none","Y","Y","N","N","N","N"
"elecciones-request","elecciones-request","none","Y","Y","N","N","N","N"
"french-students-request","french-students-request","none","Y","Y","N","N","N","N"
"mav-india-request","mav-india-request","none","Y","Y","N","N","N","N"
"newbandmembers-request","newbandmembers-request","none","Y","Y","N","N","N","N"
"eng-outreach-stuff-request","eng-outreach-stuff-request","none","Y","Y","N","N","N","N"
"eldercare-request","eldercare-request","none","Y","Y","N","N","N","N"
"eng-outreach-fun-request","eng-outreach-fun-request","none","Y","Y","N","N","N","N"
"physics-request","physics-request","none","Y","Y","N","N","N","N"
"eng-outreach-focus-request","eng-outreach-focus-request","none","Y","Y","N","N","N","N"
"chancellor-faculty1-request","chancellor-faculty1-request","none","Y","Y","N","N","N","N"
"leaders05-request","leaders05-request","none","Y","Y","N","N","N","N"
"pecker-summer","pecker-summer","none","Y","Y","N","N","N","N"
"hua_wang-list-request","hua_wang-list-request","none","Y","Y","N","N","N","N"
"cme-mit-05-request","cme-mit-05-request","none","Y","Y","N","N","N","N"
"junto","junto","none","Y","Y","N","N","N","N"
"mit-cme-05-request","mit-cme-05-request","none","Y","Y","N","N","N","N"
"flp98","flp98","none","Y","Y","N","N","N","N"
"idrpphd-request","idrpphd-request","none","Y","Y","N","N","N","N"
"eng-outreach-request","eng-outreach-request","none","Y","Y","N","N","N","N"
"gp.pismere.windows-firewall-acl","gp.pismere.windows-firewall-acl","none","Y","Y","N","N","N","N"
"eng-outreach-thoughts-request","eng-outreach-thoughts-request","none","Y","Y","N","N","N","N"
"maczephyr-request","maczephyr-request","none","Y","Y","N","N","N","N"
"social_theory_f05-request","social_theory_f05-request","none","Y","Y","N","N","N","N"
"soft-caps","soft-caps","none","Y","Y","N","N","N","N"
"idrpfaculty-request","idrpfaculty-request","none","Y","Y","N","N","N","N"
"interfaith","interfaith","none","Y","Y","N","N","N","N"
"ebm.2004-request","ebm.2004-request","none","Y","Y","N","N","N","N"
"idrpmcp3-request","idrpmcp3-request","none","Y","Y","N","N","N","N"
"saudis-request","saudis-request","none","Y","Y","N","N","N","N"
"ctl-robocraft","ctl-robocraft","none","Y","Y","N","N","N","N"
"prelaw-advisors-old","prelaw-advisors-old","none","Y","Y","N","N","N","N"
"phassembly-old","phassembly-old","none","Y","Y","N","N","N","N"
"phassembly-request-old","phassembly-request-old","none","Y","Y","N","N","N","N"
"linowl","linowl","none","Y","Y","N","N","N","N"
"linowl-request","linowl-request","none","Y","Y","N","N","N","N"
"lids-publ","lids-publ","none","Y","Y","N","N","N","N"
"foodscience-request","foodscience-request","none","Y","Y","N","N","N","N"
"dme-admissions-request","dme-admissions-request","none","Y","Y","N","N","N","N"
"grad-econ01-request","grad-econ01-request","none","Y","Y","N","N","N","N"
"pmm-request","pmm-request","none","Y","Y","N","N","N","N"
"latin-conference-05-request","latin-conference-05-request","none","Y","Y","N","N","N","N"
"mgh-request","mgh-request","none","Y","Y","N","N","N","N"
"pmtf-lib-request","pmtf-lib-request","none","Y","Y","N","N","N","N"
"hot_line","hot_line","none","Y","Y","N","N","N","N"
"glycosyl-eaters-request","glycosyl-eaters-request","none","Y","Y","N","N","N","N"
"globalebiz-request","globalebiz-request","none","Y","Y","N","N","N","N"
"memoirs","memoirs","none","Y","Y","N","N","N","N"
"geddis","geddis","none","Y","Y","N","N","N","N"
"one-acts98","one-acts98","none","Y","Y","N","N","N","N"
"nasa_cer_owners-request","nasa_cer_owners-request","none","Y","Y","N","N","N","N"
"duspalumrelationscom-request","duspalumrelationscom-request","none","Y","Y","N","N","N","N"
"perugia-request","perugia-request","none","Y","Y","N","N","N","N"
"funeral","funeral","none","Y","Y","N","N","N","N"
"olc-framers","olc-framers","none","Y","Y","N","N","N","N"
"sosfac-request","sosfac-request","none","Y","Y","N","N","N","N"
"oki-lead-request","oki-lead-request","none","Y","Y","N","N","N","N"
"pres-timecard-request","pres-timecard-request","none","Y","Y","N","N","N","N"
"colk-request","colk-request","none","Y","Y","N","N","N","N"
"fss-transport-request","fss-transport-request","none","Y","Y","N","N","N","N"
"cmi_list-request","cmi_list-request","none","Y","Y","N","N","N","N"
"faq-maintainers-announce","faq-maintainers-announce","none","Y","Y","N","N","N","N"
"karplab-request","karplab-request","none","Y","Y","N","N","N","N"
"sbm-speak_comm","sbm-speak_comm","none","Y","Y","N","N","N","N"
"sbm-ind_comm","sbm-ind_comm","none","Y","Y","N","N","N","N"
"phwinnt-old","phwinnt-old","none","Y","Y","N","N","N","N"
"hst-amrf-request","hst-amrf-request","none","Y","Y","N","N","N","N"
"phwinnt-request-old","phwinnt-request-old","none","Y","Y","N","N","N","N"
"ree-apps-request","ree-apps-request","none","Y","Y","N","N","N","N"
"sojourner-request","sojourner-request","none","Y","Y","N","N","N","N"
"r-h-c-request","r-h-c-request","none","Y","Y","N","N","N","N"
"macroseminar-request","macroseminar-request","none","Y","Y","N","N","N","N"
"sap-bugs-request","sap-bugs-request","none","Y","Y","N","N","N","N"
"lsa-ji-request","lsa-ji-request","none","Y","Y","N","N","N","N"
"global-themes-request","global-themes-request","none","Y","Y","N","N","N","N"
"pod3-request","pod3-request","none","Y","Y","N","N","N","N"
"cms-791-request","cms-791-request","none","Y","Y","N","N","N","N"
"insidemitio-request","insidemitio-request","none","Y","Y","N","N","N","N"
"dev-admins","dev-admins","none","Y","Y","N","N","N","N"
"eight-a-fifteen","eight-a-fifteen","none","Y","Y","N","N","N","N"
"mitna-wednesday-old","mitna-wednesday-old","none","Y","Y","N","N","N","N"
"isn-support-request","isn-support-request","none","Y","Y","N","N","N","N"
"caspartners-request","caspartners-request","none","Y","Y","N","N","N","N"
"ctl-riteaid","ctl-riteaid","none","Y","Y","N","N","N","N"
"ctl-quiznos","ctl-quiznos","none","Y","Y","N","N","N","N"
"mission2005-atlantis2-request","mission2005-atlantis2-request","none","Y","Y","N","N","N","N"
"nacdioassessment-request","nacdioassessment-request","none","Y","Y","N","N","N","N"
"premed-discussion","premed-discussion","none","Y","Y","N","N","N","N"
"neo-eventpresenters-request","neo-eventpresenters-request","none","Y","Y","N","N","N","N"
"premed-discussion-request","premed-discussion-request","none","Y","Y","N","N","N","N"
"sfccommittee-request","sfccommittee-request","none","Y","Y","N","N","N","N"
"mission2005-atlantis1-request","mission2005-atlantis1-request","none","Y","Y","N","N","N","N"
"hogtalk","hogtalk","none","Y","Y","N","N","N","N"
"mission2005-students-request","mission2005-students-request","none","Y","Y","N","N","N","N"
"sp-women-request","sp-women-request","none","Y","Y","N","N","N","N"
"mosaic","mosaic","none","Y","Y","N","N","N","N"
"mosaic-acl","mosaic-acl","none","Y","Y","N","N","N","N"
"cir-request","cir-request","none","Y","Y","N","N","N","N"
"dppj2-request","dppj2-request","none","Y","Y","N","N","N","N"
"olda26ers","olda26ers","none","Y","Y","N","N","N","N"
"d-lab-alumni-request","d-lab-alumni-request","none","Y","Y","N","N","N","N"
"nacdiotandl-request","nacdiotandl-request","none","Y","Y","N","N","N","N"
"nacdioworkspaces-request","nacdioworkspaces-request","none","Y","Y","N","N","N","N"
"polarpaws-request","polarpaws-request","none","Y","Y","N","N","N","N"
"mosaic-request","mosaic-request","none","Y","Y","N","N","N","N"
"newsoffice-survey-request","newsoffice-survey-request","none","Y","Y","N","N","N","N"
"playwriting-request","playwriting-request","none","Y","Y","N","N","N","N"
"cobwebs-dsacl","cobwebs-dsacl","none","Y","Y","N","N","N","N"
"dfe-project","dfe-project","none","Y","Y","N","N","N","N"
"hid-team-request","hid-team-request","none","Y","Y","N","N","N","N"
"modern-fiction-request","modern-fiction-request","none","Y","Y","N","N","N","N"
"cheme-plabmw-request","cheme-plabmw-request","none","Y","Y","N","N","N","N"
"ctl-omahasteaks","ctl-omahasteaks","none","Y","Y","N","N","N","N"
"hst-md-admin-request","hst-md-admin-request","none","Y","Y","N","N","N","N"
"ctl-usairways","ctl-usairways","none","Y","Y","N","N","N","N"
"greyskull-food","greyskull-food","none","Y","Y","N","N","N","N"
"komencommittee-request","komencommittee-request","none","Y","Y","N","N","N","N"
"shootforthecure-request","shootforthecure-request","none","Y","Y","N","N","N","N"
"lsa-request","lsa-request","none","Y","Y","N","N","N","N"
"shakespeare-708","shakespeare-708","none","Y","Y","N","N","N","N"
"shakespeare-708-request","shakespeare-708-request","none","Y","Y","N","N","N","N"
"sap-issues","sap-issues","none","Y","Y","N","N","N","N"
"cbarnhart","cbarnhart","none","Y","Y","N","N","N","N"
"sap-issues-request","sap-issues-request","none","Y","Y","N","N","N","N"
"newabs-survey","newabs-survey","none","Y","Y","N","N","N","N"
"pe-ft_instructors-request-old","pe-ft_instructors-request-old","none","Y","Y","N","N","N","N"
"cheme-plabtr-request","cheme-plabtr-request","none","Y","Y","N","N","N","N"
"edi-ack-request","edi-ack-request","none","Y","Y","N","N","N","N"
"rep-maint-select-coach","rep-maint-select-coach","none","Y","Y","N","N","N","N"
"newmacsaac-request","newmacsaac-request","none","Y","Y","N","N","N","N"
"olc-super","olc-super","none","Y","Y","N","N","N","N"
"interior.solar7-request","interior.solar7-request","none","Y","Y","N","N","N","N"
"fermseminar-request","fermseminar-request","none","Y","Y","N","N","N","N"
"iapblue-staff-request","iapblue-staff-request","none","Y","Y","N","N","N","N"
"dppj04-request","dppj04-request","none","Y","Y","N","N","N","N"
"dauntless-all","dauntless-all","none","Y","Y","N","N","N","N"
"softtest-request","softtest-request","none","Y","Y","N","N","N","N"
"rise_inst-request","rise_inst-request","none","Y","Y","N","N","N","N"
"cdab-request","cdab-request","none","Y","Y","N","N","N","N"
"peopledb","peopledb","none","Y","Y","N","N","N","N"
"sma_stellar_admin_locker-request","sma_stellar_admin_locker-request","none","Y","Y","N","N","N","N"
"endgame","endgame","none","Y","Y","N","N","N","N"
"lunchweek","lunchweek","none","Y","Y","N","N","N","N"
"iccas99","iccas99","none","Y","Y","N","N","N","N"
"pe-pt_instructors-request-old","pe-pt_instructors-request-old","none","Y","Y","N","N","N","N"
"plant-pr","plant-pr","none","Y","Y","N","N","N","N"
"hmi-request","hmi-request","none","Y","Y","N","N","N","N"
"omer-and-alya","omer-and-alya","none","Y","Y","N","N","N","N"
"olc-capacity","olc-capacity","none","Y","Y","N","N","N","N"
"ctosmit-request","ctosmit-request","none","Y","Y","N","N","N","N"
"kditeam","kditeam","none","Y","Y","N","N","N","N"
"kditeam-request","kditeam-request","none","Y","Y","N","N","N","N"
"eecs-gsa-exec-request","eecs-gsa-exec-request","none","Y","Y","N","N","N","N"
"hamlets-request","hamlets-request","none","Y","Y","N","N","N","N"
"sap-repl","sap-repl","none","Y","Y","N","N","N","N"
"sdm-dl-request","sdm-dl-request","none","Y","Y","N","N","N","N"
"m-a-mail-request","m-a-mail-request","none","Y","Y","N","N","N","N"
"poeticnerds-request","poeticnerds-request","none","Y","Y","N","N","N","N"
"ctos-request","ctos-request","none","Y","Y","N","N","N","N"
"leaders03-request","leaders03-request","none","Y","Y","N","N","N","N"
"ctl-planetlab","ctl-planetlab","none","Y","Y","N","N","N","N"
"kcr-game","kcr-game","none","Y","Y","N","N","N","N"
"cwisfac-dsacl","cwisfac-dsacl","none","Y","Y","N","N","N","N"
"daperboard_04-05-request","daperboard_04-05-request","none","Y","Y","N","N","N","N"
"se-24-request","se-24-request","none","Y","Y","N","N","N","N"
"deshpandecenter-friend-request","deshpandecenter-friend-request","none","Y","Y","N","N","N","N"
"esg-happy-18.03-request","esg-happy-18.03-request","none","Y","Y","N","N","N","N"
"minyan-rotation-request","minyan-rotation-request","none","Y","Y","N","N","N","N"
"cre-help-request","cre-help-request","none","Y","Y","N","N","N","N"
"concours","concours","none","Y","Y","N","N","N","N"
"concours-request","concours-request","none","Y","Y","N","N","N","N"
"early-universe-request","early-universe-request","none","Y","Y","N","N","N","N"
"pheng-old","pheng-old","none","Y","Y","N","N","N","N"
"pheng-request-old","pheng-request-old","none","Y","Y","N","N","N","N"
"deshpande_center_subscribers-req","deshpande_center_subscribers-req","none","Y","Y","N","N","N","N"
"rgd-people-request","rgd-people-request","none","Y","Y","N","N","N","N"
"diffusion","diffusion","none","Y","Y","N","N","N","N"
"omars-users-request","omars-users-request","none","Y","Y","N","N","N","N"
"hkn-eligibles-fa04-request","hkn-eligibles-fa04-request","none","Y","Y","N","N","N","N"
"elec-tech-request","elec-tech-request","none","Y","Y","N","N","N","N"
"mens-hoops","mens-hoops","none","Y","Y","N","N","N","N"
"mens-hoops-request","mens-hoops-request","none","Y","Y","N","N","N","N"
"css-grads","css-grads","none","Y","Y","N","N","N","N"
"early-uiniverse","early-uiniverse","none","Y","Y","N","N","N","N"
"early-uiniverse-request","early-uiniverse-request","none","Y","Y","N","N","N","N"
"orgs","orgs","none","Y","Y","N","N","N","N"
"lambda","lambda","none","Y","Y","N","N","N","N"
"njm-draper-request","njm-draper-request","none","Y","Y","N","N","N","N"
"hauslab-request","hauslab-request","none","Y","Y","N","N","N","N"
"pres_off-request","pres_off-request","none","Y","Y","N","N","N","N"
"rostov-news","rostov-news","none","Y","Y","N","N","N","N"
"rostov-let","rostov-let","none","Y","Y","N","N","N","N"
"imentor-applications2001-request","imentor-applications2001-request","none","Y","Y","N","N","N","N"
"sp-alumni-dinner-request","sp-alumni-dinner-request","none","Y","Y","N","N","N","N"
"lee-love-request","lee-love-request","none","Y","Y","N","N","N","N"
"corynebacterium","corynebacterium","none","Y","Y","N","N","N","N"
"net-policy","net-policy","none","Y","Y","N","N","N","N"
"corynebacterium-request","corynebacterium-request","none","Y","Y","N","N","N","N"
"cheme97","cheme97","none","Y","Y","N","N","N","N"
"olc-leaders","olc-leaders","none","Y","Y","N","N","N","N"
"langerlab-space-request","langerlab-space-request","none","Y","Y","N","N","N","N"
"hst575","hst575","none","Y","Y","N","N","N","N"
"romyg","romyg","none","Y","Y","N","N","N","N"
"florey-parties-request","florey-parties-request","none","Y","Y","N","N","N","N"
"htcanniv","htcanniv","none","Y","Y","N","N","N","N"
"htcanniv-request","htcanniv-request","none","Y","Y","N","N","N","N"
"fy-03saac-request","fy-03saac-request","none","Y","Y","N","N","N","N"
"mission2008-alumni-request","mission2008-alumni-request","none","Y","Y","N","N","N","N"
"omisec-request","omisec-request","none","Y","Y","N","N","N","N"
"omipres-request","omipres-request","none","Y","Y","N","N","N","N"
"grad-econ07-request","grad-econ07-request","none","Y","Y","N","N","N","N"
"random-spare-8","random-spare-8","none","Y","Y","N","N","N","N"
"random-floor-lists","random-floor-lists","none","Y","Y","N","N","N","N"
"omitres-request","omitres-request","none","Y","Y","N","N","N","N"
"mission2009-request","mission2009-request","none","Y","Y","N","N","N","N"
"euroffic-request","euroffic-request","none","Y","Y","N","N","N","N"
"ctl-performancebike","ctl-performancebike","none","Y","Y","N","N","N","N"
"ctl-pandora","ctl-pandora","none","Y","Y","N","N","N","N"
"kelli","kelli","none","Y","Y","N","N","N","N"
"ilabs-wiki-request","ilabs-wiki-request","none","Y","Y","N","N","N","N"
"msa06-request","msa06-request","none","Y","Y","N","N","N","N"
"pfizer-team","pfizer-team","none","Y","Y","N","N","N","N"
"mission2009-students-request","mission2009-students-request","none","Y","Y","N","N","N","N"
"iflame-redist","iflame-redist","none","Y","Y","N","N","N","N"
"mission2009-staff-request","mission2009-staff-request","none","Y","Y","N","N","N","N"
"colab_show-request","colab_show-request","none","Y","Y","N","N","N","N"
"ind-ecol-request","ind-ecol-request","none","Y","Y","N","N","N","N"
"pi05-request","pi05-request","none","Y","Y","N","N","N","N"
"ocw-i-request","ocw-i-request","none","Y","Y","N","N","N","N"
"cmi-mit-02-request","cmi-mit-02-request","none","Y","Y","N","N","N","N"
"rez-sparing","rez-sparing","none","Y","Y","N","N","N","N"
"hdfradmin","hdfradmin","none","Y","Y","N","N","N","N"
"labsupplies-request","labsupplies-request","none","Y","Y","N","N","N","N"
"movie-night-request","movie-night-request","none","Y","Y","N","N","N","N"
"lids-visitors-request-old","lids-visitors-request-old","none","Y","Y","N","N","N","N"
"ccc-sp04-request","ccc-sp04-request","none","Y","Y","N","N","N","N"
"ccc-fa03-request","ccc-fa03-request","none","Y","Y","N","N","N","N"
"cmi-mit-01-request","cmi-mit-01-request","none","Y","Y","N","N","N","N"
"ossearch-request","ossearch-request","none","Y","Y","N","N","N","N"
"erba98","erba98","none","Y","Y","N","N","N","N"
"ccc-fall03-request","ccc-fall03-request","none","Y","Y","N","N","N","N"
"motion-www","motion-www","none","Y","Y","N","N","N","N"
"fsilg-alum-request","fsilg-alum-request","none","Y","Y","N","N","N","N"
"cms.796-request","cms.796-request","none","Y","Y","N","N","N","N"
"handbook","handbook","none","Y","Y","N","N","N","N"
"dte-fall04-request","dte-fall04-request","none","Y","Y","N","N","N","N"
"ctl-tigerdirect","ctl-tigerdirect","none","Y","Y","N","N","N","N"
"human-rights-request","human-rights-request","none","Y","Y","N","N","N","N"
"nasa_cer_mission-request","nasa_cer_mission-request","none","Y","Y","N","N","N","N"
"crime-40-request","crime-40-request","none","Y","Y","N","N","N","N"
"is1-request","is1-request","none","Y","Y","N","N","N","N"
"crimeast-request","crimeast-request","none","Y","Y","N","N","N","N"
"ch-spectaskfor-request","ch-spectaskfor-request","none","Y","Y","N","N","N","N"
"harlemanstudents-request","harlemanstudents-request","none","Y","Y","N","N","N","N"
"isogroupf-request","isogroupf-request","none","Y","Y","N","N","N","N"
"ht-chemistry-acl","ht-chemistry-acl","none","Y","Y","N","N","N","N"
"is1","is1","none","Y","Y","N","N","N","N"
"guest-list","guest-list","none","Y","Y","N","N","N","N"
"newzealand-iq-request","newzealand-iq-request","none","Y","Y","N","N","N","N"
"ciemit","ciemit","none","Y","Y","N","N","N","N"
"matholymp","matholymp","none","Y","Y","N","N","N","N"
"satcom","satcom","none","Y","Y","N","N","N","N"
"econ-policy-request-old","econ-policy-request-old","none","Y","Y","N","N","N","N"
"esrt","esrt","none","Y","Y","N","N","N","N"
"esrt-request","esrt-request","none","Y","Y","N","N","N","N"
"lsa-newhouse-request","lsa-newhouse-request","none","Y","Y","N","N","N","N"
"kc-training","kc-training","none","Y","Y","N","N","N","N"
"eaps-minors","eaps-minors","none","Y","Y","N","N","N","N"
"page-mitchb","page-mitchb","none","Y","Y","N","N","N","N"
"imentors2005-request","imentors2005-request","none","Y","Y","N","N","N","N"
"fsilg-risk-request","fsilg-risk-request","none","Y","Y","N","N","N","N"
"phoq-all-request","phoq-all-request","none","Y","Y","N","N","N","N"
"imgd-request","imgd-request","none","Y","Y","N","N","N","N"
"fsilg-nme-request","fsilg-nme-request","none","Y","Y","N","N","N","N"
"german-iqconf-request","german-iqconf-request","none","Y","Y","N","N","N","N"
"idrp_phd-request","idrp_phd-request","none","Y","Y","N","N","N","N"
"conclave-science","conclave-science","none","Y","Y","N","N","N","N"
"ihtfp-request","ihtfp-request","none","Y","Y","N","N","N","N"
"ludibrium","ludibrium","none","Y","Y","N","N","N","N"
"fsilg-comserv-request","fsilg-comserv-request","none","Y","Y","N","N","N","N"
"imsoftball","imsoftball","none","Y","Y","N","N","N","N"
"sdmibt-request","sdmibt-request","none","Y","Y","N","N","N","N"
"fsilg-recruitment-request","fsilg-recruitment-request","none","Y","Y","N","N","N","N"
"jhd-request","jhd-request","none","Y","Y","N","N","N","N"
"netteam","netteam","none","Y","Y","N","N","N","N"
"command-admin","command-admin","none","Y","Y","N","N","N","N"
"command-admin-request","command-admin-request","none","Y","Y","N","N","N","N"
"fuente-tech","fuente-tech","none","Y","Y","N","N","N","N"
"cheme-it-lab-request","cheme-it-lab-request","none","Y","Y","N","N","N","N"
"land-of-cleves","land-of-cleves","none","Y","Y","N","N","N","N"
"n42recep-request","n42recep-request","none","Y","Y","N","N","N","N"
"cistk","cistk","none","Y","Y","N","N","N","N"
"due_dsl_pd_sessions-request","due_dsl_pd_sessions-request","none","Y","Y","N","N","N","N"
"dhcp","dhcp","none","Y","Y","N","N","N","N"
"neofacilitate-request","neofacilitate-request","none","Y","Y","N","N","N","N"
"night-orch","night-orch","none","Y","Y","N","N","N","N"
"lsa301-request","lsa301-request","none","Y","Y","N","N","N","N"
"iap-number-theory","iap-number-theory","none","Y","Y","N","N","N","N"
"dsl-events-request","dsl-events-request","none","Y","Y","N","N","N","N"
"deshpande_special_event-request","deshpande_special_event-request","none","Y","Y","N","N","N","N"
"cheme-affiliates-request","cheme-affiliates-request","none","Y","Y","N","N","N","N"
"prr","prr","none","Y","Y","N","N","N","N"
"plant-measure","plant-measure","none","Y","Y","N","N","N","N"
"plant-measure-request","plant-measure-request","none","Y","Y","N","N","N","N"
"physgraders-request","physgraders-request","none","Y","Y","N","N","N","N"
"elab-request","elab-request","none","Y","Y","N","N","N","N"
"phalign-request","phalign-request","none","Y","Y","N","N","N","N"
"pchelp","pchelp","none","Y","Y","N","N","N","N"
"french311-request","french311-request","none","Y","Y","N","N","N","N"
"maslab-2006-staff-2","maslab-2006-staff-2","none","Y","Y","N","N","N","N"
"gss94","gss94","none","Y","Y","N","N","N","N"
"rsi2001-week1","rsi2001-week1","none","Y","Y","N","N","N","N"
"rsi2001-alum","rsi2001-alum","none","Y","Y","N","N","N","N"
"jme-alumni-request","jme-alumni-request","none","Y","Y","N","N","N","N"
