"DEGREE_CODE","DEGREE_DESC","DEGREE_DESC_SHORT","DEGREE_TYPE","DEGREE_TYPE_DESC","DEGREE_WEIGHT","FROM_TERM","THRU_TERM","DEPARTMENT","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME_IN_COMMENCEMENT_BK","COURSE","COURSE_LEVEL","IS_DOUBLE_MAJOR","COMMENCEMENT_BK_COURSE_ROMAN","COMMENCEMENT_BK_SEE_ALSO","DEGREE_LAST_ACTIVITY_DATE","COURSE_LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4 HTD","G","N","Course IV","Ph.D., Course IV",24-SEP-93,13-JAN-16,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4 CD","G","N","Course IV","Ph.D., Course IV",24-SEP-93,13-JAN-16,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4 BD","G","N","Course IV","Ph.D., Course IV",24-SEP-93,13-JAN-16,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 CSD","G","N","Course I","Ph.D., Course I",24-SEP-93,28-APR-14,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","3","Department of Materials Science and Engineering","School of Engineering","3 CSD","G","N","Course III","Ph.D., Course III",24-SEP-93,22-NOV-23,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 CSD","G","N","Course XXII","Ph.D., Course XXII",24-SEP-93,29-APR-14,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16 CSD","G","N","Course XVI","Ph.D., Course XVI",24-SEP-93,29-APR-14,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","2","Department of Mechanical Engineering","School of Engineering","2 CSD","G","N","Course II","Ph.D., Course II",24-SEP-93,29-APR-14,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16 WD","G","N","Course XVI","Ph.D., Course XVI",24-SEP-93,13-JUN-17,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","10","Department of Chemical Engineering","School of Engineering","10 CSD","G","N","Course X","Ph.D., Course X",24-SEP-93,01-MAY-14,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","15","Sloan School of Management","Sloan School of Management","15 D2","G","N","Course XV","Ph.D., Course XV",24-SEP-93,22-JUL-13,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","CSE","Program in Computational Science and Engineering","Schwarzman College of Computing","CSE D","G","N","Course CSE","Ph.D., Computational Science and Engineering",24-SEP-93,22-AUG-23,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","IDS","Institute for Data, Systems, & Society","Schwarzman College of Computing","IDS DSE","G","N","Course IDS","Ph.D., Program in Data, Systems, and Society",24-SEP-93,12-FEB-16,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST","G","N","Course HST","Ph.D., Health Sci. & Tech.",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","24","Department of Linguistics and Philosophy","School of Humanities, Arts, and Social Sciences","24","G","N","Course XXIV","Ph.D., Course XXIV",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","20","Department of Biological Engineering","School of Engineering","20","G","N","Course XX","Ph.D., Course XX",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","18","Department of Mathematics","School of Science","18","G","N","Course XVIII","Ph.D., Course XVIII",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16","G","N","Course XVI","Ph.D., Course XVI",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","15","Sloan School of Management","Sloan School of Management","15","G","N","Course XV","Ph.D., Course XV",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13","G","N","Course XIII","Ph.D., Course XIII",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6","G","N","Course VI","Ph.D., Course VI",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4","G","N","Course IV","Ph.D., Course IV",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","2","Department of Mechanical Engineering","School of Engineering","2","G","N","Course II","Ph.D., Course II",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","TOX","Program in Toxicology","Whitaker College of Health Sciences and Technology","TOX","G","N","Course Toxicology","Ph.D., Toxicology",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22","G","N","Course XXII","Ph.D., Course XXII",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","17","Department of Political Science","School of Humanities, Arts, and Social Sciences","17","G","N","Course XVII","Ph.D., Course XVII",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","15","Sloan School of Management","Sloan School of Management","15 B","G","N","Course XV","Ph.D., Course XV",24-SEP-93,25-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","14","Department of Economics","School of Humanities, Arts, and Social Sciences","14","G","N","Course XIV","Ph.D., Course XIV",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","11","Department of Urban Studies and Planning","School of Architecture and Planning","11","G","N","Course XI","Ph.D., Course XI",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","10","Department of Chemical Engineering","School of Engineering","10","G","N","Course X","Ph.D., Course X",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","9","Department of Brain and Cognitive Sciences","School of Science","9","G","N","Course IX","Ph.D., Course IX",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","8","Department of Physics","School of Science","8","G","N","Course VIII","Ph.D., Course VIII",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","7","Department of Biology","School of Science","7","G","N","Course VII","Ph.D., Course VII",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","5","Department of Chemistry","School of Science","5","G","N","Course V","Ph.D., Course V",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","3","Department of Materials Science and Engineering","School of Engineering","3","G","N","Course III","Ph.D., Course III",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1","G","N","Course I","Ph.D., Course I",24-SEP-93,28-JUN-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","7","Department of Biology","School of Science","7 MBD","G","N","Course VII","Ph.D., Course VII",24-SEP-93,26-OCT-07,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST RD","G","N","Course HST","Ph.D., Health Sci. & Tech.",24-SEP-93,03-MAY-05,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","ESD","Engineering Systems Division","School of Engineering","ESD CTD","G","N","Course ESD","Ph.D., Engineering Systems Division",24-SEP-93,08-JAN-04,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CD","G","N","Course XII","Ph.D., Course XII",24-SEP-93,31-JAN-03,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GD","G","N","Course XII","Ph.D., Course XII",24-SEP-93,31-JAN-03,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 ED","G","N","Course XII","Ph.D., Course XII",24-SEP-93,31-JAN-03,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","10","Department of Chemical Engineering","School of Engineering","10 AD","G","N","Course X","Ph.D., Course X",24-SEP-93,09-JUN-04,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","CSB","Program in Computational and Systems Biology","School of Engineering","CSB D","G","N","CSB","Ph.D., Comp. & Syst. Biology",24-SEP-93,16-MAY-05,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","ESD","Engineering Systems Division","School of Engineering","ESD ESD","G","N","Course ESD","Ph.D., Engineering Systems Division",24-SEP-93,14-APR-03,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13 A","G","N","Course XIII","Ph.D., Course XIII",24-SEP-93,17-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","MAS","Program in Media Arts and Sciences","School of Architecture and Planning","MAS","G","N","Course MAS","Ph.D., Media Arts and Sciences",24-SEP-93,14-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","MAS","Program in Media Arts and Sciences","School of Architecture and Planning","MAS D","G","N","Course MAS","Ph.D., Media Arts and Sciences",24-SEP-93,27-APR-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","24","Department of Linguistics and Philosophy","School of Humanities, Arts, and Social Sciences","24 D","G","N","Course XXIV","Ph.D., Course XXIV",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","20","Department of Biological Engineering","School of Engineering","20 D","G","N","Course XX","Ph.D., Course XX",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16 D","G","N","Course XVI","Ph.D., Course XVI",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","14","Department of Economics","School of Humanities, Arts, and Social Sciences","14 D","G","N","Course XIV","Ph.D., Course XIV",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 D","G","N","Course XII","Ph.D., Course XII",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","9","Department of Brain and Cognitive Sciences","School of Science","9 D","G","N","Course IX","Ph.D., Course IX",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","7","Department of Biology","School of Science","7 D","G","N","Course VII","Ph.D., Course VII",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","5","Department of Chemistry","School of Science","5 D","G","N","Course V","Ph.D., Course V",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","3","Department of Materials Science and Engineering","School of Engineering","3 D","G","N","Course III","Ph.D., Course III",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","2","Department of Mechanical Engineering","School of Engineering","2 D","G","N","Course II","Ph.D., Course II",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 D","G","N","Course I","Ph.D., Course I",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","TOX","Program in Toxicology","Whitaker College of Health Sciences and Technology","TOX D","G","N","Course Toxicology","Ph.D., Toxicology",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST ED","G","N","Course HST","Ph.D., Health Sci. & Tech.",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 D","G","N","Course XXII","Ph.D., Course XXII",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","18","Department of Mathematics","School of Science","18 D","G","N","Course XVIII","Ph.D., Course XVIII",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","17","Department of Political Science","School of Humanities, Arts, and Social Sciences","17 D","G","N","Course XVII","Ph.D., Course XVII",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","15","Sloan School of Management","Sloan School of Management","15 D","G","N","Course XV","Ph.D., Course XV",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13 D","G","N","Course XIII","Ph.D., Course XIII",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","11","Department of Urban Studies and Planning","School of Architecture and Planning","11 D","G","N","Course XI","Ph.D., Course XI",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","10","Department of Chemical Engineering","School of Engineering","10 D","G","N","Course X","Ph.D., Course X",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","8","Department of Physics","School of Science","8 D","G","N","Course VIII","Ph.D., Course VIII",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 D","G","N","Course VI","Ph.D., Course VI",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4 D","G","N","Course IV","Ph.D., Course IV",24-SEP-93,23-NOV-93,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CSD","G","N","Course X11","Ph.D., Course XII",24-SEP-93,09-FEB-23,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","18","Department of Mathematics","School of Science","18 CSD","G","N","Course XVIII","Ph.D., Course XVIII",24-SEP-93,05-OCT-16,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","24","Department of Linguistics and Philosophy","School of Humanities, Arts, and Social Sciences","24 BD","G","N","Course XXIV","Ph.D., Course XXIV",24-SEP-93,05-DEC-02,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","9","Department of Brain and Cognitive Sciences","School of Science","9 CD","G","N","Course IX","Ph.D., Course IX",24-SEP-93,04-DEC-02,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","BE","Biological Engineering Division","School of Engineering","BE D","G","N","Course BE","Ph.D., Biological Engineering",24-SEP-93,31-OCT-02,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","BEH","Biological Engineering Division","School of Engineering","BEH D","G","N","Course BEH","Ph.D., Bioeng. & Environ. Health",24-SEP-93,04-JAN-99,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","TPP","Program in Technology and Policy","School of Engineering","TPP D","G","N","Course TPP","Ph.D., Engineering Systems",24-SEP-93,30-MAR-98,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 TPD","G","N","Course VI","Ph.D., Course VI",24-SEP-93,30-OCT-97,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13 B","G","N","Course XIII","Ph.D., Course XIII",24-SEP-93,03-NOV-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","23","","School of Humanities, Arts, and Social Sciences","23","G","N","Course XXIII","Ph.D., Course XXIII",24-SEP-93,27-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","STS","Program in Science, Technology, and Society","School of Humanities, Arts, and Social Sciences","STS D","G","N","Course STS","Ph.D., Science, Technology, and Society",24-SEP-93,25-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","STS","Program in Science, Technology, and Society","School of Humanities, Arts, and Social Sciences","STS","G","N","Course STS","Ph.D., Science, Technology, and Society",24-SEP-93,25-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST ASD","G","N","Course HST","Ph.D., Health Sci. & Tech.",24-SEP-93,13-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","19","Department of Meteorology","School of Science","19","G","N","Course XIX","Ph.D., Course XIX",24-SEP-93,04-OCT-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST AED","G","N","Course HST","Ph.D., Health Sci. & Tech.",24-SEP-93,28-JUL-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","OR","Program in Operations Research","Sloan School of Management","OR D","G","N","Course OR","Ph.D., Operations Research",24-SEP-93,21-SEP-95,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HPM","","Whitaker College of Health Sciences and Technology","HPM","G","N"," HPM","Ph.D.,  HPM",24-SEP-93,03-MAY-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 RD","G","N","Course XXII","Ph.D., Course XXII",24-SEP-93,10-OCT-95,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 CTD","G","N","Course I","Ph.D., Course I",24-SEP-93,04-NOV-94,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","OR","Program in Operations Research","Sloan School of Management","OR","G","N","Course OR","Ph.D., Operations Research",24-SEP-93,21-SEP-95,28-OCT-24
"PHDW","Doctor of Philosophy Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Doctor of Philosophy Jointly by MIT-WHOI","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FWD","G","N","W.H.O.I.","Ph.D., W.H.O.I.",27-APR-94,25-FEB-03,28-OCT-24
"PHDW","Doctor of Philosophy Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Doctor of Philosophy Jointly by MIT-WHOI","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CWD","G","N","W.H.O.I.","Ph.D., W.H.O.I.",27-APR-94,25-FEB-03,28-OCT-24
"PHDW","Doctor of Philosophy Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Doctor of Philosophy Jointly by MIT-WHOI","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AWD","G","N","W.H.O.I.","Ph.D., W.H.O.I.",27-APR-94,25-FEB-03,28-OCT-24
"PHDW","Doctor of Philosophy Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Doctor of Philosophy Jointly by MIT-WHOI","PHD","Doctor of Philosophy",8,"000000","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16 WD","G","N","W.H.O.I.","Ph.D., W.H.O.I.",27-APR-94,05-MAY-17,28-OCT-24
