"DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_CODE","SCHOOL_NAME","DEPT_BUDGET_CODE","IS_DEGREE_GRANTING","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME_IN_COMMENCEMENT_BK","DEPARTMENT_NAME_HISTORY","DEPARTMENT_LAST_ACTIVITY_DATE","DLC_KEY","WAREHOUSE_LOAD_DATE"
"GSO","Graduate School Office","GSO-Graduate School Office","Y","MIT, academic","442700","N","","","",30-JUN-95,"D_DEANGRAD",28-OCT-24
"4","Architecture","4-Architecture","A","Architecture and Planning","031000","Y","Department of Architecture","School of Architecture and Planning","",17-FEB-94,"D_ARCH",28-OCT-24
"7","Biology","7-Biology","S","Science","151000","Y","Department of Biology","School of Science","",17-FEB-94,"D_BIOLOGY",28-OCT-24
"TPP","Technology and Policy Program","TPP-Technology and Policy Program","E","Engineering","069900","Y","Program in Technology and Policy","School of Engineering","",17-FEB-94,"D_TPP",28-OCT-24
"SDM","System Design & Management Prg","SDM-System Design & Management Prg","E","Engineering","060800","Y","Program in System Design and Management","School of Engineering","",18-NOV-99,"D_SDM",28-OCT-24
"EM","Engineering Management","EM-Engineering Management","E","Engineering","060800","Y","Program in System Design and Management","School of Engineering","",17-JUN-16,"D_SDM",28-OCT-24
"22","Nuclear Engineering","22-Nuclear Engineering","E","Engineering","068000","Y","Department of Nuclear Science and Engineering","School of Engineering","",09-DEC-05,"D_NUCENG",28-OCT-24
"11","Urban Studies and Planning","11-Urban Studies and Planning","A","Architecture and Planning","035000","Y","Department of Urban Studies and Planning","School of Architecture and Planning","",17-FEB-94,"D_DUSP",28-OCT-24
"SA&P","School of Arch & Planning","SA&P-School of Arch & Planning","A","Architecture and Planning","030000","Y","Program in School of Arch & Planning","School of Architecture and Planning","",17-FEB-94,"D_DEANARCH",28-OCT-24
"RED","Center for Real Estate Develop","RED-Center for Real Estate Develop","A","Architecture and Planning","033000","Y","Center for Real Estate Development","School of Architecture and Planning","",24-SEP-09,"D_CRE",28-OCT-24
"8","Physics","8-Physics","S","Science","158000","Y","Department of Physics","School of Science","",17-FEB-94,"D_PHYSICS",28-OCT-24
"ESG","Experimental Study Group","ESG-Experimental Study Group","Y","MIT, academic","159000","N","","","",20-OCT-11,"D_ESG",28-OCT-24
"21A","Anthropology","21A-Anthropology","H","Hum, Arts & Social Sciences","093200","Y","Program in Anthropology","School of Humanities, Arts, and Social Sciences","Anthropol/Archaeol until 1998-99",30-MAY-06,"D_ANTHRO",28-OCT-24
"STS","Science, Technology & Society","STS-Science, Technology & Society","H","Hum, Arts & Social Sciences","097000","Y","Program in Science, Technology, and Society","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_STS",28-OCT-24
"17","Political Science","17-Political Science","H","Hum, Arts & Social Sciences","095500","Y","Department of Political Science","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_POLSCI",28-OCT-24
"21M","Music","21M-Music","H","Hum, Arts & Social Sciences","093700","Y","Music","School of Humanities, Arts, and Social Sciences","Music and Theater Arts",27-MAR-24,"D_MTA",28-OCT-24
"21L","Literature","21L-Literature","H","Hum, Arts & Social Sciences","093600","Y","Literature","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_LIT",28-OCT-24
"24","Linguistics and Philosophy","24-Linguistics and Philosophy","H","Hum, Arts & Social Sciences","094000","Y","Department of Linguistics and Philosophy","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_L&P",28-OCT-24
"21H","History","21H-History","H","Hum, Arts & Social Sciences","093400","Y","History","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_HISTORY",28-OCT-24
"21N","21F no lottery","21N-21F no lottery","H","Hum, Arts & Social Sciences","093300","Y","","School of Humanities, Arts, and Social Sciences","",01-AUG-95,"D_FLL",28-OCT-24
"21F","Global Studies & Languages","21F-Global Studies & Languages","H","Hum, Arts & Social Sciences","093300","Y","Global Studies & Languages","School of Humanities, Arts, and Social Sciences","",01-JUL-14,"D_FLL",28-OCT-24
"23","Modern Languages","23-Modern Languages","H","Hum, Arts & Social Sciences","","Y","","School of Humanities, Arts, and Social Sciences","",08-FEB-94,"D_FLL",28-OCT-24
"21G","Global Languages","21G-Global Languages","H","Hum, Arts & Social Sciences","093300","Y","Global Languages","School of Humanities, Arts, and Social Sciences","For Lang & Lit",23-MAY-20,"D_FLL",28-OCT-24
"14","Economics","14-Economics","H","Hum, Arts & Social Sciences","091000","Y","Department of Economics","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_ECO",28-OCT-24
"WMN","Women's and Gender Studies","WMN-Women's and Gender Studies","Y","MIT, academic","","N","","","",06-APR-10,"D_DHSS",28-OCT-24
"21S","Humanities and Science","21S-Humanities and Science","H","Hum, Arts & Social Sciences","090000","Y","Department of Humanities","School of Humanities, Arts, and Social Sciences","",12-OCT-00,"D_DHSS",28-OCT-24
"21E","Humanities and Engineering","21E-Humanities and Engineering","H","Hum, Arts & Social Sciences","090000","Y","Department of Humanities","School of Humanities, Arts, and Social Sciences","",12-OCT-00,"D_DHSS",28-OCT-24
"21","Humanities","21-Humanities","H","Hum, Arts & Social Sciences","090000","Y","Department of Humanities","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_DHSS",28-OCT-24
"WGS","Women's and Gender Studies","WGS-Women's and Gender Studies","H","Hum, Arts & Social Sciences","","Y","","School of Humanities, Arts, and Social Sciences","",21-APR-11,"D_DHSS",28-OCT-24
"HASS","HASS Office (fcns as SHSS Ofc)","HASS-HASS Office (fcns as SHSS Ofc)","H","Hum, Arts & Social Sciences","090000","Y","Program in HASS Office (fcns as SHSS Ofc)","School of Humanities, Arts, and Social Sciences","",29-AUG-94,"D_DHSS",28-OCT-24
"EN","Center for Adv Eng Studies","EN-Center for Adv Eng Studies","E","Engineering","069000","Y","","School of Engineering","",04-JAN-95,"D_CAES",28-OCT-24
"CAES","Center for Adv Educ Services","CAES-Center for Adv Educ Services","Y","MIT, academic","405100","N","","","associated with school of engineering through 5th week of 1998SP",18-NOV-99,"D_CAES",28-OCT-24
"MAP","Midcareer Acceleration Program","MAP-Midcareer Acceleration Program","E","Engineering","405100","Y","","School of Engineering","",20-SEP-06,"D_CAES",28-OCT-24
"MAS","Prog in Media Arts Sciences","MAS-Prog in Media Arts Sciences","A","Architecture and Planning","036000","Y","Program in Media Arts and Sciences","School of Architecture and Planning","",17-FEB-94,"D_MAS",28-OCT-24
"2","Mechanical Engineering","2-Mechanical Engineering","E","Engineering","065000","Y","Department of Mechanical Engineering","School of Engineering","",21-AUG-96,"D_MECHE",28-OCT-24
"25","Interdisciplinary Science Prog","25-Interdisciplinary Science Prog","S","Science","","Y","","School of Science","",21-JAN-94,"D_DEANSCI",28-OCT-24
"SSCI","School of Science","SSCI-School of Science","S","Science","150000","Y","Program in School of Science","School of Science","",17-FEB-94,"D_DEANSCI",28-OCT-24
"CSB","Computational and Systems Bio","CSB-Computational and Systems Bio","E","Engineering","069200","Y","Program in Computational and Systems Biology","School of Engineering","",15-MAR-07,"D_CSBI",28-OCT-24
"16","Aeronautics and Astronautics","16-Aeronautics and Astronautics","E","Engineering","061000","Y","Department of Aeronautics and Astronautics","School of Engineering","",17-FEB-94,"D_AEROASTRO",28-OCT-24
"ASP","Advanced Study Program","ASP-Advanced Study Program","E","Engineering","405100","Y","","School of Engineering","was CAES",07-NOV-03,"D_ASP",28-OCT-24
"BEH","Bioengineering & Envir. Health","BEH-Bioengineering & Envir. Health","E","Engineering","069200","Y","Biological Engineering Division","School of Engineering","was TOX",18-NOV-99,"D_BIOENG",28-OCT-24
"TOX","Division of Toxicology","TOX-Division of Toxicology","T","Whitaker Coll of HST;  HST","164000","Y","Program in Toxicology","Whitaker College of Health Sciences and Technology","",17-FEB-94,"D_BIOENG",28-OCT-24
"BE","Biological Engineering","BE-Biological Engineering","E","Engineering","069200","Y","Biological Engineering Division","School of Engineering","was BEH",15-AUG-02,"D_BIOENG",28-OCT-24
"20","Biological Engineering","20-Biological Engineering","E","Engineering","069200","Y","Department of Biological Engineering","School of Engineering","was Applied Biological Engineering",28-JUN-07,"D_BIOENG",28-OCT-24
"EC","Edgerton Center","EC-Edgerton Center","Y","MIT, academic","","N","","","",08-APR-11,"D_EDGERTON",28-OCT-24
"EDG","Edgerton Center","EDG-Edgerton Center","Y","MIT, academic","","N","","","",10-NOV-94,"D_EDGERTON",28-OCT-24
"PEP","Professional Education Prog","PEP-Professional Education Prog","E","Engineering","405100","Y","","School of Engineering","",03-NOV-06,"D_PEP",28-OCT-24
"CTS","Ctr for Transportation Studies","CTS-Ctr for Transportation Studies","E","Engineering","069500","Y","","School of Engineering","",17-FEB-94,"D_CTL",28-OCT-24
"ALU","Alumni/ae Office","ALU-Alumni/ae Office","X","MIT, non-academic","","N","","","",11-FEB-93,"D_ALUM",28-OCT-24
"3","Materials Science and Eng","3-Materials Science and Eng","E","Engineering","066000","Y","Department of Materials Science and Engineering","School of Engineering","",17-FEB-94,"D_DMSE",28-OCT-24
"10","Chemical Engineering","10-Chemical Engineering","E","Engineering","062000","Y","Department of Chemical Engineering","School of Engineering","",17-FEB-94,"D_CHEME",28-OCT-24
"15","Management","15-Management","M","Sloan School of Management","121000","Y","Sloan School of Management","Sloan School of Management","",17-FEB-94,"D_SLOAN",28-OCT-24
"OR","Operations Research","OR-Operations Research","M","Sloan School of Management","121152","Y","Program in Operations Research","Sloan School of Management","",30-JUN-15,"D_SLOAN",28-OCT-24
"SMGT","School of Management","SMGT-School of Management","M","Sloan School of Management","121000","Y","Program in School of Management","Sloan School of Management","",17-FEB-94,"D_SLOAN",28-OCT-24
"MED","Medical Department","MED-Medical Department","X","MIT, non-academic","","N","","","",16-MAR-94,"D_MEDICAL",28-OCT-24
"SFAO","Student Financial Aid Office","SFAO-Student Financial Aid Office","X","MIT, non-academic","446800","N","","","",17-FEB-94,"D_SFS",28-OCT-24
"BUR","Bursar's Office","BUR-Bursar's Office","X","MIT, non-academic","446900","N","","","",17-FEB-94,"D_SFS",28-OCT-24
"REG","Registrar's Office","REG-Registrar's Office","X","MIT, non-academic","446700","N","","","",17-FEB-94,"D_REG",28-OCT-24
"OME","Office of Minority Education","OME-Office of Minority Education","X","MIT, non-academic","441000","N","","","",17-FEB-94,"D_OME",28-OCT-24
"UAAO","Undergraduate Academic Affairs","UAAO-Undergraduate Academic Affairs","X","MIT, non-academic","441000","N","","","",17-FEB-94,"D_DUE:HQ",28-OCT-24
"UAAP","Undergrad Adv & Acad Prog","UAAP-Undergrad Adv & Acad Prog","X","MIT, non-academic","441000","N","","","formerly ARC",03-JAN-07,"D_DUE:HQ",28-OCT-24
"WCD","Wellesley Double Degree Prog","WCD-Wellesley Double Degree Prog","Y","MIT, academic","441000","N","","","",17-FEB-94,"D_DUE:HQ",28-OCT-24
"DOM","Domestic Study Program","DOM-Domestic Study Program","Y","MIT, academic","446600","N","","","",17-FEB-94,"D_CSPA",28-OCT-24
"FOR","Foreign Study Program","FOR-Foreign Study Program","Y","MIT, academic","446600","N","","","",17-FEB-94,"D_CSPA",28-OCT-24
"ADM","Admissions Office","ADM-Admissions Office","X","MIT, non-academic","446100","N","","","",17-FEB-94,"D_ADM",28-OCT-24
"ARC","Academic Resource Center","ARC-Academic Resource Center","X","MIT, non-academic","441000","N","","","formerly UAAO",25-AUG-98,"D_ACAD",28-OCT-24
"ENE","Energy Initiative","ENE-Energy Initiative","Y","MIT, academic","","N","","","",25-AUG-09,"D_LFEE",28-OCT-24
"PXL","Interphase/Seminar XL","PXL-Interphase/Seminar XL","X","MIT, non-academic","","N","","","",27-MAR-12,"D_STU_SPECIAL",28-OCT-24
"FAS","Freshman/Alumni Summer Intern","FAS-Freshman/Alumni Summer Intern","Y","MIT, academic","","N","","","",30-JAN-15,"D_STU_SPECIAL",28-OCT-24
"SEM","Undergraduate Seminars","SEM-Undergraduate Seminars","Y","MIT, academic","","N","","","",21-OCT-08,"D_STU_SPECIAL",28-OCT-24
"13","Ocean Engineering","13-Ocean Engineering","E","Engineering","067000","Y","Department of Ocean Engineering","School of Engineering","",17-FEB-94,"D_OCEAN",28-OCT-24
"UND","Undesignated Sophomore","UND-Undesignated Sophomore","Y","MIT, academic","441000","N","","","",17-FEB-94,"D_STUDENT_UND",28-OCT-24
"LGO","Leaders for Global Operations","LGO-Leaders for Global Operations","M","Sloan School of Management","170000","Y","","Sloan School of Management","",08-MAY-09,"D_LGO",28-OCT-24
"LFM","Leaders For Manufacturing","LFM-Leaders For Manufacturing","M","Sloan School of Management","170000","Y","","Sloan School of Management","",15-AUG-96,"D_LGO",28-OCT-24
"21W","Writing & Humanistic Studies","21W-Writing & Humanistic Studies","H","Hum, Arts & Social Sciences","093800","Y","Program in Writing and Humanistic Studies","School of Humanities, Arts, and Social Sciences","",17-FEB-94,"D_CMS",28-OCT-24
"CMS","Comparative Media Studies","CMS-Comparative Media Studies","H","Hum, Arts & Social Sciences","093600","Y","Program in Comparative Media Studies","School of Humanities, Arts, and Social Sciences","",28-OCT-99,"D_CMS",28-OCT-24
"HST","Health Sciences & Technology","HST-Health Sciences & Technology","E","Engineering","061902","Y","Program in Health Sciences and Technology","School of Engineering","",24-AUG-12,"D_IMES",28-OCT-24
"RES","Residential Life","RES-Residential Life","X","MIT, non-academic","","N","","","",06-MAY-99,"D_RLP",28-OCT-24
"SCM","Supply Chain Management Progra","SCM-Supply Chain Management Progra","E","Engineering","069501","Y","Program in Supply Chain Management","School of Engineering","",08-JUL-15,"D_SCM",28-OCT-24
"IDS","Inst for Data, Syst, & Soc","IDS-Inst for Data, Syst, & Soc","W","Schwarzman Coll of Comp","068100","Y","Institute for Data, Systems, & Society","Schwarzman College of Computing","Was in Sch of Eng until 12/31/2019",07-OCT-20,"D_IDSS",28-OCT-24
"ESD","Engineering Systems Division","ESD-Engineering Systems Division","E","Engineering","068100","Y","Engineering Systems Division","School of Engineering","",18-NOV-99,"D_IDSS",28-OCT-24
"NIH","Harvard Cross-Enrollment Prog","NIH-Harvard Cross-Enrollment Prog","Z","Non-MIT","","N","","","",11-FEB-93,"D_CROSS_REG",28-OCT-24
"NIG","Gordon Coll Cross-Enroll Prog","NIG-Gordon Coll Cross-Enroll Prog","Z","Non-MIT","","N","","","",17-OCT-07,"D_CROSS_REG",28-OCT-24
"NIE","Non-Institute Exchange Student","NIE-Non-Institute Exchange Student","Z","Non-MIT","","N","","","",12-JUL-95,"D_CROSS_REG",28-OCT-24
"NIC","Grad Consortium Women's Stud","NIC-Grad Consortium Women's Stud","Z","Non-MIT","","N","","","",16-DEC-05,"D_CROSS_REG",28-OCT-24
"NIA","Non-Institute-MFA/MCA","NIA-Non-Institute-MFA/MCA","Z","Non-MIT","","N","","","",24-SEP-98,"D_CROSS_REG",28-OCT-24
"NI","Non-Inst Cross-Enrollment Prog","NI-Non-Inst Cross-Enrollment Prog","Z","Non-MIT","","N","","","",09-MAY-94,"D_CROSS_REG",28-OCT-24
"OCW","On-Campus Wellesley","OCW-On-Campus Wellesley","Y","MIT, academic","","N","","","",28-SEP-93,"D_CROSS_REG",28-OCT-24
"ZNIH","Harvard dummy to get sorts","ZNIH-Harvard dummy to get sorts","Z","Non-MIT","","N","","","",22-JAN-95,"D_CROSS_REG",28-OCT-24
"ZNIW","Wellesley dummy to get sorts","ZNIW-Wellesley dummy to get sorts","Z","Non-MIT","","N","","","",22-JAN-95,"D_CROSS_REG",28-OCT-24
"NIL","Lesley Coll Cross-Enroll Prog","NIL-Lesley Coll Cross-Enroll Prog","Z","Non-MIT","","N","","","",12-MAR-09,"D_CROSS_REG",28-OCT-24
"NIN","Endicott Coll Cross-Enroll Pro","NIN-Endicott Coll Cross-Enroll Pro","Z","Non-MIT","","N","","","",12-SEP-08,"D_CROSS_REG",28-OCT-24
"NIR","Brandeis Cross-Enroll Prog","NIR-Brandeis Cross-Enroll Prog","Z","Non-MIT","","N","","","",08-FEB-94,"D_CROSS_REG",28-OCT-24
"NIS","Salem State Cross-Enroll Prog","NIS-Salem State Cross-Enroll Prog","Z","Non-MIT","","N","","","",10-OCT-07,"D_CROSS_REG",28-OCT-24
"NIT","Tufts Cross-Enrollment Prog","NIT-Tufts Cross-Enrollment Prog","Z","Non-MIT","","N","","","",30-AUG-93,"D_CROSS_REG",28-OCT-24
"NIU","BU Cross-Enrollment Prog","NIU-BU Cross-Enrollment Prog","Z","Non-MIT","","N","","","",30-AUG-93,"D_CROSS_REG",28-OCT-24
"NIW","Wellesley Cross-Enrollment Pro","NIW-Wellesley Cross-Enrollment Pro","Z","Non-MIT","441000","N","","","",17-FEB-94,"D_CROSS_REG",28-OCT-24
"NIV","Visiting Research Cross-Enroll","NIV-Visiting Research Cross-Enroll","Z","Non-MIT","","N","","","",10-OCT-96,"D_CROSS_REG",28-OCT-24
"MISC","Miscellaneous (no dept code)","MISC-Miscellaneous (no dept code)","X","MIT, non-academic","","N","","","",16-MAR-94,"D_UNDEF",28-OCT-24
"N/A","Not Available","N/A-NotAvailable","NA","Not Available","","N","","","",,"D_UNDEF",28-OCT-24
"ZZZ","Dummy to get sorts","ZZZ-Dummy to get sorts","Y","MIT, academic","","N","","","",13-APR-95,"D_UNDEF",28-OCT-24
"ZZZZ","Dummy to get sorts","ZZZZ-Dummy to get sorts","Y","MIT, academic","","N","","","",13-APR-95,"D_UNDEF",28-OCT-24
"MS","Military Science (ROTC)","MS-Military Science (ROTC)","Y","MIT, academic","187500","N","","","",17-FEB-94,"D_ROTC",28-OCT-24
"NS","Naval Science (ROTC)","NS-Naval Science (ROTC)","Y","MIT, academic","187800","N","","","",17-FEB-94,"D_ROTC",28-OCT-24
"AS","Aerospace Studies (ROTC)","AS-Aerospace Studies (ROTC)","Y","MIT, academic","187100","N","","","",17-FEB-94,"D_ROTC",28-OCT-24
"ISP","Terrascope","ISP-Terrascope","Y","MIT, academic","","N","","","",11-JAN-10,"D_TERRASCOPE",28-OCT-24
"NONE","Freshmen","NONE-Freshmen","Y","MIT, academic","441000","N","","","",17-FEB-94,"D_STUDENT_FRESH",28-OCT-24
"OGE","Office of Graduate Education","OGE-Office of Graduate Education","Y","MIT, academic","","N","","","",21-MAY-21,"",28-OCT-24
"21T","Theater Arts","21T-Theater Arts","H","Hum, Arts & Social Sciences","093700","Y","","School of Humanities, Arts, and Social Sciences","",10-JAN-24,"",28-OCT-24
"DUE","Dean for Undergrad Education","DUE-Dean for Undergrad Education","Y","MIT, academic","","N","","","",29-NOV-12,"",28-OCT-24
"CSE","Computational Sci and Eng","CSE-Computational Sci and Eng","W","Schwarzman Coll of Comp","060000","Y","Program in Computational Science and Engineering","Schwarzman College of Computing","Computational Design and Optimization",30-JUL-20,"",28-OCT-24
"CDO","Computation for Des & Optmiz","CDO-Computation for Des & Optmiz","E","Engineering","060000","Y","Program in Computation for Design and Optimization","School of Engineering","",26-FEB-09,"",28-OCT-24
"ESI","Environmental Sol Initiative","ESI-Environmental Sol Initiative","Y","MIT, academic","","N","","","",11-JUL-17,"",28-OCT-24
