"HIERARCHY_TYPE","DLC_KEY","DLC_CODE","DLC_NAME","MASTER_DEPT_HIER_LEVEL_1_CODE","MASTER_DEPT_HIER_LEVEL_1_NAME","MASTER_DEPT_HIER_LEVEL_2_CODE","MASTER_DEPT_HIER_LEVEL_2_NAME","MASTER_DEPT_HIER_LEVEL_3_CODE","MASTER_DEPT_HIER_LEVEL_3_NAME","MASTER_DEPT_HIER_LEVEL_4_CODE","MASTER_DEPT_HIER_LEVEL_4_NAME","MASTER_DEPT_HIER_LEVEL_5_CODE","MASTER_DEPT_HIER_LEVEL_5_NAME"
"Standard Hierarchy","D_FACILITIES","D_FACILITIES","Department of Facilities","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FACILITIES_AR","Facilities Area","","","",""
"Standard Hierarchy","D_MITCARD","D_MITCARD","MIT Card Office","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FACILITIES_AR","Facilities Area","","","",""
"Standard Hierarchy","D_ATLAS","D_ATLAS","ATLAS SERVICE CENTER","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_INSURANCE","D_INSURANCE","Office of Insurance","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_OPENSPACE","D_OPENSPACE","Open Space Programming","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_EMMGMT","D_EMMGMT","Emergency Management","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_RESDEV","D_RESDEV","Vice President for Resource Development","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_AUDIT","D_AUDIT","Audit Division","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_POLICE","D_POLICE","MIT Police","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_IS&T","D_IS&T","Information Services and Technology","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_OBFP","D_OBFP","Office of Budget & Financial Planning","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_GRAY","D_GRAY","Gray House","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_MITIMCO","D_MITIMCO","MIT Investment Management Company","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_EXECVP","D_EXECVP","Executive Vice President's Office","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_MEDICAL","D_MEDICAL","MIT Health","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_CSS","D_CSS","Campus Servies and Stewardship","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_ALUM","D_ALUM","Alumni Association","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_OBDT","D_OBDT","Office of Business & Digital Transformation","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_THEENGINE","D_THEENGINE","The Engine","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_OGCR","D_OGCR","Office of Government and Community Relations","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_NEWCO","D_NEWCO","NewCo","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_LIDS","D_LIDS","Laboratory for Information & Decision Systems","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_TPP","D_TPP","Technology & Policy Program","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_IDSS","D_IDSS","Institute for Data, Systems, and Society","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_CSAIL","D_CSAIL","Computer Sciences and Artificial Intelligence Lab","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_CCSE","D_CCSE","Center for Computational Science and Engineering","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_SSRC","D_SSRC","Sociotechnical Systems Research Center","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_MITIBMAI","D_MITIBMAI","MIT IBM AI LABORATORY","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_SERC","D_SERC","Social & Ethical Responsibilities in  Computing","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_CBI","D_CBI","Center for Biomedical Innovation","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_DEANCOMP","D_DEANCOMP","Dean School of Computing","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_MITAMAZON","D_MITAMAZON","MIT-Amazon Science Hub","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_JCLINIC","D_JCLINIC","JCCLINIC","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_QUEST","D_QUEST","MIT Quest for Intelligence","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_COLLEGE_COMPU","Stephen A. Schwarzman College of Computing","","","",""
"Standard Hierarchy","D_STUDENT_UND","D_STUDENT_UND","UNDESIGNATED SOPHOMORE","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","","","","","",""
"Standard Hierarchy","D_OCW","D_OCW","Open Courseware","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_DL_AREA","Digital Learning Area","","","",""
"Standard Hierarchy","D_DL","D_DL","Digital Learning","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_DL_AREA","Digital Learning Area","","","",""
"Standard Hierarchy","D_EDX","D_EDX","EDX","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_DL_AREA","Digital Learning Area","","","",""
"Standard Hierarchy","D_OEIT","D_OEIT","Office of Education, Innovation and Technology","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_DL_AREA","Digital Learning Area","","","",""
"Standard Hierarchy","D_STUDENT_FRESH","D_STUDENT_FRESH","Freshman","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","","","","","",""
"Standard Hierarchy","D_SMART","D_SMART","Singapore-MIT Alliance for Res & Tech","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","","","","","",""
"Standard Hierarchy","D_OVC","D_OVC","Office of the Vice Chancellor","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_PPSC","D_PPSC","PKG Public Service Center","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_OVCOEL","D_OVCOEL","OVC Office of Experiential Learning","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_REGALL","D_REGALL","Registrar All","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_OFY","D_OFY","Office of the First Year","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_UROP","D_UROP","Undergraduate Research Opportunities Pro 441420","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_OVCHQ","D_OVCHQ","Office of the Vice Chancellor HQ","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_ISO","D_ISO","International Students Office","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_D-LAB","D_D-LAB","D-LAB","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_EDGERTON","D_EDGERTON","Edgerton Center","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OVC_AREA","Office of the Vice Chancellor's Area","","","",""
"Standard Hierarchy","D_OTHER_EXPENSE","D_OTHER_EXPENSE","Other budgeted expenses","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","","","","","",""
"Standard Hierarchy","D_INDONESIA","D_INDONESIA","INDONESIA","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_OIS","D_OIS","Office of Innovation and Strategy","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_PROVOST","D_PROVOST","Provost's Office","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_CAES","D_CAES","Center for Advanced Educational Services","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_MCGOVERN","D_MCGOVERN","McGovern Institute for Brain Research","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_CMI","D_CMI","Cambridge-MIT Institute","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_SOLVE","D_SOLVE","Solve","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_CENTRAL_PROF","D_CENTRAL_PROF","Central Professorships","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_INST_PROF","D_INST_PROF","Institute Professors","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_SUTD","D_SUTD","MIT-SUTD Collaboration","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_MASDAR","D_MASDAR","Masdar Institute","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_MITX","D_MITX","MIT ON-LINE LEARNING","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_SKOLKOVO","D_SKOLKOVO","Skolkovo","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_MITII","D_MITII","MIT INNOVATION INITIATIVE","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_OFC_PROVOST","Office of the Provost Area","","","",""
"Standard Hierarchy","D_LDDA","D_LDDA","Lab Directors & Department Admin","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_VPRES_DEPTHD","D_VPRES_DEPTHD","VP for Research Department Heads","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_ESI","D_ESI","Earth Systems Initiative","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_NRL","D_NRL","Nuclear Reactor Laboratory","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_COMPMED","D_COMPMED","Division Of Comparative Medicine","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_CMSE","D_CMSE","Center for Materials Science & Engineering","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_CLINRES","D_CLINRES","Clinical Research Center","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_BROADAFF","D_BROADAFF","Broad Affiliations","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_KI","D_KI","Koch Institute for Integrative Cancer Research","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_CEHS","D_CEHS","Center for Environmental Health Sciences","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_MAGLAB","D_MAGLAB","Francis Bitter Magnet Laboratory","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_HAYSTACK","D_HAYSTACK","Haystack Observatory","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_DEANGRAD","D_DEANGRAD","Dean Of The Grad School Office","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_HST","D_HST","Harvard-MIT Health Sciences & Technology","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_RLE","D_RLE","Research Lab Of Electronics","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_BROAD:CB","D_BROAD:CB","Broad Chemical Biology","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_VPRLL","D_VPRLL","VPR - LINCOLN LAB","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_MPC","D_MPC","Materials Processing Center","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_MTL","D_MTL","Microsystems Technology Laboratory","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_VPRESOFF","D_VPRESOFF","Vice President for Research","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_WHIT","D_WHIT","Whitaker College","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_CFELLOWS","D_CFELLOWS","Central Fellowships","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_CCTR","D_CCTR","Center for Clinical & Translational Research","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_CGC","D_CGC","Climate Grand Challenges","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_TDP","D_TDP","Technology & Development Program","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_TLO","D_TLO","OSATT - Techology Licensing Office","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","D_OSATT_AREA","Office of Strategic Alliances & Tech Transfer Area","",""
"Standard Hierarchy","D_ILP","D_ILP","OSATT - Corporate Relations","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","D_OSATT_AREA","Office of Strategic Alliances & Tech Transfer Area","",""
"Standard Hierarchy","D_STRATEG_TRANS","D_STRATEG_TRANS","OSATT - Strategic Transactions","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","D_OSATT_AREA","Office of Strategic Alliances & Tech Transfer Area","",""
"Standard Hierarchy","D_CATALYSTS","D_CATALYSTS","OSATT - Catalysts","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","D_OSATT_AREA","Office of Strategic Alliances & Tech Transfer Area","",""
"Standard Hierarchy","D_OSATT","D_OSATT","Ofc of Strategic Alliances & Tech Transfer","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","D_OSATT_AREA","Office of Strategic Alliances & Tech Transfer Area","",""
"Standard Hierarchy","D_ALLIANCE_MGMT","D_ALLIANCE_MGMT","OSATT - Alliance Management","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","D_OSATT_AREA","Office of Strategic Alliances & Tech Transfer Area","",""
"Standard Hierarchy","D_PSFC","D_PSFC","Plasma Sciences & Fusion Center","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_IPCOUNSEL","D_IPCOUNSEL","Intellectual Property Counsel","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_LFEE","D_LFEE","MIT Energy Initiative","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_RAS","D_RAS","Research Administration Services","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_ISN","D_ISN","Institute for Soldier Nanotechnologies","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_MIT.NANO","D_MIT.NANO","MIT NANO","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_MRL","D_MRL","Materials Research Laboratory","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_J-WAFS","D_J-WAFS","Abdul Latif Jameel Water and Food Systems Lab","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_BROAD","D_BROAD","The Broad Institute","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_MITEI","D_MITEI","MIT Energy Initiative","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_MITESI","D_MITESI","MIT Environmental Solutions Initiative","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_OSP","D_OSP","Office of Sponsored Programs","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_VPRES","VP Research","","","",""
"Standard Hierarchy","D_SLOAN","D_SLOAN","Sloan School of Management","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_SLOAN_SCHOOL","Sloan School Area","","","",""
"Standard Hierarchy","D_SCI_DEPTHEAD","D_SCI_DEPTHEAD","School of Science Department Heads","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_SCHOOL_SCI","School of Science","","","",""
"Standard Hierarchy","D_CSBI","D_CSBI","Computational and Systems Biology","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_SCHOOL_SCI","School of Science","","","",""
"Standard Hierarchy","D_HHMI","D_HHMI","Howard Hughes Medical Institute","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_SCHOOL_SCI","School of Science","","","",""
"Standard Hierarchy","D_CGCS","D_CGCS","Center for Global Change Science","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_SCHOOL_SCI","School of Science","","","",""
"Standard Hierarchy","D_LNS","D_LNS","Laboratory for Nuclear Science","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_SCHOOL_SCI","School of Science","","","",""
"Standard Hierarchy","D_CS3","D_CS3","Center for Sustainability Science & Strategy","D_ALL","All Departments","D_PROVOST_AREA","Provost Area","D_SCHOOL_SCI","School of Science","","","",""
