"ACADEMIC_YEAR","SUBJECT_ID","SUBJECT_CODE","SUBJECT_NUMBER","SOURCE_SUBJECT_ID","PRINT_SUBJECT_ID","IS_PRINTED_IN_BULLETIN","DEPARTMENT_CODE","DEPARTMENT_NAME","EFFECTIVE_TERM_CODE","SUBJECT_SHORT_TITLE","SUBJECT_TITLE","IS_VARIABLE_UNITS","LECTURE_UNITS","LAB_UNITS","PREPARATION_UNITS","TOTAL_UNITS","DESIGN_UNITS","GRADE_TYPE","GRADE_TYPE_DESC","GRADE_RULE","GRADE_RULE_DESC","HGN_CODE","HGN_DESC","HGN_EXCEPT","GIR_ATTRIBUTE","GIR_ATTRIBUTE_DESC","COMM_REQ_ATTRIBUTE","COMM_REQ_ATTRIBUTE_DESC","TUITION_ATTRIBUTE","TUITION_ATTRIBUTE_DESC","WRITE_REQ_ATTRIBUTE","WRITE_REQ_ATTRIBUTE_DESC","SUPERVISOR_ATTRIBUTE","SUPERVISOR_ATTRIBUTE_DESC","PREREQUISITES","SUBJECT_DESCRIPTION","JOINT_SUBJECTS","SCHOOL_WIDE_ELECTIVES","MEETS_WITH_SUBJECTS","EQUIVALENT_SUBJECTS","IS_OFFERED_THIS_YEAR","IS_OFFERED_FALL_TERM","IS_OFFERED_IAP","IS_OFFERED_SPRING_TERM","IS_OFFERED_SUMMER_TERM","FALL_INSTRUCTORS","SPRING_INSTRUCTORS","STATUS_CHANGE","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE","MASTER_SUBJECT_ID","HASS_ATTRIBUTE","HASS_ATTRIBUTE_DESC","TERM_DURATION","GLOBAL_REGIONS","GLOBAL_COUNTRIES","ON_LINE_PAGE_NUMBER"
"2002","13.701","13","701","13.701","13.701","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.702","13","702","13.702","13.702","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","11.198","11","198","11.198","11.198","N","11","Urban Studies and Planning","2002FA","IAP Special Studies","IAP Special Studies","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","N","Y","N","N","F. Levy","F. Levy","",18-JUN-01,28-OCT-24,"","","","","","",""
"2002","11.191","11","191","11.191","11.191","N","11","Urban Studies and Planning","2002FA","Supervised Readings","Supervised Readings in Urban Studies","N",3,0,6,9,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","N","N","D. O'Rourke","D. O'Rourke","",25-JAN-01,28-OCT-24,"","","","","","",""
"2002","16.NIV","16","NIV","16.NIV","16.NIV","N","16","Aeronautics and Astronautics","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","",""
"2002","15.952","15","952","15.952","15.952","N","15","Management","1989FA","Spec Studies in Management","Special Seminars in Management","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",16-JUN-95,28-OCT-24,"","","","","","",""
"2002","15.953","15","953","15.953","15.953","N","15","Management","1989FA","Spec Studies in Management","Special Seminars in Management","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",16-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.095","6","095","6.095","6.095","N","6","Electrical Eng & Computer Sci","1995FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.096","6","096","6.096","6.096","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.097","6","097","6.097","6.097","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.098","6","098","6.098","6.098","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.090","6","090","6.090","6.090","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.091","6","091","6.091","6.091","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.092","6","092","6.092","6.092","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.093","6","093","6.093","6.093","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","21M.NIV","21M","NIV","21M.NIV","21M.NIV","N","21M","Music","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","",""
"2002","SP.290","SP","290","SP.290","SP.290","N","ESG","Experimental Study Group","1989FA","ESG:Special Topics","ESG Special Topics","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",28-JUN-95,28-OCT-24,"","","","","","",""
"2002","SP.291","SP","291","SP.291","SP.291","N","ESG","Experimental Study Group","1989FA","ESG:Special Topics","ESG Special Topics","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",28-JUN-95,28-OCT-24,"","","","","","",""
"2002","SP.292","SP","292","SP.292","SP.292","N","ESG","Experimental Study Group","1989FA","ESG:Special Topics","ESG Special Topics","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",28-JUN-95,28-OCT-24,"","","","","","",""
"2002","STS.909","STS","909","STS.909","STS.909","N","STS","Science, Technology & Society","2001FA","Adv Topics: Sci, Tech, & Soc","Adv Topics: Sci, Tech, & Soc","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","H","High Graduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",12-JUL-00,28-OCT-24,"","","","","","",""
"2002","STS.NIV","STS","NIV","STS.NIV","STS.NIV","N","STS","Science, Technology & Society","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",19-FEB-99,28-OCT-24,"","","","","","",""
"2002","STS.902","STS","902","STS.902","STS.902","N","STS","Science, Technology & Society","2001FA","Adv Topics: Sci, Tech, & Soc","Adv Topics: Sci, Tech, & Soc","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","H","High Graduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",12-JUL-00,28-OCT-24,"","","","","","",""
"2002","STS.903","STS","903","STS.903","STS.903","N","STS","Science, Technology & Society","2001FA","Adv Topics: Sci, Tech, & Soc","Adv Topics: Sci, Tech, & Soc","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","H","High Graduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",12-JUL-00,28-OCT-24,"","","","","","",""
"2002","21M.THT","21M","THT","21M.THT","21M.ThT","Y","21M","Music","1996FA","Mus Pre-Thesis Tutorial","Mus Pre-Thesis Tutorial","N",1,0,5,6,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",07-MAY-03,28-OCT-24,"","","","","","",""
"2003","5.891","5","891","5.891","5.891","Y","5","Chemistry","1996FA","Spec Topics in Chem:Undergrads","Special Topics in Chemistry for Undergraduates","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","Staff","Staff","",25-MAY-06,28-OCT-24,"","","","","","",""
"2003","6.096","6","096","6.096","6.096","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.097","6","097","6.097","6.097","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.098","6","098","6.098","6.098","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.090","6","090","6.090","6.090","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.091","6","091","6.091","6.091","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.092","6","092","6.092","6.092","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.093","6","093","6.093","6.093","N","6","Electrical Eng & Computer Sci","1991FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.095","6","095","6.095","6.095","N","6","Electrical Eng & Computer Sci","1995FA","Spec Subj: EE & CS","Spec Subj: EE & CS","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","4.191","4","191","4.191","4.191","N","4","Architecture","1989FA","Spec Prob in Arch Design","Spec Prob in Arch Design","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","Y","N","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","5.81","5","81","5.81","5.81","Y","5","Chemistry","2001FA","Special Topics I","Special Topics I","N",3,0,9,12,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","N","Y","N","Staff","Staff","",12-JAN-06,28-OCT-24,"","","","","","",""
"2003","6.187","6","187","6.187","6.1856.187","Y","6","Electrical Eng & Computer Sci","2000FA","Spec Lab Subj: EE & CS","Special Laboratory Subjects in Electrical Engineering and Computer Science","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","A. C. Smith","A. C. Smith","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.188","6","188","6.188","6.188","N","6","Electrical Eng & Computer Sci","2002FA","Spec Lab Subj: EE & CS","Special Laboratory Subjects in Electrical Engineering and Computer Science","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","A. C. Smith","A. C. Smith","",16-MAY-05,28-OCT-24,"","","","","","",""
"2003","6.185","6","185","6.185","6.185","N","6","Electrical Eng & Computer Sci","2000FA","Spec Lab Subj: EE & CS","Special Laboratory Subjects in Electrical Engineering and Computer Science","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","A. C. Smith","A. C. Smith","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","6.186","6","186","6.186","6.186","N","6","Electrical Eng & Computer Sci","2000FA","Spec Lab Subj: EE & CS","Special Laboratory Subjects in Electrical Engineering and Computer Science","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","A. C. Smith","A. C. Smith","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","8.NIV","8","NIV","8.NIV","8.NIV","N","8","Physics","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","10.910","10","910","10.910","10.910","Y","10","Chemical Engineering","1995FA","Independent Research Problem","Independent Research Problem","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","C. M. Mohr","C. M. Mohr","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","12.092","12","092","12.092","12.092","Y","12","Earth, Atmos & Planetary Sci","1997FA","Special Topics in Geo & Geochm","Special Topics in Geology and Geochemistry","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","Staff","Staff","",02-SEP-01,28-OCT-24,"","","","","","",""
"2003","16.NIV","16","NIV","16.NIV","16.NIV","N","16","Aeronautics and Astronautics","1997FA","Visiting Student Research","Visiting Student Research","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","Y","","","",02-SEP-01,28-OCT-24,"","","","","","",""
"2002","3.696","3","696","3.696","3.696","N","3","Materials Science and Eng","1989FA","Teaching Mat Sci & Eng","Teaching Mat Sci & Eng","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","G","Graduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",09-MAY-03,28-OCT-24,"","","","","","",""
"2002","2.993","2","993","2.993","2.993","N","2","Mechanical Engineering","1994FA","Special Topics in Mech Eng","Special Topics in Mech Eng","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","2.994","2","994","2.994","2.994","N","2","Mechanical Engineering","1994FA","Special Topics in Mech Eng","Special Topics in Mech Eng","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","2.971","2","971","2.971","2.971","N","2","Mechanical Engineering","1993FA","Independent Activities","Independent Activities","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",27-JUL-92,28-OCT-24,"","","","","","",""
"2002","6.186","6","186","6.186","6.186","N","6","Electrical Eng & Computer Sci","2000FA","Spec Lab Subj: EE & CS","Special Laboratory Subjects in Electrical Engineering and Computer Science","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",10-FEB-99,28-OCT-24,"","","","","","",""
"2002","6.187","6","187","6.187","6.1856.187","Y","6","Electrical Eng & Computer Sci","2000FA","Spec Lab Subj: EE & CS","Special Laboratory Subjects in Electrical Engineering and Computer Science","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",03-JUN-99,28-OCT-24,"","","","","","",""
"2002","4.448","4","448","4.448","4.448","N","4","Architecture","1989FA","Spec Probs: Structural Design","Spec Probs: Structural Design","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","H","High Graduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",15-JUN-95,28-OCT-24,"","","","","","",""
"2002","6.188","6","188","6.188","6.188","N","6","Electrical Eng & Computer Sci","2002FA","Spec Lab Subj: EE & CS","Special Laboratory Subjects in Electrical Engineering and Computer Science","Y",0,0,0,0,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","N","A. C. Smith","A. C. Smith","",16-MAY-05,28-OCT-24,"","","","","","",""
"2002","5.81","5","81","5.81","5.81","Y","5","Chemistry","2001FA","Special Topics I","Special Topics I","N",3,0,9,12,0,"L","Letter graded","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",12-JAN-06,28-OCT-24,"","","","","","",""
"2002","5.891","5","891","5.891","5.891","Y","5","Chemistry","1996FA","Spec Topics in Chem:Undergrads","Special Topics in Chemistry for Undergraduates","Y",0,0,0,0,0,"P","P/D/F","R","Can be repeated for credit","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-MAY-06,28-OCT-24,"","","","","","",""
"2002","13.703","13","703","13.703","13.703","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.704","13","704","13.704","13.704","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.705","13","705","13.705","13.705","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.706","13","706","13.706","13.706","N","13","Ocean Engineering","1989FA","Spec Probs: Ocean Engineering","Spec Probs: Ocean Engineering","Y",0,0,0,0,0,"L","Letter graded","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.693","13","693","13.693","13.693","N","13","Ocean Engineering","1994FA","Spec Probs: Ocean Engineering","Special Problems in Ocean Engineering","Y",0,0,0,0,0,"P","P/D/F","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.694","13","694","13.694","13.694","N","13","Ocean Engineering","1994FA","Spec Probs: Ocean Engineering","Special Problems in Ocean Engineering","Y",0,0,0,0,0,"P","P/D/F","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.695","13","695","13.695","13.695","N","13","Ocean Engineering","1994FA","Spec Probs: Ocean Engineering","Special Problems in Ocean Engineering","Y",0,0,0,0,0,"P","P/D/F","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.696","13","696","13.696","13.696","N","13","Ocean Engineering","1994FA","Spec Probs: Ocean Engineering","Special Problems in Ocean Engineering","Y",0,0,0,0,0,"P","P/D/F","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
"2002","13.697","13","697","13.697","13.697","N","13","Ocean Engineering","1994FA","Spec Probs: Ocean Engineering","Special Problems in Ocean Engineering","Y",0,0,0,0,0,"P","P/D/F","J","Continuing and Repeatable","U","Undergraduate","","","","","","","","","","","","","","","","","","","N","N","N","N","","","",25-JAN-05,28-OCT-24,"","","","","","",""
