"FCLT_ROOM_KEY","BUILDING_ROOM","FCLT_BUILDING_KEY","FLOOR","FCLT_FLOOR_KEY","ROOM","SPACE_ID","FCLT_MAJOR_USE_KEY","MAJOR_USE_DESC","FCLT_USE_KEY","USE_DESC","FCLT_MINOR_USE_KEY","MINOR_USE_DESC","FCLT_ORGANIZATION_KEY","ORGANIZATION_NAME","FCLT_MINOR_ORGANIZATION_KEY","MINOR_ORGANIZATION","AREA","ROOM_FULL_NAME","DEPT_CODE","ACCESS_LEVEL","LATITUDE_WGS","LONGITUDE_WGS","NORTHING_SPCS","EASTING_SPCS","WAREHOUSE_LOAD_DATE"
"46-1004AE","46-1004AE","46","1","46-1","1004AE","46-1-1004AE","107","MECHANIC","153","ELEC","","","149","DOF","","",62.28,"","","0",,,,,28-OCT-24
"46-1004E","46-1004E","46","1","46-1","1004E","46-1-1004E","107","MECHANIC","153","ELEC","","","149","DOF","","",2309.47,"","","0",,,,,28-OCT-24
"46-100Z","46-100Z","46","1","46-1","100Z","46-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",303.05,"","","0",,,,,28-OCT-24
"46-1012J","46-1012J","46","1","46-1","1012J","46-1-1012J","101","BLDG SRV","197","CUS CL","","","149","DOF","","",32.1,"","","1",,,,,28-OCT-24
"46-1013","46-1013","46","1","46-1","1013","46-1-1013","107","MECHANIC","156","U/M","","","149","DOF","","",143.51,"","","0",,,,,28-OCT-24
"46-1026A","46-1026A","46","1","46-1","1026A","46-1-1026A","107","MECHANIC","156","U/M","","","149","DOF","","",120.43,"","","0",,,,,28-OCT-24
"46-1033","46-1033","46","1","46-1","1033","46-1-1033","107","MECHANIC","156","U/M","","","149","DOF","","",394.9,"","","0",,,,,28-OCT-24
"46-1037","46-1037","46","1","46-1","1037","46-1-1037","107","MECHANIC","156","U/M","","","149","DOF","","",69.35,"","","0",,,,,28-OCT-24
"46-1037A","46-1037A","46","1","46-1","1037A","46-1-1037A","107","MECHANIC","156","U/M","","","149","DOF","","",216.64,"","","0",,,,,28-OCT-24
"46-1107E","46-1107E","46","1","46-1","1107E","46-1-1107E","107","MECHANIC","153","ELEC","","","149","DOF","","",119.75,"","","0",,,,,28-OCT-24
"46-1110A","46-1110A","46","1","46-1","1110A","46-1-1110A","101","BLDG SRV","202","CUS ST","","","149","DOF","","",31.01,"","","1",,,,,28-OCT-24
"46-1130E","46-1130E","46","1","46-1","1130E","46-1-1130E","107","MECHANIC","153","ELEC","","","149","DOF","","",82.39,"","","0",,,,,28-OCT-24
"46-1132T","46-1132T","46","1","46-1","1132T","46-1-1132T","107","MECHANIC","155","TELE","","","149","DOF","","",75.45,"","","0",,,,,28-OCT-24
"46-1135","46-1135","46","1","46-1","1135","46-1-1135","101","BLDG SRV","202","CUS ST","","","149","DOF","","",261.71,"","","1",,,,,28-OCT-24
"46-1139","46-1139","46","1","46-1","1139","46-1-1139","107","MECHANIC","156","U/M","","","149","DOF","","",149.46,"","","0",,,,,28-OCT-24
"46-1139A","46-1139A","46","1","46-1","1139A","46-1-1139A","107","MECHANIC","156","U/M","","","149","DOF","","",26.43,"","","0",,,,,28-OCT-24
"46-1139B","46-1139B","46","1","46-1","1139B","46-1-1139B","107","MECHANIC","156","U/M","","","149","DOF","","",71.9,"","","0",,,,,28-OCT-24
"50-100E1","50-100E1","50","1","50-1","100E1","50-1-100E1","102","CIRCULAT","110","ELEV","","","149","DOF","","",51.33,"","","3",,,,,28-OCT-24
"50-100E2","50-100E2","50","1","50-1","100E2","50-1-100E2","102","CIRCULAT","110","ELEV","","","149","DOF","","",14.64,"","","3",,,,,28-OCT-24
"50-100LA","50-100LA","50","1","50-1","100LA","50-1-100LA","102","CIRCULAT","111","LOBBY","","","149","DOF","","",913.15,"","","3",,,,,28-OCT-24
"50-100LB","50-100LB","50","1","50-1","100LB","50-1-100LB","102","CIRCULAT","111","LOBBY","","","149","DOF","","",302.6,"","","3",,,,,28-OCT-24
"50-100LC","50-100LC","50","1","50-1","100LC","50-1-100LC","102","CIRCULAT","111","LOBBY","","","149","DOF","","",762.95,"","","3",,,,,28-OCT-24
"50-100SA","50-100SA","50","1","50-1","100SA","50-1-100SA","102","CIRCULAT","112","STAIR","","","149","DOF","","",182.73,"","","3",,,,,28-OCT-24
"50-100SB","50-100SB","50","1","50-1","100SB","50-1-100SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",184.44,"","","3",,,,,28-OCT-24
"50-100SC","50-100SC","50","1","50-1","100SC","50-1-100SC","102","CIRCULAT","112","STAIR","","","149","DOF","","",99.82,"","","3",,,,,28-OCT-24
"50-100SD","50-100SD","50","1","50-1","100SD","50-1-100SD","102","CIRCULAT","112","STAIR","","","149","DOF","","",46.58,"","","3",,,,,28-OCT-24
"50-100SE","50-100SE","50","1","50-1","100SE","50-1-100SE","102","CIRCULAT","112","STAIR","","","149","DOF","","",104.03,"","","3",,,,,28-OCT-24
"50-100Z","50-100Z","50","1","50-1","100Z","50-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",612.77,"","","0",,,,,28-OCT-24
"50-112","50-112","50","1","50-1","112","50-1-112","101","BLDG SRV","107","PB LAV","","","149","DOF","","",58.72,"","","3",,,,,28-OCT-24
"50-150A","50-150A","50","1","50-1","150A","50-1-150A","101","BLDG SRV","202","CUS ST","","","149","DOF","","",95.1,"","","1",,,,,28-OCT-24
"50-150B","50-150B","50","1","50-1","150B","50-1-150B","101","BLDG SRV","202","CUS ST","","","149","DOF","","",96.25,"","","1",,,,,28-OCT-24
"55-100CA","55-100CA","55","1","55-1","100CA","55-1-100CA","102","CIRCULAT","109","CORR","","","149","DOF","","",118.59,"","","1",,,,,28-OCT-24
"55-100CB","55-100CB","55","1","55-1","100CB","55-1-100CB","102","CIRCULAT","109","CORR","","","149","DOF","","",1247.4,"","","1",,,,,28-OCT-24
"55-100E5","55-100E5","55","1","55-1","100E5","55-1-100E5","102","CIRCULAT","110","ELEV","","","149","DOF","","",38.35,"","","1",,,,,28-OCT-24
"55-100LA","55-100LA","55","1","55-1","100LA","55-1-100LA","102","CIRCULAT","111","LOBBY","","","149","DOF","","",277.88,"","","1",,,,,28-OCT-24
"55-100SB","55-100SB","55","1","55-1","100SB","55-1-100SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",110.69,"","","1",,,,,28-OCT-24
"55-100SD","55-100SD","55","1","55-1","100SD","55-1-100SD","102","CIRCULAT","112","STAIR","","","149","DOF","","",371.93,"","","1",,,,,28-OCT-24
"55-100SE","55-100SE","55","1","55-1","100SE","55-1-100SE","102","CIRCULAT","112","STAIR","","","149","DOF","","",67.37,"","","1",,,,,28-OCT-24
"55-100SEM","55-100SEM","55","1","55-1","100SEM","55-1-100SEM","102","CIRCULAT","112","STAIR","","","149","DOF","","",53.26,"","","1",,,,,28-OCT-24
"55-100Z","55-100Z","55","1","55-1","100Z","55-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",602.76,"","","1",,,,,28-OCT-24
"62W-100Z","62W-100Z","62W","1","62W-1","100Z","62W-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",97.14,"","","0",,,,,28-OCT-24
"64W-100Z","64W-100Z","64W","1","64W-1","100Z","64W-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",7.4,"","","0",,,,,28-OCT-24
"76-194Z","76-194Z","76","1","76-1","194Z","76-1-194Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",273.32,"","","0",,,,,28-OCT-24
"E1-116B","E1-116B","E1","1","E1-1","116B","E1-1-116B","107","MECHANIC","156","U/M","","","149","DOF","","",3.03,"","","0",,,,,28-OCT-24
"E14-100CA","E14-100CA","E14","1","E14-1","100CA","E14-1-100CA","102","CIRCULAT","109","CORR","","","149","DOF","","",1616.69,"","","3",,,,,28-OCT-24
"E14-100E1","E14-100E1","E14","1","E14-1","100E1","E14-1-100E1","102","CIRCULAT","110","ELEV","","","149","DOF","","",49.33,"","","3",,,,,28-OCT-24
"E14-100E2","E14-100E2","E14","1","E14-1","100E2","E14-1-100E2","102","CIRCULAT","110","ELEV","","","149","DOF","","",49.33,"","","3",,,,,28-OCT-24
"E14-100E3","E14-100E3","E14","1","E14-1","100E3","E14-1-100E3","102","CIRCULAT","110","ELEV","","","149","DOF","","",55.47,"","","3",,,,,28-OCT-24
"E14-100E4","E14-100E4","E14","1","E14-1","100E4","E14-1-100E4","102","CIRCULAT","110","ELEV","","","149","DOF","","",161.44,"","","3",,,,,28-OCT-24
"E14-100LA","E14-100LA","E14","1","E14-1","100LA","E14-1-100LA","102","CIRCULAT","111","LOBBY","","","149","DOF","","",7312.31,"","","3",,,,,28-OCT-24
"E14-100SA","E14-100SA","E14","1","E14-1","100SA","E14-1-100SA","102","CIRCULAT","112","STAIR","","","149","DOF","","",504.56,"","","3",,,,,28-OCT-24
"E14-100SB","E14-100SB","E14","1","E14-1","100SB","E14-1-100SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",403.5,"","","3",,,,,28-OCT-24
"E14-100SC","E14-100SC","E14","1","E14-1","100SC","E14-1-100SC","102","CIRCULAT","112","STAIR","","","149","DOF","","",166.16,"","","3",,,,,28-OCT-24
"E14-100SE","E14-100SE","E14","1","E14-1","100SE","E14-1-100SE","102","CIRCULAT","112","STAIR","","","149","DOF","","",241.9,"","","3",,,,,28-OCT-24
"E14-100Z","E14-100Z","E14","1","E14-1","100Z","E14-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",1601.93,"","","0",,,,,28-OCT-24
"E14-102","E14-102","E14","1","E14-1","102","E14-1-102","107","MECHANIC","156","U/M","","","149","DOF","","",90.89,"","","0",,,,,28-OCT-24
"E14-140E","E14-140E","E14","1","E14-1","140E","E14-1-140E","107","MECHANIC","153","ELEC","","","149","DOF","","",79.41,"","","0",,,,,28-OCT-24
"E14-140T","E14-140T","E14","1","E14-1","140T","E14-1-140T","107","MECHANIC","155","TELE","","","149","DOF","","",286.74,"","","0",,,,,28-OCT-24
"E14-151E","E14-151E","E14","1","E14-1","151E","E14-1-151E","107","MECHANIC","153","ELEC","","","149","DOF","","",72.31,"","","0",,,,,28-OCT-24
"E14-174Z","E14-174Z","E14","1","E14-1","174Z","E14-1-174Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",18.76,"","","0",,,,,28-OCT-24
"E14-186E","E14-186E","E14","1","E14-1","186E","E14-1-186E","107","MECHANIC","153","ELEC","","","149","DOF","","",97.35,"","","0",,,,,28-OCT-24
"E14-187J","E14-187J","E14","1","E14-1","187J","E14-1-187J","101","BLDG SRV","197","CUS CL","","","149","DOF","","",33.23,"","","1",,,,,28-OCT-24
"E14-187T","E14-187T","E14","1","E14-1","187T","E14-1-187T","107","MECHANIC","155","TELE","","","149","DOF","","",43.81,"","","0",,,,,28-OCT-24
"E14-189","E14-189","E14","1","E14-1","189","E14-1-189","101","BLDG SRV","102","F LAV","","","149","DOF","","",187.57,"","","3",,,,,28-OCT-24
"E14-190","E14-190","E14","1","E14-1","190","E14-1-190","101","BLDG SRV","106","M LAV","","","149","DOF","","",188.72,"","","3",,,,,28-OCT-24
"E14-196E","E14-196E","E14","1","E14-1","196E","E14-1-196E","107","MECHANIC","153","ELEC","","","149","DOF","","",41.65,"","","0",,,,,28-OCT-24
"E14-196EA","E14-196EA","E14","1","E14-1","196EA","E14-1-196EA","107","MECHANIC","156","U/M","","","149","DOF","","",36.82,"","","0",,,,,28-OCT-24
"E15-100CA","E15-100CA","E15","1","E15-1","100CA","E15-1-100CA","102","CIRCULAT","109","CORR","","","149","DOF","","",119.26,"","","3",,,,,28-OCT-24
"E15-100CB","E15-100CB","E15","1","E15-1","100CB","E15-1-100CB","102","CIRCULAT","109","CORR","","","149","DOF","","",653.5,"","","3",,,,,28-OCT-24
"E15-100CD","E15-100CD","E15","1","E15-1","100CD","E15-1-100CD","102","CIRCULAT","109","CORR","","","149","DOF","","",116.5,"","","3",,,,,28-OCT-24
"E15-100E1","E15-100E1","E15","1","E15-1","100E1","E15-1-100E1","102","CIRCULAT","110","ELEV","","","149","DOF","","",49.41,"","","3",,,,,28-OCT-24
"E15-100E2","E15-100E2","E15","1","E15-1","100E2","E15-1-100E2","102","CIRCULAT","110","ELEV","","","149","DOF","","",49.88,"","","3",,,,,28-OCT-24
"E15-100E3","E15-100E3","E15","1","E15-1","100E3","E15-1-100E3","102","CIRCULAT","110","ELEV","","","149","DOF","","",67.54,"","","3",,,,,28-OCT-24
"E15-100LA","E15-100LA","E15","1","E15-1","100LA","E15-1-100LA","102","CIRCULAT","111","LOBBY","","","149","DOF","","",3567.15,"","","3",,,,,28-OCT-24
"E15-100SA","E15-100SA","E15","1","E15-1","100SA","E15-1-100SA","102","CIRCULAT","112","STAIR","","","149","DOF","","",218.92,"","","3",,,,,28-OCT-24
"E15-100SB","E15-100SB","E15","1","E15-1","100SB","E15-1-100SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",158.83,"","","3",,,,,28-OCT-24
"E15-100SC","E15-100SC","E15","1","E15-1","100SC","E15-1-100SC","102","CIRCULAT","112","STAIR","","","149","DOF","","",153.19,"","","3",,,,,28-OCT-24
"E15-100SD","E15-100SD","E15","1","E15-1","100SD","E15-1-100SD","102","CIRCULAT","112","STAIR","","","149","DOF","","",247.11,"","","3",,,,,28-OCT-24
"E15-100Z","E15-100Z","E15","1","E15-1","100Z","E15-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",608.47,"","","0",,,,,28-OCT-24
"E15-140E","E15-140E","E15","1","E15-1","140E","E15-1-140E","107","MECHANIC","153","ELEC","","","149","DOF","","",34.97,"","","0",,,,,28-OCT-24
"E15-140J","E15-140J","E15","1","E15-1","140J","E15-1-140J","101","BLDG SRV","197","CUS CL","","","149","DOF","","",13.69,"","","1",,,,,28-OCT-24
"E15-140T","E15-140T","E15","1","E15-1","140T","E15-1-140T","107","MECHANIC","155","TELE","","","149","DOF","","",38.92,"","","0",,,,,28-OCT-24
"E15-143AM","E15-143AM","E15","1","E15-1","143AM","E15-1-143AM","107","MECHANIC","156","U/M","","","149","DOF","","",138.02,"","","0",,,,,28-OCT-24
"E15-163E","E15-163E","E15","1","E15-1","163E","E15-1-163E","107","MECHANIC","153","ELEC","","","149","DOF","","",55.52,"","","0",,,,,28-OCT-24
"E15-195J","E15-195J","E15","1","E15-1","195J","E15-1-195J","101","BLDG SRV","197","CUS CL","","","149","DOF","","",28.98,"","","1",,,,,28-OCT-24
"E15-196E","E15-196E","E15","1","E15-1","196E","E15-1-196E","107","MECHANIC","153","ELEC","","","149","DOF","","",33.51,"","","0",,,,,28-OCT-24
"E15-198","E15-198","E15","1","E15-1","198","E15-1-198","101","BLDG SRV","102","F LAV","","","149","DOF","","",149.42,"","","3",,,,,28-OCT-24
"E15-199","E15-199","E15","1","E15-1","199","E15-1-199","101","BLDG SRV","106","M LAV","","","149","DOF","","",150.07,"","","3",,,,,28-OCT-24
"E17-100CA","E17-100CA","E17","1","E17-1","100CA","E17-1-100CA","102","CIRCULAT","109","CORR","","","149","DOF","","",908,"","","3",,,,,28-OCT-24
"E17-100E1","E17-100E1","E17","1","E17-1","100E1","E17-1-100E1","102","CIRCULAT","110","ELEV","","","149","DOF","","",80.36,"","","3",,,,,28-OCT-24
"E17-100LA","E17-100LA","E17","1","E17-1","100LA","E17-1-100LA","102","CIRCULAT","111","LOBBY","","","149","DOF","","",1254.55,"","","3",,,,,28-OCT-24
"E17-100LC","E17-100LC","E17","1","E17-1","100LC","E17-1-100LC","102","CIRCULAT","111","LOBBY","","","149","DOF","","",67.35,"","","3",,,,,28-OCT-24
"E17-100SA","E17-100SA","E17","1","E17-1","100SA","E17-1-100SA","102","CIRCULAT","112","STAIR","","","149","DOF","","",119.69,"","","3",,,,,28-OCT-24
"E17-100SB","E17-100SB","E17","1","E17-1","100SB","E17-1-100SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",123.16,"","","3",,,,,28-OCT-24
"E17-100Z","E17-100Z","E17","1","E17-1","100Z","E17-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",99.13,"","","0",,,,,28-OCT-24
"E17-111E","E17-111E","E17","1","E17-1","111E","E17-1-111E","107","MECHANIC","153","ELEC","","","149","DOF","","",26.48,"","","0",,,,,28-OCT-24
"E17-113E","E17-113E","E17","1","E17-1","113E","E17-1-113E","107","MECHANIC","153","ELEC","","","149","DOF","","",7.75,"","","0",,,,,28-OCT-24
"E17-119","E17-119","E17","1","E17-1","119","E17-1-119","101","BLDG SRV","102","F LAV","","","149","DOF","","",198.01,"","","3",,,,,28-OCT-24
"E17-120","E17-120","E17","1","E17-1","120","E17-1-120","101","BLDG SRV","106","M LAV","","","149","DOF","","",175.68,"","","3",,,,,28-OCT-24
"E17-128E","E17-128E","E17","1","E17-1","128E","E17-1-128E","107","MECHANIC","153","ELEC","","","149","DOF","","",20.91,"","","0",,,,,28-OCT-24
"E17-129A","E17-129A","E17","1","E17-1","129A","E17-1-129A","107","MECHANIC","156","U/M","","","149","DOF","","",97.56,"","","0",,,,,28-OCT-24
"E17-129AA","E17-129AA","E17","1","E17-1","129AA","E17-1-129AA","107","MECHANIC","156","U/M","","","149","DOF","","",15.53,"","","0",,,,,28-OCT-24
"E17-129AZ","E17-129AZ","E17","1","E17-1","129AZ","E17-1-129AZ","107","MECHANIC","154","SHAFT","","","149","DOF","","",120.12,"","","0",,,,,28-OCT-24
"E18-100Z","E18-100Z","E18","1","E18-1","100Z","E18-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",139.8,"","","0",,,,,28-OCT-24
"E18-170E","E18-170E","E18","1","E18-1","170E","E18-1-170E","107","MECHANIC","153","ELEC","","","149","DOF","","",20.44,"","","0",,,,,28-OCT-24
"E18-175E","E18-175E","E18","1","E18-1","175E","E18-1-175E","107","MECHANIC","153","ELEC","","","149","DOF","","",31.63,"","","0",,,,,28-OCT-24
"E19-100CA","E19-100CA","E19","1","E19-1","100CA","E19-1-100CA","102","CIRCULAT","109","CORR","","","149","DOF","","",1856.08,"","","3",,,,,28-OCT-24
"E19-100E1","E19-100E1","E19","1","E19-1","100E1","E19-1-100E1","102","CIRCULAT","110","ELEV","","","149","DOF","","",69.06,"","","3",,,,,28-OCT-24
"E19-100E2","E19-100E2","E19","1","E19-1","100E2","E19-1-100E2","102","CIRCULAT","110","ELEV","","","149","DOF","","",66.61,"","","3",,,,,28-OCT-24
"E19-100E3","E19-100E3","E19","1","E19-1","100E3","E19-1-100E3","102","CIRCULAT","110","ELEV","","","149","DOF","","",65.39,"","","3",,,,,28-OCT-24
"E19-100E4","E19-100E4","E19","1","E19-1","100E4","E19-1-100E4","102","CIRCULAT","110","ELEV","","","149","DOF","","",83.88,"","","3",,,,,28-OCT-24
"E19-100E5","E19-100E5","E19","1","E19-1","100E5","E19-1-100E5","102","CIRCULAT","110","ELEV","","","149","DOF","","",73.71,"","","3",,,,,28-OCT-24
"E19-100LA","E19-100LA","E19","1","E19-1","100LA","E19-1-100LA","102","CIRCULAT","111","LOBBY","","","149","DOF","","",292.5,"","","3",,,,,28-OCT-24
"E19-100LB","E19-100LB","E19","1","E19-1","100LB","E19-1-100LB","102","CIRCULAT","111","LOBBY","","","149","DOF","","",129,"","","3",,,,,28-OCT-24
"E19-100LC","E19-100LC","E19","1","E19-1","100LC","E19-1-100LC","102","CIRCULAT","111","LOBBY","","","149","DOF","","",822.22,"","","3",,,,,28-OCT-24
"E19-100LD","E19-100LD","E19","1","E19-1","100LD","E19-1-100LD","102","CIRCULAT","111","LOBBY","","","149","DOF","","",269.8,"","","3",,,,,28-OCT-24
"E19-100SA","E19-100SA","E19","1","E19-1","100SA","E19-1-100SA","102","CIRCULAT","112","STAIR","","","149","DOF","","",123.25,"","","3",,,,,28-OCT-24
"E19-100SB","E19-100SB","E19","1","E19-1","100SB","E19-1-100SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",154.43,"","","3",,,,,28-OCT-24
"E19-100SC","E19-100SC","E19","1","E19-1","100SC","E19-1-100SC","102","CIRCULAT","112","STAIR","","","149","DOF","","",122.83,"","","3",,,,,28-OCT-24
"E19-100Z","E19-100Z","E19","1","E19-1","100Z","E19-1-100Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",408.24,"","","0",,,,,28-OCT-24
"E19-107E","E19-107E","E19","1","E19-1","107E","E19-1-107E","107","MECHANIC","153","ELEC","","","149","DOF","","",10.15,"","","0",,,,,28-OCT-24
"E19-118","E19-118","E19","1","E19-1","118","E19-1-118","101","BLDG SRV","106","M LAV","","","149","DOF","","",203.35,"","","3",,,,,28-OCT-24
"E19-118E","E19-118E","E19","1","E19-1","118E","E19-1-118E","107","MECHANIC","153","ELEC","","","149","DOF","","",15.13,"","","0",,,,,28-OCT-24
"E19-118J","E19-118J","E19","1","E19-1","118J","E19-1-118J","101","BLDG SRV","197","CUS CL","","","149","DOF","","",21.22,"","","1",,,,,28-OCT-24
"E19-142E","E19-142E","E19","1","E19-1","142E","E19-1-142E","107","MECHANIC","153","ELEC","","","149","DOF","","",25.35,"","","0",,,,,28-OCT-24
"E19-151","E19-151","E19","1","E19-1","151","E19-1-151","107","MECHANIC","156","U/M","","","149","DOF","","",97.53,"","","0",,,,,28-OCT-24
"E23-138E","E23-138E","E23","1","E23-1","138E","E23-1-138E","107","MECHANIC","153","ELEC","","","149","DOF","","",1.89,"","","0",,,,,28-OCT-24
"E23-138T","E23-138T","E23","1","E23-1","138T","E23-1-138T","107","MECHANIC","155","TELE","","","149","DOF","","",26.66,"","","0",,,,,28-OCT-24
