"LIBRARY_COURSE_INSTRUCTOR_KEY","COURSE_NAME","INSTRUCTOR_NAME","DEPARTMENT","DATE_FROM","DATE_TO","UNIT_CODE","UNIT","WAREHOUSE_LOAD_DATE"
"21F.471-WEISE2011FA:21F.471","German I","Weise, P.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.474-CROCKER2011FA:21F.474","German IV","Crocker, E.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.501-NAGAYA2011FA:21F.501","Japanese I","Nagaya, Y.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.503-NAGAYA2011FA:21F.503","Japanese III","Nagaya, Y.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.505-NAGAYA2011FA:21F.505","Japanese V","Nagaya, Yoshimi","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.551-NAGAYA2011FA:21F.551","Japanese I","Nagaya, Y.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.573-NAGAYA2011FA:21F.573","Japanese III - Globalization","Nagaya, Y.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.575-NAGAYA2011FA:21F.575","Japanese V","Nagaya, Yoshimi","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.593-CONDRY2011FA:21F.593","Japanese Lit & Cinema","Condry, Ian","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.701-GROEGER2011FA:21F.701","Spanish I","Groeger, M.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.701-SOTO2011FA:21F.701","Spanish I","Soto, Lissette","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.702-SOTO2011FA:21F.702","Spanish II","Soto, L.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.703-MORGENSTERN2011FA:21F.703","Spanish III","Morgenstern, D.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.704-GROEGER2011FA:21F.704","Spanish IV","Groeger, M.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.712-MORGENSTERN2011FA:21F.712","Spanish Conversation and Composition","Morgenstern, D.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.713-GARRELS2011FA:21F.713","Hispanic Visual Art Lit & Film","Garrels, Elizabeth","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.731-GARRELS2011FA:21F.731","Creation of a Continent","Garrels, E.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.735-RAMOS2011FA:21F.735","Adv Top: Hispanic Lit & Film","Ramos, Carlos","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.751-SOTO2011FA:21F.751","Spanish I","Soto, Lissette","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.752-SOTO2011FA:21F.752","Spanish II","Soto, L.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.771-SOTO2011FA:21F.771","Spanish I - Globalization","Soto,L.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.772-SOTO2011FA:21F.772","Spanish II","Soto, Lissette","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.773-MORGENSTERN2011FA:21F.773","Spanish III - Globalization","Morgenstern, D.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.774-GROEGER2011FA:21F.774","Spanish IV","Groeger, M.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.792-MORGENSTERN2011FA:21F.792","Spanish Conversation and Composition","Morgenstern, D.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.801-DOMINIQUE2011FA:21F.801","Portuguese I","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.851-DOMINIQUE2011FA:21F.851","Portuguese I","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.855-DOMINIQUE2011FA:21F.855","Accel Beg Portuguese Spnsh Spk","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.880-DOMINIQUE2011FA:21F.880","Accel Beg Portuguese Spnsh Spk","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"4.286-JARZOMBEK2008SP:4.286","Sustainable Architecture Seminar","Jarzombek and Gonzalez","Architecture",11-FEB-08,31-MAY-08,"N/A","N/A",09-MAY-08
"4.291-GOETHERT2008SP:4.291","The Future Professional:Third World Urban Challenges","Geothert, R.","Architecture",31-MAR-08,31-MAY-08,"N/A","N/A",09-MAY-08
"4.295-METHROTRA2008SP:4.295","Asia Modern: Architecture and Urbanism","Methrotra, Raoul","Architecture",18-FEB-08,31-MAY-08,"N/A","N/A",09-MAY-08
"3.22-DEMKOWICZ2011SP:3.22","Mechanical Behavior of Materials","Demkowicz, M.","3 - Materials Science and Eng",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"3.53-SADOWAY2011SP:3.53","Electrochem Processng of Mtls","Sadoway, Donald","3 - Materials Science and Eng",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"3.54-BALLINGER2011SP:3.54","Corrosion:Degradation of Mtls","Ballinger, Ronald","3 - Materials Science and Eng",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"3.595-GIBSON2011SP:3.595","Sp Probs: Strctl & Envrnt Mats","Gibson, Lorna","3 - Materials Science and Eng",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"3.80-ROSENFIELD2011SP:3.80","Global Oper Ldrship Sem","Rosenfield, Donald","3 - Materials Science and Eng",31-JAN-11,05-JUN-11,"DEW","Dewey",06-MAY-11
"4.113-TIBBITS2011SP:4.113","Applied Architecture Design Studio I","Tibbets/Gelpi","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.115-KANDA2011SP:4.115","Applied Architecture Design Studio 3","Kanda,Shun","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.181-GELPI2011SP:4.181","Architectural Design Workshops-Collage","Gelpi, Nick","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.211-SPIRN2011SP:4.211","The City","Spirn, Anne","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.285-GHOSEN2011SP:4.285","Research Topics: Arch Studies","Ghosen","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.341-FRANK2011SP:4.341","Intro to Photo & Related Media","Frank, Andrea","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.343-FRANK2011SP:4.343","Photography and Related Media","Frank, Andrea","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.360-BELL2011SP:4.360","Performance Workshop","Bell, John","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.423-GLICKSMAN2011SP:4.423","Arch Thermal & Fluid Dynamics","Glicksman, Leon","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.440-OCHSENDORF2011SP:4.440","Basic Structural Theory","Ochsendorf, John","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.449-OCHSENDORF2011SP:4.449"," Special Problems in Structural Design ?? Analysis of Historic Structures","Ochsendorf, John","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.462-OCHSENDORF2011SP:4.462","Building Technology II - Structural Systems I","Ochsendorf, John","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.464-NORFORD2011SP:4.464","Energy in Building Design","Norford, Leslie","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.602-JONES2011SP:4.602","Modern Art and Mass Culture","Jones, Caroline","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.605-FRIEDMAN2011SP:4.605","Intro to Hist + Theory of Arch","Friedman, David","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.609-LIANG2011SP:4.609","Seminar: Hist of Art & Arch","Liang, Samual","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.616-RABBAT2011SP:4.616","Cultural Signification in Arch","Rabbat, Nasser","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.623-PARODI2011SP:4.623","Mughal Landscapes","Parodi, Laura","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.627-RABBAT2011SP:4.627","Cairo: The History of a Metropolis","Rabbat, Nasser","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.640-DUTTA2011SP:4.640","Advanced Study in Critical Theory of Architecture","Dutta, Arindam","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.655-ANDERSON2011SP:4.655","Advanced Study in Modern Architecture","Anderson, Stanford","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.662-LIANG2011SP:4.662","Asian Metropolises: Sites of Ritual, Spaces of Modernity","Liang, Samuel","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.672-JONES2011SP:4.672","Installation Art","Jones, Caroline","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"4.673-JONES2011SP:4.673","Installation Art","Jones, Caroline","4 - Architecture",31-JAN-11,05-JUN-11,"RTC","Rotch",06-MAY-11
"5.03-CUMMINS2011SP:5.03","Principles of Inorganic Chemistry I","Cummins","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.05-CUMMINS2011SP:5.05","Princ: Inorganic Chemistry III","Cummins, Christopher","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.068-LIPPARD2011SP:5.068","Physical Inorganic Chemistry","Lippard, S","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.069-MUELLER2011SP:5.069","Crystal Structure Analysis","Mueller","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.08-TING2011SP:5.08","Biological Chemistry II","Ting","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.111-BAWENDI2011SP:5.111","Principles of Chemical Science","Bawendi, Moungi","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.12-DANHEISER2011SP:5.12","Organic Chemistry I","Danheiser, Rick","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.310-DOLHUN2011SP:5.310","Laboratory Chemistry","Dolhun, J.","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.36-DANHEISER2011SP:5.36","Biochemistry & Organic Lab","Danheiser","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"5.45-BUCHWALD2011SP:5.45","Heterocyclic Chemistry","Buchwald, S.L.","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"21F.772-SOTO2010SU:21F.772","Spanish II","Soto, Lissette","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"5.46-SIMPSON2011SP:5.46","NMR & Organic Structure Determ","Simpson, Jeffrey","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"21F.773-MORGENSTERN2010SU:21F.773","Spanish III - Globalization","Morgenstern, D.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"5.512-JAMISON2011SP:5.512","Synthetic Organic Chemistry II","Jamison, Timothy","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"21F.774-GROEGER2010SU:21F.774","Spanish IV","Groeger, M.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"5.60-SILBEY2011SP:5.60","Thermodynamics and Kinetics","Silbey, R.","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"21F.792-MORGENSTERN2010SU:21F.792","Spanish Conversation and Composition","Morgenstern, D.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"5.61-FIELD2011SP:5.61","Quantum Mechanics","Field","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"21F.801-DOMINIQUE2010SU:21F.801","Portuguese I","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"5.62-FIELD2011SP:5.62","Physical Chemistry","Field, Robert","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"21F.851-DOMINIQUE2010SU:21F.851","Portuguese I","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"5.64-TOKMAKOFF2011SP:5.64","Biophysical Chemistry","Tokmakoff, A.","5 - Chemistry",31-JAN-11,05-JUN-11,"Hayden","Hayden",06-MAY-11
"21F.855-DOMINIQUE2010SU:21F.855","Accel Beg Portuguese Spnsh Spk","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21F.880-DOMINIQUE2010SU:21F.880","Accel Beg Portuguese Spnsh Spk","Dominique, Nilma","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.101-MAIER2010SU:21H.101","American History to 1865","Maier, P.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.104-MAIER2010SU:21H.104","Riots, Strikes, and Conspiracies in American History","Maier, P.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.116-SMITH2010SU:21H.116","Civil War & Reconstruction","Smith, Merritt","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.150-TENG2010SU:21H.150","Introduction to Asian American Studies: Historical and Contemporary Issues","Teng, E.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.207-JACOBS2010SU:21H.207","The Energy Crisis: Past and Present","Jacobs, M.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.301-OSTROW2010SU:21H.301","The Ancient World: Greece","Ostrow, S.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.501-LEIGHTON2010SU:21H.501","Traditional China: Earliest Times to 1644","Leighton, C.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.571-ROY2010SU:21H.571","Making of Modern South Asia","Roy, H","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.575-ROY2010SU:21H.575","Women in South Asia","Roy, H","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.601-NALBANTIAN2010SU:21H.601","Islam, Middle East, & the West","Nalbantian, T.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21H.912 - NALBANTIAN2010SU:21H.912","The World Since 1492","Nalbantian, T.","21H - History",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21W.731.02-FAERY2010SU:21W.731.02","Writing and Experience: Crossing Borders","Faery, Rebecca","21W - Writing & Humanistic Studies",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21W.735-FAERY2010SU:21W.735","Writing and Reading the Essay","Faery, Rebecca","21W - Writing & Humanistic Studies",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21W.758-HALDEMAN2010SU:21W.758","Reading and Writing Genre Fiction","Haldeman, J.","21W - Writing & Humanistic Studies",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"21W.759-HALDEMAN2010SU:21W.759","Science Fiction Writing","Haldeman, J.","21W - Writing & Humanistic Studies",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"22.01-WHYTE2010SU:22.01","Introduction to Ionizing Radiation","Whyte, D.","22 - Nuclear Engineering",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"22.081-GOLAY2010SU:22.081","Intro to Sustainable Energy","Golay, Michael","22 - Nuclear Engineering",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"22.51-CAPPELLARO2010SU:22.51","Quantum Theory of Rad Interact","Cappellaro, P.","22 - Nuclear Engineering",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"22.611-EGEDAL-PEDERS2010SU:22.611","Intro to Plasma Physics I","Egedal-Pederson","22 - Nuclear Engineering",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"24.02-HASLANGER2010SU:24.02","Moral Problems and the Good Life","Haslanger, S.","24 - Linguistics and Philosophy",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
"3.96-YANNAS2010SU:3.96","Biomaterials: Tissue Interact","Yannas, Ioannis","3 - Materials Science and Eng",07-SEP-10,02-JAN-11,"Hayden","Hayden",02-AUG-10
