"IAP_SUBJECT_SPONSOR_KEY","SPONSOR_NAME","SPONSOR_TYPE","WAREHOUSE_LOAD_DATE"
"B979A5B908CE644BE0440003BAB016E8","Shotokan Karate Club","Student Group",28-OCT-24
"B979A5B908CF644BE0440003BAB016E8","Computer Science and Artificial Intelligence Lab","Lab",28-OCT-24
"B979A5B908DC644BE0440003BAB016E8","Office of Religious, Spiritual, and Ethical Life","Administrative Department",28-OCT-24
"B979A5B908E0644BE0440003BAB016E8","Graduate Student Council","Student Group",28-OCT-24
"B979A5B908E6644BE0440003BAB016E8","SpousesandPartners@mit","Other MIT Groups",28-OCT-24
"B979A5B908EA644BE0440003BAB016E8","MIT Venture Mentoring Service","Administrative Department",28-OCT-24
"B979A5B908EE644BE0440003BAB016E8","MIT Brazil","Administrative Department",28-OCT-24
"B979A5B908EF644BE0440003BAB016E8","Humanities, Arts and Social Sciences","Academic Department",28-OCT-24
"B979A5B908FF644BE0440003BAB016E8","Geographic Information Systems Lab","Lab",28-OCT-24
"B979A5B90900644BE0440003BAB016E8","MIT Energy Initiative","Center",28-OCT-24
"B979A5B90902644BE0440003BAB016E8","Student Activities Office","Administrative Department",28-OCT-24
"B979A5B90906644BE0440003BAB016E8","Research Laboratory of Electronics","Lab",28-OCT-24
"B979A5B90912644BE0440003BAB016E8","Cru","Student Group",28-OCT-24
"B979A5B90916644BE0440003BAB016E8","Martin Trust Center for MIT Entrepreneurship","Center",28-OCT-24
"B979A5B90923644BE0440003BAB016E8","MIT Flying Club","Student Group",28-OCT-24
