"ACADEMIC_TERMS_KEY","TERM_CODE","TERM_DESCRIPTION","TERM_SELECTOR","TERM_START_DATE","TERM_END_DATE","ACADEMIC_YEAR","ACADEMIC_YEAR_DESC","IS_CURRENT_TERM","TERM_STATUS_INDICATOR","FINANCIAL_AID_YEAR","DEGREE_YEAR","LAST_DAY_OF_FINAL_EXAM","PRE_REGISTRATION_START_DAY","REGISTRATION_DAY","FIRST_DAY_OF_CLASSES","LAST_DAY_OF_CLASSES","GRADUATE_AWARD_START_DATE","GRADUATE_AWARD_END_DATE","WAREHOUSE_LOAD_DATE"
"2000SP","2000SP","Spring Term 1999-2000","2000SP-Spring Term 1999-2000",31-JAN-00,19-MAY-00,"2000","Academic Year 1999-2000","N","P","2000","2000",19-MAY-00,30-NOV-99,31-JAN-00,01-FEB-00,11-MAY-00,16-JAN-00,31-MAY-00,28-OCT-24
"2001SP","2001SP","Spring Term 2000-2001","2001SP-Spring Term 2000-2001",06-FEB-01,25-MAY-01,"2001","Academic Year 2000-2001","N","P","2001","2001",25-MAY-01,30-NOV-00,05-FEB-01,06-FEB-01,17-MAY-01,16-JAN-01,31-MAY-01,28-OCT-24
"2002SP","2002SP","Spring Term 2001-2002","2002SP-Spring Term 2001-2002",04-FEB-02,24-MAY-02,"2002","Academic Year 2001-2002","N","P","2002","2002",24-MAY-02,29-NOV-01,04-FEB-02,05-FEB-02,16-MAY-02,16-JAN-02,31-MAY-02,28-OCT-24
"2003SP","2003SP","Spring Term 2002-2003","2003SP-Spring Term 2002-2003",03-FEB-03,23-MAY-03,"2003","Academic Year 2002-2003","N","P","2003","2003",23-MAY-03,29-NOV-02,03-FEB-03,04-FEB-03,15-MAY-03,16-JAN-03,31-MAY-03,28-OCT-24
"2004SP","2004SP","Spring Term 2003-2004","2004SP-Spring Term 2003-2004",02-FEB-04,21-MAY-04,"2004","Academic Year 2003-2004","N","P","2004","2004",21-MAY-04,29-NOV-03,02-FEB-04,03-FEB-04,13-MAY-04,16-JAN-04,31-MAY-04,28-OCT-24
"2005SP","2005SP","Spring Term 2004-2005","2005SP-Spring Term 2004-2005",31-JAN-05,20-MAY-05,"2005","Academic Year 2004-2005","N","P","2005","2005",20-MAY-05,01-DEC-04,31-JAN-05,01-FEB-05,12-MAY-05,16-JAN-05,31-MAY-05,28-OCT-24
"1997FA","1997FA","Fall Term 1996-1997","1997FA-Fall Term 1996-1997",03-SEP-96,20-DEC-96,"1997","Academic Year 1996-1997","N","P","1997","1997",20-DEC-96,03-MAY-96,03-SEP-96,04-SEP-96,11-DEC-96,01-SEP-96,15-JAN-97,28-OCT-24
"1963SP","1963SP","Spring Term 1962-1963","1963SP-Spring Term 1962-1963",04-FEB-63,31-MAY-63,"1963","Academic Year 1962-1963","N","P","1963","1963",31-MAY-63,,04-FEB-63,05-FEB-63,31-MAY-63,,,28-OCT-24
"1993JA","1993JA","January Term 1992-1993","1993JA-January Term 1992-1993",04-JAN-93,27-JAN-93,"1993","Academic Year 1992-1993","N","P","","",27-JAN-93,,04-JAN-93,04-JAN-93,27-JAN-93,,,28-OCT-24
"1993SP","1993SP","Spring Term 1992-1993","1993SP-Spring Term 1992-1993",28-JAN-93,19-MAY-93,"1993","Academic Year 1992-1993","N","P","1993","1993",19-MAY-93,,28-JAN-93,29-JAN-93,10-MAY-93,16-JAN-93,31-MAY-93,28-OCT-24
"1993SU","1993SU","Summer Term 1993","1993SU-Summer Term 1993",07-JUN-93,18-AUG-93,"1993","Academic Year 1992-1993","N","P","1994","1994",18-AUG-93,01-MAY-93,07-JUN-93,07-JUN-93,13-AUG-93,01-JUN-93,31-AUG-93,28-OCT-24
"1992FA","1992FA","Fall Term 1991-1992","1992FA-Fall Term 1991-1992",09-SEP-91,20-DEC-91,"1992","Academic Year 1991-1992","N","P","1992","1992",20-DEC-91,,09-SEP-91,10-SEP-91,12-DEC-91,01-SEP-91,15-JAN-92,28-OCT-24
"1992JA","1992JA","January Term 1991-1992","1992JA-January Term 1991-1992",06-JAN-92,29-JAN-92,"1992","Academic Year 1991-1992","N","P","","",29-JAN-92,,06-JAN-92,06-JAN-92,29-JAN-92,,,28-OCT-24
"1992SP","1992SP","Spring Term 1991-1992","1992SP-Spring Term 1991-1992",30-JAN-92,20-MAY-92,"1992","Academic Year 1991-1992","N","P","1992","1992",20-MAY-92,,30-JAN-92,31-JAN-92,11-MAY-92,16-JAN-92,31-MAY-92,28-OCT-24
"1992SU","1992SU","Summer Term 1992","1992SU-Summer Term 1992",08-JUN-92,19-AUG-92,"1992","Academic Year 1991-1992","N","P","1993","1993",19-AUG-92,01-MAY-92,08-JUN-92,08-JUN-92,14-AUG-92,01-JUN-92,31-AUG-92,28-OCT-24
"1991FA","1991FA","Fall Term 1990-1991","1991FA-Fall Term 1990-1991",10-SEP-90,21-DEC-90,"1991","Academic Year 1990-1991","N","P","1991","1991",21-DEC-90,,10-SEP-90,11-SEP-90,30-JAN-91,01-SEP-90,15-JAN-91,28-OCT-24
"1991SP","1991SP","Spring Term 1990-1991","1991SP-Spring Term 1990-1991",31-JAN-91,22-MAY-91,"1991","Academic Year 1990-1991","N","P","1991","1991",22-MAY-91,,31-JAN-91,01-FEB-91,22-MAY-91,16-JAN-91,31-MAY-91,28-OCT-24
"1991SU","1991SU","Summer Term 1991","1991SU-Summer Term 1991",10-JUN-91,21-AUG-91,"1991","Academic Year 1990-1991","N","P","1992","1992",21-AUG-91,01-MAY-91,10-JUN-91,10-JUN-91,21-AUG-91,01-JUN-91,31-AUG-91,28-OCT-24
"1991JA","1991JA","January Term 1990-1991","1991JA-January Term 1990-1991",07-JAN-91,30-JAN-91,"1991","Academic Year 1990-1991","N","P","","",30-JAN-91,,07-JAN-91,07-JAN-91,30-JAN-91,,,28-OCT-24
"1995SP","1995SP","Spring Term 1994-1995","1995SP-Spring Term 1994-1995",06-FEB-95,26-MAY-95,"1995","Academic Year 1994-1995","N","P","1995","1995",26-MAY-95,,06-FEB-95,07-FEB-95,18-MAY-95,16-JAN-95,31-MAY-95,28-OCT-24
"1994FA","1994FA","Fall Term 1993-1994","1994FA-Fall Term 1993-1994",08-SEP-93,17-DEC-93,"1994","Academic Year 1993-1994","N","P","1994","1994",17-DEC-93,,08-SEP-93,09-SEP-93,09-DEC-93,01-SEP-93,15-JAN-94,28-OCT-24
"1994SP","1994SP","Spring Term 1993-1994","1994SP-Spring Term 1993-1994",27-JAN-94,18-MAY-94,"1994","Academic Year 1993-1994","N","P","1994","1994",18-MAY-94,,27-JAN-94,28-JAN-94,09-MAY-94,16-JAN-94,31-MAY-94,28-OCT-24
"1995FA","1995FA","Fall Term 1994-1995","1995FA-Fall Term 1994-1995",06-SEP-94,22-DEC-94,"1995","Academic Year 1994-1995","N","P","1995","1995",22-DEC-94,,06-SEP-94,07-SEP-94,14-DEC-94,01-SEP-94,15-JAN-95,28-OCT-24
"1990FA","1990FA","Fall Term 1989-1990","1990FA-Fall Term 1989-1990",11-SEP-89,22-DEC-89,"1990","Academic Year 1989-1990","N","P","1990","1990",22-DEC-89,,11-SEP-89,12-SEP-89,22-DEC-89,01-SEP-89,15-JAN-90,28-OCT-24
"1962SP","1962SP","Spring Term 1961-1962","1962SP-Spring Term 1961-1962",05-FEB-62,01-JUN-62,"1962","Academic Year 1961-1962","N","P","1962","1962",01-JUN-62,,05-FEB-62,06-FEB-62,01-JUN-62,,,28-OCT-24
"1990JA","1990JA","January Term 1989-1990","1990JA-January Term 1989-1990",08-JAN-90,31-JAN-90,"1990","Academic Year 1989-1990","N","P","","",31-JAN-90,,08-JAN-90,08-JAN-90,31-JAN-90,,,28-OCT-24
"1993FA","1993FA","Fall Term 1992-1993","1993FA-Fall Term 1992-1993",09-SEP-92,18-DEC-92,"1993","Academic Year 1992-1993","N","P","1993","1993",18-DEC-92,,09-SEP-92,10-SEP-92,10-DEC-92,01-SEP-92,15-JAN-93,28-OCT-24
"1990SU","1990SU","Summer Term 1990","1990SU-Summer Term 1990",11-JUN-90,22-AUG-90,"1990","Academic Year 1989-1990","N","P","1991","1991",22-AUG-90,01-MAY-90,11-JUN-90,11-JUN-90,22-AUG-90,01-JUN-90,31-AUG-90,28-OCT-24
"1989FA","1989FA","Fall Term 1988-1989","1989FA-Fall Term 1988-1989",12-SEP-88,22-DEC-88,"1989","Academic Year 1988-1989","N","P","1989","1989",22-DEC-88,,12-SEP-88,13-SEP-88,01-FEB-89,01-SEP-88,15-JAN-89,28-OCT-24
"1988FA","1988FA","Fall Term 1987-1988","1988FA-Fall Term 1987-1988",09-SEP-87,18-DEC-87,"1988","Academic Year 1987-1988","N","P","1988","1988",18-DEC-87,,09-SEP-87,10-SEP-87,27-JAN-88,01-SEP-87,15-JAN-88,28-OCT-24
"1989SP","1989SP","Spring Term 1988-1989","1989SP-Spring Term 1988-1989",06-FEB-89,24-MAY-89,"1989","Academic Year 1988-1989","N","P","1989","1989",24-MAY-89,,06-FEB-89,07-FEB-89,16-MAY-89,16-JAN-89,31-MAY-89,28-OCT-24
"1988SP","1988SP","Spring Term 1987-1988","1988SP-Spring Term 1987-1988",01-FEB-88,18-MAY-88,"1988","Academic Year 1987-1988","N","P","1988","1988",18-MAY-88,,01-FEB-88,02-FEB-88,18-MAY-88,16-JAN-88,31-MAY-88,28-OCT-24
"1987FA","1987FA","Fall Term 1986-1987","1987FA-Fall Term 1986-1987",08-SEP-86,19-DEC-86,"1987","Academic Year 1986-1987","N","P","1987","1987",19-DEC-86,,08-SEP-86,09-SEP-86,28-JAN-87,01-SEP-86,15-JAN-87,28-OCT-24
"1986FA","1986FA","Fall Term 1985-1986","1986FA-Fall Term 1985-1986",09-SEP-85,20-DEC-85,"1986","Academic Year 1985-1986","N","P","1986","1986",20-DEC-85,,09-SEP-85,10-SEP-85,29-JAN-86,01-SEP-85,15-JAN-86,28-OCT-24
"1985FA","1985FA","Fall Term 1984-1985","1985FA-Fall Term 1984-1985",10-SEP-84,21-DEC-84,"1985","Academic Year 1984-1985","N","P","1985","1985",21-DEC-84,,10-SEP-84,11-SEP-84,30-JAN-85,01-SEP-84,15-JAN-85,28-OCT-24
"1990SP","1990SP","Spring Term 1989-1990","1990SP-Spring Term 1989-1990",05-FEB-90,24-MAY-90,"1990","Academic Year 1989-1990","N","P","1990","1990",24-MAY-90,,05-FEB-90,06-FEB-90,24-MAY-90,16-JAN-90,31-MAY-90,28-OCT-24
"1951FA","1951FA","Fall Term 1950-1951","1951FA-Fall Term 1950-1951",19-SEP-50,31-JAN-51,"1951","Academic Year 1950-1951","N","P","XXXX","XXXX",25-JAN-51,,17-SEP-50,,,,,28-OCT-24
"1952FA","1952FA","Fall Term 1951-1952","1952FA-Fall Term 1951-1952",19-SEP-51,31-JAN-52,"1952","Academic Year 1951-1952","N","P","XXXX","XXXX",25-JAN-52,,17-SEP-51,,,,,28-OCT-24
"1953FA","1953FA","Fall Term 1952-1953","1953FA-Fall Term 1952-1953",19-SEP-52,31-JAN-53,"1953","Academic Year 1952-1953","N","P","XXXX","XXXX",25-JAN-53,,17-SEP-52,,,,,28-OCT-24
"1954FA","1954FA","Fall Term 1953-1954","1954FA-Fall Term 1953-1954",19-SEP-53,31-JAN-54,"1954","Academic Year 1953-1954","N","P","XXXX","XXXX",26-JAN-54,,18-SEP-53,,,,,28-OCT-24
"1955FA","1955FA","Fall Term 1954-1955","1955FA-Fall Term 1954-1955",19-SEP-54,31-JAN-55,"1955","Academic Year 1954-1955","N","P","XXXX","XXXX",26-JAN-55,,18-SEP-54,,,,,28-OCT-24
"1956FA","1956FA","Fall Term 1955-1956","1956FA-Fall Term 1955-1956",19-SEP-55,31-JAN-56,"1956","Academic Year 1955-1956","N","P","XXXX","XXXX",26-JAN-56,,18-SEP-55,,,,,28-OCT-24
"1957FA","1957FA","Fall Term 1956-1957","1957FA-Fall Term 1956-1957",19-SEP-56,31-JAN-57,"1957","Academic Year 1956-1957","N","P","XXXX","XXXX",25-JAN-57,,17-SEP-56,,,,,28-OCT-24
"1958FA","1958FA","Fall Term 1957-1958","1958FA-Fall Term 1957-1958",19-SEP-57,31-JAN-58,"1958","Academic Year 1957-1958","N","P","XXXX","XXXX",25-JAN-58,,17-SEP-57,,,,,28-OCT-24
"1977FA","1977FA","Fall Term 1976-1977","1977FA-Fall Term 1976-1977",13-SEP-76,22-DEC-76,"1977","Academic Year 1976-1977","N","P","1977","1977",22-DEC-76,,13-SEP-76,14-SEP-76,28-JAN-77,,,28-OCT-24
"1959FA","1959FA","Fall Term 1958-1959","1959FA-Fall Term 1958-1959",18-SEP-58,30-JAN-59,"1959","Academic Year 1958-1959","N","P","XXXX","XXXX",25-JAN-59,,17-SEP-58,,,,,28-OCT-24
"1960FA","1960FA","Fall Term 1959-1960","1960FA-Fall Term 1959-1960",21-SEP-59,29-JAN-60,"1960","Academic Year 1959-1960","N","P","1960","1960",29-JAN-60,,21-SEP-59,22-SEP-59,29-JAN-60,,,28-OCT-24
"1970FA","1970FA","Fall Term 1969-1970","1970FA-Fall Term 1969-1970",23-SEP-69,30-JAN-70,"1970","Academic Year 1969-1970","N","P","1970","1970",30-JAN-70,,23-SEP-69,24-SEP-69,30-JAN-70,,,28-OCT-24
"1971FA","1971FA","Fall Term 1970-1971","1971FA-Fall Term 1970-1971",14-SEP-70,23-DEC-70,"1971","Academic Year 1970-1971","N","P","1971","1971",23-DEC-70,,14-SEP-70,15-SEP-70,29-JAN-71,,,28-OCT-24
"1972FA","1972FA","Fall Term 1971-1972","1972FA-Fall Term 1971-1972",13-SEP-71,22-DEC-71,"1972","Academic Year 1971-1972","N","P","1972","1972",22-DEC-71,,13-SEP-71,14-SEP-71,28-JAN-72,,,28-OCT-24
"1973FA","1973FA","Fall Term 1972-1973","1973FA-Fall Term 1972-1973",11-SEP-72,21-DEC-72,"1973","Academic Year 1972-1973","N","P","1973","1973",21-DEC-72,,11-SEP-72,12-SEP-72,31-JAN-73,,,28-OCT-24
"1974FA","1974FA","Fall Term 1973-1974","1974FA-Fall Term 1973-1974",10-SEP-73,20-DEC-73,"1974","Academic Year 1973-1974","N","P","1974","1974",20-DEC-73,,10-SEP-73,11-SEP-73,30-JAN-74,,,28-OCT-24
"1975FA","1975FA","Fall Term 1974-1975","1975FA-Fall Term 1974-1975",09-SEP-74,19-DEC-74,"1975","Academic Year 1974-1975","N","P","1975","1975",19-DEC-74,,09-SEP-74,10-SEP-74,29-JAN-75,,,28-OCT-24
"1976FA","1976FA","Fall Term 1975-1976","1976FA-Fall Term 1975-1976",08-SEP-75,18-DEC-75,"1976","Academic Year 1975-1976","N","P","1976","1976",18-DEC-75,,08-SEP-75,09-SEP-75,28-JAN-76,,,28-OCT-24
"1978FA","1978FA","Fall Term 1977-1978","1978FA-Fall Term 1977-1978",12-SEP-77,22-DEC-77,"1978","Academic Year 1977-1978","N","P","1978","1978",22-DEC-77,,12-SEP-77,13-SEP-77,01-FEB-78,01-SEP-77,15-JAN-78,28-OCT-24
"1979FA","1979FA","Fall Term 1978-1979","1979FA-Fall Term 1978-1979",11-SEP-78,21-DEC-78,"1979","Academic Year 1978-1979","N","P","1979","1979",21-DEC-78,,11-SEP-78,12-SEP-78,31-JAN-79,01-SEP-78,15-JAN-79,28-OCT-24
"1980FA","1980FA","Fall Term 1979-1980","1980FA-Fall Term 1979-1980",10-SEP-79,20-DEC-79,"1980","Academic Year 1979-1980","N","P","1980","1980",20-DEC-79,,10-SEP-79,11-SEP-79,30-JAN-80,01-SEP-79,15-JAN-80,28-OCT-24
"1981FA","1981FA","Fall Term 1980-1981","1981FA-Fall Term 1980-1981",08-SEP-80,18-DEC-80,"1981","Academic Year 1980-1981","N","P","1981","1981",18-DEC-80,,08-SEP-80,09-SEP-80,28-JAN-81,01-SEP-80,15-JAN-81,28-OCT-24
"1961FA","1961FA","Fall Term 1960-1961","1961FA-Fall Term 1960-1961",19-SEP-60,27-JAN-61,"1961","Academic Year 1960-1961","N","P","1961","1961",27-JAN-61,,19-SEP-60,20-SEP-60,27-JAN-61,,,28-OCT-24
"1962FA","1962FA","Fall Term 1961-1962","1962FA-Fall Term 1961-1962",18-SEP-61,26-JAN-62,"1962","Academic Year 1961-1962","N","P","1962","1962",26-JAN-62,,18-SEP-61,19-SEP-61,26-JAN-62,,,28-OCT-24
"1963FA","1963FA","Fall Term 1962-1963","1963FA-Fall Term 1962-1963",17-SEP-62,25-JAN-63,"1963","Academic Year 1962-1963","N","P","1963","1963",25-JAN-63,,17-SEP-62,18-SEP-62,25-JAN-63,,,28-OCT-24
"1964FA","1964FA","Fall Term 1963-1964","1964FA-Fall Term 1963-1964",23-SEP-63,31-JAN-64,"1964","Academic Year 1963-1964","N","P","1964","1964",31-JAN-64,,23-SEP-63,24-SEP-63,31-JAN-64,,,28-OCT-24
"1965FA","1965FA","Fall Term 1964-1965","1965FA-Fall Term 1964-1965",21-SEP-64,29-JAN-65,"1965","Academic Year 1964-1965","N","P","1965","1965",29-JAN-65,,21-SEP-64,21-SEP-64,29-JAN-65,,,28-OCT-24
"1966FA","1966FA","Fall Term 1965-1966","1966FA-Fall Term 1965-1966",20-SEP-65,28-JAN-66,"1966","Academic Year 1965-1966","N","P","1966","1966",28-JAN-66,,20-SEP-65,20-SEP-65,28-JAN-66,,,28-OCT-24
"1967FA","1967FA","Fall Term 1966-1967","1967FA-Fall Term 1966-1967",19-SEP-66,27-JAN-67,"1967","Academic Year 1966-1967","N","P","1967","1967",27-JAN-67,,19-SEP-66,19-SEP-66,27-JAN-67,,,28-OCT-24
"1965SU","1965SU","Summer Term 1965","1965SU-Summer Term 1965",21-JUN-65,02-SEP-65,"1965","Academic Year 1964-1965","N","P","1966","1966",02-SEP-65,01-MAY-65,21-JUN-65,21-JUN-65,02-SEP-65,,,28-OCT-24
"1982FA","1982FA","Fall Term 1981-1982","1982FA-Fall Term 1981-1982",09-SEP-81,18-DEC-81,"1982","Academic Year 1981-1982","N","P","1982","1982",18-DEC-81,,09-SEP-81,10-SEP-81,27-JAN-82,01-SEP-81,15-JAN-82,28-OCT-24
"1967SP","1967SP","Spring Term 1966-1967","1967SP-Spring Term 1966-1967",06-FEB-67,02-JUN-67,"1967","Academic Year 1966-1967","N","P","1967","1967",02-JUN-67,,06-FEB-67,06-FEB-67,02-JUN-67,,,28-OCT-24
"1966SU","1966SU","Summer Term 1966","1966SU-Summer Term 1966",20-JUN-66,01-SEP-66,"1966","Academic Year 1965-1966","N","P","1967","1967",01-SEP-66,01-MAY-66,20-JUN-66,20-JUN-66,01-SEP-66,,,28-OCT-24
"1967SU","1967SU","Summer Term 1967","1967SU-Summer Term 1967",19-JUN-67,31-AUG-67,"1967","Academic Year 1966-1967","N","P","1968","1968",31-AUG-67,01-MAY-67,19-JUN-67,19-JUN-67,31-AUG-67,,,28-OCT-24
"1968SP","1968SP","Spring Term 1967-1968","1968SP-Spring Term 1967-1968",05-FEB-68,31-MAY-68,"1968","Academic Year 1967-1968","N","P","1968","1968",31-MAY-68,,05-FEB-68,06-FEB-68,31-MAY-68,,,28-OCT-24
"1969SP","1969SP","Spring Term 1968-1969","1969SP-Spring Term 1968-1969",10-FEB-69,06-JUN-69,"1969","Academic Year 1968-1969","N","P","1969","1969",06-JUN-69,,10-FEB-69,11-FEB-69,06-JUN-69,,,28-OCT-24
"1968SU","1968SU","Summer 1968","1968SU-Summer 1968",17-JUN-68,29-AUG-68,"1968","Academic Year 1967-1968","N","P","1969","1969",29-AUG-68,01-MAY-68,17-JUN-68,17-JUN-68,29-AUG-68,,,28-OCT-24
"1969SU","1969SU","Summer Term 1969","1969SU-Summer Term 1969",17-JUN-69,28-AUG-69,"1969","Academic Year 1968-1969","N","P","1970","1970",28-AUG-69,01-MAY-69,17-JUN-69,17-JUN-69,28-AUG-69,,,28-OCT-24
"1970SU","1970SU","Summer Term 1970","1970SU-Summer Term 1970",22-JUN-70,03-SEP-70,"1970","Academic Year 1969-1970","N","P","1971","1971",03-SEP-70,01-MAY-70,22-JUN-70,22-JUN-70,03-SEP-70,,,28-OCT-24
"1970SP","1970SP","Spring Term 1969-1970","1970SP-Spring Term 1969-1970",09-FEB-70,05-JUN-70,"1970","Academic Year 1969-1970","N","P","1970","1970",05-JUN-70,,09-FEB-70,10-FEB-70,05-JUN-70,,,28-OCT-24
"1971SU","1971SU","Summer Term 1971","1971SU-Summer Term 1971",14-JUN-71,26-AUG-71,"1971","Academic Year 1970-1971","N","P","1972","1972",26-AUG-71,01-MAY-71,14-JUN-71,14-JUN-71,26-AUG-71,,,28-OCT-24
"1968FA","1968FA","Fall Term 1967-1968","1968FA-Fall Term 1967-1968",18-SEP-67,26-JAN-68,"1968","Academic Year 1967-1968","N","P","1968","1968",26-JAN-68,,18-SEP-67,19-SEP-67,26-JAN-68,,,28-OCT-24
"1969FA","1969FA","Fall Term 1968-1969","1969FA-Fall Term 1968-1969",23-SEP-68,31-JAN-69,"1969","Academic Year 1968-1969","N","P","1969","1969",31-JAN-69,,23-SEP-68,24-SEP-68,31-JAN-69,,,28-OCT-24
"1983FA","1983FA","Fall Term 1982-1983","1983FA-Fall Term 1982-1983",08-SEP-82,17-DEC-82,"1983","Academic Year 1982-1983","N","P","1983","1983",17-DEC-82,,08-SEP-82,09-SEP-82,26-JAN-83,01-SEP-82,15-JAN-83,28-OCT-24
"1984FA","1984FA","Fall Term 1983-1984","1984FA-Fall Term 1983-1984",12-SEP-83,22-DEC-83,"1984","Academic Year 1983-1984","N","P","1984","1984",22-DEC-83,,12-SEP-83,13-SEP-83,01-FEB-84,01-SEP-83,15-JAN-84,28-OCT-24
"1964SP","1964SP","Spring Term 1963-1964","1964SP-Spring Term 1963-1964",10-FEB-64,05-JUN-64,"1964","Academic Year 1963-1964","N","P","1964","1964",05-JUN-64,,10-FEB-64,11-FEB-64,05-JUN-64,,,28-OCT-24
"1964SU","1964SU","Summer Term 1964","1964SU-Summer Term 1964",22-JUN-64,03-SEP-64,"1964","Academic Year 1963-1964","N","P","1965","1965",03-SEP-64,01-MAY-64,22-JUN-64,22-JUN-64,03-SEP-64,,,28-OCT-24
"1965SP","1965SP","Spring Term 1964-1965","1965SP-Spring Term 1964-1965",08-FEB-65,04-JUN-65,"1965","Academic Year 1964-1965","N","P","1965","1965",04-JUN-65,,08-FEB-65,08-FEB-65,04-JUN-65,,,28-OCT-24
"1966SP","1966SP","Spring Term 1965-1966","1966SP-Spring Term 1965-1966",07-FEB-66,03-JUN-66,"1966","Academic Year 1965-1966","N","P","1966","1966",03-JUN-66,,07-FEB-66,07-FEB-66,03-JUN-66,,,28-OCT-24
"1998FA","1998FA","Fall Term 1997-1998","1998FA-Fall Term 1997-1998",02-SEP-97,19-DEC-97,"1998","Academic Year 1997-1998","N","P","1998","1998",19-DEC-97,01-MAY-97,02-SEP-97,03-SEP-97,10-DEC-97,01-SEP-97,15-JAN-98,28-OCT-24
"1999FA","1999FA","Fall Term 1998-1999","1999FA-Fall Term 1998-1999",08-SEP-98,18-DEC-98,"1999","Academic Year 1998-1999","N","P","1999","1999",18-DEC-98,09-SEP-98,08-SEP-98,09-SEP-98,10-DEC-98,01-SEP-98,15-JAN-99,28-OCT-24
"2000FA","2000FA","Fall Term 1999-2000","2000FA-Fall Term 1999-2000",07-SEP-99,17-DEC-99,"2000","Academic Year 1999-2000","N","P","2000","2000",17-DEC-99,01-MAY-99,07-SEP-99,08-SEP-99,09-DEC-99,01-SEP-99,15-JAN-00,28-OCT-24
