"BUILDING_KEY","FLOOR_KEY","SPACE_UNIT_KEY","SPACE_USAGE_KEY","BUILDING_ROOM","BUILDING_ROOM_NAME","ROOM_NUMBER","ROOM_SQUARE_FOOTAGE","ROOM_COUNTER","BUILDING_COMPONENT","WAREHOUSE_LOAD_DATE"
"1","1","063000",55,"1-163C","1 -  163C","63C",374.84,1,"1",28-OCT-24
"1","1","063000",55,"1-165A","1 -  165A","65A",30.18,1,"1",28-OCT-24
"1","1","065000",12,"1-115","1 -  115","15",923.99,1,"1",28-OCT-24
"1","1","065000",54,"1-103B","1 -  103B","03B",54.17,1,"1",28-OCT-24
"1","1","065000",54,"1-103C","1 -  103C","03C",55,1,"1",28-OCT-24
"1","1","065000",54,"1-103D","1 -  103D","03D",50.81,1,"1",28-OCT-24
"1","1","065000",54,"1-104A","1 -  104A","04A",170.04,1,"1",28-OCT-24
"1","1","065000",54,"1-104B","1 -  104B","04B",326.18,1,"1",28-OCT-24
"1","1","065000",54,"1-104C","1 -  104C","04C",328.3,1,"1",28-OCT-24
"1","1","065000",54,"1-107B","1 -  107B","07B",57.6,1,"1",28-OCT-24
"1","1","065000",54,"1-107C","1 -  107C","07C",61.81,1,"1",28-OCT-24
"1","1","065000",54,"1-107D","1 -  107D","07D",103.01,1,"1",28-OCT-24
"1","1","065000",54,"1-107F","1 -  107F","07F",109.06,1,"1",28-OCT-24
"1","1","065000",54,"1-107G","1 -  107G","07G",61.81,1,"1",28-OCT-24
"1","1","065000",54,"1-107K","1 -  107K","07K",303.74,1,"1",28-OCT-24
"1","1","065000",54,"1-110A","1 -  110A","10A",156.11,1,"1",28-OCT-24
"1","1","065000",54,"1-110AA","1 -  110AA","10AA",174.44,1,"1",28-OCT-24
"1","1","065000",54,"1-112A","1 -  112A","12A",170.08,1,"1",28-OCT-24
"1","1","065000",55,"1-103","1 -  103","03",169.72,1,"1",28-OCT-24
"1","1","065000",55,"1-103A","1 -  103A","03A",6.99,1,"1",28-OCT-24
"1","1","065000",55,"1-107A","1 -  107A","07A",8.85,1,"1",28-OCT-24
"1","1","065000",55,"1-112","1 -  112","12",153.69,1,"1",28-OCT-24
"1","1","065000",55,"1-114","1 -  114","14",899.47,1,"1",28-OCT-24
"1","1","065000",55,"1-114A","1 -  114A","14A",7.28,1,"1",28-OCT-24
"1","1","065000",64,"1-107","1 -  107","07",183.88,1,"1",28-OCT-24
"1","1","065000",67,"1-104","1 -  104","04",151.86,1,"1",28-OCT-24
"1","1","065000",67,"1-107H","1 -  107H","07H",36.36,1,"1",28-OCT-24
"1","1","065000",67,"1-110","1 -  110","10",142.5,1,"1",28-OCT-24
"1","1","065000",67,"1-112B","1 -  112B","12B",105.97,1,"1",28-OCT-24
"1","1","065000",67,"1-112C","1 -  112C","12C",69.36,1,"1",28-OCT-24
"1","1","401800",69,"1-142","1 -  142","42",900.06,1,"1",28-OCT-24
"1","1","446700",12,"1-132","1 -  132","32",468.19,1,"1",28-OCT-24
"1","1","446700",12,"1-134","1 -  134","34",652.22,1,"1",28-OCT-24
"1","1","446700",12,"1-135","1 -  135","35",643.43,1,"1",28-OCT-24
"1","1","446700",12,"1-136","1 -  136","36",309.31,1,"1",28-OCT-24
"1","1","446700",12,"1-150","1 -  150","50",827.44,1,"1",28-OCT-24
"1","1","446700",13,"1-150A","1 -  150A","50A",22.67,1,"1",28-OCT-24
"1","1","446700",39,"1-190","1 -  190","90",1656.27,1,"1",28-OCT-24
"1","1","591000",17,"1-100CA","1 -  100CA","00CA",1316.2,1,"1",28-OCT-24
"1","1","591000",17,"1-100CB","1 -  100CB","00CB",2179.59,1,"1",28-OCT-24
"1","1","591000",17,"1-100CC","1 -  100CC","00CC",577.29,1,"1",28-OCT-24
"1","1","591000",18,"1-101J","1 -  101J","01J",40.25,1,"1",28-OCT-24
"1","1","591000",18,"1-167J","1 -  167J","67J",30.88,1,"1",28-OCT-24
"1","1","591000",20,"1-150AB","1 -  150AB","50AB",4,1,"1",28-OCT-24
"1","1","591000",24,"1-108E","1 -  108E","08E",16.36,1,"1",28-OCT-24
"1","1","591000",24,"1-115E","1 -  115E","15E",77.78,1,"1",28-OCT-24
"1","1","591000",24,"1-132E","1 -  132E","32E",4.78,1,"1",28-OCT-24
"1","1","591000",24,"1-134E","1 -  134E","34E",7.11,1,"1",28-OCT-24
"1","1","591000",24,"1-137E","1 -  137E","37E",10,1,"1",28-OCT-24
"1","1","591000",24,"1-166E","1 -  166E","66E",11.89,1,"1",28-OCT-24
"1","1","591000",24,"1-171E","1 -  171E","71E",6.51,1,"1",28-OCT-24
"1","1","591000",24,"1-190E","1 -  190E","90E",12.82,1,"1",28-OCT-24
"1","1","591000",28,"1-167","1 -  167","67",285.24,1,"1",28-OCT-24
"1","1","591000",42,"1-100LA","1 -  100LA","00LA",64.44,1,"1",28-OCT-24
"1","1","591000",42,"1-100LB","1 -  100LB","00LB",58.67,1,"1",28-OCT-24
"1","1","591000",42,"1-100LC","1 -  100LC","00LC",262.8,1,"1",28-OCT-24
"1","1","591000",47,"1-101","1 -  101","01",238.07,1,"1",28-OCT-24
"1","1","591000",71,"1-100Z","1 -  100Z","00Z",477.77,1,"1",28-OCT-24
"1","1","591000",71,"1-101Z","1 -  101Z","01Z",53.23,1,"1",28-OCT-24
"1","1","591000",71,"1-167Z","1 -  167Z","67Z",26,1,"1",28-OCT-24
"1","1","591000",77,"1-100SA","1 -  100SA","00SA",661.83,1,"1",28-OCT-24
"1","1","591000",77,"1-100SB","1 -  100SB","00SB",246.58,1,"1",28-OCT-24
"1","1","591000",77,"1-100SC","1 -  100SC","00SC",260.91,1,"1",28-OCT-24
"1","1","591000",82,"1-142T","1 -  142T","42T",45.42,1,"1",28-OCT-24
"1","1","591000",85,"1-150AA","1 -  150AA","50AA",7.03,1,"1",28-OCT-24
"1","1","591000",85,"1-182","1 -  182","82",41.1,1,"1",28-OCT-24
"1","1","591000",85,"1-190A","1 -  190A","90A",18.54,1,"1",28-OCT-24
"1","1","591000",85,"1-190B","1 -  190B","90B",23.97,1,"1",28-OCT-24
"1","1","591000",85,"1-190C","1 -  190C","90C",27.69,1,"1",28-OCT-24
"1","1","591000",85,"1-190D","1 -  190D","90D",25.5,1,"1",28-OCT-24
"1","2","060000",16,"1-206F","1 -  206F","06F",135.89,1,"1",28-OCT-24
"1","2","060000",16,"1-214","1 -  214","14",682.74,1,"1",28-OCT-24
"1","2","060000",54,"1-203A","1 -  203A","03A",188.37,1,"1",28-OCT-24
"1","2","060000",54,"1-203B","1 -  203B","03B",214.33,1,"1",28-OCT-24
"1","2","060000",54,"1-206A","1 -  206A","06A",462.29,1,"1",28-OCT-24
"1","2","060000",54,"1-206D","1 -  206D","06D",110.13,1,"1",28-OCT-24
"1","2","060000",54,"1-206G","1 -  206G","06G",184.99,1,"1",28-OCT-24
"1","2","060000",54,"1-207A","1 -  207A","07A",208,1,"1",28-OCT-24
"1","2","060000",54,"1-207B","1 -  207B","07B",201.33,1,"1",28-OCT-24
"1","2","060000",54,"1-211A","1 -  211A","11A",128.89,1,"1",28-OCT-24
"1","2","060000",54,"1-211B","1 -  211B","11B",189,1,"1",28-OCT-24
"1","2","060000",54,"1-229A","1 -  229A","29A",99.62,1,"1",28-OCT-24
"1","2","060000",54,"1-229B","1 -  229B","29B",272.92,1,"1",28-OCT-24
"1","2","060000",54,"1-230","1 -  230","30",147.85,1,"1",28-OCT-24
"1","2","060000",55,"1-203C","1 -  203C","03C",86.63,1,"1",28-OCT-24
"1","2","060000",55,"1-206","1 -  206","06",461.67,1,"1",28-OCT-24
"1","2","060000",55,"1-206B","1 -  206B","06B",292.49,1,"1",28-OCT-24
"1","2","060000",55,"1-206C","1 -  206C","06C",9.21,1,"1",28-OCT-24
"1","2","060000",55,"1-206L","1 -  206L","06L",4,1,"1",28-OCT-24
"1","2","060000",55,"1-207","1 -  207","07",89.12,1,"1",28-OCT-24
"1","2","060000",55,"1-207C","1 -  207C","07C",43.51,1,"1",28-OCT-24
"1","2","060000",55,"1-229","1 -  229","29",168.63,1,"1",28-OCT-24
"1","2","060000",67,"1-203","1 -  203","03",158.09,1,"1",28-OCT-24
"1","2","060000",67,"1-206H","1 -  206H","06H",123.77,1,"1",28-OCT-24
"1","2","060000",67,"1-206K","1 -  206K","06K",152.57,1,"1",28-OCT-24
"1","2","060000",67,"1-207D","1 -  207D","07D",96.54,1,"1",28-OCT-24
"1","2","060000",67,"1-211","1 -  211","11",204.44,1,"1",28-OCT-24
"1","2","063000",16,"1-215","1 -  215","15",323.83,1,"1",28-OCT-24
"1","2","063000",16,"1-236","1 -  236","36",632.84,1,"1",28-OCT-24
"1","2","063000",54,"1-232","1 -  232","32",169.88,1,"1",28-OCT-24
"1","2","063000",54,"1-235C","1 -  235C","35C",291.88,1,"1",28-OCT-24
"1","2","063000",54,"1-235D","1 -  235D","35D",165.67,1,"1",28-OCT-24
"1","2","063000",54,"1-235F","1 -  235F","35F",155,1,"1",28-OCT-24
"1","2","063000",54,"1-235G","1 -  235G","35G",153.19,1,"1",28-OCT-24
"1","2","063000",54,"1-235K","1 -  235K","35K",127.28,1,"1",28-OCT-24
"1","2","063000",54,"1-235P","1 -  235P","35P",50.4,1,"1",28-OCT-24
"1","2","063000",54,"1-238","1 -  238","38",213.67,1,"1",28-OCT-24
"1","2","063000",54,"1-239A","1 -  239A","39A",169.61,1,"1",28-OCT-24
"1","2","063000",54,"1-240A","1 -  240A","40A",154.69,1,"1",28-OCT-24
"1","2","063000",54,"1-241","1 -  241","41",332.81,1,"1",28-OCT-24
"1","2","063000",54,"1-245","1 -  245","45",653.67,1,"1",28-OCT-24
"1","2","063000",54,"1-249","1 -  249","49",711.25,1,"1",28-OCT-24
"1","2","063000",54,"1-250","1 -  250","50",323.39,1,"1",28-OCT-24
"1","2","063000",54,"1-253B","1 -  253B","53B",153.28,1,"1",28-OCT-24
"1","2","063000",54,"1-253C","1 -  253C","53C",306.19,1,"1",28-OCT-24
"1","2","063000",54,"1-263","1 -  263","63",211.42,1,"1",28-OCT-24
"1","2","063000",54,"1-270","1 -  270","70",182.08,1,"1",28-OCT-24
"1","2","063000",54,"1-271","1 -  271","71",251.63,1,"1",28-OCT-24
"1","2","063000",54,"1-272","1 -  272","72",161.96,1,"1",28-OCT-24
"1","2","063000",54,"1-274","1 -  274","74",147.58,1,"1",28-OCT-24
"1","2","063000",54,"1-276","1 -  276","76",157.17,1,"1",28-OCT-24
"1","2","063000",54,"1-278","1 -  278","78",148.54,1,"1",28-OCT-24
"1","2","063000",54,"1-280","1 -  280","80",147.03,1,"1",28-OCT-24
"1","2","063000",54,"1-281","1 -  281","81",282.64,1,"1",28-OCT-24
"1","2","063000",54,"1-282","1 -  282","82",149.63,1,"1",28-OCT-24
"1","2","063000",54,"1-284","1 -  284","84",198.38,1,"1",28-OCT-24
"1","2","063000",54,"1-290B","1 -  290B","90B",311.19,1,"1",28-OCT-24
"1","2","063000",54,"1-290D","1 -  290D","90D",169.6,1,"1",28-OCT-24
"1","2","063000",54,"1-290F","1 -  290F","90F",121.88,1,"1",28-OCT-24
"1","2","063000",54,"1-290N","1 -  290N","90N",224.15,1,"1",28-OCT-24
"1","2","063000",55,"1-235","1 -  235","35",261.51,1,"1",28-OCT-24
"1","2","063000",55,"1-235H","1 -  235H","35H",105.92,1,"1",28-OCT-24
"1","2","063000",55,"1-235HA","1 -  235HA","35HA",13.67,1,"1",28-OCT-24
"1","2","063000",55,"1-235L","1 -  235L","35L",112.67,1,"1",28-OCT-24
"1","2","063000",55,"1-236B","1 -  236B","36B",38.38,1,"1",28-OCT-24
"1","2","063000",55,"1-238A","1 -  238A","38A",67.64,1,"1",28-OCT-24
"1","2","063000",55,"1-251","1 -  251","51",98.35,1,"1",28-OCT-24
"1","2","063000",55,"1-252","1 -  252","52",251.57,1,"1",28-OCT-24
"1","2","063000",55,"1-253","1 -  253","53",241.47,1,"1",28-OCT-24
"1","2","063000",55,"1-253D","1 -  253D","53D",7.25,1,"1",28-OCT-24
"1","2","063000",55,"1-253F","1 -  253F","53F",12.15,1,"1",28-OCT-24
"1","2","063000",55,"1-290","1 -  290","90",336.49,1,"1",28-OCT-24
"1","2","063000",55,"1-290A","1 -  290A","90A",57.78,1,"1",28-OCT-24
"1","2","063000",55,"1-290C","1 -  290C","90C",124.03,1,"1",28-OCT-24
"1","2","063000",55,"1-290G","1 -  290G","90G",188.64,1,"1",28-OCT-24
"1","2","063000",55,"1-290L","1 -  290L","90L",62.61,1,"1",28-OCT-24
"1","2","063000",67,"1-239","1 -  239","39",185.31,1,"1",28-OCT-24
"1","2","063000",67,"1-240","1 -  240","40",287.85,1,"1",28-OCT-24
"1","2","063000",67,"1-290H","1 -  290H","90H",116.23,1,"1",28-OCT-24
"1","2","063000",67,"1-290K","1 -  290K","90K",105.42,1,"1",28-OCT-24
"1","2","065000",69,"1-225A","1 -  225A","25A",694.22,1,"1",28-OCT-24
"1","2","065000",70,"1-225","1 -  225","25",516.13,1,"1",28-OCT-24
"1","2","446700",12,"1-242","1 -  242","42",574.45,1,"1",28-OCT-24
"1","2","446700",12,"1-246","1 -  246","46",591.22,1,"1",28-OCT-24
"1","2","446700",12,"1-273","1 -  273","73",472.5,1,"1",28-OCT-24
"1","2","446700",12,"1-277","1 -  277","77",415.63,1,"1",28-OCT-24
"1","2","446700",13,"1-242A","1 -  242A","42A",6.42,1,"1",28-OCT-24
"1","2","446700",13,"1-242B","1 -  242B","42B",7.15,1,"1",28-OCT-24
"1","2","446700",13,"1-242C","1 -  242C","42C",7.39,1,"1",28-OCT-24
"1","2","591000",17,"1-200CA","1 -  200CA","00CA",1148.49,1,"1",28-OCT-24
"1","2","591000",17,"1-200CB","1 -  200CB","00CB",1569.88,1,"1",28-OCT-24
"1","2","591000",17,"1-200CC","1 -  200CC","00CC",1180.29,1,"1",28-OCT-24
"1","2","591000",18,"1-201J","1 -  201J","01J",40.73,1,"1",28-OCT-24
"1","2","591000",18,"1-267J","1 -  267J","67J",30.22,1,"1",28-OCT-24
"1","2","591000",24,"1-208E","1 -  208E","08E",16.36,1,"1",28-OCT-24
"1","2","591000",24,"1-237E","1 -  237E","37E",10.25,1,"1",28-OCT-24
"1","2","591000",24,"1-246E","1 -  246E","46E",12.64,1,"1",28-OCT-24
"1","2","591000",24,"1-271E","1 -  271E","71E",5.64,1,"1",28-OCT-24
"1","2","591000",28,"1-265","1 -  265","65",253.96,1,"1",28-OCT-24
"1","2","591000",47,"1-201","1 -  201","01",167.47,1,"1",28-OCT-24
"1","2","591000",47,"1-267","1 -  267","67",219.96,1,"1",28-OCT-24
"1","2","591000",71,"1-200Z","1 -  200Z","00Z",430.58,1,"1",28-OCT-24
"1","2","591000",71,"1-201Z","1 -  201Z","01Z",53.63,1,"1",28-OCT-24
"1","2","591000",71,"1-267Z","1 -  267Z","67Z",25.56,1,"1",28-OCT-24
"1","2","591000",77,"1-200SA","1 -  200SA","00SA",689.06,1,"1",28-OCT-24
"1","2","591000",77,"1-200SB","1 -  200SB","00SB",214.5,1,"1",28-OCT-24
"1","2","591000",77,"1-200SC","1 -  200SC","00SC",129.38,1,"1",28-OCT-24
"1","2","591000",82,"1-213T","1 -  213T","13T",130.5,1,"1",28-OCT-24
"1","2","591000",82,"1-228T","1 -  228T","28T",92.17,1,"1",28-OCT-24
"1","2","591000",82,"1-252T","1 -  252T","52T",93.23,1,"1",28-OCT-24
"1","2","591000",85,"1-215B","1 -  215B","15B",16.77,1,"1",28-OCT-24
"1","2","591000",85,"1-250AA","1 -  250AA","50AA",7.03,1,"1",28-OCT-24
"1","3","063000",16,"1-363C","1 -  363C","63C",162.74,1,"1",28-OCT-24
"1","3","063000",36,"1-333","1 -  333","33",90.06,1,"1",28-OCT-24
"1","3","063000",36,"1-336","1 -  336","36",76.42,1,"1",28-OCT-24
"1","3","063000",36,"1-336B","1 -  336B","36B",54.9,1,"1",28-OCT-24
"1","3","063000",36,"1-337A","1 -  337A","37A",70.98,1,"1",28-OCT-24
"1","3","063000",36,"1-339","1 -  339","39",15.31,1,"1",28-OCT-24
"1","3","063000",36,"1-340A","1 -  340A","40A",75.23,1,"1",28-OCT-24
"1","3","063000",54,"1-330","1 -  330","30",194.54,1,"1",28-OCT-24
"1","3","063000",54,"1-331","1 -  331","31",263.06,1,"1",28-OCT-24
"1","3","063000",54,"1-342B","1 -  342B","42B",263.25,1,"1",28-OCT-24
"1","3","063000",54,"1-343A","1 -  343A","43A",244.83,1,"1",28-OCT-24
"1","3","063000",54,"1-343B","1 -  343B","43B",194.75,1,"1",28-OCT-24
"1","3","063000",54,"1-343C","1 -  343C","43C",76.47,1,"1",28-OCT-24
"1","3","063000",54,"1-346","1 -  346","46",334.99,1,"1",28-OCT-24
"1","3","063000",54,"1-348A","1 -  348A","48A",177.26,1,"1",28-OCT-24
"1","3","063000",54,"1-350","1 -  350","50",625.46,1,"1",28-OCT-24
"1","3","063000",54,"1-353A","1 -  353A","53A",132.47,1,"1",28-OCT-24
"1","3","063000",54,"1-363A","1 -  363A","63A",319.94,1,"1",28-OCT-24
"1","3","063000",54,"1-363B","1 -  363B","63B",203.13,1,"1",28-OCT-24
"1","3","063000",54,"1-370","1 -  370","70",161,1,"1",28-OCT-24
"1","3","063000",54,"1-372","1 -  372","72",146.63,1,"1",28-OCT-24
"1","3","063000",54,"1-374","1 -  374","74",147.58,1,"1",28-OCT-24
"1","3","063000",54,"1-376","1 -  376","76",157.17,1,"1",28-OCT-24
"1","3","063000",54,"1-378","1 -  378","78",148.54,1,"1",28-OCT-24
"1","3","063000",54,"1-380","1 -  380","80",149.5,1,"1",28-OCT-24
"1","3","063000",54,"1-382","1 -  382","82",181.13,1,"1",28-OCT-24
"1","3","063000",54,"1-383","1 -  383","83",116.92,1,"1",28-OCT-24
"1","3","063000",55,"1-342A","1 -  342A","42A",192.13,1,"1",28-OCT-24
"1","3","063000",55,"1-342C","1 -  342C","42C",68.63,1,"1",28-OCT-24
"1","3","063000",55,"1-345","1 -  345","45",71.5,1,"1",28-OCT-24
"1","3","063000",55,"1-353B","1 -  353B","53B",5.42,1,"1",28-OCT-24
"1","3","063000",55,"1-363","1 -  363","63",160.24,1,"1",28-OCT-24
"1","3","063000",55,"1-370A","1 -  370A","70A",15.44,1,"1",28-OCT-24
"1","3","063000",64,"1-343","1 -  343","43",57.98,1,"1",28-OCT-24
"1","3","063000",64,"1-347","1 -  347","47",66.79,1,"1",28-OCT-24
"1","3","063000",67,"1-342","1 -  342","42",133.6,1,"1",28-OCT-24
"1","3","063000",67,"1-348","1 -  348","48",121.67,1,"1",28-OCT-24
"1","3","063000",67,"1-353","1 -  353","53",184.36,1,"1",28-OCT-24
"1","3","063000",69,"1-333A","1 -  333A","33A",107.67,1,"1",28-OCT-24
