"LIBRARY_RESERVE_CATALOG_KEY","CATALOG_TITLE","CATALOG_AUTHOR_NAME","CATALOG_YEAR","CATALOG_PUBLISHER","CATALOG_CALL_NUMBER","CATALOG_ISBN","CATALOG_SYSTEM_NUMBER","CATALOG_RECORD_CREATE_DATE","CATALOG_RECORD_UPDATE_DATE","RECORD_COUNTER","WAREHOUSE_LOAD_DATE"
"000001472","","","   0","","","","000001472",20-AUG-01,16-JUN-03,1,13-MAR-08
"000001473","","","   0","","","","000001473",20-AUG-01,20-AUG-01,1,13-MAR-08
"000001474","The object of memory : Arab and Jew narrate the Palestinian village / Susan Slyomovics.","Slyomovics, Susan.","1998","Philadelphia : University of Pennsylvania Press, c1998.","DS110.E645.S59 1998","0812232151 (alk. paper)","000001474",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001475","On photography / Susan Sontag.","Sontag, Susan, 1933-","1989","New York : Farrar, Straus and Giroux, 1989.","TR183.S65 1989","0374521131","000001475",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001476","Visual anthropology : photography as a research method / John Collier, Jr., and Malcolm Collier.","Collier, John, 1913-","1986","Albuquerque : University of New Mexico Press, c1986.","GN347.C699 1986","0826308988","000001476",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001477","Camera lucida : reflections on photography / Roland Barthes ; translated by Richard Howard.","Barthes, Roland.","1981","New York : Hill and Wang, 1981.","TR642.B3713 1981","0809033402 : 10.95","000001477",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001478","The burden of representation : essays on photographies and histories / John Tagg.","Tagg, John.","1988","Houndmills, Basingstoke, Hampshire : Macmillan Education, 1988.","TR183.T34 1988","0333418239 (cased) : #25.00","000001478",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001479","","","   0","","","","000001479",20-AUG-01,25-AUG-05,1,13-MAR-08
"000001480","Reading National geographic / Catherine A. Lutz and Jane L. Collins.","Lutz, Catherine.","1993","Chicago : University of Chicago Press, 1993.","G1.N275.L88 1993","0226497232","000001480",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001481","The killing fields / [edited by Chris Riley and Douglas Niven].","","1996","Santa Fe, N.M. : Twin Palms Publishers, 1996.","DS554.842.K54 1996","094409239X","000001481",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001482","Diana & Nikon : essays on photography / by Janet Malcolm.","Malcolm, Janet.","1997","New York, N.Y. : Aperture, c1997.","TR183.M338 1997","0893817279 : $29.95","000001482",20-AUG-01,13-MAY-08,1,14-MAY-08
"000001483","Anthropology and photography, 1860-1920 / edited by Elizabeth Edwards.","","1992","New Haven : Yale University Press in association with the Royal Anthropological Institute, London, 1","GN347.A59 1992","0300051689","000001483",20-AUG-01,13-MAY-08,1,14-MAY-08
"000056720","This course is cross-listed with 2.570. See URL for course reading list.","","2000","","","","000056720",22-JAN-10,02-FEB-10,1,03-FEB-10
"000056704","This course is cross-listed with 2.14. See URL for course reading list.","","2000","","","","000056704",22-JAN-10,26-MAY-11,1,27-MAY-11
"000056665","The strategy of economic development / Albert O. Hirschman.","Hirschman, Albert O.","1988","Boulder : Westview Press, 1988.","HD82.H49 1988b","0813374197 (alk. paper)","000056665",22-JAN-10,22-JAN-10,1,24-JAN-10
"000056760","A history of the modern Middle East / William L. Cleveland.","Cleveland, William L.","2004","Boulder, Colo. : Westview Press, c2004.","DS62.4.C53 2004","0813340489 (pbk. : alk. paper)","000056760",23-JAN-10,23-JAN-10,1,24-JAN-10
"000010593","","","   0","","","","000010593",12-SEP-02,12-SEP-02,1,13-MAR-08
"000010594","","","   0","","","","000010594",12-SEP-02,12-SEP-02,1,13-MAR-08
"000010595","Introduction to linear optimization / Dimitris Bertsimas, John N. Tsitsiklis.","Bertsimas, Dimitris.","1997","Belmont, Mass. : Athena Scientific, c1997.","T57.74.B465 1997","1886529191","000010595",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010596","Reader for Course 1.258","","   0","","1.258-WILSON Reader","","000010596",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010597","Reader for Course 1.258","","   0","","","","000010597",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010598","","","   0","","","","000010598",12-SEP-02,07-JUN-04,1,13-MAR-08
"000010599","","","   0","","","","000010599",12-SEP-02,07-JUN-04,1,13-MAR-08
"000010600","","","   0","","","","000010600",12-SEP-02,07-SEP-05,1,13-MAR-08
"000010601","","","   0","","","","000010601",12-SEP-02,12-SEP-02,1,13-MAR-08
"000010602","Inventing America. Volume I","Maier, P.","   0","","","","000010602",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010603","Governing China, chapter 2","Lieberthal, Kenneth","   0","","Professor Collection","","000010603",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010604","test item","","   0","","","","000010604",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010605","","","   0","","","","000010605",12-SEP-02,07-JAN-03,1,13-MAR-08
"000010606","Negotiating the State","Saich, Tony","   0","","Professor Collection","","000010606",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010607","","","   0","","","","000010607",12-SEP-02,07-JAN-03,1,13-MAR-08
"000010608","The Post-Communist Personality","Wang, Xiaoying","   0","","Professor Collection","","000010608",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010609","","","   0","","","","000010609",12-SEP-02,27-AUG-03,1,13-MAR-08
"000010610","","","   0","","","","000010610",12-SEP-02,27-AUG-03,1,13-MAR-08
"000010611","","","   0","","","","000010611",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010612","","","   0","","","","000010612",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010613","","","   0","","","","000010613",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010614","","","   0","","","","000010614",12-SEP-02,25-JAN-03,1,13-MAR-08
"000010615","","","   0","","","","000010615",12-SEP-02,25-JAN-03,1,13-MAR-08
"000010616","","","   0","","","","000010616",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010617","","","   0","","","","000010617",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010618","","","   0","","","","000010618",12-SEP-02,25-JAN-03,1,13-MAR-08
"000010619","","","   0","","","","000010619",12-SEP-02,25-JAN-03,1,13-MAR-08
"000010620","","","   0","","","","000010620",12-SEP-02,25-JAN-03,1,13-MAR-08
"000010621","","","   0","","","","000010621",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010622","Tears of rage","Gries, Peter Hays","   0","","Professor Collection","","000010622",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010623","","","   0","","","","000010623",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010624","","","   0","","","","000010624",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010625","","","   0","","","","000010625",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010626","","","   0","","","","000010626",12-SEP-02,27-AUG-03,1,13-MAR-08
"000010627","","","   0","","","","000010627",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010628","","","   0","","","","000010628",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010629","WHO IS US?","Gourevitch, P. et al.","   0","","","","000010629",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010630","","","   0","","","","000010630",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010631","","","   0","","","","000010631",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010632","","","   0","","","","000010632",12-SEP-02,27-AUG-03,1,13-MAR-08
"000010633","","","   0","","","","000010633",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010634","WHO IS US?","Gourevitch, P. et al.","   0","","","","000010634",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010635","","","   0","","","","000010635",12-SEP-02,27-AUG-03,1,13-MAR-08
"000010636","","","   0","","","","000010636",12-SEP-02,07-JAN-03,1,13-MAR-08
"000010637","Who is US?","Gourevitch, P. et al.","   0","","Professor Collection","","000010637",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010638","","","   0","","","","000010638",12-SEP-02,07-JAN-03,1,13-MAR-08
"000010639","","","   0","","","","000010639",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010640","","","   0","","","","000010640",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010641","","","   0","","","","000010641",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010642","","","   0","","","","000010642",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010643","","","   0","","","","000010643",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010644","","","   0","","","","000010644",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010645","","","   0","","","","000010645",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010646","","","   0","","","","000010646",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010647","","","   0","","","","000010647",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010648","","","   0","","","","000010648",12-SEP-02,17-DEC-02,1,13-MAR-08
"000010649","","","   0","","","","000010649",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010650","","","   0","","","","000010650",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010651","","","   0","","","","000010651",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010652","","","   0","","","","000010652",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010653","","","   0","","","","000010653",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010654","","","   0","","","","000010654",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010655","","","   0","","","","000010655",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010656","","","   0","","","","000010656",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010657","","","   0","","","","000010657",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010658","","","   0","","","","000010658",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010659","","","   0","","","","000010659",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010660","","","   0","","","","000010660",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010661","","","   0","","","","000010661",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002153","21M.341 Tape 7 -Duke Ellington","","   0","","Cassette M341 comp no.7","","000002153",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010662","","","   0","","","","000010662",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002154","21M.341 Tape 8 -George Russell","","   0","","Cassette M341 comp no.8","","000002154",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010663","","","   0","","","","000010663",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002155","","","   0","","","","000002155",29-AUG-01,24-AUG-04,1,13-MAR-08
"000010664","","","   0","","","","000010664",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010665","","","   0","","","","000010665",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002156","21M.341 Tape 8 -George Russell","","   0","","Cassette M341 comp no.8","","000002156",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010666","","","   0","","","","000010666",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010667","","","   0","","","","000010667",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002157","21M.341 Tape 9 -Post-Modern Music","","   0","","Cassette M341 comp no.9","","000002157",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010668","","","   0","","","","000010668",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002158","21M.345 Tape 10 -Mark Harvey 1","","   0","","Cassette M341 comp no.10","","000002158",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010669","","","   0","","","","000010669",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002159","21M.341 Tape 11 -Mark Harvey 2","","   0","","Cassette M341 comp no.11","","000002159",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010670","","","   0","","","","000010670",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002160","","","   0","","","","000002160",29-AUG-01,31-JUL-03,1,13-MAR-08
"000010671","","","   0","","","","000010671",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010672","","","   0","","","","000010672",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002161","21M.341 Tape 1 -Charlie Parker","","   0","","Cassette M341 no.1","","000002161",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010673","","","   0","","","","000010673",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010674","","","   0","","","","000010674",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002162","21M.341 Tape 2 -Thelonious Monk","","   0","","Cassette M341 no.2","","000002162",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010675","","","   0","","","","000010675",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002163","","","   0","","","","000002163",29-AUG-01,10-SEP-01,1,13-MAR-08
"000010676","","","   0","","","","000010676",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002164","21M.345 Tape 3 -Clifford Brown and Hard Bop","","   0","","Cassette M341 no.3","","000002164",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010677","","","   0","","","","000010677",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002165","","","   0","","","","000002165",29-AUG-01,10-SEP-01,1,13-MAR-08
"000010678","","","   0","","","","000010678",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002166","","","   0","","","","000002166",29-AUG-01,10-SEP-01,1,13-MAR-08
"000010679","","","   0","","","","000010679",12-SEP-02,15-AUG-03,1,13-MAR-08
"000002167","","","   0","","","","000002167",29-AUG-01,10-SEP-01,1,13-MAR-08
"000010680","","","   0","","","","000010680",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010681","","","   0","","","","000010681",12-SEP-02,15-AUG-03,1,13-MAR-08
"000010682","","","   0","","","","000010682",12-SEP-02,28-MAY-04,1,13-MAR-08
"000002168","21M.341 Tape 4 -Miles Davis","","   0","","Cassette M341 no.4","","000002168",29-AUG-01,02-FEB-09,1,03-FEB-09
"000002169","","","   0","","","","000002169",29-AUG-01,10-SEP-01,1,13-MAR-08
"000010683","","","   0","","","","000010683",12-SEP-02,28-MAY-04,1,13-MAR-08
"000002170","21M.341 Tape 5 -Benny Golson, et al","","   0","","Cassette M341 no.5","","000002170",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010684","","","   0","","","","000010684",12-SEP-02,03-SEP-03,1,13-MAR-08
"000002171","","","   0","","","","000002171",29-AUG-01,31-JUL-03,1,13-MAR-08
"000002172","21M.341 Tape 6 -Charles Mingus","","   0","","Cassette M341 no.6","","000002172",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010685","An introduction to the physiology of hearing / James O. Pickles.","Pickles, James O.","1988","London ; New York : Academic, 1988.","QP461.P54 1988","0125547536 (cased) :","000010685",12-SEP-02,02-FEB-09,1,10-DEC-09
"000020078","","","   0","","","","000020078",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011324","","","   0","","","","000011324",04-OCT-02,03-JUN-03,1,13-MAR-08
"000011325","","","   0","","","","000011325",04-OCT-02,03-JUN-03,1,13-MAR-08
"000020079","","","   0","","","","000020079",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003002","The Marx-Engels reader. Edited by Robert C. Tucker.","Marx, Karl, 1818-1883.","1972","New York, Norton [1972]","HX39.5.A2247","0393054578","000003002",10-SEP-01,02-FEB-09,1,10-DEC-09
"000011326","","","   0","","","","000011326",04-OCT-02,03-JUN-03,1,13-MAR-08
"000020080","","","   0","","","","000020080",23-JAN-04,19-FEB-05,1,13-MAR-08
"000011327","","","   0","","","","000011327",04-OCT-02,03-JUN-03,1,13-MAR-08
"000020081","","","   0","","","","000020081",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011328","","","   0","","","","000011328",04-OCT-02,03-JUN-03,1,13-MAR-08
"000020082","","","   0","","","","000020082",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011329","","","   0","","","","000011329",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020083","","","   0","","","","000020083",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011330","","","   0","","","","000011330",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020084","","","   0","","","","000020084",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003003","The logic of collective action; public goods and the theory of groups [by] Mancur Olson, Jr.","Olson, Mancur.","1965","Cambridge, Mass., Harvard University Press, 1965.","HM131.O52","","000003003",10-SEP-01,02-FEB-09,1,03-FEB-09
"000011331","","","   0","","","","000011331",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020085","","","   0","","","","000020085",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011332","","","   0","","","","000011332",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020086","","","   0","","","","000020086",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011333","","","   0","","","","000011333",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020087","","","   0","","","","000020087",23-JAN-04,03-JUN-04,1,13-MAR-08
"000020088","","","   0","","","","000020088",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011334","","","   0","","","","000011334",04-OCT-02,29-JAN-03,1,13-MAR-08
"000003004","Beyond individualism / Michael J. Piore.","Piore, Michael J.","1995","Cambridge, Mass. : Harvard University Press, 1995.","HM136.P63 1995","0674068971 (acid-free paper)","000003004",10-SEP-01,02-FEB-09,1,03-FEB-09
"000020089","","","   0","","","","000020089",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011335","","","   0","","","","000011335",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020090","","","   0","","","","000020090",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011336","","","   0","","","","000011336",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020091","","","   0","","","","000020091",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011337","","","   0","","","","000011337",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020092","","","   0","","","","000020092",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011338","","","   0","","","","000011338",04-OCT-02,29-JAN-03,1,13-MAR-08
"000020093","","","   0","","","","000020093",23-JAN-04,02-FEB-04,1,13-MAR-08
"000003005","Culture and practical reason / Marshall Sahlins.","Sahlins, Marshall David, 1930-","1976","Chicago : University of Chicago Press, 1976.","GN345.S24","0226733599 :","000003005",10-SEP-01,02-FEB-09,1,10-DEC-09
"000011339","","","   0","","","","000011339",04-OCT-02,03-MAR-03,1,13-MAR-08
"000020094","","","   0","","","","000020094",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011340","","","   0","","","","000011340",04-OCT-02,03-MAR-03,1,13-MAR-08
"000020095","","","   0","","","","000020095",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011341","","","   0","","","","000011341",04-OCT-02,03-MAR-03,1,13-MAR-08
"000020096","","","   0","","","","000020096",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011342","","","   0","","","","000011342",04-OCT-02,03-MAR-03,1,13-MAR-08
"000020097","","","   0","","","","000020097",23-JAN-04,30-JAN-04,1,13-MAR-08
"000011343","","","   0","","","","000011343",04-OCT-02,13-MAY-03,1,13-MAR-08
"000020098","","","   0","","","","000020098",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003006","The great transformation. Foreword by Robert M. MacIver.","Polanyi, Karl, 1886-1964.","1957","Boston, Beacon Press [1957, c1944]","HC53.P762 1957","","000003006",10-SEP-01,02-FEB-09,1,03-FEB-09
"000011344","","","   0","","","","000011344",04-OCT-02,23-JAN-03,1,13-MAR-08
"000020099","","","   0","","","","000020099",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011345","","","   0","","","","000011345",04-OCT-02,15-SEP-04,1,13-MAR-08
"000020100","","","   0","","","","000020100",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011346","","","   0","","","","000011346",04-OCT-02,26-DEC-02,1,13-MAR-08
"000020101","","","   0","","","","000020101",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011347","","","   0","","","","000011347",04-OCT-02,26-DEC-02,1,13-MAR-08
"000020102","","","   0","","","","000020102",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011348","","","   0","","","","000011348",04-OCT-02,17-JUN-05,1,13-MAR-08
"000020103","","","   0","","","","000020103",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011349","","","   0","","","","000011349",04-OCT-02,20-DEC-02,1,13-MAR-08
"000003007","The Protestant ethic and the spirit of capitalism. Translated by Talcott Parsons. With a foreword by","Weber, Max, 1864-1920.","1958","New York, Scribner [1958]","BR115.E3.W375","","000003007",10-SEP-01,02-FEB-09,1,03-FEB-09
"000020104","","","   0","","","","000020104",23-JAN-04,03-JUN-04,1,13-MAR-08
"000020105","","","   0","","","","000020105",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003008","","","   0","","","","000003008",10-SEP-01,31-JAN-03,1,13-MAR-08
"000011350","","","   0","","","","000011350",04-OCT-02,03-JUN-04,1,13-MAR-08
"000020106","","","   0","","","","000020106",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003009","","","   0","","","","000003009",10-SEP-01,09-JUN-03,1,13-MAR-08
"000011351","","","   0","","","","000011351",04-OCT-02,20-DEC-02,1,13-MAR-08
"000020107","","","   0","","","","000020107",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003010","","","   0","","","","000003010",10-SEP-01,09-JUN-03,1,13-MAR-08
"000011352","","","   0","","","","000011352",04-OCT-02,20-DEC-02,1,13-MAR-08
"000020108","","","   0","","","","000020108",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003011","","","   0","","","","000003011",10-SEP-01,31-MAR-04,1,13-MAR-08
"000011353","","","   0","","","","000011353",04-OCT-02,20-DEC-02,1,13-MAR-08
"000020109","","","   0","","","","000020109",23-JAN-04,03-JUN-04,1,13-MAR-08
"000003012","Music of the Peoples of The World","Alves, Bill","   0","","Photocopy M030-R no.1","","000003012",10-SEP-01,02-FEB-09,1,03-FEB-09
"000011354","Electronic Reserves - 9.04 - Fall 2002","","   0","","","","000011354",07-OCT-02,02-FEB-09,1,03-FEB-09
