"SIS_COURSE_DESCRIPTION_KEY","COURSE","COURSE_DESCRIPTION","COURSE_DESCRIPTION_LONG","DEPARTMENT","DEPARTMENT_NAME","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME","SCHOOL_NAME_IN_COMMENCEMENT_BK","FROM_TERM","FROM_TERM_DESCRIPTION","THRU_TERM","THRU_TERM_DESCRIPTION","COURSE_OPTION","COURSE_LEVEL","CIP_PROGRAM_CODE","IS_DEGREE_GRANTING","DEFAULT_ULTIMATE_DEGREE","GRADAUTE_LEVEL","GRADUATE_LEVEL","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"11:M:G","11 M","Urb St & Plan - SM","Urban Studies and Planning","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","999999","End of Time","M","G","040301","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"11:MCP:G","11 MCP","Urb St & Plan - Master City Pl","Urban Studies and Planning","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","999999","End of Time","MCP","G","040301","Y","MCP","Masters","Masters",23-JUL-15,28-OCT-24
"11:NIE:G","11 NIE","Urb St & Plan - Exchange","Urban Studies and Planning","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","2004SP","Spring Term 2003-2004","999999","End of Time","NIE","G","040301","N","NDG","","",31-MAR-05,28-OCT-24
"11:NIV:G","11 NIV","Urb St & Plan - Visiting","Urban Studies and Planning","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","2004SP","Spring Term 2003-2004","999999","End of Time","NIV","G","040301","N","NDG","","",31-MAR-05,28-OCT-24
"11:RE:G","11 RE","Urb St & Plan - SM Real Est Dv","Urban Studies and Planning (Real Estate Development)","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","2008SU","Summer Term 2008","RE","G","040301","Y","SM","Masters","Masters",23-SEP-09,28-OCT-24
"11:SC:G","11 SC","USP -- SPURS & Comm Fellows","Urban Studies and Planning","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","1995SU","Summer Term 1995","999999","End of Time","SC","G","040301","N","NDG","","",23-JUL-15,28-OCT-24
"11:TP:G","11 TP","Urb St & Plan - SM Tech & Pol","Urban Studies and Planning (Technology and Policy Program)","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TP","G","040301","Y","SM","Masters","Masters",19-MAR-04,28-OCT-24
"11:TPD:G","11 TPD","Urb St & Plan -DOC Tech & Pol","Urban Studies and Planning (Technology and Policy Program)","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TPD","G","040301","Y","DOC","Doctoral","Doctoral",19-MAR-04,28-OCT-24
"12::G","12","Earth, Atm & Planetary Sci","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","000000","Beginning of Time","999999","End of Time","","G","400601","N","NDG","","",23-JUL-15,28-OCT-24
"12::U","12","Earth, Atm & Planetary Sci","Earth, Atmospheric, and Planetary Sciences (Course 12)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","000000","Beginning of Time","999999","End of Time","","U","400601","Y","SB","","",11-MAY-20,28-OCT-24
"12:AD:G","12 AD","EAPS - Atmospheric Sci - DOC","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","AD","G","400404","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:AM:G","12 AM","EAPS - Atmospheric Sci - SM","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","AM","G","400404","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:AWD:G","12 AWD","EAPS - Atmospheric Sci - DOC","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","AWD","G","400404","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:AWM:G","12 AWM","EAPS - Atmospheric Sci - SM","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","AWM","G","400404","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:BD:G","12 BD","EAPS - Climate Science-DOC","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","BD","G","400401","Y","DOC","Doctoral","Doctoral",16-FEB-17,28-OCT-24
"12:BM:G","12 BM","EAPS - Climate Science-SM","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","BM","G","400401","Y","SM","Masters","Masters",16-FEB-17,28-OCT-24
"12:BWD:G","12 BWD","EAPS - Climate Science-DOC","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","BWD","G","400401","Y","DOC","Doctoral","Doctoral",16-FEB-17,28-OCT-24
"12:BWM:G","12 BWM","EAPS - Climate Science-SM","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","BWM","G","400401","Y","SM","Masters","Masters",16-FEB-17,28-OCT-24
"12:CD:G","12 CD","EAPS - Oceanography - DOC","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","CD","G","400607","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:CM:G","12 CM","EAPS - Oceanography - SM","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","CM","G","400607","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:CME:U","12 CME","EAPS - Cambridge-MIT","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2005FA","Fall Term 2004-2005","2018SU","Summer Term 2018","CME","U","400601","N","NDG","","",04-AUG-23,28-OCT-24
"12:CSD:G","12 CSD","EAPS - Doctoral","Earth, Atmosphere, and Planetary Science - Doctoral","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2019FA","Fall Term 2018-2019","999999","End of Time","CSD","G","110101","Y","DOC","Doctoral","Doctoral",21-DEC-18,28-OCT-24
"12:CWD:G","12 CWD","EAPS - Oceanography - DOC","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","CWD","G","400607","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:CWM:G","12 CWM","EAPS - Oceanography - SM","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","CWM","G","400607","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:D:G","12 D","EAPS - Doctoral","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","000000","Beginning of Time","2004FA","Fall Term 2003-2004","D","G","400601","Y","DOC","Doctoral","Doctoral",15-NOV-10,28-OCT-24
"12:ED:G","12 ED","EAPS - Geology/Earth Sci - DOC","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","ED","G","400601","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:EM:G","12 EM","EAPS - Geology/Earth Sci - SM","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","EM","G","400601","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:EWD:G","12 EWD","EAPS - Geology/Earth Sci - DOC","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","EWD","G","400601","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:EWM:G","12 EWM","EAPS - Geology/Earth Sci - SM","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","EWM","G","400601","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:FD:G","12 FD","EAPS - Planetary Science - DOC","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","FD","G","400203","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:FM:G","12 FM","EAPS - Planetary Science - SM","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","FM","G","400203","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:FWD:G","12 FWD","EAPS - Planetary Science - DOC","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","2013SP","Spring Term 2012-2013","FWD","G","400203","Y","DOC","Doctoral","Doctoral",14-JUN-13,28-OCT-24
"12:FWM:G","12 FWM","EAPS - Planetary Science - SM","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","2013SP","Spring Term 2012-2013","FWM","G","400203","Y","SM","Masters","Masters",04-AUG-23,28-OCT-24
"12:GD:G","12 GD","EAPS - Geophys & Seismol - DOC","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","GD","G","400603","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:GM:G","12 GM","EAPS - Geophys & Seismol - SM","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","GM","G","400603","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:GWD:G","12 GWD","EAPS - Geophys & Seismol - DOC","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","GWD","G","400603","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"12:GWM:G","12 GWM","EAPS - Geophys & Seismol - SM","Earth, Atmopsheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2003FA","Fall Term 2002-2003","999999","End of Time","GWM","G","400603","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"12:M:G","12 M","EAPS - SM","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","000000","Beginning of Time","2004FA","Fall Term 2003-2004","M","G","400601","Y","SM","Masters","Masters",26-OCT-06,28-OCT-24
"12:NIE:G","12 NIE","EAPS - Exchange","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2004SP","Spring Term 2003-2004","999999","End of Time","NIE","G","400601","N","NDG","","",25-APR-05,28-OCT-24
"12:NIE:U","12 NIE","EAPS - Exchange","Earth, Atmospheric, and Planetary Science","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2019FA","Fall Term 2018-2019","999999","End of Time","NIE","U","400601","N","NDG","","",12-JAN-21,28-OCT-24
"12:NIV:G","12 NIV","EAPS - Visiting","Earth, Atmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2004SP","Spring Term 2003-2004","999999","End of Time","NIV","G","400601","N","NDG","","",25-APR-05,28-OCT-24
"12:NIV:U","12 NIV","EAPS - Visiting","Earth, Athmospheric, and Planetary Sciences","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","2010SU","Summer Term 2010","999999","End of Time","NIV","U","400601","N","NDG","","",11-JUN-10,28-OCT-24
"12:TP:G","12 TP","EAPS - SM Tech & Policy","Earth, Atmospheric, and Planetary Sciences (Technology and Policy Program)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","1998FA","Fall Term 1997-1998","2004FA","Fall Term 2003-2004","TP","G","400601","Y","SM","Masters","Masters",14-JAN-05,28-OCT-24
"12:TPD:G","12 TPD","EAPS - Doctoral Tech & Policy","Earth, Atmospheric, and Planetary Sciences (Technology and Policy Program)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","1998FA","Fall Term 1997-1998","2004FA","Fall Term 2003-2004","TPD","G","400601","Y","DOC","Doctoral","Doctoral",14-JAN-05,28-OCT-24
"12:W:G","12 W","EAPS - WHOI","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","000000","Beginning of Time","2004FA","Fall Term 2003-2004","W","G","400601","N","NDG","","",26-OCT-06,28-OCT-24
"12:WD:G","12 WD","EAPS - Doctoral WHOI","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","000000","Beginning of Time","2004FA","Fall Term 2003-2004","WD","G","400601","Y","DOC","Doctoral","Doctoral",14-JAN-05,28-OCT-24
"12:WM:G","12 WM","EAPS - SM WHOI","Earth, Atmospheric, and Planetary Sciences (with Woods Hole Oceanographic Institution)","12","Earth, Atmos & Planetary Sci","Department of Earth, Atmospheric, and Planetary Sciences","Science","School of Science","000000","Beginning of Time","2004FA","Fall Term 2003-2004","WM","G","400601","Y","SM","Masters","Masters",26-OCT-06,28-OCT-24
"13::G","13","Ocean Eng","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","","G","142401","N","NDG","","",26-OCT-06,28-OCT-24
"13::U","13","Ocean Engineering","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","","U","142401","Y","SB","","",04-AUG-23,28-OCT-24
"13:A:G","13 A","Ocean Eng - SM/Eng Nav Con/Eng","Ocean Engineering (Naval Construction and Engineering)","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","A","G","142401","N","","Masters","Masters",26-JUL-06,28-OCT-24
"13:B:G","13 B","Ocean Eng - SM Ocean Syst Mgt","Ocean Engineering (Ocean Systems Management)","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","B","G","142401","N","","Masters","Masters",26-JUL-06,28-OCT-24
"13:BTP:G","13 BTP","Ocean Eng - SM Tech & Policy","Ocean Engineering (Technology and Policy Program)","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2004FA","Fall Term 2003-2004","BTP","G","142401","Y","SM","Masters","Masters",19-MAR-04,28-OCT-24
"13:C:U","13 C","Ocean Engineering - internship","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2004FA","Fall Term 2003-2004","C","U","142401","Y","SB","","",25-APR-05,28-OCT-24
"13:CT:G","13 CT","Ocean Eng - SM CTS","Ocean Engineering (Transportation Studies)","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","CT","G","140804","Y","SM","Masters","Masters",26-JUL-06,28-OCT-24
"13:D:G","13 D","Ocean Eng - Doctoral","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","D","G","142401","Y","DOC","Doctoral","Doctoral",26-JUL-06,28-OCT-24
"13:M:G","13 M","Ocean Eng - SM/Eng","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","M","G","142401","N","","Masters","Masters",26-JUL-06,28-OCT-24
"13:NIE:G","13 NIE","Ocean Eng - Exchange","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","2006SP","Spring Term 2005-2006","NIE","G","142401","N","NDG","","",26-JUL-06,28-OCT-24
"13:NIV:G","13 NIV","Ocean Eng - Visiting","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","2006SP","Spring Term 2005-2006","NIV","G","142401","N","NDG","","",26-JUL-06,28-OCT-24
"13:P:G","13 P","Ocean Eng - Master of Eng","Ocean Engineering","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","000000","Beginning of Time","2006SP","Spring Term 2005-2006","P","G","142401","Y","MNG","Masters","Masters",26-JUL-06,28-OCT-24
"13:PW:G","13 PW","Ocean Eng - Master of Eng-WHOI","Ocean Engineering (with Woods Hole Oceanographic Institution)","13","Ocean Engineering","Department of Ocean Engineering","Engineering","School of Engineering","1998SP","Spring Term 1997-1998","2006SP","Spring Term 2005-2006","PW","G","142401","Y","MNG","Masters","Masters",26-JUL-06,28-OCT-24
