"FCLT_ORGANIZATION_KEY","SPACE_UNIT_KEY","SPACE_UNIT_CODE","SPACE_UNIT","DLC_KEY","WAREHOUSE_LOAD_DATE"
"142","067900","067900","Computer Sciences and Artificial Intelligence Lab","D_CSAIL",28-OCT-24
"283","440102","440102","D-LAB","D_D-LAB",28-OCT-24
"197","154000","154000","Mathematics","D_MATHS",28-OCT-24
"199","065000","065000","Mechanical Engineering","D_MECHE",28-OCT-24
"194","069700","069700","Mechanical Engineering","D_MECHE",28-OCT-24
"248","266300","266300","Mechanical Engineering","D_MECHE",28-OCT-24
"200","039000","039000","Media Lab","D_MEDIA",28-OCT-24
"279","401823","401823","MIT OFFICE OF INNOVATION","D_MITOI",28-OCT-24
"225","875000","875000","MIT Press","D_PRESS",28-OCT-24
"245","121000","121000","Sloan School of Management","D_SLOAN",28-OCT-24
"107","093200","093200","Anthropology","D_ANTHRO",28-OCT-24
"116","069200","069200","Biological Engineering","D_BIOENG",28-OCT-24
"147","801000","801000","Campus Dining","D_DINING",28-OCT-24
"151","442000","442000","Dean for Student Life - Headquarters","D_DSL:HQ",28-OCT-24
"152","441000","441000","DUE HQ","D_DUE:HQ",28-OCT-24
"163","404500","404500","Executive Vice President's Office","D_EXECVP",28-OCT-24
"281","402410","402410","Abdul Latif Jameel Water and Food Systems Lab","D_J-WAFS",28-OCT-24
"165","265000","265000","Francis Bitter Magnet Laboratory","D_MAGLAB",28-OCT-24
"109","401801","401801","Masdar Institute","D_MASDAR",28-OCT-24
"280","402400","402400","MIT Environmental Solutions Initiative","D_MITESI",28-OCT-24
"206","401811","401811","MIT Museum","D_MUSEUM",28-OCT-24
"178","060300","060300","Nuclear Science and Engineering","D_NUCENG",28-OCT-24
"208","068000","068000","Nuclear Science and Engineering","D_NUCENG",28-OCT-24
"222","492900","492900","MIT Police","D_POLICE",28-OCT-24
"223","095500","095500","Political Science","D_POLSCI",28-OCT-24
"234","410000","410000","Vice President for Resource Development","D_RESDEV",28-OCT-24
"141","410010","410010","Vice President for Resource Development","D_RESDEV",28-OCT-24
"272","413000","413000","Vice President for Resource Development","D_RESDEV",28-OCT-24
"117","151000","151000","Biology","D_BIOLOGY",28-OCT-24
"145","402100","402100","Division Of Comparative Medicine","D_COMPMED",28-OCT-24
"246","150000","150000","Dean Of Science","D_DEANSCI",28-OCT-24
"171","093400","093400","History","D_HISTORY",28-OCT-24
"236","861000","861000","Housing and Residential Services","D_HOUSING",28-OCT-24
"191","310000","310000","Lincoln Laboratory","D_LINCOLN",28-OCT-24
"201","495000","495000","MIT Health","D_MEDICAL",28-OCT-24
"121","862000","862000","MIT Card Office","D_MITCARD",28-OCT-24
"177","420000","420000","MIT Investment Management Company","D_MITIMCO",28-OCT-24
"218","405900","405900","Parking and Transportation","D_PARKING",28-OCT-24
"219","158000","158000","Physics","D_PHYSICS",28-OCT-24
"227","407030","407030","Procurement Office","D_PROCURE",28-OCT-24
"211","401800","401800","Provost's Office","D_PROVOST",28-OCT-24
"229","591024","591024","Provost's Office","D_PROVOST",28-OCT-24
"138","874200","874200","Copy Technology Center","D_COPYTECH",28-OCT-24
"247","030000","030000","Dean of Architecture","D_DEANARCH",28-OCT-24
"278","401930","401930","Dean School of Computing","D_DEANCOMP",28-OCT-24
"144","402200","402200","Dean Of The Grad School Office","D_DEANGRAD",28-OCT-24
"155","440100","440100","Edgerton Center","D_EDGERTON",28-OCT-24
"159","872500","872500","Endicott House","D_ENDICOTT",28-OCT-24
"160","406200","406200","Enterprise Services","D_ENTSRVCS",28-OCT-24
"169","401710","401710","Haystack Observatory","D_HAYSTACK",28-OCT-24
"203","400600","400600","McGovern Institute for Brain Research","D_MCGOVERN",28-OCT-24
"285","417200","417200","MIT NANO","D_MIT.NANO",28-OCT-24
"228","406800","406800","Property Office","D_PROPERTY",28-OCT-24
"266","401860","401860","Vice President for Research","D_VPRESOFF",28-OCT-24
"104","061000","061000","Aeronautics and Astronautics","D_AEROASTRO",28-OCT-24
"113","501000","501000","Dept of Athletics, Phys Ed, & Recreation","D_ATHLETICS",28-OCT-24
"137","069600","069600","Concourse","D_CONCOURSE",28-OCT-24
"176","010000","010000","Institute Professors","D_INST_PROF",28-OCT-24
"148","270000","270000","Libraries","D_LIBRARIES",28-OCT-24
"189","271000","271000","Libraries","D_LIBRARIES",28-OCT-24
"210","401000","401000","Office of President / Chair","D_PRESIDENT",28-OCT-24
"264","407000","407000","Vice President for Finance","D_VPFINANCE",28-OCT-24
"125","400000","400000","Office of the Corporate Chair","D_CORP_CHAIR",28-OCT-24
"149","591000","591000","Department of Facilities","D_FACILITIES",28-OCT-24
"150","591040","591040","Department of Facilities","D_FACILITIES",28-OCT-24
"258","876000","876000","Technology Review","D_TECHREVIEW",28-OCT-24
"259","060085","060085","Terrascope","D_TERRASCOPE",28-OCT-24
"267","402500","402500","VP and Secretary of the Corporation","D_VP_SEC_CORP",28-OCT-24
"232","490000","490000","VP and Secretary of the Corporation","D_VP_SEC_CORP",28-OCT-24
"235","591030","591030","Facilities Residences","D_DOF_RESIDENCE",28-OCT-24
