"HIERARCHY_TYPE","LINK_TYPE_CODE","LINK_TYPE","DLC_KEY","DLC_CODE","LINKED_OBJECT_KEY","LINKED_OBJECT_CODE"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_OBDT","D_OBDT","P404524-001","P404524"
"Standard Hierarchy","FC","Standard Funds Center","D_IRDF","D_IRDF","FC403580","FC403580"
"Standard Hierarchy","FC","Standard Funds Center","D_IRDF","D_IRDF","FC120005","FC120005"
"Standard Hierarchy","FC","Standard Funds Center","D_IRDF","D_IRDF","FC106152","FC106152"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_IRDF","D_IRDF","P442002-001","P442002"
"Standard Hierarchy","FC","Standard Funds Center","D_IRDF","D_IRDF","FC_IRDF","FC_IRDF"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103800","FC103800"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC100780","FC100780"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC_MITMAD02","FC_MITMAD02"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404104","FC404104"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404026","FC404026"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC_MITMAD01","FC_MITMAD01"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404027","FC404027"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103806","FC103806"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103801","FC103801"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC206540","FC206540"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221742","FC221742"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221542","FC221542"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221737","FC221737"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404025","FC404025"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221741","FC221741"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221730","FC221730"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103820","FC103820"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC_MITMAD","FC_MITMAD"
"Standard Hierarchy","ORGU","Old Org. Unit","D_MITMAD","D_MITMAD","440102","440102"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404101","FC404101"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404100","FC404100"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221743","FC221743"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P030300-001","P030300"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221731","FC221731"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103807","FC103807"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404102","FC404102"
"Standard Hierarchy","ORG2","New Org. Unit","D_MITMAD","D_MITMAD","O10006283","10006283"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC404103","FC404103"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103804","FC103804"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC_MITMAD04","FC_MITMAD04"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103803","FC103803"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103805","FC103805"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221734","FC221734"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P440103-001","P440103"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P440104-001","P440104"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P440105-001","P440105"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P440106-001","P440106"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P440107-001","P440107"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P440108-001","P440108"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P030302-001","P030302"
"Standard Hierarchy","ORG2","New Org. Unit","D_MITMAD","D_MITMAD","O10005666","10005666"
"Standard Hierarchy","ORG2","New Org. Unit","D_MITMAD","D_MITMAD","O10005665","10005665"
"Standard Hierarchy","ORG2","New Org. Unit","D_MITMAD","D_MITMAD","O10004033","10004033"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221733","FC221733"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC221732","FC221732"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC_MITMAD03","FC_MITMAD03"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC_MITMAD05","FC_MITMAD05"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P030303-001","P030303"
"Standard Hierarchy","FC","Standard Funds Center","D_MITMAD","D_MITMAD","FC103802","FC103802"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P440102-001","P440102"
"Standard Hierarchy","ORG2","New Org. Unit","D_MITMAD","D_MITMAD","O10005667","10005667"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITMAD","D_MITMAD","P030301-001","P030301"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220196","FC220196"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220201","FC220201"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CGC","D_CGC","P402468-001","P402468"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220194","FC220194"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220195","FC220195"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220193","FC220193"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220200","FC220200"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC106126","FC106126"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC_CGC","FC_CGC"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403637","FC403637"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403636","FC403636"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403635","FC403635"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220181","FC220181"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220182","FC220182"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220183","FC220183"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403638","FC403638"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403639","FC403639"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403634","FC403634"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220180","FC220180"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403633","FC403633"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220281","FC220281"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220179","FC220179"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220178","FC220178"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220177","FC220177"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220176","FC220176"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220175","FC220175"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC403274","FC403274"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220171","FC220171"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC120003","FC120003"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC106134","FC106134"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC106133","FC106133"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC106132","FC106132"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC106131","FC106131"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC106130","FC106130"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC106128","FC106128"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220185","FC220185"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220186","FC220186"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220217","FC220217"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220187","FC220187"
"Standard Hierarchy","ORG2","New Org. Unit","D_CGC","D_CGC","O10006360","10006360"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220188","FC220188"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220189","FC220189"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220190","FC220190"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220191","FC220191"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220192","FC220192"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220204","FC220204"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220203","FC220203"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220202","FC220202"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CGC","D_CGC","P402460-001","P402460"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CGC","D_CGC","P402465-001","P402465"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CGC","D_CGC","P402466-001","P402466"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CGC","D_CGC","P402467-001","P402467"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CGC","D_CGC","P402469-001","P402469"
"Standard Hierarchy","FC","Standard Funds Center","D_CGC","D_CGC","FC220184","FC220184"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC401681","FC401681"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC401682","FC401682"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC401680","FC401680"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC401625","FC401625"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC220047","FC220047"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC220046","FC220046"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC207725","FC207725"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC100637","FC100637"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC103625","FC103625"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC220216","FC220216"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI04","FC_MITOI04"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI06","FC_MITOI06"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC403601","FC403601"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI05","FC_MITOI05"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI07","FC_MITOI07"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITOI","D_MITOI","P401823-001","P401823"
"Standard Hierarchy","ORG2","New Org. Unit","D_MITOI","D_MITOI","O10005111","10005111"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC401683","FC401683"
"Standard Hierarchy","SIS","Student Systems Unit","D_MITOI","D_MITOI","INN","INN"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC403222","FC403222"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI","FC_MITOI"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI03","FC_MITOI03"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI02","FC_MITOI02"
"Standard Hierarchy","FORG","Facilities Org.","D_MITOI","D_MITOI","279","279"
"Standard Hierarchy","FC","Standard Funds Center","D_MITOI","D_MITOI","FC_MITOI01","FC_MITOI01"
"Standard Hierarchy","FC","Standard Funds Center","D_CCTR","D_CCTR","FC220150","FC220150"
"Standard Hierarchy","FC","Standard Funds Center","D_CCTR","D_CCTR","FC403275","FC403275"
"Standard Hierarchy","FC","Standard Funds Center","D_CCTR","D_CCTR","FC_CCTR","FC_CCTR"
"Standard Hierarchy","FC","Standard Funds Center","D_CCTR","D_CCTR","FC120002","FC120002"
"Standard Hierarchy","FC","Standard Funds Center","D_CCTR","D_CCTR","FC106070","FC106070"
"Standard Hierarchy","ORG2","New Org. Unit","D_CCTR","D_CCTR","O10006233","10006233"
"Standard Hierarchy","FC","Standard Funds Center","D_CCTR","D_CCTR","FC220205","FC220205"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CCTR","D_CCTR","P402450-001","P402450"
"Standard Hierarchy","FC","Standard Funds Center","D_CSS","D_CSS","FC_CSS","FC_CSS"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CSS","D_CSS","P404523-001","P404523"
"Standard Hierarchy","ORG2","New Org. Unit","D_CSS","D_CSS","O10006208","10006208"
"Standard Hierarchy","FC","Standard Funds Center","D_MITAMAZON","D_MITAMAZON","FC221520","FC221520"
"Standard Hierarchy","FC","Standard Funds Center","D_MITAMAZON","D_MITAMAZON","FC103280","FC103280"
"Standard Hierarchy","ORG2","New Org. Unit","D_MITAMAZON","D_MITAMAZON","O10006158","10006158"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MITAMAZON","D_MITAMAZON","P065014-001","P065014"
"Standard Hierarchy","FC","Standard Funds Center","D_MITAMAZON","D_MITAMAZON","FC404020","FC404020"
"Standard Hierarchy","FC","Standard Funds Center","D_MITAMAZON","D_MITAMAZON","FC100775","FC100775"
"Standard Hierarchy","FC","Standard Funds Center","D_MITAMAZON","D_MITAMAZON","FC_MITAMAZON01","FC_MITAMAZON01"
"Standard Hierarchy","FC","Standard Funds Center","D_MITAMAZON","D_MITAMAZON","FC_MITAMAZON","FC_MITAMAZON"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADEL","D_GRADEL","FC404017","FC404017"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_GRADEL","D_GRADEL","P061250-001","P061250"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADEL","D_GRADEL","FC103273","FC103273"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADEL","D_GRADEL","FC100799","FC100799"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADEL","D_GRADEL","FC_GRADEL","FC_GRADEL"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC402088","FC402088"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC101849","FC101849"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC221404","FC221404"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC402089","FC402089"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_MCSC","D_MCSC","P060901-001","P060901"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC221403","FC221403"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC101848","FC101848"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC100797","FC100797"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC_MCSC","FC_MCSC"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC_MCSC01","FC_MCSC01"
"Standard Hierarchy","FC","Standard Funds Center","D_MCSC","D_MCSC","FC_MCSC02","FC_MCSC02"
"Standard Hierarchy","ORG2","New Org. Unit","D_MCSC","D_MCSC","O10006108","10006108"
"Standard Hierarchy","FC","Standard Funds Center","D_INDONESIA","D_INDONESIA","FC402118","FC402118"
"Standard Hierarchy","FC","Standard Funds Center","D_INDONESIA","D_INDONESIA","FC221402","FC221402"
"Standard Hierarchy","FC","Standard Funds Center","D_INDONESIA","D_INDONESIA","FC100798","FC100798"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_INDONESIA","D_INDONESIA","P401828-001","P401828"
"Standard Hierarchy","FC","Standard Funds Center","D_INDONESIA","D_INDONESIA","FC_INDONESIA","FC_INDONESIA"
"Standard Hierarchy","FC","Standard Funds Center","D_INDONESIA","D_INDONESIA","FC103215","FC103215"
"Standard Hierarchy","FC","Standard Funds Center","D_INDONESIA","D_INDONESIA","FC102408","FC102408"
"Standard Hierarchy","BAG","NIMBUS B.A.G.","D_RAS","D_RAS","121","121"
"Standard Hierarchy","ORGU","Old Org. Unit","D_RAS","D_RAS","391000","391000"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC101113","FC101113"
"Standard Hierarchy","BAG","NIMBUS B.A.G.","D_RAS","D_RAS","122","122"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC100232","FC100232"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC103808","FC103808"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC103809","FC103809"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC103810","FC103810"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC404079","FC404079"
"Standard Hierarchy","ORG2","New Org. Unit","D_RAS","D_RAS","O10000590","10000590"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC404080","FC404080"
"Standard Hierarchy","FC","Standard Funds Center","D_RAS","D_RAS","FC403500","FC403500"
