"TIP_MATERIAL_KEY","ISBN","TITLE","AUTHOR","EDITION","PUBLISHER","YEAR","NEW_SHELF_PRICE","USED_SHELF_PRICE","RENTAL_NEW_PRICE","RENTAL_USED_PRICE","MATERIAL_INFO_SOURCE"
"9780802142443KITCHEN93","9780802142443","Kitchen","Yoshimoto, Banana; Backus, Megan (Translator)","","Grove/Atlantic, Incorporated","2006",16,12,0,0,"ISBN"
"9780811213998TRILOGY73","9780811213998","Trilogy","Doolittle, Hilda; Barnstone, Aliki (Notes by)","","New Directions Publishing Corporation","1998",14.95,11.2,0,0,"ISBN"
"9781136610455EBK IMPRO","9781136610455","Ebk Impro                              ","Johnstone     ","","Dgtl Bncom","",40.95,0,0,0,"COOP"
"9781250083258SELLOUT15","9781250083258","The Sellout","Beatty, Paul; Bruce, Elizabeth (Editor)","","Picador","2016",16,12,0,0,"ISBN"
"9781555976903CITIZEN14","9781555976903","Citizen: An American Lyric","Rankine, Claudia","","Graywolf Press","2014",20,15,0,0,"ISBN"
"9781590174494HAV2018FA","9781590174494","Hav","Morris, Jan; Le Guin, Ursula K. (Introduction by)","","New York Review of Books, Incorporated, The","2011",15.95,11.95,0,0,"ISBN"
"0Hancock / 1220002010FA","0","Hancock / 12","","","","2000",,,0,0,"OTI"
"0M. Davis / 420002010FA","0","M. Davis / 4","","","","2000",,,0,0,"OTI"
"73999112580OTELLO2013SP","73999112580","Otello                                 ","Boito         ","       ","Leonard H ","",4.95,3.7,0,0,"COOP"
"73999112580OTELLO2014FA","73999112580","Otello                                 ","Boito         ","","Leonard H ","",5.95,4.45,0,0,"COOP"
"8220100566509EBK IMPRO0","8220100566509","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",20.5,0,0,0,"COOP"
"8220100566509EBK IMPRO0","8220100566509","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",23.2,0,0,0,"COOP"
"8220100566509EBK IMPRO1","8220100566509","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",20.5,0,0,0,"COOP"
"8220100566509EBK IMPRO1","8220100566509","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",21.5,0,0,0,"COOP"
"8220100566509EBK IMPRO1","8220100566509","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",22.5,0,0,0,"COOP"
"9780141441610LORD JIM07","9780141441610","Lord Jim","Conrad, Joseph; Stape, J. H. (Notes by, Editor, Contribution by); Simmons, Allan H. (Editor, Introduction by)","","Penguin Publishing Group","2007",8,6,0,0,"ISBN"
"9780143123934NW132016FA","9780143123934","NW","Smith, Zadie","","Penguin Publishing Group","2013",16,12,0,0,"ISBN"
"9780393338416AUDITION10","9780393338416","Audition","Murakami, Ryu","","W. W. Norton & Company, Incorporated","2010",13.95,10.45,0,0,"ISBN"
"9780573662447EURYDICE08","9780573662447","Eurydice","Ruhl, Sarah","","Samuel French Incorporated","2008",11.35,8.5,0,0,"ISBN"
"9780573799815JOHN2018FA","9780573799815","John","Baker, Annie","","Samuel French Limited","2016",11.35,8.5,0,0,"ISBN"
"9780593314609PUSH2022FA","9780593314609","Push (Revised)","Sapphire (Author, Author)","","Knopf Doubleday Publishing Group","2021",15.95,11.96,0,0,"ISBN"
"9780593314609PUSH2022SP","9780593314609","Push (Revised)","Sapphire (Author, Author)","","Knopf Doubleday Publishing Group","2021",15.95,11.96,0,0,"ISBN"
"9780679721819MAMA DAY88","9780679721819","Mama Day","Naylor, Gloria","","Knopf Doubleday Publishing Group","1989",15.95,11.95,0,0,"ISBN"
"9780822235729RED SPEEDO","9780822235729","Red Speedo                             ","Hnath         ","","Drama Play","",9,6.75,0,0,"COOP"
"9780857420763POW!2014FA","9780857420763","Pow!","Yan, Mo; Goldblatt, Howard (Translator)","","Seagull Books","2012",27.5,20.65,0,0,"ISBN"
"9781136610455EBK IMPRO0","9781136610455","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",40.95,0,0,0,"COOP"
"9781136610455EBK IMPRO0","9781136610455","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",46.4,0,0,0,"COOP"
"9781136610455EBK IMPRO1","9781136610455","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",40.95,0,0,0,"COOP"
"9781136610455EBK IMPRO1","9781136610455","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",42.95,0,0,0,"COOP"
"9781136610455EBK IMPRO1","9781136610455","Ebk Impro                              ","Johnstone     ","","Yuzu      ","",44.95,0,0,0,"COOP"
"9781250062932PRIMATES15","9781250062932","Primates: The Fearless Science of Jane Goodall, Dian Fossey, and Biruté Galdikas","Ottaviani, Jim; Wicks, Maris (Illustrator)","","Square Fish","2015",13,9.75,0,0,"ISBN"
"9781324021827DOPE2024SP","9781324021827","The Dope: The Real History of the Mexican Drug Trade","Smith, Benjamin T.","","W. W. Norton & Company, Incorporated","2022",22.78,17.09,0,0,"ISBN"
"9781594203978NW122013SP","9781594203978","NW","Smith, Zadie","12     ","Penguin Group (USA) Incorporated","2012",26.95,20.2,0,0,"ISBN"
"0Harvey 2 / 2020002010FA","0","Harvey 2 / 20","","","","2000",,,0,0,"OTI"
"9780140436648ADAM BEDE08","9780140436648","Adam Bede","Eliot, George; Reynolds, Margaret (Editor, Introduction by)","","Penguin Publishing Group","2008",16,12,0,0,"ISBN"
"9780143106234CIVIL WAR12","9780143106234","Civil War","Lucan; Fox, Matthew (Translator, Introduction by); Adams, Ethan (Introduction by)","","Penguin Publishing Group","2012",18,13.5,0,0,"ISBN"
"9780143123705A YEAR UP13","9780143123705","A Year Up: Helping Young Adults Move from Poverty to Professional Careers in a Single Year","Chertavian, Gerald","","Penguin Publishing Group","2013",16,12,0,0,"ISBN"
"9780143123705A YEAR UP13","9780143123705","A Year Up: Helping Young Adults Move from Poverty to Professional Careers in a Single Year","Chertavian, Gerald","","Penguin Publishing Group","2013",17,12.75,0,0,"ISBN"
"9780394758282BIG SLEEP39","9780394758282","The Big Sleep","Chandler, Raymond","","Knopf Doubleday Publishing Group","1988",15,11.25,0,0,"ISBN"
"9780425170410LINDBERGH98","9780425170410","Lindbergh","Berg, A. Scott","","Penguin Publishing Group","1999",20,15,0,0,"ISBN"
"9780446676977WILD SEED80","9780446676977","Wild Seed","Butler, Octavia E.","","Grand Central Publishing","2001",20,15,0,0,"ISBN"
"9780451464750CLEAN2014FA","9780451464750","Clean: A Mindspace Investigations Novel","Hughes, Alex","","Penguin Group (USA) Incorporated","2012",8,6,0,0,"ISBN"
"9780486129129EBK CANDIDE","9780486129129","Ebk Candide                            ","Voltaire      ","","Dgtl Bncom","",1,0,0,0,"COOP"
"9780486277868AWAKENING93","9780486277868","The Awakening","Chopin, Kate","","Dover Publications, Incorporated","1993",3.5,2.65,0,0,"ISBN"
"9780520276574MALIGNANT13","9780520276574","Malignant: How Cancer Becomes Us","Jain, S. Lochlann","","University of California Press","2013",27.7,20.8,0,0,"ISBN"
"9780679723424PALE FIRE62","9780679723424","Pale Fire","Nabokov, Vladimir","","Knopf Doubleday Publishing Group","1989",16,12,0,0,"ISBN"
"9780735212176EXIT WEST17","9780735212176","Exit West: A Novel","Hamid, Mohsin","","Penguin Publishing Group","2017",26,19.5,0,0,"ISBN"
"9780735212206EXIT WEST18","9780735212206","Exit West: A Novel","Hamid, Mohsin","","Penguin Publishing Group","2018",16,12,0,0,"ISBN"
"9780743203982FLU992024SP","9780743203982","Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Kolata, Gina","","Touchstone","2001",18.99,14.24,0,0,"ISBN"
"9780743484954KING LEAR93","9780743484954","King Lear","Shakespeare, William; Mowat, Barbara A. (Editor); Werstine, Paul (Editor)","","Simon & Schuster","2005",9.95,7.45,0,0,"ISBN"
"9780747593065TASTE2014SP","9780747593065","Taste: The Story of Britain through its Cooking","Colquhoun, Kate","","Bloomsbury Publishing USA","2011",18.5,13.9,0,0,"ISBN"
"9780747593065TASTE2016SP","9780747593065","Taste: The Story of Britain through its Cooking","Colquhoun, Kate","","Bloomsbury Publishing USA","2011",18.5,13.9,0,0,"ISBN"
"9780747593065TASTE2017SP","9780747593065","Taste: The Story of Britain through its Cooking","Colquhoun, Kate","","Bloomsbury Publishing USA","2011",18.5,13.9,0,0,"ISBN"
"9780811218702NOX102012FA","9780811218702","Nox","Carson, Anne","10     ","New Directions Publishing Corporation","2010",35,26.25,0,0,"ISBN"
"9780822221128BFE062017FA","9780822221128","Bfe","Cho, Julia; Dramatists Play Service (New York, N.Y.) Staff (Contribution by)","","Dramatists Play Service, Incorporated","2006",9,6.75,0,0,"ISBN"
"9780822230885AWAKE2018FA","9780822230885","The Awake","Urban, Ken","","Dramatists Play Service, Incorporated","2014",9,6.75,0,0,"ISBN"
"9780990340706ARK142019SP","9780990340706","Ark","Johnson, Ronald","","Flood Editions","2014",18.85,14.15,0,0,"ISBN"
"9781400076215JAZZ(REV)04","9781400076215","Jazz","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",15.95,11.95,0,0,"ISBN"
"9781400078370OUT032011SP","9781400078370","Out: A Novel","Kirino, Natsuo","","Knopf Doubleday Publishing Group","2005",15,11.25,0,0,"ISBN"
"9781400078370OUT032013SP","9781400078370","Out: A Novel","Kirino, Natsuo","","Knopf Doubleday Publishing Group","2005",15,11.25,0,0,"ISBN"
"9781400078370OUT032014FA","9781400078370","Out: A Novel","Kirino, Natsuo","","Knopf Doubleday Publishing Group","2005",15,11.25,0,0,"ISBN"
"9781400078370OUT032016SP","9781400078370","Out: A Novel","Kirino, Natsuo","","Knopf Doubleday Publishing Group","2005",15.95,11.95,0,0,"ISBN"
"9781400078370OUT032019FA","9781400078370","Out: A Novel","Kirino, Natsuo","","Knopf Doubleday Publishing Group","2005",16.95,12.7,0,0,"ISBN"
"9781590174494HAV112021FA","9781590174494","Hav","Morris, Jan; Le Guin, Ursula K. (Introduction by)","","New York Review of Books, Incorporated, The","2011",15.95,11.95,14.1,6.7,"ISBN"
"9782070360499ITSIK2013FA","9782070360499","Itsik                                  ","Pascale       ","       ","Mep/Schoen","",9.95,7.45,0,0,"COOP"
"978295393300053 CM2012SP","9782953933000","53 Cm                                  ","Bessora       ","       ","Adler     ","",39.95,29.95,0,0,"COOP"
"0Ellington / 1720002010FA","0","Ellington / 17","","","","2000",,,0,0,"OTI"
"0O. Nelson / 1820002010FA","0","O. Nelson / 18","","","","2000",,,0,0,"OTI"
"0Strayhorn / 1520002010FA","0","Strayhorn / 15","","","","2000",,,0,0,"OTI"
"0W. Shorter / 920002010FA","0","W. Shorter / 9","","","","2000",,,0,0,"OTI"
"9780140434354FELIX HOLT95","9780140434354","Felix Holt, the Radical","Eliot, George; Mugglestone, Lynda (Editor, Introduction by, Notes by)","140","Penguin Publishing Group","1995",17,12.75,0,0,"ISBN"
"9780140436037MONK982012SP","9780140436037","The Monk: A Romance","Lewis, M. G.; MacLachlan, Christopher (Intro and Notes by, Author); Lewis, Matthew","98     ","Penguin Group (USA) Incorporated","1999",11,8.25,0,0,"ISBN"
"9780226244891PAPI162017FA","9780226244891","Papi","Indiana, Rita; Obejas, (TR (Translator)","","University of Chicago Press","2016",16,12,0,0,"ISBN"
"9780226500447PRINCE2ND 98","9780226500447","The Prince: Second Edition","Mansfield, Harvey C. (Translator); Machiavelli, Niccolò","2","University of Chicago Press","1998",10,7.5,0,0,"ISBN"
"9780262113250FUEL082011SP","9780262113250","Fuel","Knechtel, John (Editor, Introduction by)","08     ","MIT Press","2008",15.95,11.95,0,0,"ISBN"
"9780262535410BOOK182022FA","9780262535410","The Book","Borsuk, Amaranth","","MIT Press","2018",15.95,11.96,13.15,3.2,"ISBN"
"9780262535410BOOK182022SP","9780262535410","The Book","Borsuk, Amaranth","","MIT Press","2018",15.95,11.96,13.15,3.2,"ISBN"
"9780262535410BOOK182023SP","9780262535410","The Book","Borsuk, Amaranth","","MIT Press","2018",16.95,12.71,0,0,"ISBN"
"9780262535410BOOK182024FA","9780262535410","The Book","Borsuk, Amaranth","","MIT Press","2018",16.95,12.71,12.35,8.5,"ISBN"
"9780262535410BOOK182024SP","9780262535410","The Book","Borsuk, Amaranth","","MIT Press","2018",18.95,14.21,0,0,"ISBN"
"9780262535410BOOK182025FA","9780262535410","The Book","Borsuk, Amaranth","","MIT Press","2018",18.95,14.21,13.85,9.5,"ISBN"
"9780307387899ROAD062011FA","9780307387899","The Road","McCarthy, Cormac","06     ","Knopf Doubleday Publishing Group","2007",14.95,11.2,0,0,"ISBN"
"9780307455925AMERICANAH13","9780307455925","Americanah: A Novel","Adichie, Chimamanda Ngozi","","Knopf Doubleday Publishing Group","2014",16,12,0,0,"ISBN"
"9780307594167HOME122013FA","9780307594167","Home","Morrison, Toni","12     ","Knopf Doubleday Publishing Group","2012",24,18,0,0,"ISBN"
"9780307594167HOME122013SP","9780307594167","Home","Morrison, Toni","12     ","Knopf Doubleday Publishing Group","2012",24,18,0,0,"ISBN"
"9780307740915HOME122013SP","9780307740915","Home","Morrison, Toni","","Knopf Doubleday Publishing Group","2013",14,10.5,0,0,"ISBN"
"9780307740915HOME122015SP","9780307740915","Home","Morrison, Toni","","Knopf Doubleday Publishing Group","2013",14,10.5,0,0,"ISBN"
"9780307740915HOME122017SP","9780307740915","Home","Morrison, Toni","","Knopf Doubleday Publishing Group","2013",14,10.5,0,0,"ISBN"
"9780307740915HOME122021JA","9780307740915","Home","Morrison, Toni","","Knopf Doubleday Publishing Group","2013",14.95,11.2,0,0,"ISBN"
"9780307740915HOME122021SP","9780307740915","Home","Morrison, Toni","","Knopf Doubleday Publishing Group","2013",14.95,11.2,10.15,7.05,"ISBN"
"9780307990778HOME122013FA","9780307990778","Home","Morrison, Toni","12     ","Random House Large Print","2012",24,18,0,0,"ISBN"
"9780316081054FEED102014FA","9780316081054","Feed","Grant, Mira","","Little Brown & Company","2010",10,7.5,0,0,"ISBN"
"9780375409448LOVE032013SP","9780375409448","Love","Morrison, Toni","03     ","Knopf Doubleday Publishing Group","2003",23.95,17.95,0,0,"ISBN"
"9780385720793COPENHAGEN98","9780385720793","Copenhagen","Frayn, Michael","","Knopf Doubleday Publishing Group","2000",15,11.25,0,0,"ISBN"
"9780385720793COPENHAGEN98","9780385720793","Copenhagen","Frayn, Michael","","Knopf Doubleday Publishing Group","2000",16,12,0,0,"ISBN"
"9780385721677ORYX+CRAKE03","9780385721677","Oryx and Crake","Atwood, Margaret","","Knopf Doubleday Publishing Group","2004",15.95,11.95,0,0,"ISBN"
"9780446603775DAWN872016SP","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",18,13.5,0,0,"ISBN"
"9780446603775DAWN872017FA","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",20,15,0,0,"ISBN"
"9780446603775DAWN872019SP","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",20,15,0,0,"ISBN"
"9780446603775DAWN872020FA","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",20,15,0,0,"ISBN"
"9780446603775DAWN872021JA","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",20,15,0,0,"ISBN"
"9780446603775DAWN872021SP","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",20,15,13.6,9.4,"ISBN"
"9780446603775DAWN872023SP","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",19.99,14.99,0,0,"ISBN"
"9780452263499SULA732011FA","9780452263499","Sula","Morrison, Toni","73     ","Penguin Group (USA) Incorporated","1987",13,9.75,0,0,"ISBN"
"9780486129129EBK CANDIDE0","9780486129129","Ebk Candide                            ","Voltaire      ","","Yuzu      ","",1,0,0,0,"COOP"
"9780571125296REAL THING84","9780571125296","The Real Thing","Stoppard, Tom","","Farrar, Straus & Giroux","2000",15,11.25,0,0,"ISBN"
"9780573627521COPENHAGEN02","9780573627521","Copenhagen: A Play in Two Acts","Frayn, Michael","","Samuel French Incorporated","2010",11.35,8.5,0,0,"ISBN"
"9780679736646UBIK692011FA","9780679736646","Ubik","Dick, Philip K.","69     ","Knopf Doubleday Publishing Group","1991",14,10.5,0,0,"ISBN"
"9780679766759PUSH962021FA","9780679766759","Push: A Novel","Sapphire","","Knopf Doubleday Publishing Group","1997",14.95,11.2,10.15,7.05,"ISBN"
"9780679766759PUSH962022FA","9780679766759","Push: A Novel","Sapphire","","Knopf Doubleday Publishing Group","1997",15.95,11.96,10.85,7.9,"ISBN"
"9780756418304NOOR212023SP","9780756418304","Noor","Okorafor, Nnedi","","DAW","2022",18,13.5,0,0,"ISBN"
"9780801892547ROME092013FA","9780801892547","Rome: A Living Portrait of an Ancient City","Dyson, Stephen L.","09     ","Johns Hopkins University Press","2010",38.9,29.2,0,0,"ISBN"
"9780801893117BOOK092012SP","9780801893117","The Book: The Life Story of a Technology","Howard, Nicole","09     ","Johns Hopkins University Press","2009",25,18.75,0,0,"ISBN"
"9780802144485WATT092014SP","9780802144485","Watt","Beckett, Samuel","","Grove/Atlantic, Incorporated","2009",15,11.25,0,0,"ISBN"
"9780811222662EBK TRILOGY0","9780811222662","Ebk Trilogy                            ","Doolittle     ","","Yuzu      ","",14.95,0,0,0,"COOP"
"9780811225502LAST SAMURAI","9780811225502","The Last Samurai","DeWitt, Helen","","New Directions Publishing Corporation","2016",18.95,14.2,0,0,"ISBN"
"9780811228879HOLE202023FA","9780811228879","The Hole","Oyamada, Hiroko; Boyd, David (Translator)","","New Directions Publishing Corporation","2020",12.95,9.71,0,0,"ISBN"
"9780812967258LOST WORLD03","9780812967258","The Lost World","Doyle, Arthur Conan; Crichton, Michael (Introduction by)","","Random House Publishing Group","2003",11,8.25,0,0,"ISBN"
"9780812973815BLACK SWAN10","9780812973815","The Black Swan: The Impact of the Highly Improbable","Taleb, Nassim Nicholas","2","Random House Publishing Group","2010",18,13.5,0,0,"ISBN"
"9780812977714NADA072018FA","9780812977714","Nada","Laforet, Carmen; Vargas Llosa, Mario (Introduction by)","","Random House Publishing Group","2008",18,13.5,0,0,"ISBN"
"9780816616923IN ONE ACT88","9780816616923","In One Act","Kennedy, Adrienne","","University of Minnesota Press","1988",16.65,12.5,0,0,"ISBN"
"9780888999641SKIM102015FA","9780888999641","Skim","Tamaki, Mariko; Tamaki, Jillian (Illustrator)","","Groundwood Books","2010",12.95,9.7,0,0,"ISBN"
"9780972768436NETS032012FA","9780972768436","Nets","Bervin, Jen","03     ","Ugly Duckling Presse","2003",10,7.5,0,0,"ISBN"
"9780972768436NETS032012SP","9780972768436","Nets","Bervin, Jen","03     ","Ugly Duckling Presse","2003",13.9,10.45,0,0,"ISBN"
"9781101595923EBK NW2013SP","9781101595923","Ebk Nw                                 ","Smith         ","       ","Dgtl Bncom","",12.99,9.75,0,0,"COOP"
"9781400033430SULA042013SP","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",14,10.5,0,0,"ISBN"
"9781400033430SULA042015SP","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",15,11.25,0,0,"ISBN"
"9781400033430SULA042017SP","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",15,11.25,0,0,"ISBN"
"9781400033430SULA042019FA","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",15,11.25,0,0,"ISBN"
"9781400033430SULA042019SP","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",15,11.25,0,0,"ISBN"
"9781400033430SULA042021JA","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",15,11.25,0,0,"ISBN"
"9781400033430SULA042021SP","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",15,11.25,10.2,7.05,"ISBN"
"9781400033430SULA042024FA","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",16,12,11.7,8,"ISBN"
"9781400033430SULA042025FA","9781400033430","Sula","Morrison, Toni","","Knopf Doubleday Publishing Group","2004",16,12,11.2,8,"ISBN"
"9781400096794NINE072012FA","9781400096794","The Nine: Inside the Secret World of the Supreme Court","Toobin, Jeffrey","07     ","Knopf Doubleday Publishing Group","2008",16,12,0,0,"ISBN"
"9781401229696DAYTRIPPER11","9781401229696","Daytripper","Bá, Gabriel (Artist); Moon, Fábio; Stewart, Dave","","DC Comics","2011",19.99,15,0,0,"ISBN"
"9781401309534BONE082011SP","9781401309534","Bone","Ng, Fae Myenne","08     ","Hyperion Press","2008",13,9.75,0,0,"ISBN"
"9781421521862OTOMEN2013SP","9781421521862","Otomen","Kanno, Aya (Author, Illustrator)","       ","Viz Media","2009",8.99,6.75,0,0,"ISBN"
"9781422148068EBK X-TEAMS0","9781422148068","Ebk X-Teams                            ","Ancona        ","","Yuzu      ","",35,0,0,0,"COOP"
"9781422148068EBK X-TEAMS0","9781422148068","Ebk X-Teams                            ","Bresman       ","","Yuzu      ","",35,0,0,0,"COOP"
"9781538753712DAWN212023SP","9781538753712","Dawn","Butler, Octavia E.","","Grand Central Publishing","2021",17.99,13.49,0,0,"ISBN"
"9781556595745OBIT202022FA","9781556595745","Obit","Chang, Victoria","","Copper Canyon Press","2020",17,12.75,11.55,8.4,"ISBN"
"9781556595745OBIT202022SP","9781556595745","Obit","Chang, Victoria","","Copper Canyon Press","2020",17,12.75,11.55,8.4,"ISBN"
"9781559364102CH'INGLISH12","9781559364102","Chinglish","Hwang, David Henry; Rich, Frank (Introduction by)","","Theatre Communications Group, Incorporated","2012",14.95,11.2,0,0,"ISBN"
"9781582346366U.S!062011FA","9781582346366","U. S. !","Bachelder, Chris","06     ","Bloomsbury Publishing","2006",14.95,11.2,0,0,"ISBN"
"9781940696201OLIO162018SP","9781940696201","Olio","Jess, Tyehimba","","Wave Books","2016",25,18.75,0,0,"ISBN"
"9781940696201OLIO162021FA","9781940696201","Olio","Jess, Tyehimba","","Wave Books","2016",25,18.75,17,11.75,"ISBN"
