"FCLT_ROOM_HIST_KEY","FISCAL_PERIOD","FCLT_ROOM_KEY","BUILDING_ROOM","FCLT_BUILDING_KEY","FLOOR","FCLT_FLOOR_KEY","ROOM","SPACE_ID","FCLT_MAJOR_USE_KEY","MAJOR_USE_DESC","FCLT_USE_KEY","USE_DESC","FCLT_MINOR_USE_KEY","MINOR_USE_DESC","FCLT_ORGANIZATION_KEY","ORGANIZATION_NAME","FCLT_MINOR_ORGANIZATION_KEY","MINOR_ORGANIZATION","AREA","ROOM_FULL_NAME","DEPT_CODE","ACCESS_LEVEL","LATITUDE_WGS","LONGITUDE_WGS","NORTHING_SPCS","EASTING_SPCS","WAREHOUSE_LOAD_DATE"
"1-167-201505","201505","1-167","1-167","1","1","1-1","167","1-1-167","101","BLDG SRV","102","F LAV","","","149","DOF","","",285.24,"","","3",,,,,01-DEC-14
"1-167J-201505","201505","1-167J","1-167J","1","1","1-1","167J","1-1-167J","101","BLDG SRV","103","JAN CL","","","149","DOF","","",30.88,"","","1",,,,,01-DEC-14
"1-167Z-201505","201505","1-167Z","1-167Z","1","1","1-1","167Z","1-1-167Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",26,"","","0",,,,,01-DEC-14
"1-170-201505","201505","1-170","1-170","1","1","1-1","170","1-1-170","108","OFFICES","158","OFF","","","132","CIVIL","","",161.96,"","","2",,,,,01-DEC-14
"1-171-201505","201505","1-171","1-171","1","1","1-1","171","1-1-171","108","OFFICES","158","OFF","","","132","CIVIL","","",222.72,"","","2",,,,,01-DEC-14
"1-171E-201505","201505","1-171E","1-171E","1","1","1-1","171E","1-1-171E","107","MECHANIC","153","ELEC","","","149","DOF","","",6.51,"","","0",,,,,01-DEC-14
"1-172-201505","201505","1-172","1-172","1","1","1-1","172","1-1-172","108","OFFICES","158","OFF","","","132","CIVIL","","",147.58,"","","2",,,,,01-DEC-14
"1-173-201505","201505","1-173","1-173","1","1","1-1","173","1-1-173","108","OFFICES","158","OFF","","","132","CIVIL","","",282.43,"","","2",,,,,01-DEC-14
"1-174-201505","201505","1-174","1-174","1","1","1-1","174","1-1-174","108","OFFICES","158","OFF","","","132","CIVIL","","",157.17,"","","2",,,,,01-DEC-14
"1-175-201505","201505","1-175","1-175","1","1","1-1","175","1-1-175","108","OFFICES","162","SECY/R","","","132","CIVIL","","",224.94,"","","2",,,,,01-DEC-14
"1-175A-201505","201505","1-175A","1-175A","1","1","1-1","175A","1-1-175A","108","OFFICES","158","OFF","","","132","CIVIL","","",125.13,"","","2",,,,,01-DEC-14
"1-175B-201505","201505","1-175B","1-175B","1","1","1-1","175B","1-1-175B","108","OFFICES","158","OFF","","","132","CIVIL","","",130.81,"","","2",,,,,01-DEC-14
"1-176-201505","201505","1-176","1-176","1","1","1-1","176","1-1-176","108","OFFICES","158","OFF","","","132","CIVIL","","",147.58,"","","2",,,,,01-DEC-14
"1-178-201505","201505","1-178","1-178","1","1","1-1","178","1-1-178","108","OFFICES","158","OFF","","","132","CIVIL","","",146.63,"","","2",,,,,01-DEC-14
"1-179-201505","201505","1-179","1-179","1","1","1-1","179","1-1-179","108","OFFICES","158","OFF","","","132","CIVIL","","",111.86,"","","2",,,,,01-DEC-14
"1-179A-201505","201505","1-179A","1-179A","1","1","1-1","179A","1-1-179A","108","OFFICES","158","OFF","","","132","CIVIL","","",113.06,"","","2",,,,,01-DEC-14
"1-180-201505","201505","1-180","1-180","1","1","1-1","180","1-1-180","108","OFFICES","158","OFF","","","132","CIVIL","","",153.33,"","","2",,,,,01-DEC-14
"1-181-201505","201505","1-181","1-181","1","1","1-1","181","1-1-181","108","OFFICES","158","OFF","","","132","CIVIL","","",231.84,"","","2",,,,,01-DEC-14
"1-183-201505","201505","1-183","1-183","1","1","1-1","183","1-1-183","108","OFFICES","158","OFF","","","132","CIVIL","","",228.02,"","","2",,,,,01-DEC-14
"1-190-201505","201505","1-190","1-190","1","1","1-1","190","1-1-190","103","CLASSRMS","115","LECT H","","","233","REGIST","","",1696.33,"","","2",,,,,01-DEC-14
"1-200CA-201505","201505","1-200CA","1-200CA","1","2","1-2","200CA","1-2-200CA","102","CIRCULAT","109","CORR","","","149","DOF","","",1148.56,"","","3",,,,,01-DEC-14
"1-200CB-201505","201505","1-200CB","1-200CB","1","2","1-2","200CB","1-2-200CB","102","CIRCULAT","109","CORR","","","149","DOF","","",1569.88,"","","3",,,,,01-DEC-14
"1-200CC-201505","201505","1-200CC","1-200CC","1","2","1-2","200CC","1-2-200CC","102","CIRCULAT","109","CORR","","","149","DOF","","",1180.29,"","","3",,,,,01-DEC-14
"1-200SA-201505","201505","1-200SA","1-200SA","1","2","1-2","200SA","1-2-200SA","102","CIRCULAT","112","STAIR","","","149","DOF","","",689.06,"","","3",,,,,01-DEC-14
"1-200SB-201505","201505","1-200SB","1-200SB","1","2","1-2","200SB","1-2-200SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",214.5,"","","3",,,,,01-DEC-14
"1-200SC-201505","201505","1-200SC","1-200SC","1","2","1-2","200SC","1-2-200SC","102","CIRCULAT","112","STAIR","","","149","DOF","","",129.38,"","","3",,,,,01-DEC-14
"1-200Z-201505","201505","1-200Z","1-200Z","1","2","1-2","200Z","1-2-200Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",430.58,"","","0",,,,,01-DEC-14
"1-201-201505","201505","1-201","1-201","1","2","1-2","201","1-2-201","101","BLDG SRV","106","M LAV","","","149","DOF","","",241.95,"","","3",,,,,01-DEC-14
"1-201J-201505","201505","1-201J","1-201J","1","2","1-2","201J","1-2-201J","101","BLDG SRV","103","JAN CL","","","149","DOF","","",40.73,"","","1",,,,,01-DEC-14
"1-201Z-201505","201505","1-201Z","1-201Z","1","2","1-2","201Z","1-2-201Z","107","MECHANIC","154","SHAFT","","","149","DOF","","",53.63,"","","0",,,,,01-DEC-14
"1-203-201505","201505","1-203","1-203","1","2","1-2","203","1-2-203","108","OFFICES","162","SECY/R","","","243","S ENG","","",158.09,"","","2",,,,,01-DEC-14
"1-203A-201505","201505","1-203A","1-203A","1","2","1-2","203A","1-2-203A","108","OFFICES","158","OFF","","","243","S ENG","","",188.37,"","","2",,,,,01-DEC-14
"1-203B-201505","201505","1-203B","1-203B","1","2","1-2","203B","1-2-203B","108","OFFICES","158","OFF","","","243","S ENG","","",214.33,"","","2",,,,,01-DEC-14
"1-203C-201505","201505","1-203C","1-203C","1","2","1-2","203C","1-2-203C","108","OFFICES","159","OFF SV","","","243","S ENG","","",86.63,"","","2",,,,,01-DEC-14
"1-206-201505","201505","1-206","1-206","1","2","1-2","206","1-2-206","108","OFFICES","159","OFF SV","","","243","S ENG","","",468.15,"","","2",,,,,01-DEC-14
"1-206A-201505","201505","1-206A","1-206A","1","2","1-2","206A","1-2-206A","108","OFFICES","158","OFF","","","243","S ENG","","",462.29,"","","2",,,,,01-DEC-14
"1-206B-201505","201505","1-206B","1-206B","1","2","1-2","206B","1-2-206B","108","OFFICES","159","OFF SV","","","243","S ENG","","",292.49,"","","2",,,,,01-DEC-14
"1-206C-201505","201505","1-206C","1-206C","1","2","1-2","206C","1-2-206C","108","OFFICES","159","OFF SV","","","243","S ENG","","",9.21,"","","2",,,,,01-DEC-14
"1-206D-201505","201505","1-206D","1-206D","1","2","1-2","206D","1-2-206D","108","OFFICES","158","OFF","","","243","S ENG","","",110.5,"","","2",,,,,01-DEC-14
"1-206E-201505","201505","1-206E","1-206E","1","2","1-2","206E","1-2-206E","108","OFFICES","158","OFF","","","243","S ENG","","",327.25,"","","2",,,,,01-DEC-14
"1-207-201505","201505","1-207","1-207","1","2","1-2","207","1-2-207","108","OFFICES","159","OFF SV","","","243","S ENG","","",125.5,"","","2",,,,,01-DEC-14
"1-207A-201505","201505","1-207A","1-207A","1","2","1-2","207A","1-2-207A","108","OFFICES","158","OFF","","","243","S ENG","","",208,"","","2",,,,,01-DEC-14
"1-207AA-201505","201505","1-207AA","1-207AA","1","2","1-2","207AA","1-2-207AA","108","OFFICES","158","OFF","","","243","S ENG","","",33.44,"","","2",,,,,01-DEC-14
"1-207AB-201505","201505","1-207AB","1-207AB","1","2","1-2","207AB","1-2-207AB","108","OFFICES","158","OFF","","","243","S ENG","","",27.09,"","","2",,,,,01-DEC-14
"1-207B-201505","201505","1-207B","1-207B","1","2","1-2","207B","1-2-207B","108","OFFICES","158","OFF","","","243","S ENG","","",201.33,"","","2",,,,,01-DEC-14
"1-207C-201505","201505","1-207C","1-207C","1","2","1-2","207C","1-2-207C","108","OFFICES","159","OFF SV","","","243","S ENG","","",43.33,"","","2",,,,,01-DEC-14
"1-208E-201505","201505","1-208E","1-208E","1","2","1-2","208E","1-2-208E","107","MECHANIC","153","ELEC","","","149","DOF","","",16.36,"","","0",,,,,01-DEC-14
"1-208F-201505","201505","1-208F","1-208F","1","2","1-2","208F","1-2-208F","108","OFFICES","162","SECY/R","","","243","S ENG","","",140.65,"","","2",,,,,01-DEC-14
"1-208G-201505","201505","1-208G","1-208G","1","2","1-2","208G","1-2-208G","108","OFFICES","162","SECY/R","","","243","S ENG","","",152.57,"","","2",,,,,01-DEC-14
"1-211-201505","201505","1-211","1-211","1","2","1-2","211","1-2-211","108","OFFICES","162","SECY/R","","","243","S ENG","","",204.44,"","","2",,,,,01-DEC-14
"1-211A-201505","201505","1-211A","1-211A","1","2","1-2","211A","1-2-211A","108","OFFICES","158","OFF","","","243","S ENG","","",128.89,"","","2",,,,,01-DEC-14
"1-211B-201505","201505","1-211B","1-211B","1","2","1-2","211B","1-2-211B","108","OFFICES","158","OFF","","","243","S ENG","","",189,"","","2",,,,,01-DEC-14
"1-213T-201505","201505","1-213T","1-213T","1","2","1-2","213T","1-2-213T","107","MECHANIC","155","TELE","","","149","DOF","","",130.5,"","","0",,,,,01-DEC-14
"1-214-201505","201505","1-214","1-214","1","2","1-2","214","1-2-214","108","OFFICES","157","CONF","","","243","S ENG","","",682.74,"ENGINEERING CONFERENCE ROOM","","2",,,,,01-DEC-14
"1-215-201505","201505","1-215","1-215","1","2","1-2","215","1-2-215","108","OFFICES","157","CONF","","","132","CIVIL","","",323.83,"","","2",,,,,01-DEC-14
"1-215B-201505","201505","1-215B","1-215B","1","2","1-2","215B","1-2-215B","107","MECHANIC","156","U/M","","","149","DOF","","",16.77,"","","0",,,,,01-DEC-14
"1-225-201505","201505","1-225","1-225","1","2","1-2","225","1-2-225","106","LABS","147","RES LO","","","199","MECH","","",179.71,"","","2",,,,,01-DEC-14
"1-225A-201505","201505","1-225A","1-225A","1","2","1-2","225A","1-2-225A","106","LABS","148","RS LAB","","","199","MECH","","",694.22,"","","2",,,,,01-DEC-14
"1-225B-201505","201505","1-225B","1-225B","1","2","1-2","225B","1-2-225B","106","LABS","147","RES LO","","","199","MECH","","",337.26,"","","2",,,,,01-DEC-14
"1-228T-201505","201505","1-228T","1-228T","1","2","1-2","228T","1-2-228T","107","MECHANIC","155","TELE","","","149","DOF","","",92.17,"","","0",,,,,01-DEC-14
"1-229-201505","201505","1-229","1-229","1","2","1-2","229","1-2-229","108","OFFICES","162","SECY/R","","","243","S ENG","","",168.63,"","","2",,,,,01-DEC-14
"1-229A-201505","201505","1-229A","1-229A","1","2","1-2","229A","1-2-229A","108","OFFICES","158","OFF","","","243","S ENG","","",99.62,"","","2",,,,,01-DEC-14
"1-229B-201505","201505","1-229B","1-229B","1","2","1-2","229B","1-2-229B","108","OFFICES","158","OFF","","","243","S ENG","","",272.92,"","","2",,,,,01-DEC-14
"1-230-201505","201505","1-230","1-230","1","2","1-2","230","1-2-230","108","OFFICES","158","OFF","","","243","S ENG","","",147.85,"","","2",,,,,01-DEC-14
"1-232-201505","201505","1-232","1-232","1","2","1-2","232","1-2-232","108","OFFICES","158","OFF","","","132","CIVIL","","",169.88,"","","2",,,,,01-DEC-14
"1-235-201505","201505","1-235","1-235","1","2","1-2","235","1-2-235","108","OFFICES","159","OFF SV","","","132","CIVIL","","",261.51,"","","2",,,,,01-DEC-14
"1-235C-201505","201505","1-235C","1-235C","1","2","1-2","235C","1-2-235C","108","OFFICES","158","OFF","","","132","CIVIL","","",295.24,"","","2",,,,,01-DEC-14
"1-235D-201505","201505","1-235D","1-235D","1","2","1-2","235D","1-2-235D","108","OFFICES","158","OFF","","","132","CIVIL","","",165.67,"","","2",,,,,01-DEC-14
"1-235F-201505","201505","1-235F","1-235F","1","2","1-2","235F","1-2-235F","108","OFFICES","158","OFF","","","132","CIVIL","","",155,"","","2",,,,,01-DEC-14
"1-235G-201505","201505","1-235G","1-235G","1","2","1-2","235G","1-2-235G","108","OFFICES","158","OFF","","","132","CIVIL","","",153.19,"","","2",,,,,01-DEC-14
"1-235H-201505","201505","1-235H","1-235H","1","2","1-2","235H","1-2-235H","108","OFFICES","159","OFF SV","","","132","CIVIL","","",105.92,"","","2",,,,,01-DEC-14
"1-235HA-201505","201505","1-235HA","1-235HA","1","2","1-2","235HA","1-2-235HA","108","OFFICES","159","OFF SV","","","132","CIVIL","","",13.67,"","","2",,,,,01-DEC-14
"1-235K-201505","201505","1-235K","1-235K","1","2","1-2","235K","1-2-235K","108","OFFICES","159","OFF SV","","","132","CIVIL","","",127.28,"","","2",,,,,01-DEC-14
"1-235L-201505","201505","1-235L","1-235L","1","2","1-2","235L","1-2-235L","108","OFFICES","159","OFF SV","","","132","CIVIL","","",112.67,"","","2",,,,,01-DEC-14
"1-235P-201505","201505","1-235P","1-235P","1","2","1-2","235P","1-2-235P","108","OFFICES","158","OFF","","","132","CIVIL","","",50.4,"","","2",,,,,01-DEC-14
"1-236-201505","201505","1-236","1-236","1","2","1-2","236","1-2-236","108","OFFICES","157","CONF","","","132","CIVIL","","",632.84,"SPOFFORD ROOM","","2",,,,,01-DEC-14
"1-236B-201505","201505","1-236B","1-236B","1","2","1-2","236B","1-2-236B","108","OFFICES","159","OFF SV","","","132","CIVIL","","",38.38,"","","2",,,,,01-DEC-14
"1-237E-201505","201505","1-237E","1-237E","1","2","1-2","237E","1-2-237E","107","MECHANIC","153","ELEC","","","149","DOF","","",10.25,"","","0",,,,,01-DEC-14
"1-238-201505","201505","1-238","1-238","1","2","1-2","238","1-2-238","108","OFFICES","158","OFF","","","132","CIVIL","","",213.67,"","","2",,,,,01-DEC-14
"1-238A-201505","201505","1-238A","1-238A","1","2","1-2","238A","1-2-238A","108","OFFICES","159","OFF SV","","","132","CIVIL","","",67.64,"","","2",,,,,01-DEC-14
"1-239-201505","201505","1-239","1-239","1","2","1-2","239","1-2-239","108","OFFICES","159","OFF SV","","","132","CIVIL","","",105.31,"","","2",,,,,01-DEC-14
"1-239A-201505","201505","1-239A","1-239A","1","2","1-2","239A","1-2-239A","108","OFFICES","158","OFF","","","132","CIVIL","","",169.61,"","","2",,,,,01-DEC-14
"1-239B-201505","201505","1-239B","1-239B","1","2","1-2","239B","1-2-239B","108","OFFICES","162","SECY/R","","","132","CIVIL","","",80,"","","2",,,,,01-DEC-14
"1-240-201505","201505","1-240","1-240","1","2","1-2","240","1-2-240","108","OFFICES","159","OFF SV","","","132","CIVIL","","",80.46,"","","2",,,,,01-DEC-14
"1-240A-201505","201505","1-240A","1-240A","1","2","1-2","240A","1-2-240A","108","OFFICES","158","OFF","","","132","CIVIL","","",154.69,"","","2",,,,,01-DEC-14
"1-240B-201505","201505","1-240B","1-240B","1","2","1-2","240B","1-2-240B","108","OFFICES","158","OFF","","","132","CIVIL","","",48.21,"","","2",,,,,01-DEC-14
"1-241-201505","201505","1-241","1-241","1","2","1-2","241","1-2-241","108","OFFICES","158","OFF","","","132","CIVIL","","",332.81,"","","1",,,,,01-DEC-14
"1-242-201505","201505","1-242","1-242","1","2","1-2","242","1-2-242","103","CLASSRMS","114","CLASS","","","233","REGIST","","",574.45,"","","2",,,,,01-DEC-14
"1-242A-201505","201505","1-242A","1-242A","1","2","1-2","242A","1-2-242A","103","CLASSRMS","113","CLA SV","","","233","REGIST","","",6.42,"","","2",,,,,01-DEC-14
"1-242B-201505","201505","1-242B","1-242B","1","2","1-2","242B","1-2-242B","103","CLASSRMS","113","CLA SV","","","233","REGIST","","",7.15,"","","2",,,,,01-DEC-14
"1-242C-201505","201505","1-242C","1-242C","1","2","1-2","242C","1-2-242C","103","CLASSRMS","113","CLA SV","","","233","REGIST","","",7.39,"","","2",,,,,01-DEC-14
"1-245-201505","201505","1-245","1-245","1","2","1-2","245","1-2-245","108","OFFICES","158","OFF","","","132","CIVIL","","",653.67,"","","2",,,,,01-DEC-14
"1-246-201505","201505","1-246","1-246","1","2","1-2","246","1-2-246","103","CLASSRMS","114","CLASS","","","233","REGIST","","",591.22,"","","2",,,,,01-DEC-14
