"HR_ORG_UNIT_KEY","HR_ORG_UNIT_ID","HR_ORG_UNIT_TITLE","HR_ORG_UNIT_LEVEL","HR_DEPARTMENT_CODE","HR_DEPARTMENT_ABBR","HR_DEPARTMENT_CODE_OLD","HR_DEPARTMENT_NAME","HR_DEPARTMENT_NAME_LONG","HR_DEPARTMENT_NAME_ALPHA","ORG_HIER_SCHOOL_AREA_NAME","ORG_HIER_TOP_LEVEL_NAME","ORG_HIER_ROOT_NAME","HR_ORG_LEVEL1_ID","HR_ORG_LEVEL1_SORT","HR_ORG_LEVEL1_NAME","HR_ORG_LEVEL2_ID","HR_ORG_LEVEL2_SORT","HR_ORG_LEVEL2_NAME","HR_ORG_LEVEL3_ID","HR_ORG_LEVEL3_SORT","HR_ORG_LEVEL3_NAME","HR_ORG_LEVEL4_ID","HR_ORG_LEVEL4_SORT","HR_ORG_LEVEL4_NAME","HR_ORG_LEVEL5_ID","HR_ORG_LEVEL5_SORT","HR_ORG_LEVEL5_NAME","DLC_KEY","WAREHOUSE_LOAD_DATE"
"O10000573","10000573","Center for Matl Science and Engineering","DEPARTMENTS","10000573","HR-246000","246000","Center for Matl Science and Engineering","Center for Materials Science and Engineering","Center for Materials Science and Engineering","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","10005608","496","Materials Research Laboratory Area","10000573","113","Center for Matl Science and Engineering","D_MRL",03-OCT-24
"O10000577","10000577","MIT Sea Grant College Program","DEPARTMENTS","10000577","HR-266300","266300","MIT Sea Grant College Program","Sea Grant College Program","Sea Grant College Program","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10004983","419","Mechanical Eng Area","10000577","117","MIT Sea Grant College Program","D_MECHE",03-OCT-24
"O10000578","10000578","Research Laboratory of Electronics","DEPARTMENTS","10000578","HR-267000","267000","Research Laboratory of Electronics","Research Laboratory of Electronics","Research Laboratory of Electronics","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","10004058","359","RLE Area","10000578","118","Research Laboratory of Electronics","D_RLE",03-OCT-24
"O10000580","10000580","Document Services","DEPARTMENTS","10000580","HR-271050","271050","Document Services","Document Services","Document Services","Libraries, MIT Press, Tech Review","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000022","13","Libraries, MIT Press, Tech Review","10000162","26","Libraries","10000580","120","Document Services","D_LIBRARIES",03-OCT-24
"O10000590","10000590","Research Administration Services","DEPARTMENTS","10000590","HR-391000","391000","Research Administration Services","Research Administration Services","Research Administration Services","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","10005833","523","VP for Research Area","10000590","124","Research Administration Services","D_RAS",03-OCT-24
"O10000593","10000593","McGovern Institute for Brain Research","DEPARTMENTS","10000593","HR-400600","400600","McGovern Institute for Brain Research","McGovern Institute for Brain Research","McGovern Institute for Brain Research","Office of Provost Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000025","15","Office of Provost Area","10000593","127","McGovern Institute for Brain Research","","","","D_MCGOVERN",03-OCT-24
"O10000597","10000597","Consortium on Financing Higher Education","DEPARTMENTS","10000597","HR-401200","401200","Consortium on Financing Higher Education","Consortium on Financing Higher Education","Consortium on Financing Higher Education","President & Chair of the Corporation","President & Chair of the Corporation","MIT-All","10000000","1","MIT-All","10000003","4","President & Chair of the Corporation","10000597","131","Consortium on Financing Higher Education","","","","","","","D_COFHE",03-OCT-24
"O10000603","10000603","Office of the Provost","DEPARTMENTS","10000603","HR-401800","401800","Office of the Provost","Office of the Provost","Office of the Provost","Office of Provost Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000025","15","Office of Provost Area","10000218","29","Provost Office","10000603","134","Office of the Provost","D_PROVOST",03-OCT-24
"O10000613","10000613","Office of Graduate Education HQ","DEPARTMENTS","10000613","HR-402200","402200","Office of Graduate Education HQ","Office of Graduate Education HQ","Office of Graduate Education HQ","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000014","9","Office of Graduate Education Area","D_DEANGRAD",03-OCT-24
"O10000618","10000618","OSATT-Technology Licensing Office","DEPARTMENTS","10000618","HR-404000","404000","OSATT-Technology Licensing Office","OSATT-Technology Licensing Office","OSATT-Technology Licensing Office","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","10005833","523","VP for Research Area","10005810","517","Strategic Alliances & Tech Transfer Area","D_TLO",03-OCT-24
"O10000648","10000648","Enterprise Services","DEPARTMENTS","10000648","HR-406200","406200","Enterprise Services","Enterprise Services","Enterprise Services","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002033","247","Enterprise Services Area","10000648","150","Enterprise Services","D_ENTSRVCS",03-OCT-24
"O10000653","10000653","Human Resources","DEPARTMENTS","10000653","HR-409000","409000","Human Resources","Human Resources Department","Human Resources Department","VP for Human Resources Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000033","19","VP for Human Resources Area","10000653","153","Human Resources","","","","D_HR",03-OCT-24
"O10000658","10000658","Vice Pres for Resource Development","DEPARTMENTS","10000658","HR-410000","410000","Vice Pres for Resource Development","Office of the Vice President for Resource Devlpmnt","Office of the Vice President for Resource Devlpmnt","VP for Resource Development","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000035","20","VP for Resource Development","10000187","27","Office VP Resource Development","10000658","155","Vice Pres for Resource Development","D_RESDEV",03-OCT-24
"O10000660","10000660","Stewardship and Donor Relations","DEPARTMENTS","10000660","HR-410015","410015","Stewardship and Donor Relations","Stewardship and Donor Relations","Stewardship and Donor Relations","VP for Resource Development","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000035","20","VP for Resource Development","10000187","27","Office VP Resource Development","10000660","157","Stewardship and Donor Relations","D_RESDEV",03-OCT-24
"O10000663","10000663","Office of Foundation Relations","DEPARTMENTS","10000663","HR-410040","410040","Office of Foundation Relations","Office of Foundation Relations","Office of Foundation Relations","VP for Resource Development","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000035","20","VP for Resource Development","10000187","27","Office VP Resource Development","10000663","160","Office of Foundation Relations","D_RESDEV",03-OCT-24
"O10000667","10000667","Ofc of Philanthropic Partnerships","DEPARTMENTS","10000667","HR-410075","410075","Ofc of Philanthropic Partnerships","Office of Philanthropic Partnerships","Office of Philanthropic Partnerships","VP for Resource Development","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000035","20","VP for Resource Development","10000187","27","Office VP Resource Development","10000667","164","Ofc of Philanthropic Partnerships","D_RESDEV",03-OCT-24
"O10000668","10000668","Leadership Gifts","DEPARTMENTS","10000668","HR-410085","410085","Leadership Gifts","Leadership Gifts","Leadership Gifts","VP for Resource Development","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000035","20","VP for Resource Development","10000187","27","Office VP Resource Development","10000668","165","Leadership Gifts","D_RESDEV",03-OCT-24
"O10000670","10000670","Office of Leadership Giving","DEPARTMENTS","10000670","HR-410095","410095","Office of Leadership Giving","Office of Leadership Giving","Office of Leadership Giving","VP for Resource Development","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000035","20","VP for Resource Development","10000187","27","Office VP Resource Development","10000670","167","Office of Leadership Giving","D_RESDEV",03-OCT-24
"O10000673","10000673","MIT Investment Management Company","DEPARTMENTS","10000673","HR-420000","420000","MIT Investment Management Company","MIT Investment Management Company","MIT Investment Management Company","Executive Vice President Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000673","170","MIT Investment Management Company","","","","","","","D_MITIMCO",03-OCT-24
"O10000697","10000697","VPF - Controllership","DEPARTMENTS","10000697","HR-422900","422900","VPF - Controllership","VPF - Controllership","VPF - Controllership","VP for Finance Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10003333","326","VP for Finance Area","10000077","23","Controller's Area","10000697","172","VPF - Controllership","D_CAS",03-OCT-24
"O10000698","10000698","Audit Division","DEPARTMENTS","10000698","HR-423000","423000","Audit Division","Audit Division","Audit Division","Executive Vice President Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000698","173","Audit Division","","","","","","","D_AUDIT",03-OCT-24
"O10000728","10000728","Office of Minority Education","DEPARTMENTS","10000728","HR-441100","441100","Office of Minority Education","Office of Minority Education","Office of Minority Education","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000728","178","Office of Minority Education","D_OME",03-OCT-24
"O10000730","10000730","Student Life Programs","DEPARTMENTS","10000730","HR-441300","441300","Student Life Programs","Student Life Programs","Student Life Programs","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002533","274","Student Life Programs Area","10000730","180","Student Life Programs","D_SLP",03-OCT-24
"O10000743","10000743","Teaching & Learning Laboratory","DEPARTMENTS","10000743","HR-441700","441700","Teaching & Learning Laboratory","Teaching and Learning Laboratory","Teaching and Learning Laboratory","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000743","182","Teaching & Learning Laboratory","D_TLL",03-OCT-24
"O10000747","10000747","Religious, Spiritual and Ethical Life","DEPARTMENTS","10000747","HR-442020","442020","Religious, Spiritual and Ethical Life","Office of Religious, Spiritual, and Ethical Life","Office of Religious, Spiritual, and Ethical Life","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002859","299","Office of Religious Life Area","10000747","186","Religious, Spiritual and Ethical Life","D_CHAPLAINS",03-OCT-24
"O10000748","10000748","Dean for Student Life-Administration","DEPARTMENTS","10000748","HR-442040","442040","Dean for Student Life-Administration","Office of the Dean for Student Life - Administratn","Dean for Student Life-Administration","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10000099","24","Dean for Student Life Offices","10000748","187","Dean for Student Life-Administration","D_DSL:HQ",03-OCT-24
"O10000757","10000757","Educational Council","DEPARTMENTS","10000757","HR-446300","446300","Educational Council","Educational Council","Educational Council","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000041","22","Admissions Office Area","D_ADM",03-OCT-24
"O10000001","10000001","Provost Area","TOP LEVEL","","","","","","","","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","","","","","","","","","","",03-OCT-24
"O10000002","10000002","Executive Vice President Area","TOP LEVEL","","","","","","","","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","","","","","","","","","","",03-OCT-24
"O10000005","10000005","Architecture & Planning Area","ORGANIZATION LEVEL","","","","","","","Architecture & Planning Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000005","5","Architecture & Planning Area","","","","","","","",03-OCT-24
"O10000006","10000006","Associate Provost for the Arts","ORGANIZATION LEVEL","","","","","","","Associate Provost for the Arts","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000006","6","Associate Provost for the Arts","","","","","","","",03-OCT-24
"O10000012","10000012","Dean for Student Life Area","ORGANIZATION LEVEL","","","","","","","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","","","","","","","",03-OCT-24
"O10000014","10000014","Office of Graduate Education Area","ORGANIZATION LEVEL","","","","","","","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000014","9","Office of Graduate Education Area","",03-OCT-24
"O10000016","10000016","Env Program  & Risk Mgmt/Sr Counsel Area","ORGANIZATION LEVEL","","","","","","","Env Program  & Risk Mgmt/Sr Counsel Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000016","10","Env Program  & Risk Mgmt/Sr Counsel Area","","","","","","","",03-OCT-24
"O10000022","10000022","Libraries, MIT Press, Tech Review","ORGANIZATION LEVEL","","","","","","","Libraries, MIT Press, Tech Review","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000022","13","Libraries, MIT Press, Tech Review","","","","","","","",03-OCT-24
"O10000024","10000024","Office of EVPT area","ORGANIZATION LEVEL","","","","","","","Office of EVPT area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000024","14","Office of EVPT area","","","","","","","",03-OCT-24
"O10000025","10000025","Office of Provost Area","ORGANIZATION LEVEL","","","","","","","Office of Provost Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000025","15","Office of Provost Area","","","","","","","",03-OCT-24
"O10000031","10000031","Sloan School of Management Area","ORGANIZATION LEVEL","","","","","","","Sloan School of Management Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000031","17","Sloan School of Management Area","","","","","","","",03-OCT-24
"O10000032","10000032","VP Research","ORGANIZATION LEVEL","","","","","","","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","","","","","","","",03-OCT-24
"O10000035","10000035","VP for Resource Development","ORGANIZATION LEVEL","","","","","","","VP for Resource Development","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000035","20","VP for Resource Development","","","","","","","",03-OCT-24
"O10000036","10000036","Whitaker","ORGANIZATION LEVEL","","","","","","","Whitaker","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000036","21","Whitaker","","","","","","","",03-OCT-24
"O10000041","10000041","Admissions Office Area","ORGANIZATION LEVEL","","","","","","","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000041","22","Admissions Office Area","",03-OCT-24
"O10000099","10000099","Dean for Student Life Offices","ORGANIZATION LEVEL","","","","","","","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10000099","24","Dean for Student Life Offices","","","","",03-OCT-24
"O10000162","10000162","Libraries","ORGANIZATION LEVEL","","","","","","","Libraries, MIT Press, Tech Review","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000022","13","Libraries, MIT Press, Tech Review","10000162","26","Libraries","","","","",03-OCT-24
"O10000194","10000194","Information Systems Area","ORGANIZATION LEVEL","","","","","","","VP for Info Services & Technology Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10002058","248","VP for Info Services & Technology Area","10000194","28","Information Systems Area","","","","",03-OCT-24
"O10000219","10000219","ROTC Programs Area","ORGANIZATION LEVEL","","","","","","","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000219","30","ROTC Programs Area","",03-OCT-24
"O10000256","10000256","Vice President","ORGANIZATION LEVEL","","","","","","","Vice President","President & Chair of the Corporation","MIT-All","10000000","1","MIT-All","10000003","4","President & Chair of the Corporation","10000256","32","Vice President","","","","","","","",03-OCT-24
"O10000265","10000265","Institute Professors","DEPARTMENTS","10000265","HR-010000","010000","Institute Professors","Office of the Institute Professors","Institute Professors","Office of Provost Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000025","15","Office of Provost Area","10000265","33","Institute Professors","","","","D_INST_PROF",03-OCT-24
"O10000272","10000272","Center for Real Estate","DEPARTMENTS","10000272","HR-033000","033000","Center for Real Estate","Center for Real Estate","Center for Real Estate","Architecture & Planning Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000005","5","Architecture & Planning Area","10003933","353","Center for Real Estate Area","10000272","36","Center for Real Estate","D_CRE",03-OCT-24
"O10000275","10000275","Program in Media Arts and Sciences","DEPARTMENTS","10000275","HR-036000","036000","Program in Media Arts and Sciences","Program in Media Arts and Sciences","Program in Media Arts and Sciences","Architecture & Planning Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000005","5","Architecture & Planning Area","10000275","38","Program in Media Arts and Sciences","","","","D_MAS",03-OCT-24
"O10000276","10000276","Program in Art, Culture and Technology","DEPARTMENTS","10000276","HR-038000","038000","Program in Art, Culture and Technology","MIT Program in Art, Culture and Technology","MIT Program in Art, Culture and Technology","Architecture & Planning Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000005","5","Architecture & Planning Area","10000276","39","Program in Art, Culture and Technology","","","","D_ACT",03-OCT-24
"O10000284","10000284","School of Engineering","DEPARTMENTS","10000284","HR-060000","060000","School of Engineering","School of Engineering","School of Engineering","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000284","41","School of Engineering","","","","D_DOE",03-OCT-24
"O10000289","10000289","Terrascope","DEPARTMENTS","10000289","HR-060085","060085","Terrascope","Terrascope","Terrascope","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10005668","504","Office of the First Year Area","D_TERRASCOPE",03-OCT-24
"O10000292","10000292","Industrial Performance Center","DEPARTMENTS","10000292","HR-060300","060300","Industrial Performance Center","Industrial Performance Center","Industrial Performance Center","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10003508","336","Nuclear Science & Engineering Area","10000292","43","Industrial Performance Center","D_NUCENG",03-OCT-24
"O10000294","10000294","Microsystems Technology Laboratories","DEPARTMENTS","10000294","HR-060600","060600","Microsystems Technology Laboratories","Microsystems Technology Laboratories","Microsystems Technology Laboratories","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","10000294","44","Microsystems Technology Laboratories","","","","D_MTL",03-OCT-24
"O10000296","10000296","System Design and Management Program","DEPARTMENTS","10000296","HR-060800","060800","System Design and Management Program","System Design and Management","System Design and Management Program","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000296","45","System Design and Management Program","","","","D_SDM",03-OCT-24
"O10000299","10000299","Aeronautics and Astronautics","DEPARTMENTS","10000299","HR-061000","061000","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Aeronautics and Astronautics, Department of","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000299","47","Aeronautics and Astronautics","","","","D_AEROASTRO",03-OCT-24
"O10000316","10000316","Lemelson/MIT Program","DEPARTMENTS","10000316","HR-061100","061100","Lemelson/MIT Program","Lemelson/MIT Program","Lemelson/MIT Program","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000316","48","Lemelson/MIT Program","","","","D_LEMELSON",03-OCT-24
"O10000319","10000319","Chemical Engineering","DEPARTMENTS","10000319","HR-062000","062000","Chemical Engineering","Department of Chemical Engineering","Chemical Engineering, Department of","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000319","50","Chemical Engineering","","","","D_CHEME",03-OCT-24
"O10000322","10000322","Electrical Engineering-Computer Science","DEPARTMENTS","10000322","HR-064000","064000","Electrical Engineering-Computer Science","Dept of Electrical Engineering & Computer Science","Electrical Engineering & Computer Science, Dept of","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000322","52","Electrical Engineering-Computer Science","","","","D_EECS",03-OCT-24
"O10000324","10000324","Mechanical Engineering","DEPARTMENTS","10000324","HR-065000","065000","Mechanical Engineering","Department of Mechanical Engineering","Mechanical Engineering, Department of","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10004983","419","Mechanical Eng Area","10000324","53","Mechanical Engineering","D_MECHE",03-OCT-24
"O10000325","10000325","Materials Science and Engineering","DEPARTMENTS","10000325","HR-066000","066000","Materials Science and Engineering","Department of Materials Science and Engineering","Materials Science and Engineering, Department of","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000325","54","Materials Science and Engineering","","","","D_DMSE",03-OCT-24
"O10000329","10000329","Ocean Engineering","DEPARTMENTS","10000329","HR-067000","067000","Ocean Engineering","Department of Ocean Engineering","Ocean Engineering, Department of","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000329","57","Ocean Engineering","","","","D_MECHE",03-OCT-24
"O10000331","10000331","Nuclear Science and Engineering","DEPARTMENTS","10000331","HR-068000","068000","Nuclear Science and Engineering","Department of Nuclear Science and Engineering","Nuclear Science and Engineering, Dept of","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10003508","336","Nuclear Science & Engineering Area","10000331","58","Nuclear Science and Engineering","D_NUCENG",03-OCT-24
"O10000334","10000334","Singapore/MIT Alliance","DEPARTMENTS","10000334","HR-068200","068200","Singapore/MIT Alliance","Singapore/MIT Alliance Program","Singapore/MIT Alliance Program","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000334","60","Singapore/MIT Alliance","","","","D_SMA",03-OCT-24
"O10000335","10000335","Project I-Campus","DEPARTMENTS","10000335","HR-068400","068400","Project I-Campus","Project I-Campus","Project I-Campus","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10000335","61","Project I-Campus","","","","D_ICAMPUS",03-OCT-24
"O10000336","10000336","Artificial Intelligence Laboratory (old)","DEPARTMENTS","10000336","HR-068500","068500","Artificial Intelligence Laboratory (old)","Artificial Intelligence Laboratory (old)","Artificial Intelligence Laboratory (old)","Engineering Area","Engineering Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
