"PROGRAM_CODE","PROGRAM_TITLE","CATEGORY_CODE","CATEGORY_TITLE","FOUR_DIGIT_CODE","FOUR_DIGIT_TITLE","NOTE","WAREHOUSE_LOAD_DATE","VERSION"
"010307","Horse Husbandry/Equine Science and Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes ",17-MAY-23,"2020"
"010308","Agroecology and Sustainable Agriculture","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes | New in 2010",17-MAY-23,"2020"
"010309","Viticulture and Enology","01","AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES","0103","Agricultural Production Operations","New in 2010",11-JUN-14,"2010"
"010310","Apiculture","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","New in 2020",17-MAY-23,"2020"
"010399","Agricultural Production Operations, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes ",17-MAY-23,"2020"
"010400","Agricultural and Food Products Processing","01","AGRICULTURAL BUSINESS AND PRODUCTION","0104","Agricultural and Food Products Processing","",11-JUN-14,"1990"
"010401","Agricultural and Food Products Processing","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0104","Agricultural and Food Products Processing","(2020) No substantive changes ",17-MAY-23,"2020"
"010500","Agricultural Supplies and Related Services","01","AGRICULTURAL BUSINESS AND PRODUCTION","0105","Agricultural Supplies and Related Services","",11-JUN-14,"1990"
"010501","Agricultural Supplies Retailing and Wholesaling","01","AGRICULTURAL BUSINESS AND PRODUCTION","0105","Agricultural Supplies and Related Services","",11-JUN-14,"1990"
"010504","Dog/Pet/Animal Grooming","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0105","Agricultural and Domestic Animal Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010505","Animal Training","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0105","Agricultural and Domestic Animal Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010507","Equestrian/Equine Studies","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0105","Agricultural and Domestic Animal Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010508","Taxidermy/Taxidermist","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0105","Agricultural and Domestic Animal Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010509","Farrier Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0105","Agricultural and Domestic Animal Services","New in 2020",17-MAY-23,"2020"
"010599","Agricultural and Domestic Animal Services, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0105","Agricultural and Domestic Animal Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010600","Horticulture Services Operations and Management","01","AGRICULTURAL BUSINESS AND PRODUCTION","0106","Horticulture Services Operations and Management","",11-JUN-14,"1990"
"010601","Applied Horticulture/Horticulture Operations, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010603","Ornamental Horticulture","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010604","Greenhouse Operations and Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010605","Landscaping and Groundskeeping","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010606","Plant Nursery Operations and Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010607","Turf and Turfgrass Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010608","Floriculture/Floristry Operations and Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010609","Public Horticulture","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","New in 2020",17-MAY-23,"2020"
"010610","Urban and Community Horticulture","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","New in 2020",17-MAY-23,"2020"
"010699","Applied Horticulture/Horticultural Business Services, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0106","Applied Horticulture and Horticultural Business Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010700","International Agriculture","01","AGRICULTURAL BUSINESS AND PRODUCTION","0107","International Agriculture","",11-JUN-14,"1990"
"010701","International Agriculture","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0107","International Agriculture","(2020) No substantive changes ",17-MAY-23,"2020"
"010801","Agricultural and Extension Education Services","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0108","Agricultural Public Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010802","Agricultural Communication/Journalism","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0108","Agricultural Public Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010899","Agricultural Public Services, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0108","Agricultural Public Services","(2020) No substantive changes ",17-MAY-23,"2020"
"010901","Animal Sciences, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"010902","Agricultural Animal Breeding","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"010903","Animal Health","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"010904","Animal Nutrition","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"010905","Dairy Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"010906","Livestock Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"010907","Poultry Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"010999","Animal Sciences, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0109","Animal Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011001","Food Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0110","Food Science and Technology","(2020) No substantive changes ",17-MAY-23,"2020"
"011002","Food Technology and Processing","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0110","Food Science and Technology","(2020) No substantive changes ",17-MAY-23,"2020"
"011003","Brewing Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0110","Food Science and Technology","New in 2020",17-MAY-23,"2020"
"011004","Viticulture and Enology","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0110","Food Science and Technology","(2020) Moved to (Moved from 010309 to 011004)",17-MAY-23,"2020"
"011005","Zymology/Fermentation Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0110","Food Science and Technology","New in 2020",17-MAY-23,"2020"
"011099","Food Science and Technology, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0110","Food Science and Technology","(2020) No substantive changes ",17-MAY-23,"2020"
"011101","Plant Sciences, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0111","Plant Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011102","Agronomy and Crop Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0111","Plant Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011103","Horticultural Science","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0111","Plant Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011104","Agricultural and Horticultural Plant Breeding","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0111","Plant Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011105","Plant Protection and Integrated Pest Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0111","Plant Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011106","Range Science and Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0111","Plant Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011199","Plant Sciences, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0111","Plant Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011201","Soil Science and Agronomy, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0112","Soil Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011202","Soil Chemistry and Physics","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0112","Soil Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011203","Soil Microbiology","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0112","Soil Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011299","Soil Sciences, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0112","Soil Sciences","(2020) No substantive changes ",17-MAY-23,"2020"
"011302","Pre-Veterinary Studies","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0113","Agriculture/Veterinary Preparatory Programs","(2020) Moved to (Moved from 511104 to 011302)",17-MAY-23,"2020"
"011399","Agriculture/Veterinary Preparatory Programs, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0113","Agriculture/Veterinary Preparatory Programs","New in 2020",17-MAY-23,"2020"
"018001","Veterinary Medicine","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0180","Veterinary Medicine","(2020) Moved to (Moved from 512401 to 018001)",17-MAY-23,"2020"
"018101","Veterinary Sciences/Veterinary Clinical Sciences, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512501 to 018101)",17-MAY-23,"2020"
"018102","Comparative and Laboratory Animal Medicine","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512509 to 018102)",17-MAY-23,"2020"
"018103","Large Animal/Food Animal and Equine Surgery and Medicine","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512507 to 018103)",17-MAY-23,"2020"
"018104","Small/Companion Animal Surgery and Medicine","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512508 to 018104)",17-MAY-23,"2020"
"018105","Veterinary Anatomy","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512502 to 018105)",17-MAY-23,"2020"
"018106","Veterinary Infectious Diseases","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512511 to 018106)",17-MAY-23,"2020"
"018107","Veterinary Microbiology and Immunobiology","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512504 to 018107)",17-MAY-23,"2020"
"018108","Veterinary Pathology and Pathobiology","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512505 to 018108)",17-MAY-23,"2020"
"018109","Veterinary Physiology","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512503 to 018109)",17-MAY-23,"2020"
"018110","Veterinary Preventive Medicine, Epidemiology, and Public Health","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512510 to 018110)",17-MAY-23,"2020"
"018111","Veterinary Toxicology and Pharmacology","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512506 to 018111)",17-MAY-23,"2020"
"018199","Veterinary Biomedical and Clinical Sciences, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0181","Veterinary Biomedical and Clinical Sciences","(2020) Moved to (Moved from 512599 to 018199)",17-MAY-23,"2020"
"018201","Veterinary Administrative Services, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0182","Veterinary Administrative Services","New in 2020",17-MAY-23,"2020"
"018202","Veterinary Office Management/Administration","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0182","Veterinary Administrative Services","New in 2020",17-MAY-23,"2020"
"018203","Veterinary Reception/Receptionist","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0182","Veterinary Administrative Services","New in 2020",17-MAY-23,"2020"
"018204","Veterinary Administrative/Executive Assistant and Veterinary Secretary","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0182","Veterinary Administrative Services","New in 2020",17-MAY-23,"2020"
"018299","Veterinary Administrative Services, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0182","Veterinary Administrative Services","New in 2020",17-MAY-23,"2020"
"018301","Veterinary/Animal Health Technology/Technician and Veterinary Assistant","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0183","Veterinary/Animal Health Technologies/Technicians","(2020) Moved to (Moved from 510808 to 018301)",17-MAY-23,"2020"
"018399","Veterinary/Animal Health Technologies/Technicians, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0183","Veterinary/Animal Health Technologies/Technicians","New in 2020",17-MAY-23,"2020"
"019900","Agricultural Business and Production, Other","01","AGRICULTURAL BUSINESS AND PRODUCTION","0199","Agricultural Business and Production, Other","",11-JUN-14,"1990"
"019999","Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0199","Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other","(2020) No substantive changes- CIP text change ",17-MAY-23,"2020"
"020000","AGRICULTURAL SCIENCES","02","AGRICULTURAL SCIENCES","0200","AGRICULTURAL SCIENCES","",11-JUN-14,"1990"
"020100","Agriculture/Agricultural Sciences","02","AGRICULTURAL SCIENCES","0201","Agriculture/Agricultural Sciences","",11-JUN-14,"1990"
"020101","Agriculture/Agricultural Sciences, General","02","AGRICULTURAL SCIENCES","0201","Agriculture/Agricultural Sciences","",11-JUN-14,"1990"
"020102","Agricultural Extension","02","AGRICULTURAL SCIENCES","0201","Agriculture/Agricultural Sciences","",11-JUN-14,"1990"
"020200","Animal Sciences","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020201","Animal Sciences, General","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020202","Agricultural Animal Breeding and Genetics","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020203","Agricultural Animal Health","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020204","Agricultural Animal Nutrition","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020205","Agricultural Animal Physiology","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020206","Dairy Science","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020209","Poultry Science","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020299","Animal Sciences, Other","02","AGRICULTURAL SCIENCES","0202","Animal Sciences","",11-JUN-14,"1990"
"020300","Food Sciences and Technology","02","AGRICULTURAL SCIENCES","0203","Food Sciences and Technology","",11-JUN-14,"1990"
"020301","Food Sciences and Technology","02","AGRICULTURAL SCIENCES","0203","Food Sciences and Technology","",11-JUN-14,"1990"
"020400","Plant Sciences","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020401","Plant Sciences, General","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020402","Agronomy and Crop Science","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020403","Horticulture Science","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020405","Plant Breeding and Genetics","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020406","Agricultural Plant Pathology","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020407","Agricultural Plant Physiology","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020408","Plant Protection (Pest Management)","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020409","Range Science and Management","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020499","Plant Sciences, Other","02","AGRICULTURAL SCIENCES","0204","Plant Sciences","",11-JUN-14,"1990"
"020500","Soil Sciences","02","AGRICULTURAL SCIENCES","0205","Soil Sciences","",11-JUN-14,"1990"
"020501","Soil Sciences","02","AGRICULTURAL SCIENCES","0205","Soil Sciences","",11-JUN-14,"1990"
"029900","Agriculture/Agricultural Sciences, Other","02","AGRICULTURAL SCIENCES","0299","Agriculture/Agricultural Sciences, Other","",11-JUN-14,"1990"
"029999","Agriculture/Agricultural Sciences, Other","02","AGRICULTURAL SCIENCES","0299","Agriculture/Agricultural Sciences, Other","",11-JUN-14,"1990"
"030000","CONSERVATION AND RENEWABLE NATURAL RESOURCES","03","CONSERVATION AND RENEWABLE NATURAL RESOURCES","0300","CONSERVATION AND RENEWABLE NATURAL RESOURCES","",11-JUN-14,"1990"
"030100","Natural Resources Conservation","03","CONSERVATION AND RENEWABLE NATURAL RESOURCES","0301","Natural Resources Conservation","",11-JUN-14,"1990"
"030101","Natural Resources/Conservation, General","03","NATURAL RESOURCES AND CONSERVATION","0301","Natural Resources Conservation and Research","(2020) No substantive changes ",17-MAY-23,"2020"
"030102","Environmental Science/Studies","03","CONSERVATION AND RENEWABLE NATURAL RESOURCES","0301","Natural Resources Conservation","",11-JUN-14,"1990"
"030103","Environmental Studies","03","NATURAL RESOURCES AND CONSERVATION","0301","Natural Resources Conservation and Research","(2020) No substantive changes ",17-MAY-23,"2020"
"030104","Environmental Science","03","NATURAL RESOURCES AND CONSERVATION","0301","Natural Resources Conservation and Research","(2020) No substantive changes ",17-MAY-23,"2020"
"030188","Environmental Science/Studies","03","NATURAL RESOURCES AND CONSERVATION","0301","Natural Resources Conservation and Research","Added to CIP 2000 by NCES for IPEDS Completion 2003",11-JUN-14,"2000"
"030199","Natural Resources Conservation and Research, Other","03","NATURAL RESOURCES AND CONSERVATION","0301","Natural Resources Conservation and Research","(2020) No substantive changes ",17-MAY-23,"2020"
"030200","Natural Resources Management and Protective Services","03","CONSERVATION AND RENEWABLE NATURAL RESOURCES","0302","Natural Resources Management and Protective Services","",11-JUN-14,"1990"
"030201","Environmental/Natural Resources Management and Policy, General","03","NATURAL RESOURCES AND CONSERVATION","0302","Environmental/Natural Resources Management and Policy","(2020) No substantive changes- CIP text change ",17-MAY-23,"2020"
"030203","Natural Resources Law Enforcement and Protective Services","03","CONSERVATION AND RENEWABLE NATURAL RESOURCES","0302","Natural Resources Management and Protective Services","",11-JUN-14,"1990"
"030204","Environmental/Natural Resource Economics","03","NATURAL RESOURCES AND CONSERVATION","0302","Environmental/Natural Resources Management and Policy","(2020) No substantive changes- CIP text change ",17-MAY-23,"2020"
"030205","Water, Wetlands, and Marine Resources Management","03","NATURAL RESOURCES AND CONSERVATION","0302","Natural Resources Management and Policy","(2020) No substantive changes ",17-MAY-23,"2020"
"030206","Land Use Planning and Management/Development","03","NATURAL RESOURCES AND CONSERVATION","0302","Natural Resources Management and Policy","(2020) No substantive changes ",17-MAY-23,"2020"
"030207","Environmental/Natural Resource Recreation and Tourism","03","NATURAL RESOURCES AND CONSERVATION","0302","Environmental/Natural Resources Management and Policy","(2020) No substantive changes- CIP text change | New in 2010",17-MAY-23,"2020"
