"ACADEMIC_YEAR","SUBJECT_ID","SUBJECT_CODE","SUBJECT_NUMBER","SOURCE_SUBJECT_ID","PRINT_SUBJECT_ID","IS_PRINTED_IN_BULLETIN","DEPARTMENT_CODE","DEPARTMENT_NAME","EFFECTIVE_TERM_CODE","SUBJECT_SHORT_TITLE","SUBJECT_TITLE","IS_VARIABLE_UNITS","LECTURE_UNITS","LAB_UNITS","PREPARATION_UNITS","TOTAL_UNITS","DESIGN_UNITS","GRADE_TYPE","GRADE_TYPE_DESC","GRADE_RULE","GRADE_RULE_DESC","HGN_CODE","HGN_DESC","HGN_EXCEPT","GIR_ATTRIBUTE","GIR_ATTRIBUTE_DESC","COMM_REQ_ATTRIBUTE","COMM_REQ_ATTRIBUTE_DESC","TUITION_ATTRIBUTE","TUITION_ATTRIBUTE_DESC","WRITE_REQ_ATTRIBUTE","WRITE_REQ_ATTRIBUTE_DESC","SUPERVISOR_ATTRIBUTE","SUPERVISOR_ATTRIBUTE_DESC","PREREQUISITES","SUBJECT_DESCRIPTION","JOINT_SUBJECTS","SCHOOL_WIDE_ELECTIVES","MEETS_WITH_SUBJECTS","EQUIVALENT_SUBJECTS","IS_OFFERED_THIS_YEAR","IS_OFFERED_FALL_TERM","IS_OFFERED_IAP","IS_OFFERED_SPRING_TERM","IS_OFFERED_SUMMER_TERM","FALL_INSTRUCTORS","SPRING_INSTRUCTORS","STATUS_CHANGE","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE","MASTER_SUBJECT_ID","HASS_ATTRIBUTE","HASS_ATTRIBUTE_DESC","TERM_DURATION","GLOBAL_REGIONS","GLOBAL_COUNTRIES","ON_LINE_PAGE_NUMBER","SO_SUBJECT_ID","SO_TERM_CODE","SO_TERM_DESCRIPTION","SO_CLUSTER_TYPE","SECTION_ID","IS_MASTER_SECTION","IS_LECTURE_SECTION","IS_LAB_SECTION","IS_RECITATION_SECTION","IS_DESIGN_SECTION","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","MEET_TIME","MEET_PLACE"
"2003","1.44","1","44","1.44","1.44J","Y","1","Civil and Environmental Eng","2002FA","Law & Construction Industry","Law and the Construction Industry","N",2,1,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","","Practical focus on key legal principles applicable to construction. Provides sufficient understanding to manage legal aspects, instead of being managed by them. Contractual relationships, contract performance, avoiding/resolving disputes, designing procurement systems, and legal aspects of contract strategies. Case study applications. Topics include forms of organization, changes, differing site conditions, designer liability, risk management, public construction, surety bonds, liens, E&O insurance, site safety, arbitration, ADR, and partnering. Invited industry speakers, in-class arbitration.","ESD.183J","","1.043","","Y","Y","N","N","N","J. B. Miller","J. B. Miller","",12-JAN-04,28-OCT-24,"","","","","","","","1.44","2003FA","Fall Term 2002-2003","J","000,L01,R01","N,N,Y","N,Y,N","N,N,N","N,N,Y","N,N,N","Miller, J,Miller, J,Miller, J","900015102,900015102,900015102","T9-11,*TO BE ARRANGED","1-242"
"2002","1.45","1","45","1.45","1.45","Y","1","Civil and Environmental Eng","1994FA","Construction Finance","Construction Finance","N",3,0,6,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","","Examination of financing methods and structure, project financial evaluation, and financial management in the domestic and international construction industry. Analytical concepts and methodologies from modern finance theory and practice presented in lecture/discussions and applied to case analyses including problems in cash flow analysis, corporate financial structure, project finance, and foreign exchange exposure. Innovative financial securities, such as options, and methods such as privatization and sale-leaseback are examined. Prior subjects in microeconomics, accounting, and/or corporate finance desirable but not required.","","","","","","N","N","N","N","","","",26-AUG-04,28-OCT-24,"","","","","","","","1.45","2002FA","Fall Term 2001-2002","","000,L01","N,Y","N,Y","N,N","N,N","N,N","Samii, Massood,Samii, Massood","900018474,900018474","R8.30-11.30","1-150"
"2003","1.45","1","45","1.45","1.45","Y","1","Civil and Environmental Eng","1994FA","Construction Finance","Construction Finance","N",3,0,6,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","","Examination of financing methods and structure, project financial evaluation, and financial management in the domestic and international construction industry. Analytical concepts and methodologies from modern finance theory and practice presented in lecture/discussions and applied to case analyses including problems in cash flow analysis, corporate financial structure, project finance, and foreign exchange exposure. Innovative financial securities, such as options, and methods such as privatization and sale-leaseback are examined. Prior subjects in microeconomics, accounting, and/or corporate finance desirable but not required.","","","","","Y","Y","N","N","N","M. V. Samii","M. V. Samii","",26-AUG-04,28-OCT-24,"","","","","","","","1.45","2003FA","Fall Term 2002-2003","","000,L01","N,Y","N,Y","N,N","N,N","N,N","Samii, Massood,Samii, Massood","900018474,900018474","R1-4","1-277"
"2004","1.45","1","45","1.45","1.45","Y","1","Civil and Environmental Eng","1994FA","Construction Finance","Construction Finance","N",3,0,6,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","","Examination of financing methods and structure, project financial evaluation, and financial management in the domestic and international construction industry. Analytical concepts and methodologies from modern finance theory and practice presented in lecture/discussions and applied to case analyses including problems in cash flow analysis, corporate financial structure, project finance, and foreign exchange exposure. Innovative financial securities, such as options, and methods such as privatization and sale-leaseback are examined. Prior subjects in microeconomics, accounting, and/or corporate finance desirable but not required.","","","","","Y","Y","N","N","N","M. V. Samii","M. V. Samii","(2005: Switch from subject to joint child)",26-AUG-04,28-OCT-24,"","","","","","","","1.45","2004FA","Fall Term 2003-2004","","000,L01","N,Y","N,Y","N,N","N,N","N,N","Samii, Massood,Samii, Massood","900018474,900018474","R1-4","1-277"
"2005","1.45","1","45","11.341","1.45J","Y","1","Civil and Environmental Eng","2005FA","Construction Finance","International Construction Finance","N",2,0,4,6,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examination of financing methods and structure, project financial evaluation, and financial management in the domestic and international construction industry. Analytical concepts and methodologies from modern finance theory and practice presented in lecture/discussions and applied to case analyses including problems in cash flow analysis, corporate financial structure, project finance, and foreign exchange exposure. Innovative financial securities, such as options, and methods such as privatization and sale-leaseback are examined. Prior subjects in microeconomics, accounting, and/or corporate finance desirable but not required.  Half-term subject offered in the second half of term.","11.341J","","","","Y","N","N","Y","N","M. V. Samii","M. V. Samii","Switch from subject to joint child",08-SEP-04,28-OCT-24,"","","","","","","","1.45","2005SP","Spring Term 2004-2005","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Samii, Massood,Samii, Massood","900018474,900018474","F1-4","W31-301"
"2006","1.45","1","45","11.341","1.45J","Y","1","Civil and Environmental Eng","2006FA","Construction Finance","International Construction Finance","N",2,0,4,6,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examination of financing methods and structure, project financial evaluation, and financial management in the domestic and international construction industry. Analytical concepts and methodologies from modern finance theory and practice presented in lecture/discussions and applied to case analyses including problems in cash-flow analysis, corporate financial structure, project finance, and foreign exchange exposure. Innovative financial securities, such as options, and methods such as privatization and sale-leaseback are examined. Prior subjects in microeconomics, accounting, and/or corporate finance desirable but not required.  Half-term subject offered in the second half of term.","11.341J","","","","Y","N","N","Y","N","M. V. Samii","M. V. Samii","",21-JUL-05,28-OCT-24,"","","","","","","","1.45","2006SP","Spring Term 2005-2006","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Samii, Massood,Samii, Massood","900018474,900018474","T9-12","W31-301"
"2008","1.45","1","45","11.341","1.45J","Y","1","Civil and Environmental Eng","2006FA","Construction Finance","International Construction Finance","N",2,0,4,6,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examination of financing methods and structure, project financial evaluation, and financial management in the domestic and international construction industry. Analytical concepts and methodologies from modern finance theory and practice presented in lecture/discussions and applied to case analyses including problems in cash-flow analysis, corporate financial structure, project finance, and foreign exchange exposure. Innovative financial securities, such as options, and methods such as privatization and sale-leaseback are examined. Prior subjects in microeconomics, accounting, and/or corporate finance desirable but not required.  Half-term subject offered in the second half of term.","11.341J","","","","Y","N","N","Y","N","M. V. Samii","M. V. Samii","",19-OCT-06,28-OCT-24,"","","","","","","","1.45","2008SP","Spring Term 2007-2008","","000","Y","N","N","N","N","","","",""
"2002","1.46","1","46","1.46","1.46","Y","1","Civil and Environmental Eng","2002FA","Strategic Mgmt in Construction","Strategic Management in the Design and Construction Value Chain","N",2,0,7,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Discusses the basic business relationships among firms in the design and construction value chain. Specific topics include: industry analysis; strategic planning models; information technology strategy; strategy in fragmented industries; negotiation; and macro trends shaping the industry as a whole. Case method of instruction is used, and supplemented by extensive readings.","","","","","Y","Y","N","N","N","J. Macomber","J. Macomber","",29-MAR-06,28-OCT-24,"","","","","","","","1.46","2002FA","Fall Term 2001-2002","","000,L01","N,Y","N,Y","N,N","N,N","N,N","Macomber, J,Macomber, J","900012879,900012879","M1-3","1-390"
"2003","1.46","1","46","1.46","1.46","Y","1","Civil and Environmental Eng","2002FA","Strategic Mgmt in Construction","Strategic Management in the Design and Construction Value Chain","N",2,0,7,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Discusses the basic business relationships among firms in the design and construction value chain. Specific topics include: industry analysis; strategic planning models; information technology strategy; strategy in fragmented industries; negotiation; and macro trends shaping the industry as a whole. Case method of instruction is used, and supplemented by extensive readings.","","","","","Y","Y","N","N","N","J. Macomber","J. Macomber","",29-MAR-06,28-OCT-24,"","","","","","","","1.46","2003FA","Fall Term 2002-2003","","000,L01","N,Y","N,Y","N,N","N,N","N,N","Macomber, J,Macomber, J","900012879,900012879","M1-3","1-390"
"2004","1.46","1","46","1.46","1.46","Y","1","Civil and Environmental Eng","2002FA","Strategic Mgmt in Construction","Strategic Management in the Design and Construction Value Chain","N",2,0,7,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Discusses the basic business relationships among firms in the design and construction value chain. Specific topics include: industry analysis; strategic planning models; information technology strategy; strategy in fragmented industries; negotiation; and macro trends shaping the industry as a whole. Case method of instruction is used, and supplemented by extensive readings.","","","","","Y","Y","N","N","N","J. Macomber","J. Macomber","",29-MAR-06,28-OCT-24,"","","","","","","","1.46","2004FA","Fall Term 2003-2004","","000,L01","N,Y","N,Y","N,N","N,N","N,N","Macomber, J,Macomber, J","900012879,900012879","M1-3","1-390"
"2005","1.46","1","46","1.46","1.46","Y","1","Civil and Environmental Eng","2002FA","Strategic Mgmt in Construction","Strategic Management in the Design and Construction Value Chain","N",2,0,7,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Discusses the basic business relationships among firms in the design and construction value chain. Specific topics include: industry analysis; strategic planning models; information technology strategy; strategy in fragmented industries; negotiation; and macro trends shaping the industry as a whole. Case method of instruction is used, and supplemented by extensive readings.","","","","","Y","Y","N","N","N","J. Macomber","J. Macomber","",29-MAR-06,28-OCT-24,"","","","","","","","1.46","2005FA","Fall Term 2004-2005","","000,L01","N,Y","N,Y","N,N","N,N","N,N","Macomber, J,Macomber, J","900012879,900012879","M1-3","1-390"
"2006","1.46","1","46","1.46","1.46","Y","1","Civil and Environmental Eng","2006FA","Strategic Mgmt in Construction","Strategic Management in the Design and Construction Value Chain","N",2,0,7,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Discusses the basic business relationships among firms in the design and construction value chain. Specific topics include: industry analysis; strategic planning models; information technology strategy; strategy in fragmented industries; negotiation; and macro trends shaping the industry as a whole. Case method of instruction is used, supplemented by extensive readings.","","","11.348, 11.948","","Y","Y","N","N","N","J. Macomber","J. Macomber","(2007: Switch from subject to joint child)",29-MAR-06,28-OCT-24,"","","","","","","","1.46","2006FA","Fall Term 2005-2006","","000","Y","N","N","N","N","","","",""
"2006","1.46","1","46","1.46","1.46","Y","1","Civil and Environmental Eng","2006FA","Strategic Mgmt in Construction","Strategic Management in the Design and Construction Value Chain","N",2,0,7,9,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Discusses the basic business relationships among firms in the design and construction value chain. Specific topics include: industry analysis; strategic planning models; information technology strategy; strategy in fragmented industries; negotiation; and macro trends shaping the industry as a whole. Case method of instruction is used, supplemented by extensive readings.","","","11.348, 11.948","","Y","Y","N","N","N","J. Macomber","J. Macomber","(2007: Switch from subject to joint child)",29-MAR-06,28-OCT-24,"","","","","","","","1.46","2006SP","Spring Term 2005-2006","M","000,L01","N,Y","N,Y","N,N","N,N","N,N","Macomber, J,Macomber, J","900012879,900012879","T9-11","W31-301"
"2007","1.46","1","46","11.348","1.46J","Y","1","Civil and Environmental Eng","2007FA","Strategic Leadership","Strategic Leadership in Real Estate and Construction","N",2,0,4,6,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Basic business relationships among firms in the design and construction value chain. Topics include industry analysis, strategic planning models, information technology strategy, strategy in fragmented industries, negotiation, and macro trends shaping the industry as a whole. Case method of instruction is used, and supplemented by extensive readings. Half term subject taught in the first half of the term.","11.348J","","","","Y","N","N","Y","N","J. Macomber","J. Macomber","Switch from subject to joint child",25-APR-06,28-OCT-24,"","","","","","","","1.46","2007SP","Spring Term 2006-2007","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Macomber, J,Macomber, J","900012879,900012879","T9-11 (ENDS MARCH 16)","W31-301"
"2008","1.46","1","46","11.348","1.46J","Y","1","Civil and Environmental Eng","2007FA","Strategic Leadership","Strategic Leadership in Real Estate and Construction","N",2,0,4,6,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Examines the fundamental concepts of strategic planning and management in the context of the real estate, design, and construction industry. Basic business relationships among firms in the design and construction value chain. Topics include industry analysis, strategic planning models, information technology strategy, strategy in fragmented industries, negotiation, and macro trends shaping the industry as a whole. Case method of instruction is used, and supplemented by extensive readings. Half term subject taught in the first half of the term.","11.348J","","","","Y","N","N","Y","N","J. Macomber","J. Macomber","",19-OCT-06,28-OCT-24,"","","","","","","","1.46","2008SP","Spring Term 2007-2008","","000","Y","N","N","N","N","","","",""
"2002","1.56","1","56","22.314","1.56J","Y","1","Civil and Environmental Eng","2001FA","Structural Mech: Nuclear Power","Structural Mechanics in Nuclear Power Technology","N",3,0,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Structural components in nuclear power plant systems, their functional purposes, operating conditions, and mechanical-structural design requirements. Combines mechanics techniques with models of material behavior to determine adequacy of component design. Considerations include mechanical loading, brittle fracture, inelastic behavior, elevated temperatures, neutron irradiation, and seismic effects.","2.084J, 13.14J, 22.314J","","","","","N","N","N","N","","","",22-FEB-00,28-OCT-24,"","","","","","","","1.56","2002SP","Spring Term 2001-2002","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Kazimi, Mujid,Kazimi, Mujid","900011158,900011158","MW1-2.30","24-121"
"2004","1.56","1","56","22.314","1.56J","Y","1","Civil and Environmental Eng","2001FA","Structural Mech: Nuclear Power","Structural Mechanics in Nuclear Power Technology","N",3,0,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Structural components in nuclear power plant systems, their functional purposes, operating conditions, and mechanical-structural design requirements. Combines mechanics techniques with models of material behavior to determine adequacy of component design. Considerations include mechanical loading, brittle fracture, inelastic behavior, elevated temperatures, neutron irradiation, and seismic effects.","2.084J, 13.14J, 22.314J","","","","Y","N","N","Y","N","M. S. Kazimi, O. Buyukozturk","M. S. Kazimi, O. Buyukozturk","",01-SEP-02,28-OCT-24,"","","","","","","","1.56","2004SP","Spring Term 2003-2004","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Kazimi, Mujid,Kazimi, Mujid","900011158,900011158","TR9.30-11","24-115"
"2006","1.56","1","56","22.314","1.56J","Y","1","Civil and Environmental Eng","2006FA","Structural Mech: Nuclear Power","Structural Mechanics in Nuclear Power Technology","N",3,0,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Structural components in nuclear power plant systems, their functional purposes, operating conditions, and mechanical-structural design requirements. Combines mechanics techniques with models of material behavior to determine adequacy of component design. Considerations include mechanical loading, brittle fracture, inelastic behavior, elevated temperatures, neutron irradiation, vibrations and seismic effects.","2.084J, 22.314J","","","","Y","N","N","Y","N","M. S. Kazimi, O. Buyukozturk","M. S. Kazimi, O. Buyukozturk","",16-DEC-04,28-OCT-24,"","","","","","","","1.56","2006SP","Spring Term 2005-2006","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Kazimi, Mujid,Kazimi, Mujid","900011158,900011158","TR9.30-11","24-121"
"2007","1.56","1","56","22.314","1.56J","Y","1","Civil and Environmental Eng","2007FA","Structural Mech: Nuclear Power","Structural Mechanics in Nuclear Power Technology","N",3,0,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","Permission of instructor","Structural components in nuclear power plant systems, their functional purposes, operating conditions, and mechanical/structural design requirements. Combines mechanics techniques with models of material behavior to determine adequacy of component design. Considerations include mechanical loading, brittle fracture, inelastic behavior, elevated temperatures, neutron irradiation, vibrations and seismic effects.","2.084J, 22.314J","","","","Y","Y","N","N","N","M. S. Kazimi, O. Buyukozturk","M. S. Kazimi, O. Buyukozturk","",11-JAN-06,28-OCT-24,"","","","","","","","1.56","2007FA","Fall Term 2006-2007","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Kazimi, Mujid,Kazimi, Mujid","900011158,900011158","TR11-12.30","24-121"
"2009","1.56","1","56","22.314","1.56J","Y","1","Civil and Environmental Eng","2009FA","Structural Mech: Nuclear Power","Structural Mechanics in Nuclear Power Technology","N",3,0,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","2.001 or permission of instructor","Structural components in nuclear power plant systems, their functional purposes, operating conditions, and mechanical/structural design requirements. Combines mechanics techniques with models of material behavior to determine adequacy of component design. Considerations include mechanical loading, brittle fracture, inelastic behavior, elevated temperatures, neutron irradiation, vibrations and seismic effects.","2.084J, 22.314J","","","","Y","Y","N","N","N","M. S. Kazimi, O. Buyukozturk","M. S. Kazimi, O. Buyukozturk","",10-JUN-08,28-OCT-24,"","","","","","","","1.56","2009FA","Fall Term 2008-2009","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Kazimi, Mujid,Kazimi, Mujid","900011158,900011158","MW11-12.30","24-121"
"2011","1.56","1","56","22.314","1.56J","Y","1","Civil and Environmental Eng","2011FA","Structural Mech: Nuclear Power","Structural Mechanics in Nuclear Power Technology","N",3,0,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","2.001 or permission of instructor","Structural components in nuclear power plant systems, their functional purposes, operating conditions, and mechanical/structural design requirements. Combines mechanics techniques with models of material behavior to determine adequacy of component design. Considerations include mechanical loading, brittle fracture, inelastic behavior, elevated temperatures, neutron irradiation, vibrations and seismic effects.","2.084J, 22.314J","","","","Y","N","N","Y","N","M. S. Kazimi, O. Buyukozturk","M. S. Kazimi, O. Buyukozturk","",01-JUN-10,28-OCT-24,"22.314","","","Full Term Subject","","","http://student.mit.edu/catalog/m1c.html","1.56","2011SP","Spring Term 2010-2011","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Kazimi, Mujid,Kazimi, Mujid","900011158,900011158","TR11-12.30","24-121"
"2013","1.56","1","56","22.314","1.56J","Y","1","Civil and Environmental Eng","2011FA","Structural Mech: Nuclear Power","Structural Mechanics in Nuclear Power Technology","N",3,0,9,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","2.001 or permission of instructor","Structural components in nuclear power plant systems, their functional purposes, operating conditions, and mechanical/structural design requirements. Combines mechanics techniques with models of material behavior to determine adequacy of component design. Considerations include mechanical loading, brittle fracture, inelastic behavior, elevated temperatures, neutron irradiation, vibrations and seismic effects.","2.084J, 22.314J","","","","Y","N","N","Y","N","M. S. Kazimi, O. Buyukozturk","M. S. Kazimi, O. Buyukozturk","",20-OCT-11,28-OCT-24,"22.314","","","Full Term Subject","","","http://student.mit.edu/catalog/m1c.html","1.56","2013SP","Spring Term 2012-2013","J","000,L01","N,Y","N,Y","N,N","N,N","N,N","Kazimi, Mujid,Kazimi, Mujid","900011158,900011158","TR11-12.30","24-115"
"2003","1.57","1","57","1.57","1.57","Y","1","Civil and Environmental Eng","2003FA","Mechanics of Material Systems","Mechanics of Material Systems: An Energy Approach","N",3,2,7,12,0,"L","Letter graded","N","Not repeatable for credit","G","Graduate","","","","","","","","","","","","1.030","Meets with undergraduate subject 1.033. Graduate students are expected to complete additional assignments. See description under 1.033. An opportunity to update knowledge in continuum mechanics and constitutive behavior and modeling of engineering materials based on thermodynamics of irreversible processes. Cross-projects with subject 1.124 encouraged.","","","1.033","","Y","Y","N","N","N","F. J. Ulm","F. J. Ulm","",05-FEB-02,28-OCT-24,"","","","","","","","1.57","2003FA","Fall Term 2002-2003","M","000,L01,R01","N,N,Y","N,Y,N","N,N,N","N,N,Y","N,N,N","Ulm, Franz-Josef,Ulm, Franz-Josef,Ulm, Franz-Josef","900047764,900047764,900047764","MWF1,R2.30-4","1-132,1-371"
"2004","1.57","1","57","1.57","1.57","Y","1","Civil and Environmental Eng","2004FA","Mechanics of Material Systems","Mechanics of Material Systems: An Energy Approach","N",3,2,7,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","1.030 or equivalent","See description under 1.033. An opportunity to update knowledge in continuum mechanics and constitutive behavior and modeling of engineering materials based on thermodynamics of irreversible processes. Graduate students are expected to complete additional assignments.","","","1.033","","Y","Y","N","N","N","F. J. Ulm","F. J. Ulm","",19-FEB-03,28-OCT-24,"","","","","","","","1.57","2004FA","Fall Term 2003-2004","M","000,L01,R01","N,N,Y","N,Y,N","N,N,N","N,N,Y","N,N,N","Ulm, Franz-Josef,Ulm, Franz-Josef,Ulm, Franz-Josef","900047764,900047764,900047764","MWF1,F3-4.30","1-132,1-132"
"2005","1.57","1","57","1.57","1.57","Y","1","Civil and Environmental Eng","2004FA","Mechanics of Material Systems","Mechanics of Material Systems: An Energy Approach","N",3,2,7,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","1.030 or equivalent","See description under 1.033. An opportunity to update knowledge in continuum mechanics and constitutive behavior and modeling of engineering materials based on thermodynamics of irreversible processes. Graduate students are expected to complete additional assignments.","","","1.033","","Y","Y","N","N","N","F. J. Ulm","F. J. Ulm","",30-OCT-03,28-OCT-24,"","","","","","","","1.57","2005FA","Fall Term 2004-2005","M","000,L01,R01","N,N,Y","N,Y,N","N,N,N","N,N,Y","N,N,N","Ulm, Franz-Josef,Ulm, Franz-Josef,Ulm, Franz-Josef","900047764,900047764,900047764","MWF1,F3-4.30","1-132,1-132"
"2013","1.57","1","57","1.57","1.57","Y","1","Civil and Environmental Eng","2012FA","Mechanics of Materials","Mechanics of Materials: An Energy Approach","N",3,2,7,12,0,"L","Letter graded","N","Not repeatable for credit","H","High Graduate","","","","","","","","","","","","1.050 or permission of instructor","An opportunity to update knowledge in continuum mechanics and constitutive behavior, and modeling of engineering materials based on thermodynamics of irreversible processes.  Introduction to continuum mechanics and material modeling of engineering materials based on first energy principles: deformation and strain; momentum balance, stress, and stress states; elasticity and elasticity bounds; plasticity and yield design. Overarching theme is a unified mechanistic language using thermodynamics, which allows for understanding, modeling, and design of a broad range of engineering materials.","","","","","Y","Y","N","N","N","F. J. Ulm","F. J. Ulm","",20-OCT-11,28-OCT-24,"1.57","","","Full Term Subject","","","http://student.mit.edu/catalog/m1c.html","1.57","2013FA","Fall Term 2012-2013","","000,L01,R01","N,N,Y","N,Y,N","N,N,N","N,N,Y","N,N,N","Ulm, Franz-Josef,Ulm, Franz-Josef,Ulm, Franz-Josef","900047764,900047764,900047764","MWF1,F3-4.30","1-134,1-134"
"2010","1.58","1","58","1.58","1.58","Y","1","Civil and Environmental Eng","2010FA","Steel Bridge Competition","Steel Bridge Competition","N",0,4,0,4,0,"L","Letter graded","R","Can be repeated for credit","G","Graduate","","","","","","","","","","","","","Students participate in the ASCE / AISC Student Steel Bridge Competition, gaining practical experience in structural design, steel fabrication processes, construction planning, organization, and teamwork. Provides an opportunity to compete against, and network with, students from other colleges and universities from around the country.","","","1.055","","Y","Y","Y","Y","N","J. J. Connor","J. J. Connor","New subject",14-MAY-09,28-OCT-24,"1.055","","","Full Term Subject","","","http://student.mit.edu/catalog/m1c.html","1.58","2010FA","Fall Term 2009-2010","M","000,B01","N,Y","N,N","Y,N","N,N","N,N","Connor, Jerome,Connor, Jerome","900005511,900005511","T 7-9","1-050"
"2010","1.58","1","58","1.58","1.58","Y","1","Civil and Environmental Eng","2010FA","Steel Bridge Competition","Steel Bridge Competition","N",0,4,0,4,0,"L","Letter graded","R","Can be repeated for credit","G","Graduate","","","","","","","","","","","","","Students participate in the ASCE / AISC Student Steel Bridge Competition, gaining practical experience in structural design, steel fabrication processes, construction planning, organization, and teamwork. Provides an opportunity to compete against, and network with, students from other colleges and universities from around the country.","","","1.055","","Y","Y","Y","Y","N","J. J. Connor","J. J. Connor","New subject",14-MAY-09,28-OCT-24,"1.055","","","Full Term Subject","","","http://student.mit.edu/catalog/m1c.html","1.58","2010JA","January Term 2009-2010","M","000","Y","N","N","N","N","Connor, Jerome","900005511","",""
"2010","1.58","1","58","1.58","1.58","Y","1","Civil and Environmental Eng","2010FA","Steel Bridge Competition","Steel Bridge Competition","N",0,4,0,4,0,"L","Letter graded","R","Can be repeated for credit","G","Graduate","","","","","","","","","","","","","Students participate in the ASCE / AISC Student Steel Bridge Competition, gaining practical experience in structural design, steel fabrication processes, construction planning, organization, and teamwork. Provides an opportunity to compete against, and network with, students from other colleges and universities from around the country.","","","1.055","","Y","Y","Y","Y","N","J. J. Connor","J. J. Connor","New subject",14-MAY-09,28-OCT-24,"1.055","","","Full Term Subject","","","http://student.mit.edu/catalog/m1c.html","1.58","2010SP","Spring Term 2009-2010","M","000","Y","N","N","N","N","Connor, Jerome","900005511","",""
"2011","1.58","1","58","1.58","1.58","Y","1","Civil and Environmental Eng","2010FA","Steel Bridge Competition","Steel Bridge Competition","N",0,4,0,4,0,"L","Letter graded","R","Can be repeated for credit","G","Graduate","","","","","","","","","","","","","Students participate in the ASCE / AISC Student Steel Bridge Competition, gaining practical experience in structural design, steel fabrication processes, construction planning, organization, and teamwork. Provides an opportunity to compete against, and network with, students from other colleges and universities from around the country.","","","1.055","","Y","Y","Y","Y","N","J. J. Connor","J. J. Connor","",01-DEC-09,28-OCT-24,"1.055","","","Full Term Subject","","","http://student.mit.edu/catalog/m1c.html","1.58","2011FA","Fall Term 2010-2011","M","000,L01","N,Y","N,Y","N,N","N,N","N,N","Connor, Jerome,Connor, Jerome","900005511,900005511","R3-5","1-050"
