"FCLT_BUILDING_HIST_KEY","FISCAL_PERIOD","FCLT_BUILDING_KEY","BUILDING_NUMBER","PARENT_BUILDING_NUMBER","PARENT_BUILDING_NAME","PARENT_BUILDING_NAME_LONG","BUILDING_NAME_LONG","EXT_GROSS_AREA","ASSIGNABLE_AREA","NON_ASSIGNABLE_AREA","SITE","CAMPUS_SECTOR","ACCESS_LEVEL_CODE","ACCESS_LEVEL_NAME","BUILDING_TYPE","OWNERSHIP_TYPE","BUILDING_USE","OCCUPANCY_CLASS","BUILDING_HEIGHT","COST_CENTER_CODE","COST_COLLECTOR_KEY","LATITUDE_WGS","LONGITUDE_WGS","EASTING_X_SPCS","NORTHING_Y_SPCS","BUILDING_SORT","BUILDING_NAMED_FOR","BUILDING_NAME","DATE_BUILT","DATE_ACQUIRED","DATE_OCCUPIED","WAREHOUSE_LOAD_DATE","NUM_OF_ROOMS"
"OC36-201505","201505","OC36","OC36","","","","Annex 6",6910.33,4364.63,1851.64,"LINC","OFFCAMPUS",1,"1","ACADEMIC","OWNED","OTH","(NULL)","","","",,,,,"OC36","","ANNEX 6",,,,01-DEC-14,28
"W16-201505","201505","W16","W16","","","","Kresge Auditorium",42145.98,20454.71,17716.79,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA1A3","50.20","1831600","1831600",42.358133831799897,-71.095057906799894,765614.61178499903,2955792.8880799902,"W16","SEBASTIAN S. KRESGE","KRESGE AUDITORIUM",01-MAY-53,,31-DEC-56,01-DEC-14,93
"W20-201505","201505","W20","W20","","","","Julius Adams Stratton Student Center",183162,116165.53,55856.44,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGA3M","75.00","1832000","1832000",42.3590424012,-71.094774640200001,765689.59944699903,2956124.3528800001,"W20","JULIUS ADAMS STRATTON","STRATTON STUDENT CENTER",01-SEP-63,,01-OCT-65,01-DEC-14,428
"W61G-201505","201505","W61G","W61G","W61","MACGREGOR HOUSE","Frank S MacGregor House","Frank S MacGregor House (Wing G)",12942.63,9430.07,1289.78,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","","","",,,,,"W61G","","MACGREGOR HOUSE (G)",,,,01-DEC-14,99
"W70-201505","201505","W70","W70","","","","New West Campus Houses",114930.31,68693.54,32792.85,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","46.90","1347500","1347500",42.355161090000003,-71.100532316900001,764140.069823,2954702.5842900001,"W70","","NEW HOUSE",01-JUN-74,,31-DEC-76,01-DEC-14,13
"W70G-201505","201505","W70G","W70G","W70","NEW HOUSE","New West Campus Houses","New West Campus Houses (Wing G)",3886.9,1648.29,1972.51,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","","","",,,,,"W70G","","NEW HOUSE (G)",,,,01-DEC-14,15
"5-201505","201505","5","5","","","","Pratt School Of Naval Architecture And Marine Engineering",80942.35,55225.95,16728.77,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","70.70","1810500","1810500",42.358708761300001,-71.092923465699897,766190.50561899901,2956005.1499100002,"05","CHARLES HERBERT PRATT","PRATT SCHOOL",01-DEC-19,,31-DEC-20,01-DEC-14,275
"50-201505","201505","50","50","","","","Walker Memorial",73703.27,46452.51,20719.31,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","80.50","1342002","1342002",42.359362410700001,-71.0883196005,767433.66957400006,2956249.3249900001,"50","FRANCIS AMASA WALKER","WALKER MEMORIAL",01-JAN-16,,01-SEP-17,01-DEC-14,200
"12-201505","201505","12","12","","","","Building 12",55403.21,36173.72,14274.26,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","42.20","1811200","1811200",42.3602054061,-71.091559902100002,766556.43215699901,2956552.3192799902,"12","","BUILDING 12",01-SEP-41,,01-JUL-42,01-DEC-14,242
"32P-201505","201505","32P","32P","","","","Ray and Maria Stata Center Garage",239353.28,219268.15,10269.82,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","GAR","(NULL)","","1813201","1813201",,,,,"32P","RAY STATA '57","STATA CENTER GARAGE",,,02-JUN-03,01-DEC-14,32
"37-201505","201505","37","37","","","","Ronald E McNair Building",102832.84,56088.11,32519.06,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","89.70","1813700","1813700",42.360684242200001,-71.093247445399896,766099.50816600001,2956724.6375299902,"37","RONALD E. MCNAIR","MCNAIR BUILDING",01-FEB-66,,31-DEC-69,01-DEC-14,401
"39-201505","201505","39","39","","","","Stanley Gordon Brown Building",75808.22,39408.97,29949.69,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","91.10","1813900","1813900",42.360856655699898,-71.092730980599896,766238.79191899905,2956788.13444999,"39","GORDON STANLEY BROWN","BROWN BUILDING",01-AUG-66,,31-DEC-68,01-DEC-14,253
"42T-201505","201505","42T","42T","42","COGENERATION PLANT","William R. Dickson Cogeneration Plant","Building 42 Tunnel",11247.27,0,11247.27,"MIT","",0,"0","SERVICE","OWNED","OTH","UGF1","0.00","1814200","1814200",,,,,"42T","","BUILDING 42 TUNNEL",31-DEC-15,,31-DEC-16,01-DEC-14,1
"E25-201505","201505","E25","E25","","","","Whitaker College Of Health Sciences & Technology",156676.36,90240.16,47623.46,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","92.30","1822500","1822500",42.3616687646999,-71.086949709300001,767799.84440299904,2957091.5970800002,"E25","UNCAS A. & HELEN F. WHITAKER","WHITAKER COLLEGE",21-AUG-79,,15-FEB-82,01-DEC-14,565
"E62-201505","201505","E62","E62","","","","Building E62",405033.97,274524.21,95303.04,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","","1823000","1823000",42.361347473400002,-71.082654949000002,768961.13217600004,2956980.1616799901,"E62","","BUILDING E62",,,,01-DEC-14,649
"N10-201505","201505","N10","N10","","","","High Voltage Research Laboratory",10041.46,8107.66,632.03,"MIT","NORTH",1,"1","ACADEMIC","OWNED","AER","UGB","33.00","1851000","1851000",42.360863297599899,-71.095450958100002,765503.660821,2956787.0565499901,"N10","","HIGH VOLTAGE RESEARCH LAB",01-JUL-64,,01-FEB-65,01-DEC-14,52
"E60-201505","201505","E60","E60","","","","Arthur D Little Building",30130.11,12536.82,13088.45,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGB","","","",42.3611773055,-71.082175677199899,769090.96655200003,2956918.78354999,"E60","ARTHUR D. LITTLE","ARTHUR D LITTLE BUILDING",31-DEC-17,01-JUL-97,01-MAR-94,01-DEC-14,133
"NE83-201505","201505","NE83","NE83","","","","Building 300",20795.59,17407.77,873.91,"MIT","",2,"2","ACADEMIC","LEASED","AER","UGB","0.00","","",,,,,"NE83","","BUILDING 300",25-JUN-14,,25-JUN-14,01-DEC-14,77
"NW17-201505","201505","NW17","NW17","","","","Plasma Science And Fusion Center (NW17)",45397.46,27622.94,12314.36,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","33.80","1841700","1841700",42.359856375900002,-71.099142437599895,764507.70102100004,2956415.4034799901,"NW17","","PLASMA SCIENCE & FUSION CENTER (NW17)",31-DEC-23,,,01-DEC-14,154
"NE18-201505","201505","NE18","NE18","","","","255 Main Street",33044.91,28995.07,260.02,"MIT","NORTHEAST",2,"2","ACADEMIC","LEASED","AER","UGB","194.70","1861800","1861800",42.3626472601999,-71.085173263499897,768278.217925,2957450.51042999,"NE18","","255 MAIN STREET",,,01-APR-01,01-DEC-14,196
"NW20-201505","201505","NW20","NW20","","","","Albany Street Generator Shelter",5784.7,5291.98,0,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGF1","28.00","1842000","1842000",42.359283155599897,-71.098466376600001,764691.40409500001,2956207.3697100002,"NW20","","ALBANY ST GENERATOR SHELTER",,,,01-DEC-14,10
"NW30-201505","201505","NW30","NW30","","","","224 Albany Street",85812.19,50160.21,23182.63,"MIT","NORTHWEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","75.00","1348100","1348100",42.3586472548999,-71.099972867000005,764285.32651200006,2955973.7215900002,"NW30","","224 ALBANY STREET",31-DEC-04,01-OCT-58,01-NOV-58,01-DEC-14,252
"NW86-201505","201505","NW86","NW86","","","","70 Pacific Street Dormitory",362686.82,251368.74,63800.8,"MIT","NORTHWEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","106.40","1348300","1348300",42.359720408500003,-71.102218743099897,763676.49545199901,2956361.9617599901,"NW86","","70 PACIFIC STREET DORMITORY",01-FEB-01,,01-AUG-02,01-DEC-14,710
"OC19F-201505","201505","OC19F","OC19F","","","","BATES LINAC: South Experimental Hall",57867.01,31838.33,7529.01,"BATES","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","(NULL)","","1876000","1876000",42.5983373259999,-70.981498496399894,795775.03718700004,3043495.98697,"OC19F","","BATES LINAC: SOUTH EXPERIMENTAL HALL",,,,01-DEC-14,46
"W61D-201505","201505","W61D","W61D","W61","MACGREGOR HOUSE","Frank S MacGregor House","Frank S MacGregor House (Wing D)",12498.73,7668.85,2742.54,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","","","",,,,,"W61D","","MACGREGOR HOUSE (D)",,,,01-DEC-14,95
"W56-201505","201505","W56","W56","","","","Building W56",2835,2463.75,92.98,"MIT","WEST",2,"2","SERVICE","OWNED","OTH","(NULL)","0.00","","",,,,,"W56","","BUILDING W56",18-JUN-12,,,01-DEC-14,16
"W57A-201505","201505","W57A","W57A","","","","Building W57A",117,91.07,0,"MIT","WEST",3,"3","SERVICE","OWNED","OTH","UGA1","0.00","","",,,,,"W57A","","BUILDING W57A",21-MAR-14,,,01-DEC-14,1
"W70E-201505","201505","W70E","W70E","W70","NEW HOUSE","New West Campus Houses","New West Campus Houses (Wing E)",17792.83,11278.04,4385.7,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","","","",,,,,"W70E","","NEW HOUSE (E)",,,,01-DEC-14,106
"W92-201505","201505","W92","W92","","","","Building W92",86521.66,72020.11,7904.77,"MIT","WEST",2,"2","ACADEMIC","OWNED","AER","UGB","32.10","1839200","1839200",42.354920429499899,-71.1046169034,763036.448508,2954609.73853999,"W92","","BUILDING W92",,,01-JUL-99,01-DEC-14,360
"W85H-201505","201505","W85H","W85H","W85HJK","WESTGATE (HJK)","Westgate HJK","Westgate H Married Student Housing",4677.62,3727.52,445.9,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"W85H","","WESTGATE (H)",,,,01-DEC-14,10
"W85HJK-201505","201505","W85HJK","W85HJK","","","","Westgate HJK",13995.47,11150.3,1358.4,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","31.10","1348000","1348000",42.355450344600001,-71.103152731500003,763431.30457699904,2954804.6881300001,"W85HJK","","WESTGATE (HJK)",01-JAN-62,,01-AUG-63,01-DEC-14,0
"2-201505","201505","2","2","","","","Building 2",121649.77,73934.31,35902.05,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","82.60","1810200","1810200",42.358812732399898,-71.090182689000002,766931.08927,2956046.58619999,"02","","BUILDING 2",01-JUL-13,,31-DEC-16,01-DEC-14,354
"6C-201505","201505","6C","6C","","","","PDSI",51146.78,16126.28,27824.36,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGE","92.00","1810600","1810600",42.359672940800003,-71.090836171800007,766752.96512900002,2956359.21569,"06C","","BUILDING 6C",01-MAY-07,,01-MAY-07,01-DEC-14,117
"14W-201505","201505","14W","14W","14","HAYDEN MEMORIAL LIBRARY","Charles Hayden Memorial Library","Charles Hayden Memorial Library (West Wing)",5013.14,2850.15,1777.63,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","","","",,,,,"14W","","HAYDEN MEMORIAL LIBRARY (W)",,,,01-DEC-14,16
"31-201505","201505","31","31","","","","Sloan Laboratories For Aircraft & Automotive Engineering",63579.46,47756.82,10909.03,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","46.20","1813100","1813100",42.360373622600001,-71.093062013799894,766150.16447099904,2956611.68034,"31","ALFRED P. SLOAN JR.","SLOAN LABORATORIES",31-DEC-28,,31-DEC-28,01-DEC-14,221
"66-201505","201505","66","66","","","","Ralph Landau Building",133862.28,71022.16,48293.13,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","74.30","1816600","1816600",42.360920155499898,-71.089029250099898,767239.13493399904,2956816.0739500001,"66","RALPH LANDAU","LANDAU BUILDING",01-AUG-73,,31-DEC-76,01-DEC-14,330
"E2-201505","201505","E2","E2","","","","Senior House",64670.53,36222.25,18156.46,"MIT","EAST",2,"2","RESIDENT","OWNED","DHOA","UGR2","63.70","1346000","1346000",42.359955651999897,-71.086867012599896,767825.21787099901,2956467.41243,"E02","WARE, ATKINSON,RUNKLE,CRAFTS,NICHOLS,HOLMAN","SENIOR HOUSE",01-JUL-13,,01-JUL-16,01-DEC-14,314
"E19-201505","201505","E19","E19","","","","Horace Sayford Ford Building (E19)",149430.25,100591.94,37489.53,"MIT","EAST",2,"2","SERVICE","OWNED","AER","UGB","81.00","1821900","1821900",42.362129036299898,-71.087952447899895,767528.03043000004,2957258.01825999,"E19","HORACE SAYFORD FORD JR.","FORD BUILDING (E19)",31-DEC-20,01-MAY-61,01-OCT-64,01-DEC-14,721
"E51-201505","201505","E51","E51","","","","Jack C Tang Center For Management Education",108146.05,52256.93,43082.81,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGA3","60.00","1825100","1825100",42.360554207,-71.084492418699895,768465.93793200003,2956688.6550699901,"E51","","TANG CENTER",31-DEC-44,31-DEC-45,31-DEC-80,01-DEC-14,318
"E52-201505","201505","E52","E52","","","","Alfred P Sloan Building",143950.12,86926.63,40977.5,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","97.40","1825200","1825200",42.360735923100002,-71.083676675299898,768686.08396199904,2956755.9513699901,"E52","ALFRED P. SLOAN JR.","SLOAN BUILDING",31-DEC-38,01-JAN-51,01-MAY-52,01-DEC-14,534
"E53-201505","201505","E53","E53","","","","Grover M Hermann Building",95445.1,63414.1,25153.08,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGA3","72.20","1825300","1825300",42.361188175899898,-71.083592274799898,768708.09014900005,2956920.8726300001,"E53","GROVER MARTIN HERMANN","HERMANN BUILDING",01-JAN-64,,01-OCT-65,01-DEC-14,289
"E55-201505","201505","E55","E55","","","","Eastgate Married Student Housing",172358.83,120283.18,29645.23,"MIT","EAST",2,"2","RESIDENT","OWNED","DHOA","UGR2","272.80","1348200","1348200",42.361736081399897,-71.083908763500006,768621.58020900004,2957120.12301999,"E55","","EASTGATE",01-NOV-65,,01-AUG-67,01-DEC-14,438
"N16-201505","201505","N16","N16","","","","Cooling Tower & Oil Reserve",31334.45,0,25029.45,"MIT","NORTH",0,"0","SERVICE","OWNED","OTH","UGU","59.00","","",42.361266616599899,-71.094065925199899,765877.28985399904,2956935.8126300001,"N16","","COOLING TOWER & OIL RESERVE",20-SEP-71,,31-DEC-72,01-DEC-14,26
"N16A-201505","201505","N16A","N16A","","","","Building N16A",9766.11,0,8652.37,"MIT","NORTH",0,"0","SERVICE","OWNED","OTH","UGU","57.70","","",42.3612415983999,-71.0943815255999,765792.037381,2956926.28971999,"N16A","","BUILDING N16A",,,,01-DEC-14,11
"NW16-201505","201505","NW16","NW16","","","","Plasma Science And Fusion Center (NW16)",50148.39,31346.41,14440.37,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","34.00","1841600","1841600",42.360032100799899,-71.098715324899899,764622.83609600004,2956479.9839900001,"NW16","","PLASMA SCIENCE & FUSION CENTER (NW16)",01-JUN-80,01-APR-66,01-MAY-81,01-DEC-14,171
"N51-201505","201505","N51","N51","","","","Building N51",44980.93,32641.41,8419.29,"MIT","NORTH",2,"2","ACADEMIC","OWNED","AER","UGBA3","50.90","1855100","1855100",42.362284424099897,-71.097627705700006,764912.91509100003,2957302.1611899901,"N51","","BUILDING N51",31-DEC-24,16-APR-82,01-JAN-64,01-DEC-14,127
"N52-201505","201505","N52","N52","","","","MIT Museum",103874.44,71387.57,21271.39,"MIT","NORTH",2,"2","ACADEMIC","OWNED","AER","UGA3B","56.80","1855200","1855200",42.362272730100003,-71.097188232700006,765031.70745500003,2957298.4603300001,"N52","","MIT MUSEUM",31-DEC-24,16-APR-82,01-JAN-64,01-DEC-14,324
"NE25-201505","201505","NE25","NE25","","","","355 Main Street",15375.72,14460.12,37.84,"MIT","NORTHEAST",2,"2","SERVICE","LEASED","AER","UGB","177.20","1862500","1862500",42.3628074388999,-71.087506279799896,767647.41687700001,2957505.82516,"NE25","","355 MAIN STREET",,,01-JUL-96,01-DEC-14,108
"NW21-201505","201505","NW21","NW21","","","","Plasma Science And Fusion Center (NW21)",120136.72,65083.46,44698.29,"MIT","NORTHWEST",2,"2","ACADEMIC","OWNED","AER","UGB","43.60","1842100","1842100",42.359063597199899,-71.099146290099895,764508.01709900005,2956126.4939299901,"NW21","","PLASMA SCIENCE & FUSION CENTER (NW21)",31-DEC-99,01-APR-80,01-MAY-80,01-DEC-14,149
"OC100-201505","201505","OC100","OC100","","","","BUILDING OC100",2649.3,1891.48,16.82,"DC","OFFCAMPUS",1,"1","ACADEMIC","LEASED","OTH","(NULL)","","","",,,,,"OC100","","BUILDING OC100",,,01-JUL-91,01-DEC-14,11
"OC19B-201505","201505","OC19B","OC19B","","","","Bates LINAC: Research Bldg",13810.89,10426.98,1578.19,"BATES","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","(NULL)","","1876000","1876000",42.5990272815,-70.980450091700007,796055.788757,3043749.1522400002,"OC19B","","BATES LINAC: RESEARCH BLDG",,,,01-DEC-14,45
"OC19E-201505","201505","OC19E","OC19E","","","","BATES LINAC: Ring Service Building",3058.54,2225.79,218.06,"BATES","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","(NULL)","","1876000","1876000",42.599068701599897,-70.9790036614,796445.14395099902,3043766.6228900002,"OC19E","","BATES LINAC: RING SERVICE BUILDING",,,,01-DEC-14,7
"W1-201505","201505","W1","W1","","","","Fariborz Maseeh Hall",189693.16,107518.76,43357.57,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","74.50","1345000","1345000",42.357617631099899,-71.093510699800007,766033.68489899905,2955606.7632300002,"W01","AVERY ALLEN ASHDOWN","FARIBORZ MASEEH HALL",31-DEC-00,31-DEC-37,31-DEC-39,01-DEC-14,555
"OC19G-201505","201505","OC19G","OC19G","","","","BATES LINAC: North Hall Exhaust",454.61,372.3,13.64,"BATES","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","(NULL)","","1876000","1876000",42.5980549477,-70.982733553800003,795443.12176899903,3043391.05788999,"OC19G","","BATES LINAC: NORTH HALL EXHAUST",,,,01-DEC-14,2
"OC19J-201505","201505","OC19J","OC19J","","","","BATES LINAC: Gas Bottle/Tank Storage",400.94,348.95,0,"BATES","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","(NULL)","","1876000","1876000",,,,,"OC19J","","BATES LINAC: GAS BOTTLE/TANK STORAGE",,,,01-DEC-14,2
"OC23-201505","201505","OC23","OC23","","","","Wallace Geophysical Observatory",2034.38,1617.25,0,"HAY","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","UGB","","1878100","1878100",42.610061447200003,-71.489887910899895,658888.89275999903,3047344.6454799902,"OC23","GEORGE R. WALLACE JR.","WALLACE GEOPHYSICAL OBSERVATORY",,,20-MAY-70,01-DEC-14,6
"OC24-201505","201505","OC24","OC24","","","","Haystack Antenna Facility",9060.39,7042.49,849.63,"HAY","OFFCAMPUS",1,"1","ACADEMIC","LEASED","AER","UGB","","","",42.6130515348,-71.493730352100002,657854.40781700006,3048434.2786599901,"OC24","","HAYSTACK ANTENNA FACILITY",,,01-JAN-80,01-DEC-14,31
"W5-201505","201505","W5","W5","","","","Ida Flansburgh Green Hall",19010.96,9843.29,5586.45,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","53.20","1345500","1345500",42.356918931899898,-71.095101036399896,765605.05647299904,2955350.0988500002,"W05","IDA FLANSBURGH GREEN","GREEN HALL",31-DEC-01,01-JUL-63,31-DEC-70,01-DEC-14,110
"W53C-201505","201505","W53C","W53C","","","","Building W53C",180,0,151.33,"MIT","WEST",2,"2","SERVICE","OWNED","OTH","UGU","","","",,,,,"W53C","","BUILDING W53C",01-OCT-08,,,01-DEC-14,1
"W57-201505","201505","W57","W57","","","","Building W57",2030.11,1849.2,30.67,"MIT","WEST",2,"2","SERVICE","OWNED","OTH","(NULL)","0.00","","",,,,,"W57","","BUILDING W57",18-JUN-12,,,01-DEC-14,3
"WW25-201505","201505","WW25","WW25","","","","Building WW25",2300.01,2300,0,"MIT","WESTWEST",2,"2","SERVICE","LEASED","OTH","UGS1","","","",42.355737910999899,-71.106326600100004,762572.95558199903,2954905.5079299901,"WW25","","BUILDING WW25",,,,01-DEC-14,2
"W85-201505","201505","W85","W85","","","","Westgate  Married Student Housing",115603.99,84270.83,25211.66,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","167.30","1348000","1348000",42.354997759200003,-71.103257782,763403.67751399905,2954639.6248699902,"W85","","WESTGATE",01-JAN-62,,01-AUG-63,01-DEC-14,327
"W85A-201505","201505","W85A","W85A","W85ABC","WESTGATE (ABC)","Westgate ABC","Westgate A Married Student Housing",4686.42,3725.83,453.68,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"W85A","","WESTGATE (A)",,,,01-DEC-14,11
"W85C-201505","201505","W85C","W85C","W85ABC","WESTGATE (ABC)","Westgate ABC","Westgate C Married Student Housing",4661.33,3701.95,454.98,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"W85C","","WESTGATE (C)",,,,01-DEC-14,10
"W85J-201505","201505","W85J","W85J","W85HJK","WESTGATE (HJK)","Westgate HJK","Westgate J Married Student Housing",4630.7,3701.56,451.91,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"W85J","","WESTGATE (J)",,,,01-DEC-14,10
"62-201505","201505","62","62","","","","Alumni Houses: Munroe Hayden Wood",77154,50572.78,18936.55,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","UGR2","51.50","1346200","1346200",42.3602292035999,-71.088682904600006,767333.95523299905,2956564.7278900002,"62","JAMES P. MUNROE, HENRY R. HAYDEN, KENNETH F. WOOD","ALUMNI HOUSES: MUNROE HAYDEN WOOD",01-MAR-30,,01-SEP-31,01-DEC-14,0
