"FIELD_ID","FIELD_NAME","DEFINITION","FIELD_LENGTH","DATA_TYPE"
287,"AGE","*** In HR tables, this field contains the person's age in years as calculated by the HR System's Age Calculating Device.  *** In STUDENT tables, this field contains the age of the person.",3,"NUMBER"
213,"COST_COLLECTOR_COUNTER","Used to count records within a group on a report.  Always contains a value of 1.",1,"NUMBER"
288,"AGE_BY_FISCAL_YEAR","The person's age as of June 30, the end of the fiscal year, as calculated by the HR System's aforementioned Device.  For example, a person's FY2000 age is the person's age on June 30, 2000.",3,"NUMBER"
289,"GENDER","The person's gender.",30,"VARCHAR2"
290,"RACE","The person's race.",30,"VARCHAR2"
291,"EDUCATION_LEVEL","The highest level of education a person has completed: high school, B.A. or B.S. degree, MBA, Ph.D.",30,"VARCHAR2"
292,"DEGREE","Type of educational degree this person holds: PHD, MBA, BS, etc.",11,"VARCHAR2"
293,"MAJOR","Field of major degree, for example, chemistry, biology, computer science.",30,"VARCHAR2"
294,"IS_DISABLED","Obsolete field.  Contains ""N"" in all records",5,"VARCHAR2"
295,"VETERAN_TYPE","Type of veteran.",30,"VARCHAR2"
296,"IS_VETERAN","An indicator that the person is a veteran (yes or no).",5,"VARCHAR2"
297,"VISA_CODE","The code relating to Visa Type.  Example:  (J1, H1, etc.)",20,"VARCHAR2"
298,"VISA_TYPE","A description of the type of visa a person holds.",30,"VARCHAR2"
225,"COST_COLLECTOR_CREATE_DATE","The date the Cost Collector was identified to SAP.",8,"DATE"
226,"COST_COLLECTOR_CREATE_USER_ID","The User ID of the person who created the Cost Collector in SAP.",12,"VARCHAR2"
227,"COST_COLLECTOR_CREATE_MIT_ID","XXXXX",9,"VARCHAR2"
228,"COST_COLL_CREATE_USER_NAME","XXXX",40,"VARCHAR2"
299,"VISA_RENEWAL _DATE","The renewal date of the person's visa.",8,"DATE"
300,"HAS_VISA","An indicator that the person has a visa (yes or no).",5,"VARCHAR2"
301,"HOME_ADDRESS1","Street number and street name.",30,"VARCHAR2"
302,"HOME_ADDRESS2","Additional address information.",30,"VARCHAR2"
303,"HOME_CITY","The person's home city.",30,"VARCHAR2"
304,"HOME_STATE","The person's home state.",2,"VARCHAR2"
305,"HOME_COUNTRY","The person's home country.",30,"VARCHAR2"
306,"HOME_PHONE","The person's home telephone number.",20,"VARCHAR2"
307,"HOME_ZIP_CODE","The person's home zip code.",9,"VARCHAR2"
308,"OFFICE_LOCATION","The person's primary office address at MIT.",30,"VARCHAR2"
309,"OFFICE_PHONE","The person's primary office telephone number at MIT.",20,"VARCHAR2"
310,"SECONDARY_OFFICE_LOCATION","The secondary office building-room number of the person, where listed.",30,"VARCHAR2"
311,"SECONDARY_OFFICE_PHONE","The secondary office phone of the person, where listed.",20,"VARCHAR2"
312,"EMERGENCY_CONTACT_NAME","Person's designated contact to be notified in case of emergency.",30,"VARCHAR2"
313,"EMERGENCY_CONTACT_HOME_PHONE","Designated emergency contact's telephone number at home.",20,"VARCHAR2"
314,"EMERGENCY_CONTACT_WORK_PHONE","Designated emergency contact's telephone number at work.",20,"VARCHAR2"
315,"DATE_LAST_UPDATED","The date on which the warehouse data was last updated.",8,"DATE"
316,"SCHOOL","The name of the school from which the person earned the highest or most recent degree.",50,"VARCHAR2"
317,"YEAR_GRADUATED","The year the person graduated.",30,"VARCHAR2"
318,"DIRECTORY_DEPARTMENT","The person's department as listed in the MIT directory.",30,"VARCHAR2"
319,"DIRECTORY_SUPPRESSION","An indicator for whether a person's home address and phone number are listed in the MIT directory: Yes or No.",30,"VARCHAR2"
320,"SALUTATION","In HR tables, this field is used for salary review letters only, a person's salutation may appear as Mary, Fred, etc.  In ALUMNI tables, this field contains the salutation of the alumnus/alumnae, eg. ""The Rev MacCormick"", ""Dr Smith"", ""Ms Wood"", ""Prof Walker"", ""Mary Jones"".",30,"VARCHAR2"
321,"COUNTRY_OF_CITIZENSHIP","The country where the person has citizenship.",30,"VARCHAR2"
322,"SOURCE","Tells where the information about the person was obtained.",30,"VARCHAR2"
323,"IS_CURRENT_TODAY","An indicator that the person is active: Yes or No.",5,"VARCHAR2"
324,"IS_ON_PAID_LEAVE","An indicator that the person is on a paid leave: Yes or No.",5,"VARCHAR2"
325,"IS_ON_UNPAID_LEAVE","An indicator that the person is on an unpaid leave.",5,"VARCHAR2"
326,"IS_NOT_CURRENT_TODAY","An indicator that the person is terminated, on long term disability, deceased, laid off, or retired and not working: Yes or No.",5,"VARCHAR2"
327,"IS_ON_LTD","An indicator that the person is on long term disability.",5,"VARCHAR2"
328,"IS_DECEASED","An indicator that the person is deceased: Yes or No.",5,"VARCHAR2"
329,"IS_LAID_OFF","An indicator that tells if the person has been laid off: Yes or No.",5,"VARCHAR2"
330,"IS_RETIRED","An indicator that tells if the person has retired: Yes or No.",5,"VARCHAR2"
331,"IS_UNDEFINED","An indicator that the person's affiliation with the Institute has not yet been classified: Yes or No.",5,"VARCHAR2"
332,"PRIMARY_TITLE","A person's primary appointment title.",51,"VARCHAR2"
264,"USERNAME","Kerberos ID",12,"VARCHAR2"
334,"HIRE_DATE","The date on which the person was last hired.",8,"DATE"
335,"ORIGINAL_HIRE_DATE","The date on which the person was first employed by MIT.",8,"DATE"
337,"ADJUSTED_SERVICE_DATE","Adjusted seniority.  An adjustment to the last employment date for reinstated employees.  Used in calculating vacation earned and applicable benefits according to the Personnel Policy Manual.",8,"DATE"
338,"SEPARATION_DATE","The date of the most recent separation occurrence (termination, layoff, etc.) in a person's record.",8,"DATE"
339,"TERMINATION_DATE","The date on which the person was terminated.",8,"DATE"
340,"IS_ACTIVE_NON_RETIRED","An indicator that the person is currently working and is not retired: Yes or No.",5,"VARCHAR2"
341,"IS_ACTIVE_RETIRED","An indicator that the person is retired and is not currently working: Yes or No.
",5,"VARCHAR2"
342,"IS_ON_LEAVE","An indicator that the person is on leave: Yes or No.",5,"VARCHAR2"
343,"IS_TERMINATED","An indicator that the person has been terminated: Yes or No.",5,"VARCHAR2"
344,"IS_RETIRED_NON_ACTIVE","An indicator that the person is retired, collecting a pension, and not active: Yes or No.",5,"VARCHAR2"
345,"LAST_PROMOTION_DATE","The date of the employee's last promotion.",8,"DATE"
346,"LAST_TRANSFER_DATE","The date on which the employee transferred to another department.",8,"DATE"
347,"EMPLOYEE_STAFF_DATE","The date on which the person was appointed to staff.  The date appears on the administrative staff review sheet.",8,"DATE"
348,"DATE_TO_FACULTY","The date on which the person was made a faculty member.",10,"VARCHAR2"
349,"CHAIR_TITLE","The title that the chair endower set when he or she established the fund to support the chair appointment.",51,"VARCHAR2"
350,"CHAIR_START_DATE","The start date of the chair appointment.",8,"DATE"
351,"CHAIR_END_DATE","The end date of the chair appointment.",8,"DATE"
352,"YEAR_35","The fiscal year in which a faculty member turns 35.  Used for tenure/promotion purposes.",4,"VARCHAR2"
353,"TENURE_DATE","The date on which the faculty member was granted tenure.",8,"DATE"
354,"EIGHT_YEARS_OF_SERVICE","Records the eighth year following the date of a tenure track.",4,"VARCHAR2"
355,"LAST_YEAR","The last year in which a faculty member is eligible to receive tenure.",4,"VARCHAR2"
356,"ACTIVITY_DATE","The date of the last major change in the employment status.  The date records only hires, leaves, terminations, retirements, and deaths.",8,"DATE"
357,"ID_PROVIDED","The type of identification document produced for I-9 verification.",30,"VARCHAR2"
358,"ID_VERIFIED","The identification procedure status.  Indicates whether the procedure has started and if the identification documentation was produced: Yes or No.",30,"VARCHAR2"
359,"SALARY_REVIEW_COMMENTS","Additional qualifying information that appears on the salary review sheet.",30,"VARCHAR2"
360,"BENEFITS_ELIGIBILITY","Text for BENEFITS_ELIGIBILITY_CODE.  One of the factors for determining an employee?s benefits eligibility is the percent of effort an employee is working. Employee?s working 50% or more satisfy that eligibility factor.  At the Institute, employees can have multiple positions, which may or may not add up to over 50% effort.  These positions need to be analyzed to determine the total percent of effort the employee is working. Example:  Example: Ineligible (1), Partial (2), All (4), or N/A (N/A).",30,"VARCHAR2"
361,"UNION_SENIORITY","A union member's seniority date, which may differ from the last employment date.",8,"DATE"
362,"RETIRE_DATE_AT_65","The July 1 date following the person's 65th birthday.",8,"DATE"
363,"RETIRE_DATE_AT_70","The July 1 date following the person's 70th birthday.",8,"DATE"
364,"LENGTH_OF_SERVICE","The number of years of employment at MIT.  This field is not an official record of the number of years served.  Reporting should be at the user's discretion.",3,"NUMBER"
365,"DEPARTMENT","The department of the primary Course/major: 6, 10, HIST,  etc.",4,"VARCHAR2"
366,"COURSE_OPTION","The major within the department/course/degree program, Eg. ""3"" in the Course ""6 3"", ""C"" in the Course ""18 C"".",4,"VARCHAR2"
367,"REGISTRATION_TYPE","Describes how the student has registered.  Cross Registered - a student that is taking courses at MIT but whose primary affiliation is with another university.  Special - A student who has registered for one or more courses but is not enrolled in a degree program.  Regular - A student who is enrolled in a degree program.  Non-resident - A doctoral student who is not living or working on campus.  This type of student has complete all requirements other than the thesis.",18,"VARCHAR2"
368,"YEAR_OF_DEGREE","In STUDENT Biograhic and Directory tables this field contains the student's current year of study at MIT: 1, 2, 3, 4, G, U.  The length of the field in those tables are of one character.  In GRADUATE ADMISSION tables, this field, with a length of four character,  contains the year when the applicant recieved the degree from the school/program attended.",1,"VARCHAR2"
369,"DEGREE_1","Type of degree: SB, SM, MNG, ENG, PHD, etc.  A student may have up to 5 awarded degrees in the record.  The degrees are listed according to the academic term when it was awarded (start from the earliest), and if more than one degrees were awarded in a term, the degree with the highest weight (eg. a PHD weighs more than a SM) will be listed first.",4,"VARCHAR2"
370,"DEGREE_2","Type of degree: SB, SM, MNG, ENG, PHD, etc. A student may have up to 5 awarded degrees in the record.  The degrees are listed according to the academic term when it was awarded (start from the earliest), and if more than one degrees were awarded in a term, the degree with the highest weight (eg. a PHD weighs more than a SM) will be listed first.",4,"VARCHAR2"
371,"DEGREE_3","Type of degree: SB, SM, MNG, ENG, PHD, etc. A student may have up to 5 awarded degrees in the record.  The degrees are listed according to the academic term when it was awarded (start from the earliest), and if more than one degrees were awarded in a term, the degree with the highest weight (eg. a PHD weighs more than a SM) will be listed first.",4,"VARCHAR2"
374,"DEGREE_DEPARTMENT_1","Department of degree: 6, 10, HIST, etc.",4,"VARCHAR2"
375,"DEGREE_DEPARTMENT_2","Department of degree: 6, 10, HIST, etc.",4,"VARCHAR2"
376,"DEGREE_DEPARTMENT_3","Department of degree: 6, 10, HIST, etc.",4,"VARCHAR2"
377,"DEGREE_DEPARTMENT_4","Department of degree: 6, 10, HIST, etc.",4,"VARCHAR2"
378,"DEGREE_DEPARTMENT_5","Department of degree: 6, 10, HIST, etc.",4,"VARCHAR2"
379,"DEGREE_OPTION_1","The major within the department of degree (primary degree).",4,"VARCHAR2"
380,"DEGREE_OPTION_2","The major within the department of degree (second degree).",4,"VARCHAR2"
381,"DEGREE_OPTION_3","The major within the department of degree (third degree).",4,"VARCHAR2"
382,"DEGREE_OPTION_4","The major within the department of degree (fourth degree).",4,"VARCHAR2"
383,"DEGREE_OPTION_5","The major within the department of degree (fifth degree).",4,"VARCHAR2"
384,"DORM_ADDRESS","The student's on-campus dormitory name and street address.",30,"VARCHAR2"
385,"DORM_ROOM","The student's on-campus dormitory room number.",10,"VARCHAR2"
386,"DORM_PHONE","The student's on-campus dormitory phone number.",20,"VARCHAR2"
387,"TERM_STREET1","The student's home street address for the current term.  Line 1.",30,"VARCHAR2"
388,"TERM_STREET2","The student's home street address for the current term.  Line 2.",30,"VARCHAR2"
389,"TERM_STREET3","The student's home street address for the current term.  Line 3.",30,"VARCHAR2"
390,"TERM_CITY","The student's home city for a term.",40,"VARCHAR2"
392,"TERM_ZIP","The student's home zip code for the current term.",9,"VARCHAR2"
393,"TERM_PHONE1","The student's home telephone number for the current term.",20,"VARCHAR2"
394,"TERM_PHONE2","The student's home telephone number for the current term.",20,"VARCHAR2"
395,"IS_REGISTERED","""Y"" indicates that the student is currently registered. ""N"" indicates that the student is not currently registered.   In the FINAID AID APPLICANT and FINAID APPLICANT tables,  a ""Y"" in this field indicates that the student has registered for any one of the terms (in this order: Spring, Fall, Summer) of the aid year.  ""N"" indicates that the student has not registered in any one of the three terms of the aid year.",1,"VARCHAR2"
396,"IS_ELIGIBLE","""Y"" indicates that the student is currently eligible to register.
""N"" indicates that the student is not eligible to register.",5,"VARCHAR2"
397,"IS_ATTENDED","""Y"" indicates that the student attended at least some part of the current term.  ""N"" indicates that the student never attended this term.  In the FINAID AID APPLICANT and FINAID APPLICANT tables, ""Y"" indicates that the student has attended at least partially in any one of the three terms (in this order: Spring, Fall, Summer) of the aid year.  ""N"" indicates that the student has not attended in any one of the three terms of the aid year.",1,"VARCHAR2"
398,"IS_COURSE_CONFIDENTIAL","A ""Y"" or ""S"" in this field indicates that the student wants his/her course of major kept confidential.",5,"VARCHAR2"
399,"IS_E_MAIL_CONFIDENTIAL","A ""Y"" or ""S"" in this field indicates that the student wants his/her email address kept confidential.",5,"VARCHAR2"
400,"IS_HOME_ADDR_CONFIDENTIAL","A ""Y"" or ""S"" in this field indicates that the student wants his/her home address kept confidential.",5,"VARCHAR2"
401,"IS_OFFICE_PHONE_CONFIDENTIAL","A ""Y"" or ""S"" in this field indicates that the student wants his/her office phone kept confidential.",5,"VARCHAR2"
403,"IS_TERM_ADDR_CONFIDENTIAL","A ""Y"" or ""S"" in this field indicates that the student wants his/her term address kept confidential.",5,"VARCHAR2"
404,"IS_TERM_PHONE_CONFIDENTIAL","A ""Y"" or ""S"" in this field indicates that the student wants his/her term phone kept confidential.",5,"VARCHAR2"
421,"IS_YEAR_CONFIDENTIAL","A ""Y"" or ""S"" in this field indicates that the student wants his/her year information kept confidential.",5,"VARCHAR2"
422,"TERM_CODE","** For FINANCIAL DATA: the Term Code identifies the status of the cost collector.  Blank - open for charges between start and end dates. Term Code = 1 - Closed.  Pre-end date charges allowed. Term Code = 2 - No longer in use.  Term Code = 3 - Terminated.  Charges not allowed. 
** For STUDENT DATA: the Term Code identifies one of the terms in an academic year; for example: 1999FA==>Fall Term of the 1998-99 academic year, and 1999SP==>Spring Term of the 1998-99 academic year.",6,"VARCHAR2"
423,"RUNDATE","The date this data was last extracted/transported from MITSIS.",8,"DATE"
424,"CITIZENSHIP_INDICATOR","Contains one of the following values:  C Citizen, I International Student, or P Permanent Resident (this person holds a Green Card).",1,"VARCHAR2"
425,"RECORD_START_DATE","The date the person is identified as being associated with MIT.",8,"DATE"
426,"RECORD_END_DATE","The date the person becomes inactive.",8,"DATE"
427,"AFFILIATION","A description of how a person is associated with MIT.",30,"VARCHAR2"
428,"DISABILITY_TYPE","xxxx",30,"VARCHAR2"
429,"DEPARTMENT_ID","The 6-digit Institute-assigned identification number of a department, school, center, or lab.  (Equivalent to the Profit Center ID in financial reports, but without the initial uppercase P.)",6,"VARCHAR2"
430,"DEPARTMENT_NAME","The name of the department, school, center, or lab.",50,"VARCHAR2"
431,"APPOINTMENT_START_DATE","The start date of an appointment to a specific MIT position.  (See also TRANSACTION_START_DATE: Changes to a parrticular appointment, such as salary increases, leaves, change in effort, etc. are reflected by TRANSACTION_START_DATES and TRANSACTION_END_DATES). <br> In GRADUATE_AWARD_APPOINTMENT, this is the begin date for an assigned graduate appointment/award (ie. a RA, TA, or FE).",8,"DATE"
434,"IS_ACTIVE_PROFIT_CENTER","Y= the profit center is active.
N= the profit center is not active.",1,"VARCHAR2"
435,"PROFIT_CENTER_COUNTER","Used to count records withing a group on a report.  Always contains a value of 1.",1,"NUMBER"
436,"PROFIT_CENTER_CREATE_DATE","The date the profit center was added to SAP.",8,"DATE"
437,"PROFIT_CENTER_CREATE_USER_ID","The User ID of the person who created the profit center in SAP.",12,"VARCHAR2"
438,"PROFIT_CENTER_CREATE_MIT_ID","XXX",9,"VARCHAR2"
439,"PROFIT_CENTER_CREATE_USER_NAME","The User ID of the person who created the profit center in SAP.",40,"VARCHAR2"
440,"PROFIT_CENTER_VALID_FROM_DATE","The start date identifying when the profit center record is valid.",8,"DATE"
441,"PROFIT_CENTER_VALID_TO_DATE","The end date identifying when the profit center record is valid.",8,"DATE"
442,"JOB_CODE","The classification code.  For support and administrative staff, the value of the job code may indicate the relative position of the job in relation to others in the category.   Tied to the job code are 30 or so attributes that identify or help select the particular job for inclusion or exclusion.  Attribute examples are employment category, affirmative action, union code, etc.",6,"VARCHAR2"
443,"TRANSACTION_START_DATE","The effective date or first day of a personnel transaction.  Examples of transactions include salary increases, transfers, leaves, terminations, etc.",8,"DATE"
444,"TRANSACTION_END_DATE","The end date or last day of a personnel transaction.  Examples of transactions include salary increases, transfers, leaves, terminations, etc.",8,"DATE"
447,"WORK_HOURS","The number of hours per week for this appoinment.",17.2,"NUMBER"
448,"JOB_TITLE","In MIT's HR tables this field contains the official MIT job Title.  This title is tied to the Job ID, and can only be changed by the Compensation Office.",50,"VARCHAR2"
449,"PREFERRED_JOB_TITLE","The title describes duties of an individual who holds a standard Institute position, but whose duties are specific enough to warrant a more descriptive title, or who has been hired to perform duties that are more accurately titled using this field.",51,"VARCHAR2"
450,"PRIMARY_SECONDARY_INDICATOR","Indicates whether the appointment is the person's primary appointment (""Primary"") or is a secondary appointment (""Additional Appt"").",30,"VARCHAR2"
451,"SALARY","The salary for this appointment.",38,"NUMBER"
452,"SALARY_PERCENT_CHANGE","The increase percent for the last time an employee had a salary increase.",4,"NUMBER"
453,"HOURLY_RATE","Hourly wage for this appointment.",38,"NUMBER"
454,"SALARY_RANGE_MAX","The maxiimum salary allocated for this appointment.",11,"NUMBER"
455,"SALARY_RANGE_MIN","The minimum salary allocated for this appointment.",11,"NUMBER"
456,"APPOINTMENT_AMOUNT","The total dollar amount paid for the duration of an appointment.  Generally used for non-tenure academic appointments.",15.2,"NUMBER"
457,"SALARY_GRADE","Used by Personnel to obtain salary range minimum and maximum  values for a position.",30,"VARCHAR2"
459,"RANK_TYPE","A description of the rank code, e.g. Rank I for faculty, Rank III for Academic Administrative Staff, etc., used to determine a person's employment and salary review categories.",50,"VARCHAR2"
463,"IS_GRADUATE_STUDENT_STAFF","The indicator that the person is a graduate student (YES, NO).",5,"VARCHAR2"
465,"IS_SERVICE_STAFF","The indicator that the person is a member of the service staff (YES, NO).",5,"VARCHAR2"
466,"IS_SUPPORT_STAFF","The indicator that the person is a member of the Support staff (YES, NO).",5,"VARCHAR2"
470,"UNION_JOB_CODE","The identification number of the union of which the employee is a member.",30,"VARCHAR2"
472,"SALARY_REVIEW_CATEGORY","The employee classification.  Examples are: Administrative Staff, Sponsored Research Staff, Support Staff, etc.",30,"VARCHAR2"
473,"LEVEL_1","Levels 1 through 5 are used to group jobs at equivalent levels for reporting purposes, at increasing levels of detail, beginning with two groups in Level 1 (Academic and Non-Academic) down essentially to individual job titles in Levels 4 and 5.  An example of the increasing grain of each level: Level 1: NonAcademic; Level 2: Sponsored Research Staff; Level  3: Technical; Level 4: Principals; Level 5: Principal Research Associate.",100,"VARCHAR2"
474,"LEVEL_2","Levels 1 through 5 are used to group jobs at equivalent levels for reporting purposes, at increasing levels of detail, beginning with two groups in Level 1 (Academic and Non-Academic) down essentially to individual job titles in Levels 4 and 5.  An example of the increasing grain of each level: Level 1: NonAcademic; Level 2: Sponsored Research Staff; Level  3: Technical; Level 4: Principals; Level 5: Principal Research Associate.",100,"VARCHAR2"
475,"LEVEL_3","Levels 1 through 5 are used to group jobs at equivalent levels for reporting purposes, at increasing levels of detail, beginning with two groups in Level 1 (Academic and Non-Academic) down essentially to individual job titles in Levels 4 and 5.  An example of the increasing grain of each level: Level 1: NonAcademic; Level 2: Sponsored Research Staff; Level  3: Technical; Level 4: Principals; Level 5: Principal Research Associate.",100,"VARCHAR2"
476,"LEVEL_4","Levels 1 through 5 are used to group jobs at equivalent levels for reporting purposes, at increasing levels of detail, beginning with two groups in Level 1 (Academic and Non-Academic) down essentially to individual job titles in Levels 4 and 5.  An example of the increasing grain of each level: Level 1: NonAcademic; Level 2: Sponsored Research Staff; Level  3: Technical; Level 4: Principals; Level 5: Principal Research Associate.",100,"VARCHAR2"
477,"LEVEL_5","Levels 1 through 5 are used to group jobs at equivalent levels for reporting purposes, at increasing levels of detail, beginning with two groups in Level 1 (Academic and Non-Academic) down essentially to individual job titles in Levels 4 and 5.  An example of the increasing grain of each level: Level 1: NonAcademic; Level 2: Sponsored Research Staff; Level  3: Technical; Level 4: Principals; Level 5: Principal Research Associate.",100,"VARCHAR2"
478,"BUILDING_NUMBER","The official MIT number given to a building.  For example: N42, E19, W89",6,"VARCHAR2"
479,"BUILDING_NAME","The official MIT name given to a building.  For example: Weisner Building, Horace Sayford Ford Building",64,"VARCHAR2"
480,"STREET_ADDRESS","The street address of an MIT building, as distinguished from the mailing address.  For example: Walker Memorial, Bldg. 50: Street Address: 142 Memorial Drive; Mailing Address: 77 Massachusetts Avenue.",36,"VARCHAR2"
481,"MAILING_ADDRESS","The mailing address of an MIT building, as distinguished from the street address; usually 77 Massachusetts Avenue, Cambridge.  For example: Walker Memorial, Bldg. 50: Street Address: 142 Memorial Drive; Mailing Address: 77 Massachusetts Avenue.",50,"VARCHAR2"
483,"FLOOR","The floor number.  for example: E19-332B; building: E19; Floor: 3; Room: 32B",3,"VARCHAR2"
485,"UNIT_NAME","The name of the department, school, center, or lab.",16,"VARCHAR2"
486,"USAGE","A description of what a particular space is used for.  For example: corridor, research lab, office, etc.",16,"VARCHAR2"
487,"AREA","The square footage of a particular space.  In BUDGET GROUPINGS, AREA refers to the budget area.",22,"VARCHAR2"
488,"REGISTRATION_NUMBER","The vehicle registration (license plate) number.",10,"VARCHAR2"
489,"REGISTRATION_STATE","The state in which the vehicle has been registered.",2,"VARCHAR2"
490,"VEHICLE_MAKE","The make of the vehicle: Ford, Toyota, Buick, etc.",20,"VARCHAR2"
491,"VEHICLE_MODEL","The model of the vehicle: Taurus, Camry, Regal, etc.",15,"VARCHAR2"
492,"VEHICLE_YEAR","The year the vehicle was made.",2,"VARCHAR2"
493,"VEHICLE_COLOR","The color of the vehicle.",12,"VARCHAR2"
