"SUBJECT_SUMMARY_KEY","TERM_CODE","SUBJECT_ID","SUBJECT_ID_SORT","SUBJECT_TITLE","SUBJECT_OR_CLUSTER","MASTER_SUBJECT_ID","MASTER_SUBJECT_ID_SORT","ULT_MASTER_SUBJECT_ID","CLUSTER_TYPE","CLUSTER_TYPE_DESC","CLUSTER_LIST","DEPARTMENT_CODE","DEPARTMENT_NAME","SCHOOL_CODE","SCHOOL_NAME","TOTAL_UNITS","LECTURE_UNITS","LAB_UNITS","PREP_UNITS","DESIGN_UNITS","SUBJECT_ENROLLMENT_NUMBER","CLUSTER_ENROLLMENT_NUMBER","SUBJECT_GROUP_ID","SUBJECT_ENROLLMENT_FIRST_WEEK","CLUSTER_ENROLLMENT_FIRST_WEEK","SUBJECT_ENROLLMENT_FIFTH_WEEK","CLUSTER_ENROLLMENT_FIFTH_WEEK","SUBJECT_ENROLLMENT_CREDIT","SUBJECT_ENROLLMENT_LISTEN","CLUSTER_ENROLLMENT_CREDIT","CLUSTER_ENROLLMENT_LISTEN","SUBJECT_ENROLLMENT_1ST_CREDIT","SUBJECT_ENROLLMENT_1ST_LISTEN","CLUSTER_ENROLLMENT_1ST_CREDIT","CLUSTER_ENROLLMENT_1ST_LISTEN","SUBJECT_ENROLLMENT_5TH_CREDIT","SUBJECT_ENROLLMENT_5TH_LISTEN","CLUSTER_ENROLLMENT_5TH_CREDIT","CLUSTER_ENROLLMENT_5TH_LISTEN","WAREHOUSE_LOAD_DATE"
"21F.7042007FA","2007FA","21F.704","21F.704","Spanish IV","21F.704","21F.704","21F.704","21F.704","","","","21F","Global Studies & Languages","H","Hum, Arts & Social Sciences",12,4,0,8,0,42,,"86CD64962C1B0327E0440003BACE90BC",49,49,42,42,41,1,41,1,48,1,48,1,41,1,41,1,28-OCT-24
"21L.7052015FA","2015FA","21L.705","21L.705","Major Authors","21L.705","21L.705","21L.705","21L.705","","","","21L","Literature","H","Hum, Arts & Social Sciences",12,3,0,9,0,6,,"F9E8CEBB9F617CCFE0433D2F091294A0",11,11,7,7,6,0,6,0,11,0,11,0,7,0,7,0,28-OCT-24
"5.782002SP","2002SP","5.78","  5.78","Prac Macromolecular Crystall","5.78","5.78","  5.78","5.78","","","","5","Chemistry","S","Science",6,2,0,4,0,12,,"86CD6495D85C0327E0440003BACE90BC",12,12,12,12,10,2,10,2,10,2,10,2,10,2,10,2,28-OCT-24
"6.8052000FA","2000FA","6.805","  6.805","Ethics& Law on Electr Frontier","6.805, STS.085","6.805","  6.805","6.805","J","Joint subject","6.805, STS.085","6","Electrical Eng & Computer Sci","E","Engineering",12,3,0,9,0,21,25,"86CD6495B1800327E0440003BACE90BC",27,34,23,27,19,2,23,2,25,2,32,2,21,2,25,2,28-OCT-24
"STS.0852000FA","2000FA","STS.085","STS.085","Ethics& Law on Electr Frontier","6.805, STS.085","6.805","  6.805","6.805","J","Joint subject","6.805, STS.085","STS","Science, Technology & Society","H","Hum, Arts & Social Sciences",12,3,0,9,0,4,25,"86CD6495B1800327E0440003BACE90BC",7,34,4,27,4,0,23,2,7,0,32,2,4,0,25,2,28-OCT-24
"21M.2152019SP","2019SP","21M.215","21M.215","Music of the Americas","21M.215","21M.215","21M.215","21M.215","","","","21M","Music","H","Hum, Arts & Social Sciences",12,3,0,9,0,8,,"787B7F9A97CE6870E0533D2F091209C6",10,10,8,8,8,0,8,0,10,0,10,0,8,0,8,0,28-OCT-24
"6.0422009FA","2009FA","6.042","  6.042","Math For Computer Science","6.042, 18.062","6.042","  6.042","6.042","J","Joint subject","6.042, 18.062","6","Electrical Eng & Computer Sci","E","Engineering",12,5,0,7,0,157,170,"86CD64964B950327E0440003BACE90BC",175,191,166,182,154,3,167,3,172,3,188,3,163,3,179,3,28-OCT-24
"18.0622009FA","2009FA","18.062"," 18.062","Math For Computer Science","6.042, 18.062","6.042","  6.042","6.042","J","Joint subject","6.042, 18.062","18","Mathematics","S","Science",12,5,0,7,0,13,170,"86CD64964B950327E0440003BACE90BC",16,191,16,182,13,0,167,3,16,0,188,3,16,0,179,3,28-OCT-24
"HAL.41411999SP","1999SP","HAL.4141","HAL.4141","Law &Theory of Intell Property","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",12,0,12,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.39301999SP","1999SP","HAL.3930","HAL.3930","Intl Law:Transnatl Econ Actvty","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",12,0,12,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
