"IAP_SUBJECT_SESSION_KEY","SESSION_SEQUENCE","SESSION_TITLE","SESSION_DESCRIPTION","SESSION_LOCATION","SESSION_DATE","SESSION_START_TIME","SESSION_END_TIME","HAS_SESSION_INFO","WAREHOUSE_LOAD_DATE"
"9289afec76e200210176f233edc00167",,"Module 1","<p>Module 1 will introduce the physiological monitoring technologies used in MIT's COVID-19 Surveillance Study, a joint initiative between MIT Medical and the IMES Clinical Research Center. This course will provide a sneak peek of the newly renovated IMES Clinical Research Center and the facilities, equipment, and services available to researchers engaged in human subjects research.</p>","https://mit.zoom.us/",26-JAN-21,"0330PM","0500PM","Y",28-OCT-24
"9289afec754ffaf201762f90eb980356",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",06-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf201762f90eb980356",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",20-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf201762f90eb980356",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",13-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf201762f90eb980356",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",11-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf201762f90eb980356",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",25-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf201762f90eb980356",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",27-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afed754ffd4701764fd2439b05d6",,"Lactic Acid Fermentation","<p>Focus on lactic acid fermentation using lactic acid bacteria, which converts fermentable sugars into lactic acid. This type of fermentation is responsible for yogurt, sauerkraut, kimchi, and more.</p>","Zoom",14-JAN-21,"1000AM","1100AM","Y",28-OCT-24
"9289afed754ffd4701764fd2439b05d6",,"Alkaline & Mold Fermentation","<p>Introducing Alkaline fermentation using the bacteria of the genus Bacillus. Cheonggukjang, natto, and more are made using B.subtilis. Mold Fermentation uses koji and rhizopus which are responsible for miso and tempeh.</p>","Zoom",21-JAN-21,"1000AM","1100AM","Y",28-OCT-24
"9289afed754ffd4701763e7b8f160431",,"","","On Zoom-TBA",13-JAN-21,"1030AM","1200PM","Y",28-OCT-24
"9289afec754ffaf201761afa080a0291",,"","","On Zoom",19-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec754ffaf20176ce3e3fe30b77",,"Computational Thinking","","Zoom",11-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afec754ffaf20176ce3e3fe30b77",,"Using WL, Python, and Julia Together","","Zoom",28-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afec754ffaf20176ce3e3fe30b77",,"Computational Risk Management","","Zoom",13-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afec754ffaf20176ce3e3fe30b77",,"Physical Sciences","","Zoom",18-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afec754ffaf20176ce3e3fe30b77",,"Machine Learning and Startups","","Zoom",25-JAN-21,"0100AM","0300AM","Y",28-OCT-24
"9289afec754ffaf20176ce3e3fe30b77",,"Computational Biology","","Zoom",20-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afed754ffd4701768fec952809cf",,"","","Zoom",19-JAN-21,"0400PM","0500PM","Y",28-OCT-24
"9289afed754ffd4701769022f47509ee",,"","","Zoom",21-JAN-21,"0400PM","0500PM","Y",28-OCT-24
"9289afed754ffd47017677dee1ce08b6",,"","","On Zoom",25-JAN-21,"0400PM","0530PM","Y",28-OCT-24
"9289afec754ffaf201756da4b165000e",,"","","",,"","","N",28-OCT-24
"9289afed754ffd47017686c3f96b091a",,"Koru Mindfulness","","VIRTUAL",19-JAN-21,"1230PM","0145PM","Y",28-OCT-24
"9289afed754ffd47017686c3f96b091a",,"Koru Mindfulness","","VIRTUAL",12-JAN-21,"1230PM","0145PM","Y",28-OCT-24
"9289afed754ffd47017661b1fee90651",,"","","Zoom",08-JAN-21,"0700PM","0830PM","Y",28-OCT-24
"9289afed754ffd47017691a22e8a0a39",,"","","Zoom",20-JAN-21,"0400PM","0500PM","Y",28-OCT-24
"9289afec754ffaf201766c3f752f07bb",,"","","Online",15-JAN-21,"1230PM","0200PM","Y",28-OCT-24
"9289afed754ffd47017691a3b0780a45",,"","","Zoom",19-JAN-21,"0400PM","0500PM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",11-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",13-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",20-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",25-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",06-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",27-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",03-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Wake up & Stretch Yoga","<p>Starting with gentle stretching postures, the class will move through sun salutations and work toward a peak posture that gets you focused and ready for the day. Modifications to postures will be suggested. <br /><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p> <p></p>","Zoom",04-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Mat Pilates","<p>Pilates is a core-focused workout that improves your alignment, balance, strength and flexibility. The mat-based exercises strengthen the muscles around the spine, abdominals, and pelvis to help prevent injuries.</p> <p><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",05-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Mat Pilates","<p>Pilates is a core-focused workout that improves your alignment, balance, strength and flexibility. The mat-based exercises strengthen the muscles around the spine, abdominals, and pelvis to help prevent injuries.</p> <p><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",26-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Mat Pilates","<p>Pilates is a core-focused workout that improves your alignment, balance, strength and flexibility. The mat-based exercises strengthen the muscles around the spine, abdominals, and pelvis to help prevent injuries.</p> <p><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",19-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Mat Pilates","<p>Pilates is a core-focused workout that improves your alignment, balance, strength and flexibility. The mat-based exercises strengthen the muscles around the spine, abdominals, and pelvis to help prevent injuries.</p> <p><br />Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",12-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Barre","<p>This calorie-burning class incorporates principles of ballet, pilates and yoga into one total body workout. Benefits include better posture, core strength, increased flexibility and overall muscle tone.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",04-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Barre","<p>This calorie-burning class incorporates principles of ballet, pilates and yoga into one total body workout. Benefits include better posture, core strength, increased flexibility and overall muscle tone.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",28-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Barre","<p>This calorie-burning class incorporates principles of ballet, pilates and yoga into one total body workout. Benefits include better posture, core strength, increased flexibility and overall muscle tone.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",25-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Barre","<p>This calorie-burning class incorporates principles of ballet, pilates and yoga into one total body workout. Benefits include better posture, core strength, increased flexibility and overall muscle tone.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",21-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Barre","<p>This calorie-burning class incorporates principles of ballet, pilates and yoga into one total body workout. Benefits include better posture, core strength, increased flexibility and overall muscle tone.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",14-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Barre","<p>This calorie-burning class incorporates principles of ballet, pilates and yoga into one total body workout. Benefits include better posture, core strength, increased flexibility and overall muscle tone.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",11-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Barre","<p>This calorie-burning class incorporates principles of ballet, pilates and yoga into one total body workout. Benefits include better posture, core strength, increased flexibility and overall muscle tone.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",07-JAN-21,"0730AM","0830AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",21-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",19-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",05-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",15-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",14-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",29-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",12-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",08-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",22-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",07-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176d54da5db0cb9",,"Session I: Tasting Together","<p>Session 1: Introduction and Tasting Activities</p>","Virtual",22-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afed754ffd470176d54da5db0cb9",,"Session II: Speculative Sensing","<p>Session II: We will try to collectively experiment with ways to sense across virtual environments.</p>","Virtual",25-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afec754ffaf20176484c6f0103fa",,"","","On Zoom",21-JAN-21,"0130PM","0230PM","Y",28-OCT-24
"9289afed754ffd47017652de233e0604",,"","<p></p> <p>Join us to meet other language enthusiasts, students taking learning languages, and native speakers of languages youd like to practice. This is a great way to find a language partner!</p> <p>Topic of the Cafe - Welcome toMinnesota</p>","Zoom",08-JAN-21,"1200PM","0100PM","Y",28-OCT-24
"9289afed754ffd47017652de233e0604",,"","<p>Join us to meet other language enthusiasts, students taking learning languages, and native speakers of languages youd like to practice. This is a great way to find a language partner!</p> <p></p>","Zoom",19-JAN-21,"0100PM","0200PM","Y",28-OCT-24
"9289afec754ffaf20176911166f10a7b",,"","","On Zoom",21-JAN-21,"0130PM","0230PM","Y",28-OCT-24
"9289afec76e200210176fcb3094b01b5",,"Talking Trash: The basics","","Zoom",13-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec76e200210176fcb3094b01b5",,"Smart Garbage and Beyond MIT","","Zoom",27-JAN-21,"0100PM","0300PM","Y",28-OCT-24
"9289afec76e200210177203786f3029e",,"","","Zoom 575 905 8653",28-JAN-21,"0130PM","1230PM","Y",28-OCT-24
"9289afec76e20021017726cba96702c6",,"Module 1","<p>Module 1 will introduce the physiological monitoring technologies used in MIT's COVID-19 Surveillance Study, a joint initiative between MIT Medical and the IMES Clinical Research Center. This course will provide a sneak peek of the newly renovated IMES Clinical Research Center and the facilities, equipment, and services available to researchers engaged in human subjects research.</p>","https://mit.zoom.us/",26-JAN-21,"0330PM","0500PM","Y",28-OCT-24
"9289afec76e20021017726cba96702c6",,"Module 1","<p>Module 1 will introduce the physiological monitoring technologies used in MIT's COVID-19 Surveillance Study, a joint initiative between MIT Medical and the IMES Clinical Research Center. This course will provide a sneak peek of the newly renovated IMES Clinical Research Center and the facilities, equipment, and services available to researchers engaged in human subjects research.</p>","https://mit.zoom.us/",26-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec76e20021017726cba96702c6",,"Module 2","<p>Module 2 will provide foundational training in human subjects research, including ethical and regulatory requirements. Instructors will provide a roadmap of the IRB submission process, and the nuts and bolts of operationalizing a study, including subject recruitment, data collection, HIPAA compliance, and the resources available through the IMES Clinical Research Center to guide researchers through this process.</p>","https://mit.zoom.us/",27-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec76e20021017726cba96702c6",,"Module 2","<p>Module 2 will provide foundational training in human subjects research, including ethical and regulatory requirements. Instructors will provide a roadmap of the IRB submission process, and the nuts and bolts of operationalizing a study, including subject recruitment, data collection, HIPAA compliance, and the resources available through the IMES Clinical Research Center to guide researchers through this process.</p>","https://mit.zoom.us/",27-JAN-21,"1030AM","1200PM","Y",28-OCT-24
"9289afec76e20021017726cba96702c6",,"Module 3","<p>Module 3 will focus on resources available to the MIT researcher, including those through the Tufts Clinical and Translational Science Institute, Mass Digital Health, and others, with an emphasis on biostatistics and COVID related medical data available through the NIH.</p>","https://mit.zoom.us/",28-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec76e20021017726cba96702c6",,"Module 3","<p>Module 3 will focus on resources available to the MIT researcher, including those through the Tufts Clinical and Translational Science Institute, Mass Digital Health, and others, with an emphasis on biostatistics and COVID related medical data available through the NIH.</p>","https://mit.zoom.us/",28-JAN-21,"0330PM","0500PM","Y",28-OCT-24
"9289afed754ffd47017662b42dd6068e",,"Virtual Site Visit to Portland, ME","","online",07-JAN-21,"0930AM","1200PM","Y",28-OCT-24
"9289afed754ffd47017662b42dd6068e",,"Virtual Site Visit to Nashua, NH","","online",14-JAN-21,"0900AM","1200PM","Y",28-OCT-24
"9289afed754ffd47017662b42dd6068e",,"Virtual Site Visit to Salem, MA","","online",12-JAN-21,"0900AM","1200PM","Y",28-OCT-24
"9289afed754ffd47017662b42dd6068e",,"Lecture/Discussion","","online",05-JAN-21,"1000AM","1130AM","Y",28-OCT-24
"9289afec754ffaf2017686aaf6c00955",,"","","On Zoom",15-JAN-21,"1030AM","1130AM","Y",28-OCT-24
"9289afec754ffaf201768ab186cf095e",,"","","On Zoom",13-JAN-21,"1030AM","1200PM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",28-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b0132c600ab4",,"Bodyweight Bootcamp","<p>No weights? No problem! Boost your metabolism and build your total body strength in this action-packed class thats suitable for all fitness levels and exercise environments. Household items welcome.</p> <p>Go to http://www.mitrecsports.com/work-out/virtual-group-exercise/ to register. A reservation confirmation link will be sent to you. Email fitness@mit.edu for more information!</p>","Zoom",26-JAN-21,"0900AM","0945AM","Y",28-OCT-24
"9289afed754ffd470176b4786f3d0aef",,"","","Zoom: 944 7554 8614",08-JAN-21,"0200PM","0400PM","Y",28-OCT-24
"9289afed754ffd470176b4786f3d0aef",,"","","Zoom: 944 7554 8614",15-JAN-21,"0200PM","0400PM","Y",28-OCT-24
"9289afed754ffd470176b4786f3d0aef",,"","","Zoom: 944 7554 8614",22-JAN-21,"0200PM","0400PM","Y",28-OCT-24
"9289afed754ffd470176b4786f3d0aef",,"","","Zoom: 944 7554 8614",29-JAN-21,"0200PM","0400PM","Y",28-OCT-24
"9289afed754ffd4701764df20029059f",,"","","Virtual",14-JAN-21,"0200PM","0300PM","Y",28-OCT-24
"9289afec754ffaf2017652423f230605",,"","","Online",12-JAN-21,"0200PM","0400PM","Y",28-OCT-24
"9289afed754ffd4701766c404d81074c",,"Beyond MIT: A deeper dive","","Zoom",27-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afed754ffd4701766c404d81074c",,"Talking Trash: The basics","","Zoom",13-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afed754ffd4701766c404d81074c",,"Smart Garbage, The Next Frontier","","Zoom",20-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec754ffaf20176b5c75a1e0b0e",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",27-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf20176b5c75a1e0b0e",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",25-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf20176b5c75a1e0b0e",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",06-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf20176b5c75a1e0b0e",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",11-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf20176b5c75a1e0b0e",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",20-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afec754ffaf20176b5c75a1e0b0e",,"Introduction to Change Ringing","<p>We'll start on Zoom then move to Discord and RingingRoom. Zoom link: https://mit.zoom.us/j/91474480692</p>","Zoom",13-JAN-21,"0600PM","0730PM","Y",28-OCT-24
"9289afed754ffd470176c0b8ad290b26",,"","","",,"","","N",28-OCT-24
"9289afec70152d3f01752dbcd728000f",,"","","",12-JAN-21,"0200PM","0330PM","Y",28-OCT-24
"9289afed754ffd47017676227d8c0814",,"Smart Garbage, The Next Frontier","","Zoom",20-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afed754ffd47017676227d8c0814",,"Beyond MIT: A deeper dive","","Zoom",27-JAN-21,"0100PM","0230PM","Y",28-OCT-24
