"TERM_CODE","SUBJECT_ID","SESSION_NUMBER","MEET_PLACE","MEET_START_TIME","MEET_END_TIME","IAP_DAY","IAP_DATE","REMARKS","WAREHOUSE_LOAD_DATE"
"2021JA","",,"Online","0600AM","1000PM","",23-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",22-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",21-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",20-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",19-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",19-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",18-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",17-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",16-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",15-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",14-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",13-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",12-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",11-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",10-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",09-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",08-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",07-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",06-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",05-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",04-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Zoom Meeting","0200PM","0400PM","",18-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0300PM","0400PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0200PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0300PM","0400PM","",19-JAN-21,"https://mit.zoom.us/j/92573448071",28-OCT-24
"2021JA","",,"Webinar","0400PM","0500PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",05-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"","","","",26-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",19-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",12-JAN-21,"",28-OCT-24
"2021JA","",,"","1200PM","0100PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1200PM","",28-JAN-21,"Registration required. Please see description for",28-OCT-24
"2021JA","",,"Zoom","1030AM","1200PM","",29-JAN-21,"Registration required. Please see description for",28-OCT-24
"2021JA","",,"Online","0100PM","0200PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0400PM","0530PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"See Description","1200PM","0100PM","",22-JAN-21,"Virtual (Zoom)",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0300PM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"Webinar","0400PM","0500PM","",13-JAN-21,"Register: http://bit.ly/bosestory",28-OCT-24
"2021JA","",,"Zoom","0200PM","0300PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0700PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0200PM","",07-JAN-21,"https://mit.zoom.us/j/91376510126",28-OCT-24
"2021JA","",,"Zoom","1200PM","0200PM","",14-JAN-21,"https://mit.zoom.us/j/91376510126",28-OCT-24
"2021JA","",,"Zoom","1200PM","0200PM","",21-JAN-21,"https://mit.zoom.us/j/91376510126",28-OCT-24
"2021JA","",,"Zoom","1200PM","0200PM","",28-JAN-21,"https://mit.zoom.us/j/91376510126",28-OCT-24
"2021JA","",,"Zoom:See description","0300PM","0430PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"ZOOM  923 7338 0074","0330PM","0430PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0300PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"virtual via Zoom","0330PM","0430PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",16-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",23-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",30-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0900AM","0500PM","",29-JAN-21,"https://bostonarch.github.io/2021/",28-OCT-24
"2021JA","",,"virtual via Zoom","0400PM","0515PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0715PM","0900PM","",06-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0715PM","0900PM","",27-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0500PM","0700PM","",23-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0715PM","0900PM","",20-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0500PM","0700PM","",16-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0715PM","0900PM","",13-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0500PM","0700PM","",09-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"TClub Lounge/ZCenter","0500PM","0700PM","",30-JAN-21,"Offered via Zoom too",28-OCT-24
"2021JA","",,"Zoom","1000AM","1100AM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1215PM","0130PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0515PM","0630PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","1200PM","0200PM","",13-JAN-21,"https://mit.zoom.us/meeting/register/tJ0vceCopj8iG",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",18-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100AM","0300AM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"Online","0200PM","0400PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual Class","0400PM","0530PM","",14-JAN-21,"Zoom link: https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"Virtual class","0400PM","0530PM","",07-JAN-21,"Zoom link:  https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"Virtual class","0400PM","0530PM","",21-JAN-21,"Zoom link: https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"Virtual class","0400PM","0530PM","",28-JAN-21,"Zoom link: https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0230PM","",22-JAN-21,"https://mit.zoom.us/j/3679022588",28-OCT-24
"2021JA","",,"Online","0100PM","0400PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0230PM","",13-JAN-21,"Zoom link will be sent to registrants.",28-OCT-24
"2021JA","",,"Online","0100PM","0230PM","",20-JAN-21,"Zoom link will be sent to registrants.",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0200PM","",08-JAN-21,"https://mit.zoom.us/j/92969899377",28-OCT-24
"2021JA","",,"Online","1100AM","1230PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0200PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"","0600PM","0700PM","",28-JAN-21,"Meeting held on Zoom",28-OCT-24
"2021JA","",,"","0600PM","0700PM","",07-JAN-21,"Meeting held on Zoom",28-OCT-24
"2021JA","",,"","0600PM","0700PM","",21-JAN-21,"Meeting held on Zoom",28-OCT-24
"2021JA","",,"","0600PM","0700PM","",14-JAN-21,"Meeting held on Zoom",28-OCT-24
"2021JA","",,"zoom","0300PM","0530PM","",20-JAN-21,"must have access to zoom",28-OCT-24
"2021JA","",,"zoom","0300PM","0430PM","",13-JAN-21,"must have access to zoom",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0600PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0600PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0600PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0600PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0700PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0700PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0700PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0700PM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0630PM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0630PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0630PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0630PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0630PM","",28-JAN-21,"",28-OCT-24
