"SPACE_UNIT_KEY","SPACE_UNIT_CODE","SPACE_UNIT","DLC_KEY","WAREHOUSE_LOAD_DATE"
"121000","121000","SCH OF MANAGEMNT","D_SLOAN",28-OCT-24
"495000","495000","MIT HEALTH","D_MEDICAL",28-OCT-24
"409000","409000","HUMAN RESOURCES","D_HR",28-OCT-24
"591040","591040","DP OF FACIL ADM","D_FACILITIES",28-OCT-24
"591030","591030","RESIDENCE DOF","D_FACILITIES",28-OCT-24
"404500","404500","EXEC VICE PRES","D_EXECVP",28-OCT-24
"060600","060600","MICROSYSTEMS LAB","D_MTL",28-OCT-24
"449000","449000","STU SERVICES CTR","D_SFS",28-OCT-24
"446700","446700","REGISTRAR","D_REG",28-OCT-24
"441100","441100","OFF OF MINR EDUC","D_OME",28-OCT-24
"441000","441000","OFF OF VICE CHANCELLOR","D_DUE:HQ",28-OCT-24
"446600","446600","CAREER SERVICES","D_CSPA",28-OCT-24
"446100","446100","ADMISSIONS","D_ADM",28-OCT-24
"320000","320000","ENERGY INITIATIV","D_LFEE",28-OCT-24
"442000","442000","DEAN-STU LIFE","D_DSL:HQ",28-OCT-24
"405500","405500","CAMP ACTIV COMPL","D_CAC",28-OCT-24
"400600","400600","MCGOVERN INSTITUTE","D_MCGOVERN",28-OCT-24
"413000","413000","OFFICE OF CORPORATE RELATIONS","D_ILP",28-OCT-24
"069400","069400","SOCIOTECH SYS RSCH CTR","D_SSRC",28-OCT-24
"170000","170000","LDRS GBL OPS-SYS DSN MGMT","D_LGO",28-OCT-24
"093800","093800","COMPARATIVE MEDIA STUDIES","D_CMS",28-OCT-24
"591000","591000","DP OF FACILITIES","D_DOF_CORE",28-OCT-24
"061901","061901","INST MED E & SCI","D_IMES",28-OCT-24
"068100","068100","INST FOR DATA SYS & SOCIETY","D_IDSS",28-OCT-24
"444000","444000","UND ADV&ACAD PR","D_UAAP",28-OCT-24
"402500","402500","VP &SCTY OF CORP","D_VP_SEC_CORP",28-OCT-24
"490000","490000","PUBLIC REL SVCS","D_VP_SEC_CORP",28-OCT-24
"187100","187100","ROTC-AEROSPACE","D_ROTC",28-OCT-24
"187500","187500","ROTC-MILITARY SC","D_ROTC",28-OCT-24
"187800","187800","ROTC-NAVAL SC","D_ROTC",28-OCT-24
"400000","400000","CHAIRMAN OF CORP","D_CORP_CHAIR",28-OCT-24
"405900","405900","PARKING & TRANSP","D_PARKING",28-OCT-24
"060085","060085","TERRASCOPE","D_TERRASCOPE",28-OCT-24
"038000","038000","ART CULT & TECH","D_ACT",28-OCT-24
"407000","407000","VP-FINANCE","D_CAS",28-OCT-24
"402000","402000","KOCH INS INT C R","D_KI",28-OCT-24
"401930","401930","SCHWARZMAN COLLEGE OF COMPUTING","",28-OCT-24
"402400","402400","ENVIRONMENTAL SYSTEMS INITIATIVE","",28-OCT-24
"401823","401823","INNOVATION INITIATIVE","",28-OCT-24
"417500","417500","MATERIALS RESEARCH LAB","",28-OCT-24
"591024","591024","PROVOST RESERVE","",28-OCT-24
"417200","417200","MIT.NANO","",28-OCT-24
"402410","402410","ABDUL LATEEF JAMEEL WATER AND FOOD SYSTEMS LAB","",28-OCT-24
