"IAP_SUBJECT_CATEGORY_KEY","IAP_CATEGORY_NAME","IAP_CATEGORY_DESC","WAREHOUSE_LOAD_DATE"
"B9953FF477DA12EFE0440003BAB016E8","Management and Entrepreneurship","Featuring explorations on entrepreneurship and technological innovation, leadership, marketing, systems dynamics, and operations research.",28-OCT-24
"B9953FF477DB12EFE0440003BAB016E8","Multicultural Activities","Workshops and lectures on different cultures, cultural histories, art, etc.",28-OCT-24
"B9953FF477DC12EFE0440003BAB016E8","Physical Sciences: Hands-on","Astronomy, holograms, spectroscopy, x-ray diffraction, crystallography...",28-OCT-24
"B9953FF477DD12EFE0440003BAB016E8","Politics and Social Sciences","Discussions on political histories, socio-economic issues, globalization, election matters, energy crises, etc.",28-OCT-24
"B9953FF477DE12EFE0440003BAB016E8","Theater and Dance","Including dance lessons, auditions, staged readings, mime, and improvisational comedy.",28-OCT-24
"B9953FF477DF12EFE0440003BAB016E8","Writing and Communications Skills","Including writing techniques and support groups, effective speaking, and presentation skills.",28-OCT-24
"B9953FF477E012EFE0440003BAB016E8","Economics and Finance","Including discussions on economic policy and development, pension reform, personal finance management, labor issues, and taxation.",28-OCT-24
"B9953FF477E212EFE0440003BAB016E8","Educational Technology","Educational Technology including Stellar, OCW.",28-OCT-24
"B9953FF477E312EFE0440003BAB016E8","Public Service and Community Outreach","Using MIT expertise to reach out to others, locally and worldwide!",28-OCT-24
"B9953FF477E412EFE0440003BAB016E8","Leadership Skills","Developing leaders, creating plans of action, setting agendas, etc.",28-OCT-24
"B9953FF477E512EFE0440003BAB016E8","Computers: Software and Systems","Featuring computer software and systems related activities, including programming",28-OCT-24
"B9953FF477E612EFE0440003BAB016E8","Computers: Hardware and Devices","Featuring computer hardware related activities - Processor oriented programming and design",28-OCT-24
"B9953FF477E712EFE0440003BAB016E8","Diversity and Inclusion","None",28-OCT-24
"B9953FF477E812EFE0440003BAB016E8","A.I. and Robotics","None",28-OCT-24
"B9953FF477E912EFE0440003BAB016E8","Energy, Environment, and Sustainability","None",28-OCT-24
"B9953FF477EA12EFE0440003BAB016E8","Global Opportunities","None",28-OCT-24
"B9953FF477EB12EFE0440003BAB016E8","Art and Architecture","None",28-OCT-24
"B9953FF477ED12EFE0440003BAB016E8","Multi-Media","None",28-OCT-24
"B9953FF477EE12EFE0440003BAB016E8","Research Skills","None",28-OCT-24
