"VIEW_ID","VIEW_NAME","DESCRIPTION","SENSITIVITY_ID","STATUS","VIEW_TYPE","PRIMARY_PROVIDER_CODE","ADDITIONAL_PROVIDER_INFO"
662,"DUNNING_AREA","Dunning Areas used at the Institute.   Can be joined to FINANCIAL_DETAIL using the field DUNNING_AREA_KEY.",3,"PRODUCTION","D","SAPUSER",""
682,"INSTRUCTOR_ROLES","The definitions of the roles of instructors.",2,"PRODUCTION","D","SUPPRESSED",""
702,"OSP_IDC_COMMENT","Contains Award Comments of type 'Indirect Cost Comments'.   When joining this table with OSP Award table,  use an unequal join if you want awards with no comments of this type to be retrieved also.",2,"PRODUCTION","F","OSPUSER",""
722,"SUMMARY_STATEMENT_DETAIL","Summary Statement reporting table which contains data from July 1999 through the current fiscal period.  It is similar to Balances by Fiscal Period, except that it contains calculated overhead for those fiscal period(s) where costing sheets have not been run yet.  Field RECORD_TYPE contains values ""Posted"" or ""Calculated"" and should be used in reports to clarify what the entries are.",3,"PROTOTYPE","F","SAPUSER",""
743,"STUDENT_COURSE_ENROLLMENT","This table contains the student course/degree program enrollment information, including advisor(s), by academic term.   There is one record for each course of major (or degree) program (ie. course department, course option, and course level) and the student's advisor(s) for each student in each academic term.",3,"PRODUCTION","D","MITSIS",""
762,"PROJECT_HISTORY_FLAG","This table contains Project WBS activity summary flags which specify whether there was expense activity for the wbs during the fiscal year or not",2,"PRODUCTION","D","SAPUSER",""
782,"ACADEMIC_TERMS","Information pertaining to academic terms",1,"PRODUCTION","D","MITSIS",""
802,"SIS_DEPARTMENT","This table contains information about academic departments and schools as recorded in MITSIS.",2,"PRODUCTION","D","MITSIS",""
822,"OSP_AWARD_COSTSHARE","COEUS award cost sharing data",3,"PRODUCTION","F","OSPUSER",""
842,"INSTRUCTOR_STATUS","This table contains various indicators showing the status of an instructor.  The indicators include whether the instructor is a student or an employee.",2,"PRODUCTION","D","SUPPRESSED",""
862,"FUNDS_REPORTING","Departmental funds reporting data",3,"PROTOTYPE","F","SAPUSER",""
882,"FINAID_OUTSIDE_SCHOL","This table contains outside scholarships information -- such as outside scholarhip codes, outside scholarship names, types, renewable status -- which may be included in a student's financial aid package.",3,"PRODUCTION","D","MITSIS",""
883,"SUBJECT_OFFERED_SUMMARY","Contains all enrollable offered subjects in each academic term, since Fall Term of 1994-95 (1995FA), as maintained on MITSIS.  Data items include master subject number, subject number, subject title, offer department, and number of units.   There is one record for a subject in an academic term.  The table does not contain any section information.",2,"PRODUCTION","D","MITSIS",""
884,"BUDGET","Institute and Departmental Budgets",3,"PRODUCTION","F","SAPUSER",""
904,"FUND_COST_COLLECTOR_HISTORY","Fund cost collector history",3,"PRODUCTION","D","SAPUSER",""
924,"SIS_SUBJECT_CODE","Descriptions of subject codes (or course numbers) with their associated departments, and schools.  (SIS=Student Information Sytems)",2,"PRODUCTION","D","MITSIS",""
925,"SIS_COURSE_DESCRIPTION","Descriptions of Course Numbers (ie. Courses of Major Departments, Degree Programs) for both undergraduate and graduate levels with specific academic terms.  (SIS=Student Information System.)",2,"PRODUCTION","D","MITSIS",""
926,"FINAID_PAYROLL_CWSP_STATUS","A dimension table for the CWSP (College Work Study Program) account status for each of the student payroll distribution record.",2,"PRODUCTION","D","MITSIS",""
946,"STUDENT_DEGREE_AWARDED","This table contains one record for a degree a student was awarded by MIT.  A record contains information such as the the type of the degree (eg. SB, MS, PHD), the term and date as well as the department from which the degree was awarded.",3,"PRODUCTION","D","MITSIS",""
966,"BUDGET_GROUPINGS","Budget groupings",2,"PRODUCTION","F","BUDUSER",""
986,"STUDENT_ALL","Contains biograpic, registration, address (home, term, and office), and awarded degree data about all students (including both current and graduated students) of MIT.   This table also contains records of applicants to MIT.  Only users who are authorized to view records of all students have access to this table.  Other users are given access to the STUDENT table.",3,"PRODUCTION","D","MITSIS",""
1006,"SALES_ORDER_DETAIL","Sales Order information -- currently contains Tech Review data only",3,"PRODUCTION","F","SAPUSER",""
1007,"SALES_ORDER_PARTNER","Sales Order Partners information-- currently contains Tech Review data only",3,"PRODUCTION","D","SAPUSER",""
1008,"BENEFITS_DETAIL","Benefits Enrollments:  history of health, insurance and FSA enrollments of employees and their dependents",3,"PRODUCTION","F","HRUSER",""
1009,"BENEFITS_PLAN","Benefits Plans:  health, insurance and flexible benefits accounts.",3,"PRODUCTION","D","HRUSER",""
1010,"BENEFITS_RECIPIENT","A record exists in this table for each person who receives health, insurance, or flexible spending account benefits at MIT.   Therefore, there are records not just for employees, but for their dependents.",3,"PRODUCTION","D","HRUSER",""
1011,"BENEFITS_ELIGIBILITY_HISTORY","The history of employees' benefits eligibility",3,"PROTOTYPE","F","HRUSER",""
6718,"LSO_COURSE","Courses offered through E-learning catalog",3,"PRODUCTION","D","SAPUSER",""
6719,"LSO_SESSION_DETAIL","Fact table for reporting statistics on course sessions in E-learning module",3,"PRODUCTION","F","SAPUSER",""
6802,"OSE_SUBJECT","Online Subject Evaluation (OSE) - subject/course information",3,"PRODUCTION","D","SUPPRESSED",""
7514,"HR_APPT_ACTION_LIM_DETAIL","DEPRICATED. Please use HR_APPT_ACTION that restricts for limited access.",3,"UNKNOWN","","SUPPRESSED",""
1048,"ADM_APPLICANT","Freshman Applicant table, contains records beginning with application year 2000 (applicants applying for the Fall term of 2000).  Only applicants who have filed at least part 1 of freshman application are present in this table.  Every September once the admission cycle is completely over, the latest set of applicants is added to the table.  This table, therefore, is useful for the analysis of admission process and yield over time for past admission cycles, but cannot be used to monitor the situation during the cycle.  Note that while this table functions as a ""Fact table"" in most cases, it can also play the role of a ""Dimension table"" for ADM_APPLICANT_TEST_SCORES, ADM_APPLICANT_MINORITY_PGM and ADM_APPLICANT_INQUIRY_SOURCE.  Use ADM_APPLICANT_KEY to join ADM_APPLICANT to the other table listed above.",3,"SUPPRESSED","F","SUPPRESSED",""
1049,"ADM_GEO","Freshman Admission GEO codes (country and state codes) used for classification and analysis purposes.  Use GEO_CODE_KEY to join to ADM_APPLICANT.",2,"SUPPRESSED","D","SUPPRESSED",""
1050,"ADM_HIGH_SCHOOL_STATISTICS","This table contains aggregated totals by high school or inquiries, preliminary applications, complete applications, number admitted and enrolled.  It has data going to back as far as 1990.",3,"OLD","F","SUPPRESSED",""
1051,"ADM_COLLEGE","College table used by the Freshman Admissions Office to track where applicants went who didn't come to MIT.  Use ENROLLED_COLLEGE_KEY to join to ADM_APPLICANT.",3,"SUPPRESSED","D","SUPPRESSED",""
1052,"ADM_DISABILITY","Disability codes and descriptions used by the Freshman Admissions Office.  Use DISABILITY_KEY to join to ADM_APPLICANT.",3,"SUPPRESSED","D","SUPPRESSED",""
1053,"ADM_INQUIRY_SOURCE","Inquiry Source Descriptions and types used by the Freshman Admissions Office.  Use INQUIRY_SOURCE_KEY to joint to ADM_APPLICANT_INQUIRY_SOURCE table.",3,"OLD","D","SUPPRESSED",""
1054,"ADM_MINORITY_PROGRAM","Minority Program codes and descriptions used by Freshman Admissions.  Use MINORITY_PROGRAM_KEY to joint to ADM_APPLICANT_MINORITY_PGM table.",3,"OLD","D","SUPPRESSED",""
1055,"ADM_INTENDED_MAJOR","Intended major codes and description used by Freshman Admissions Office.  Use INTENDED_MAJOR_KEY to joint to ADM_APPLICANT table.",3,"OLD","D","SUPPRESSED",""
1056,"ADM_HIGH_SCHOOL","High Schools table used by the Freshman Admissions Office.  Use HIGH_SCHOOL_KEY to join to ADM_APPLICANT and ADM_HIGH_SCHOOL_STATISTICS tables.",3,"OLD","D","SUPPRESSED",""
1057,"ADM_APPLICANT_MINORITY_PGM","Freshman applicants' enrollment in minority programs, contains data beginning with applicants for the fall of 2000.  Use MINORITY_PROGRAM_KEY to join with ADM_APPLICANT_MINORITY_PGM table.",3,"SUPPRESSED","F","SUPPRESSED",""
1058,"ADM_APPLICANT_INQUIRY_SOURCE","Sources of freshman applicants' inquiries about MIT.  Use INQUIRY_SOURCE_KEY to join to ADM_APPLICANT_INQUIRY_SOURCE table.",3,"SUPPRESSED","F","SUPPRESSED",""
1059,"ADM_APPLICANT_TEST_SCORES","Various test scores provided to MIT by freshman applicants.  The data starts with applicants for the fall of 2000, and includes SAT, ACT, AP, TOEFL scores.",3,"SUPPRESSED","F","SUPPRESSED",""
1060,"ADM_DECISION","This table contains decision information:  both MIT freshman admissions decisions and students' acceptances.   It is used to place limits on and display decision data.  Join to ADM_APPLICANT by ADMISSION_DECISION_KEY.",3,"SUPPRESSED","D","SUPPRESSED",""
1061,"ADM_FAMILY_CHARACTERISTICS","This table contains types of freshman applicants' family characteristics.  It is used to place limits on and display family data.  Use FAMILY_CHARACTERISITCS_KEY to join to ADM_APPLICANT table..",3,"SUPPRESSED","D","SUPPRESSED",""
1062,"ADM_DEMOGRAPHIC","This table contains types of freshman applicants' demographic data. It is used to place limits on and display demographic data.  Use DEMOGRAPHIC_KEY to join to ADM_APPLICANT table.",3,"SUPPRESSED","D","SUPPRESSED",""
1063,"ADM_READER_RATING","This table contains types of freshman applicants' reader ratings. It is used to place limits on and display reader rating data.  Use READER_RATING_KEY to join to ADM_APPLICANT table.",3,"OLD","D","SUPPRESSED",""
1064,"ADM_RATING","This table contains types of freshman applicants' ratings. It is used to place limits on and display rating data.  Use RATING_KEY to join to ADM_APPLICANT table",3,"OLD","D","SUPPRESSED",""
1065,"ADM_CITIZENSHIP","This table contains citizenship status and countries of citizenship characterising freshman applicants.  It is used to place limits on and display citizenship data.  Use CITIZENSHIP_KEY to join to ADM_APPLICANT table",3,"SUPPRESSED","D","SUPPRESSED",""
1066,"ADM_REGION","This table contains region codes and descriptions used by the Freshman Admissions Office.  Use REGION_KEY to join this table to ADM_APPLICANT.",3,"OLD","D","SUPPRESSED",""
1067,"ADM_EVENT","Events run by Freshman Admissions Office.  This table is used in conjuntion with ADM_APPLICANT to report on applicants' participation in those events.  Use ADM_EVENT_KEY to join with ADM_APPLICANT.",3,"SUPPRESSED","D","SUPPRESSED",""
1068,"ADM_APPLICATION_FEE","This table contains various codes and descriptions related to application fees.  Use APPLICATION_FEE_KEY to join to ADM_APPLICANT table.",3,"SUPPRESSED","D","SUPPRESSED",""
1069,"ADM_TEST_TYPE","Types and subjects of tests stored in ADM_APPLICANT_TEST_SCORES table.  Use ADM_TEST_TYPE_KEY to join with ADM_APPLICANT_TEST_SCORES.",3,"OLD","D","SUPPRESSED",""
1070,"ADM_SUPPL_MATERIALS","Types of supplemental materials that applicants may present to the Freshman Admissions committee.  Use SUPPL_MATERIALS_KEY to join to ADM_APPLICANT.",3,"OLD","D","SUPPRESSED",""
1071,"ADM_SPECIAL_ACHIEVEMENT","Types of special achievements (olympiads, scientific competitions, athletic achievement, etc.) tracked by the Freshman Admissions Office for their applicants.  Use SPECIAL_ACHIEVEMENT_KEY to join with ADM_APPLICANT.",3,"OLD","D","SUPPRESSED",""
1072,"ADM_APPLICATION_ENTRY_YEAR","This table should be used to limit the query to specific application entry years.  Use field APPLICATION_YEAR_ENTRY_KEY to join to ADM_APPLICANT.  The result is the retrieval of the set of applicants who originally applied for that year, including those who deferred their entry to another year.  This table can be also joined to ADM_HIGH_SCHOOL_STATISTICS.",3,"SUPPRESSED","D","SUPPRESSED",""
1073,"ADM_ACTUAL_ENTRY_YEAR","This table should be used to limit the query to specific actual entry years.  Use field ACTUAL_YEAR_ENTRY_KEY to join to ADM_APPLICANT.  The result is the retrieval of the set of applicants who are actually going to enter this year -- this include those who deferred from previous years.  The deferred entry year information is based on the time when the deferral was granted, in other words, if the person later changed his/her mind and didn't come at all or stayed away for another year, it will not be reflected in the query..",3,"SUPPRESSED","D","SUPPRESSED",""
1088,"PRICING_ELEMENT","Pricing elements codes and descriptions -- used by Tech Review",2,"PRODUCTION","D","SAPUSER",""
1108,"MATERIAL_TECR","Material Data used in Tech Review Sales Orders",3,"PRODUCTION","D","SAPUSER",""
1128,"SETTLEMENT_RULE_HISTORY","Settlement Rules History",3,"PRODUCTION","F","SAPUSER",""
1129,"SETTLEMENT_RULE_CURRENT","Current Settlement Rules",3,"PRODUCTION","F","SAPUSER",""
1148,"STUDENT_MONTH_PAYROLL_DETAIL","Student Monthly Payroll",3,"OBSOLETE","F","SUPPRESSED",""
1188,"SPACE_UNIT","Physical Plant data -- org units",2,"PRODUCTION","D","OFMSUSER",""
1189,"SPACE_USAGE","Physical Plant data -- space usage",3,"PRODUCTION","D","OFMSUSER",""
1190,"SPACE_FLOOR","Physical Plant data -- floors",2,"PRODUCTION","D","OFMSUSER",""
1191,"SPACE_DETAIL","Physical Plant data -- rooms.",1,"PRODUCTION","F","OFMSUSER",""
8,"PROJECT","Contains a record for each project work breakdown structure element (WBS Element).  Can be used for browsing, establishing limits on fact table queries and providing descriptive information about WBS Elements.",3,"PRODUCTION","D","SAPUSER",""
28,"COST_CENTER","Contains MIT Cost Center Ids and related information.  It can be used for browsing, establishing limits on fact table queries, and providing descriptive information about Cost Centers.",2,"PRODUCTION","D","SAPUSER",""
48,"FINANCIAL_DETAIL","Contains information about all detail transactions as entered into SAP. This is taken from BSEG. It also contains current open commitment transactions taken from COOI.",3,"PRODUCTION","F","SAPUSER",""
49,"INTERNAL_ORDER","Internal Order Dimension. Contains Master data about all Internal Orders",3,"PRODUCTION","D","SAPUSER",""
50,"GL_ACCOUNT","GL Account & Cost Element Dimension. Roughly equivalent to the old Object Code",2,"PRODUCTION","D","SAPUSER",""
51,"COST_COLLECTOR","Contains Master data information about all three types of cost collectors (Cost Centers, Internal Orders, & Projects/WBS Elements). It only contains the fields common to all three.  Cost Collector is a term synonymous with Cost Object.",2,"PRODUCTION","D","SAPUSER",""
84,"STUDENT_TERM_ENROLLMENT","Contains data about the student's registration status, by academic term.  There is one enrollment record for a student per academic term.",3,"PRODUCTION","D","MITSIS",""
57,"PERSON","Contains information relating to people (currently limited to employees and students) affiliated with the Institute.",3,"PRODUCTION","D","SUPPRESSED",""
55,"EMPLOYEE","*Old Personnel Data in CYBORG * - Contains personal information about all employees.",3,"PRODUCTION","D","PERSUSER",""
56,"STUDENT","Contains biographic, registration, address (home, term, and office), and awarded degree data about all (current, former, and graduated) students of MIT.   Access to this table is controlled by the home department of the students.   If a student requests that certain data be kept confidential, the ""Is_(field name)_confidential"" flag (eg. is_e_mail_confidential) appearing under that field name will be set to Y; administrators with access to this data should handle it accordingly.",3,"PRODUCTION","D","MITSIS",""
58,"APPOINTMENT_OLD","*Old Personnel Data in CYBORG* -  Contains all the employee appointments and related information for appointments that are old/not current today.  A record of personnel actions, including salary reviews, terminations, hires, transfers, etc.",3,"PRODUCTION","F","PERSUSER",""
59,"PROFIT_CENTER","Profit Center Dimension. Master data information on Profit Centers including name and id.",3,"PRODUCTION","D","SAPUSER",""
60,"APPOINTMENT_CURRENT","Contains all the employee appointments and related information for appointments that are current today.  A record of personnel actions, including salary reviews, terminations, hires, transfers, etc.",3,"OBSOLETE","F","SUPPRESSED",""
61,"APPOINTMENT_ALL","*Old Personnel Data in CYBORG* - Contains all employee appointments (current and old) and related information.  A record of personnel actions, including salary reviews, terminations, hires, transfers, etc.",3,"PRODUCTION","F","PERSUSER",""
62,"KEYS","Contains a list of keys that have been allocated, and the name of the person the keys have been allocated to.",3,"PRODUCTION","F","OFMSUSER",""
85,"STUDENT_DIRECTORY","Contains student directory data for current students.",2,"PRODUCTION","D","MITSIS",""
214,"SPONSOR_BILLING_DETAIL","Contains information about Sponsor Billing.",3,"PRODUCTION","F","SAPUSER",""
88,"EMPLOYEE_DIRECTORY","Contains directory information about current employees only.",2,"PRODUCTION","D","HRUSER",""
89,"APPOINTMENT_LIMITED","*Old Personnel Data in CYBORG* -  Contains current appointment data without salary information for all employees.  A record of personnel actions, including salary reviews, terminations, hires, transfers, etc.",3,"PRODUCTION","F","PERSUSER",""
90,"BALANCES","Contains financial information, balance & budget data by cost collector ID as of yesterday. Use this table to view a current balance, or to compare several past fiscal years in total.  Normally the limit selected for this table is by Fiscal Year. (Taken from SAP tables COSP & COSS.)",3,"PRODUCTION","F","SAPUSER",""
215,"BALANCE_SHEET_BALANCES","Contains balances data for all balance sheet accounts:  cost collectors and pure GL accounts -- organized by fiscal year",3,"PRODUCTION","F","SAPUSER",""
229,"BALANCE_SHEET_ACCOUNT_ALL","All balance sheet accounts:  Cost Collectors and pure GL Accounts",3,"PRODUCTION","D","SAPUSER",""
93,"DOCUMENT_TYPE","Describes the type of document that the data is (internal order, purchase order, invoice, etc.)",2,"PRODUCTION","D","SAPUSER",""
94,"EMPLOYEE_LIMITED","*Old Personnel Data in CYBORG * - Contains employee data without home address information for all employees.",3,"PRODUCTION","D","PERSUSER",""
95,"FINANCIAL_DETAIL_ALL","Contains information about all detail transactions as entered into SAP. This has both sides of the transaction. It is taken from BSEG.",3,"PRODUCTION","F","SAPUSER",""
98,"JOBS","Contains a list of all jobs (Official title) and their associated job codes.  Used with the TQF application.",3,"OBSOLETE","D","SUPPRESSED",""
99,"KRB_PERSON","This table contains all people associated with the Institute who have a Kerberos Principal in Moira.  Data items in the table include Kerberos Name, directory information, and the person's primary association (Student, Employee, Other) at MIT.  This table is refreshed every 3 hours between 10am and 10pm with updated Kerberos information from Moira; and it is refreshed daily around 4 am with updated information from Moira, HR, and MITSIS.",3,"PRODUCTION","D","MOIRAUSR",""
100,"MAILING_LABELS","MIT address view of the Employee table for use by Mail Services only.",3,"PRODUCTION","F","HRUSER",""
101,"MEDICAL_EMPLOYEE","View of the employee table for use by the medical department only.",3,"OBSOLETE","F","SUPPRESSED",""
103,"OSP_AWARD","Contains all project data for WBS Elements stored in COEUS.",2,"PRODUCTION","D","OSPUSER",""
105,"PERSON_HELP","View of the employee table for use by the IS Help system only.",3,"PRODUCTION","D","HRUSER","MITSIS"
107,"PROJECT_OSP","Contains both Project information from SAP and additional information from COEUS",2,"PRODUCTION","D","OSPUSER",""
108,"PURCHASE_ORDER_TYPE","Contains information about the type of purchase order.",3,"PRODUCTION","D","SAPUSER",""
109,"PURCHASING_DETAIL","The Purchasing Detail table provides a detailed view of purchase order information, right down to the Account Distribution (or Account Assignment) level. Thus each record in this table represents the fraction of a PO Line Item that was assigned to a single account (or more accurately a given Cost Collector/GL Account pair). A record in this table is uniquely identified by the combination of PO Number, PO Line Number and Account Assignment Number. The only additive fields in this table are ordered qty & amount (representing qty & dollars on the PO assigned to the account), commitment qty &amount (the current open commitment qty & dollar amount for this record) and invoiced qty &amount (the qty & dollar amount for this record which has been invoiced). All other numeric amounts on the table are informational only - they should not be summed on a report.",3,"PRODUCTION","F","SAPUSER",""
111,"SPONSOR","Contains data about each sponsor.",2,"PRODUCTION","D","SAPUSER",""
112,"STUDENT_DIRECTORY_FULL","Contains directory information for current students, including term address, year of degree, and department.",3,"PRODUCTION","D","MITSIS",""
114,"TIME_DAY","Daily calendar information.  For use in joining tables to include a time dimension to the report.",1,"PRODUCTION","D","WAREUSER",""
115,"TIME_MONTH","Monthly calendar information.  For use in joining tables to include a time dimension to the report. Use the Time_Month_Key to join.",1,"PRODUCTION","D","WAREUSER",""
116,"UNIT","Contains departmental data from the personnel system.",2,"PRODUCTION","D","PERSUSER",""
117,"VENDOR","Contains data about vendors:  vendor name, address, vendor number in SAP, telephone and fax numbers, and other contact information.",2,"PRODUCTION","D","SAPUSER",""
209,"SURCHARGE_PERCENTAGES","Contains Overhead, EB, and Lab Allocation rates as they would have been calculated by the SAP costing sheets yesterday.",3,"PRODUCTION","F","SAPUSER",""
119,"LOOKUP_MASTER","Master table containing all Personnel lookup data.",2,"PRODUCTION","D","PERSUSER",""
120,"TQF_DEPARTMENT_ACCESS","TQF Table",2,"PRODUCTION","D","PERSUSER",""
139,"E_CAT","Contains directory data about MIT Employees and Students.  For use by the E_CAT system only.",3,"OBSOLETE","D","SUPPRESSED",""
141,"TABLES","Contains a list and description of all tables in the warehouse that are available to users.",1,"PRODUCTION","D","WAREUSER",""
142,"FIELDS","Contains a list of fields and their descriptions, as well as the  tables where the fields appear.",1,"PRODUCTION","D","WAREUSER",""
143,"POSTING_KEY","Contains a list of all SAP posting key codes and their descriptions.",2,"PRODUCTION","D","SAPUSER",""
147,"FUND","Contains data about sources of revenue (funds & fund centers).",2,"PRODUCTION","D","SAPUSER",""
164,"PURCHASING_ORG","Contains codes and descriptions for all MIT's Purchasing Organizations",2,"PRODUCTION","D","SAPUSER",""
165,"PURCHASING_GROUP","Contains codes, descriptions and phone numbers for MIT's Purchasing Groups",2,"PRODUCTION","D","SAPUSER",""
166,"MATERIAL_GROUP","Contains codes and descriptions of material groups used in categorizing items ordered through Purchase Orders.",2,"PRODUCTION","D","SAPUSER",""
184,"BALANCE_SHEET_ACCOUNT","Sub set of cost collectors which represent balance sheet accounts.",2,"PRODUCTION","D","SAPUSER",""
185,"CREDIT_CARD_DETAIL","Credit card Transactions. Taken from table BSEG in SAP.",3,"PROTOTYPE","F","SAPUSER",""
212,"CREDIT_CARD_VERIFIER","Contains information about credit card verifiers.",3,"PROTOTYPE","D","SAPUSER",""
187,"FUND_ACCOUNT","Subset of cost collectors defined as Sponsored or Non-Sponsored Funds.  (This table should not be confused with SAP funds or fund centers.)",2,"PRODUCTION","D","SAPUSER",""
188,"GL_ACCOUNT_REPORT","GL Account and Cost Element Dimension with built-in mechanism for organizing in preset Cost Element (GL Account) groups, derived from Cost Element Hierarchies (groups) in SAP. The value in the field Report-Type describes the type
of grouping as it is defined in SAP.  IMPORTANT:  ""REPORT TYPE"" MUST BE
SPECIFIED as a limit, for the query to return correct results.

For more details see: <a href="" https://wikis.mit.edu/confluence/display/DATAADMIN/GL+Account+Grouping""> GL Account Overview  </a>",2,"PRODUCTION","D","SAPUSER",""
189,"PROFIT_CENTER_HIERARCHY","Structure for creating reports which rollup by Profit Center or Profit Center Node. Taken from SAP's Profit Center Hierarchy.",2,"PRODUCTION","D","SAPUSER",""
204,"COST_COLLECTORS_ACCESSIBLE","Contains Master data information about all three types of cost objects (Cost Centers, Internal Orders, & Projects/WBS Elements). It contains the fields common to all three, and additional fields such as surcharge percentage and overrun information.  This table will only return information about cost collectors that you have been granted access to.",2,"PRODUCTION","D","SAPUSER",""
205,"COMMITMENT_HISTORY","Cointains commitment information to create views ""as of"" a certain date, available for dates from July 1999 to present. This table must be joined to the TIME_DAY table, joining the Record_Value_From_Date (use a simple join and select Greater than or Equal) *AND* the Record_Value_Thru_Date (use a simple join and select Less than or Equal) to the Calendar_Date field.",3,"PRODUCTION","F","SAPUSER",""
206,"COMMITMENT_TYPE","A dimension table to be used with commitment fact tables, to identify types of commitments, such as blanket orders or LDS.  Also includes commitment type codes and descriptions.",2,"PRODUCTION","D","SAPUSER",""
207,"CURRENT_COMMITMENTS","Shows current commitment information, including commitment amount, reference document number, material group, and quantity.  Includes keys to join to Cost Collector, GL Account, Vendor, Material Group, and Commitment Type tables.",3,"PRODUCTION","F","SAPUSER",""
208,"BALANCES_BY_FISCAL_PERIOD","Contains summary financial information, balance, and department and institute budgets for Cost Collectors.  To look at balances as of the end of a fiscal period, use this table.  Join this table with TIME_MONTH to select the time period your interested in. (If you pick more than one Fiscal Period, create computed items to separate out FYTD_Amount,  Cumulative_Amount and Institute_Budget by fiscal period.  Otherwise the totals for these fields will be inflated.)",3,"PRODUCTION","F","SAPUSER",""
210,"CREDIT_CARD_MASTER","Contains information about credit cards and their users.",3,"PRODUCTION","D","SAPUSER",""
213,"CREDIT_CARD_ACCT_ASSIGNMENT","Contains information about default account assignment rules for credit cards.",3,"PROTOTYPE","D","SAPUSER",""
249,"PROJECT_WBS_HIERARCHY","Contains information used to represent the WBS hierarchies.  Reporting can be done at the top (level 1) level (Master Project) on the entire WBS hierarchy structure, or at lower levels in the hierarchy.",2,"PRODUCTION","D","SAPUSER",""
250,"BALANCE_SHEET_BALANCES_BY_FP","Contains balances data for all balance sheet accounts:  Cost Collectors and pure GL Accounts -- organized by Fiscal Period.",3,"PRODUCTION","F","SAPUSER",""
251,"WEB_HITS_DETAIL","Detailed 'web hits' information. Provided for the MIT community to report on hits on their web pages. Information includes the URL accessed, the date of the access and various information about the accessor (for example the browser and operating system used to access the URL). The counter represents the number of hits on the web page on a given day from users with the same OS, browser, domain code etc.",2,"PRODUCTION","F","SUPPRESSED",""
252,"TOP_LEVEL_DOMAIN","List of internet top-level domains and descriptions. For use with web statistics reporting. Top level domains are the codes which come at the end of a URL and can describe the type of organization or refer to a country. Example - 'COM' (Company) or 'CA' (Canada).",1,"PRODUCTION","D","WAREUSER",""
253,"TELEPHONE_DETAIL","Contains information about telephone charges.  Detailed information about charge amounts resides in this table. Data about call length, total calls, total minutes, date of call, and time of call is also available.",3,"PRODUCTION","F","TCMUSER",""
254,"TELEPHONE_BILLING_NUMBERS","Contains information about telephone numbers at MIT, including default cost collectors,   profit center assignments, and listed directory names.  The Telephone_Billing_Number is the source telephone charges are billed to.",2,"PRODUCTION","D","TCMUSER",""
255,"TELEPHONE_CHARGE_TYPE","Contains information about the types of telephone charges broken down into categories and subcategories.  Categories include Itemized, Local summary and Phone charges. subcategories include Basic Service Charges; Voice Mail Charges; Telephone Equipment Charges; Voice Mail Equipment Charges; Calling Card Calls; Itemized Calls, Customer Assigned; Itemized Calls, Not Customer Assigned; and Local Summary Charges.",2,"PRODUCTION","D","TCMUSER",""
273,"PROFIT_CENTER_GROUP","Structure for creating reports of grouped Profit Centers taken from SAP.  Multiple hierarchies are represented in the groups.",2,"PRODUCTION","D","SAPUSER",""
274,"FINANCIAL_PROCESSING_STATUS","Table containing data which displays the current status of several financial processing areas.  Examples:  costing sheets, payroll, facilities processing, fiscal period complete, etc.",3,"PRODUCTION","F","SAPUSER",""
