"POSTAL_CODE","CITY_NAME","CITY_TYPE","PROVINCE_ABBR","PROVINCE_NAME","WAREHOUSE_LOAD_DATE"
"A0J 0A9","Beaumont","D","NL","Newfoundland",25-MAY-23
"A0J 0B1","Little Bay Islands","D","NL","Newfoundland",25-MAY-23
"A0J 0B2","Miles Cove","D","NL","Newfoundland",25-MAY-23
"A0J 1A0","Beaumont","D","NL","Newfoundland",25-MAY-23
"A0J 1B0","Brighton","D","NL","Newfoundland",25-MAY-23
"A0J 1E0","Harrys Harbour","D","NL","Newfoundland",25-MAY-23
"A0J 1G0","Jacksons Cove","D","NL","Newfoundland",25-MAY-23
"A0J 1H0","Kings Point","D","NL","Newfoundland",25-MAY-23
"A0J 1J0","Little Bay NDB","D","NL","Newfoundland",25-MAY-23
"A0J 1K0","Little Bay Islands","D","NL","Newfoundland",25-MAY-23
"A0J 1L0","Miles Cove","D","NL","Newfoundland",25-MAY-23
"A0J 1M0","Pilleys Island","D","NL","Newfoundland",25-MAY-23
"A0J 1N0","Port Anson","D","NL","Newfoundland",25-MAY-23
"A0J 1P0","Rattling Brook","D","NL","Newfoundland",25-MAY-23
"A0J 1R0","Roberts Arm","D","NL","Newfoundland",25-MAY-23
"A0J 1S0","South Brook GB","D","NL","Newfoundland",25-MAY-23
"A0J 1T0","Beachside","A","NL","Newfoundland",25-MAY-23
"A0J 1T0","Springdale","D","NL","Newfoundland",25-MAY-23
"A0J 1V0","Triton","D","NL","Newfoundland",25-MAY-23
"A0K 0A1","Conche","D","NL","Newfoundland",25-MAY-23
"A0K 0A2","Flowers Cove","D","NL","Newfoundland",25-MAY-23
"A0K 0A3","Hampden","D","NL","Newfoundland",25-MAY-23
"A0K 0A4","Harbour Round","D","NL","Newfoundland",25-MAY-23
"A0K 0A5","Raleigh","D","NL","Newfoundland",25-MAY-23
"A0K 0A6","Rocky Harbour","D","NL","Newfoundland",25-MAY-23
"A0K 0A7","Forteau","D","NL","Newfoundland",25-MAY-23
"A0K 0A8","Birchy Head","D","NL","Newfoundland",25-MAY-23
"A0K 0A9","Baie Verte","D","NL","Newfoundland",25-MAY-23
"A0K 0B1","Englee","D","NL","Newfoundland",25-MAY-23
"A0K 0B2","Fleur de Lys","D","NL","Newfoundland",25-MAY-23
"A0K 0B3","St Lewis","D","NL","Newfoundland",25-MAY-23
"A0K 0B4","Woodstock","D","NL","Newfoundland",25-MAY-23
"A0K 0B5","Black Tickle","D","NL","Newfoundland",25-MAY-23
"A0K 0B6","Port au Choix","D","NL","Newfoundland",25-MAY-23
"A0K 0B7","Roddickton","D","NL","Newfoundland",25-MAY-23
"A0K 0B8","Shoe Cove","D","NL","Newfoundland",25-MAY-23
"A0K 0B9","Sops Arm","D","NL","Newfoundland",25-MAY-23
"A0K 0C1","Charlottetown LAB","D","NL","Newfoundland",25-MAY-23
"A0K 0C2","Sandy Cove","D","NL","Newfoundland",25-MAY-23
"A0K 0C3","Brents Cove","D","NL","Newfoundland",25-MAY-23
"A0K 0C4","Cow Head","D","NL","Newfoundland",25-MAY-23
"A0K 0C5","Seal Cove WB","D","NL","Newfoundland",25-MAY-23
"A0K 0C6","Black Duck Cove","D","NL","Newfoundland",25-MAY-23
"A0K 0C7","Daniels Harbour","D","NL","Newfoundland",25-MAY-23
"A0K 0C8","Marys Harbour","D","NL","Newfoundland",25-MAY-23
"A0K 0C9","Port Hope Simpson","D","NL","Newfoundland",25-MAY-23
"A0K 0E1","Mings Bight","D","NL","Newfoundland",25-MAY-23
"A0K 0E2","Middle Arm GB","D","NL","Newfoundland",25-MAY-23
"A0K 0E3","Hawkes Bay","D","NL","Newfoundland",25-MAY-23
"A0K 0E4","Bellburns","D","NL","Newfoundland",25-MAY-23
"A0K 0E5","Plum Point","D","NL","Newfoundland",25-MAY-23
"A0K 0E6","La Scie","D","NL","Newfoundland",25-MAY-23
"A0K 0E7","Portland Creek","D","NL","Newfoundland",25-MAY-23
"A0K 0E8","Port Saunders","D","NL","Newfoundland",25-MAY-23
"A0K 0E9","Reefs Harbour","D","NL","Newfoundland",25-MAY-23
"A0K 0G1","St Anthony East","D","NL","Newfoundland",25-MAY-23
"A0A 0A1","Avondale","D","NL","Newfoundland",25-MAY-23
"A0A 0A2","Holyrood","D","NL","Newfoundland",25-MAY-23
"A0A 0A3","Trepassey","D","NL","Newfoundland",25-MAY-23
"A0A 0A4","South River","D","NL","Newfoundland",25-MAY-23
"A0A 0A5","Northern Bay","D","NL","Newfoundland",25-MAY-23
"A0A 0A6","Clarkes Beach","D","NL","Newfoundland",25-MAY-23
"A0A 0A7","Conception Harbour","D","NL","Newfoundland",25-MAY-23
"A0A 0A8","Harbour Main","D","NL","Newfoundland",25-MAY-23
"A0A 0A9","Jobs Cove","D","NL","Newfoundland",25-MAY-23
"A0A 0B1","St Shotts","D","NL","Newfoundland",25-MAY-23
"A0A 0B2","Cape Broyle","D","NL","Newfoundland",25-MAY-23
"A0A 0B3","Aquaforte","D","NL","Newfoundland",25-MAY-23
"A0A 0B4","Colliers Riverhead","D","NL","Newfoundland",25-MAY-23
"A0A 0B5","Fermeuse","D","NL","Newfoundland",25-MAY-23
"A0A 0B6","Petty Harbour","D","NL","Newfoundland",25-MAY-23
"A0A 0B7","Western Bay","D","NL","Newfoundland",25-MAY-23
"A0A 0B8","Broad Cove Bdv","D","NL","Newfoundland",25-MAY-23
"A0A 0B9","Burnt Point Bdv","D","NL","Newfoundland",25-MAY-23
"A0A 0C1","Pouch Cove","D","NL","Newfoundland",25-MAY-23
"A0A 0C2","Red Head Cove","D","NL","Newfoundland",25-MAY-23
"A0A 0C3","Ferryland","D","NL","Newfoundland",25-MAY-23
"A0A 0C4","Bay Bulls","D","NL","Newfoundland",25-MAY-23
"A0A 0C5","Bay Roberts","D","NL","Newfoundland",25-MAY-23
"A0A 0C6","Bell Island","D","NL","Newfoundland",25-MAY-23
"A0A 0C7","Coleys Point South","D","NL","Newfoundland",25-MAY-23
"A0A 0C8","Makinsons","D","NL","Newfoundland",25-MAY-23
"A0A 0C9","Harbour Grace","D","NL","Newfoundland",25-MAY-23
"A0A 0E1","Lower Island Cove","D","NL","Newfoundland",25-MAY-23
"A0A 0E2","Port de Grave","D","NL","Newfoundland",25-MAY-23
"A0A 0E3","Renews","D","NL","Newfoundland",25-MAY-23
"A0A 0E4","Victoria Cb","D","NL","Newfoundland",25-MAY-23
"A0A 0E5","Spaniards Bay","D","NL","Newfoundland",25-MAY-23
"A0A 0E6","Bay de Verde","D","NL","Newfoundland",25-MAY-23
"A0A 0E7","Bell Island Front","D","NL","Newfoundland",25-MAY-23
"A0A 0E8","Brigus","D","NL","Newfoundland",25-MAY-23
"A0A 0E9","Grates Cove","D","NL","Newfoundland",25-MAY-23
"A0A 0G1","Upper Island Cove","D","NL","Newfoundland",25-MAY-23
"A0A 0G2","Witless Bay","D","NL","Newfoundland",25-MAY-23
"A0A 0G3","Woodfords","D","NL","Newfoundland",25-MAY-23
"A0A 0G4","Cupids","D","NL","Newfoundland",25-MAY-23
"A0A 0G5","Calvert","D","NL","Newfoundland",25-MAY-23
"A0A 0G6","Tors Cove","D","NL","Newfoundland",25-MAY-23
"A0A 0G7","Cappahayden","D","NL","Newfoundland",25-MAY-23
"A0A 0G8","Old Perlican","D","NL","Newfoundland",25-MAY-23
"A0A 0G9","Shea Heights","D","NL","Newfoundland",25-MAY-23
"A0A 0H1","Riverhead Harbour Grace","D","NL","Newfoundland",25-MAY-23
"A0A 1A0","Aquaforte","D","NL","Newfoundland",25-MAY-23
"A0A 1B0","Avondale","D","NL","Newfoundland",25-MAY-23
"A0A 1C0","Bay Bulls","D","NL","Newfoundland",25-MAY-23
"A0A 1E0","Bay de Verde","D","NL","Newfoundland",25-MAY-23
"A0A 1G0","Bay Roberts","D","NL","Newfoundland",25-MAY-23
"A0A 1H0","Bell Island Front","D","NL","Newfoundland",25-MAY-23
"A0A 1J0","Shea Heights","A","NL","Newfoundland",25-MAY-23
"A0A 1J0","St. John's","D","NL","Newfoundland",25-MAY-23
"A0A 1K0","Brigus","D","NL","Newfoundland",25-MAY-23
"A0A 1L0","Broad Cove Bdv","D","NL","Newfoundland",25-MAY-23
"A0A 1M0","Burnt Point Bdv","D","NL","Newfoundland",25-MAY-23
"A0A 1N0","Calvert","D","NL","Newfoundland",25-MAY-23
"A0A 1P0","Cape Broyle","D","NL","Newfoundland",25-MAY-23
"A0A 1R0","Caplin Cove Bdv","D","NL","Newfoundland",25-MAY-23
"A0A 1S0","Cappahayden","D","NL","Newfoundland",25-MAY-23
"A0A 1V0","Chapel Cove","D","NL","Newfoundland",25-MAY-23
"A0A 1W0","Clarkes Beach","D","NL","Newfoundland",25-MAY-23
"A0A 1X0","Coleys Point South","D","NL","Newfoundland",25-MAY-23
"A0A 1Y0","Colliers Riverhead","D","NL","Newfoundland",25-MAY-23
"A0A 1Z0","Conception Harbour","D","NL","Newfoundland",25-MAY-23
"A0A 2B0","Cupids","D","NL","Newfoundland",25-MAY-23
"A0A 2G0","Fermeuse","D","NL","Newfoundland",25-MAY-23
"A0A 2H0","Ferryland","D","NL","Newfoundland",25-MAY-23
"A0A 2L0","Grates Cove","D","NL","Newfoundland",25-MAY-23
"A0A 2M0","Harbour Grace","D","NL","Newfoundland",25-MAY-23
"A0A 2N0","Harbour Grace South","D","NL","Newfoundland",25-MAY-23
"A0A 2P0","Harbour Main","D","NL","Newfoundland",25-MAY-23
"A0A 2R0","Holyrood","D","NL","Newfoundland",25-MAY-23
"A0A 2S0","Jobs Cove","D","NL","Newfoundland",25-MAY-23
"A0A 2W0","Lower Island Cove","D","NL","Newfoundland",25-MAY-23
"A0A 2X0","Makinsons","D","NL","Newfoundland",25-MAY-23
"A0A 2Z0","Marysvale","D","NL","Newfoundland",25-MAY-23
"A0A 3A0","Mobile","D","NL","Newfoundland",25-MAY-23
"A0A 3B0","Northern Bay","D","NL","Newfoundland",25-MAY-23
"A0A 3C0","North River","D","NL","Newfoundland",25-MAY-23
"A0A 3E0","Ochre Pit Cove","D","NL","Newfoundland",25-MAY-23
"A0A 3G0","Old Perlican","D","NL","Newfoundland",25-MAY-23
"A0A 3H0","Petty Harbour","D","NL","Newfoundland",25-MAY-23
"A0A 3J0","Port de Grave","D","NL","Newfoundland",25-MAY-23
"A0A 3L0","Pouch Cove","D","NL","Newfoundland",25-MAY-23
"A0A 3M0","Red Head Cove","D","NL","Newfoundland",25-MAY-23
"A0A 3N0","Renews","D","NL","Newfoundland",25-MAY-23
"A0A 3P0","Riverhead Harbour Grace","D","NL","Newfoundland",25-MAY-23
"A0A 3R0","St Shotts","D","NL","Newfoundland",25-MAY-23
"A0A 3S0","Salmon Cove Bdv","D","NL","Newfoundland",25-MAY-23
"A0A 3V0","Shearstown","D","NL","Newfoundland",25-MAY-23
"A0A 3W0","South River","D","NL","Newfoundland",25-MAY-23
"A0A 3X0","Spaniards Bay","D","NL","Newfoundland",25-MAY-23
"A0A 3X1","Spaniards Bay","D","NL","Newfoundland",25-MAY-23
"A0A 4A0","Tors Cove","D","NL","Newfoundland",25-MAY-23
"A0A 4B0","Trepassey","D","NL","Newfoundland",25-MAY-23
"A0A 4E0","Upper Island Cove","D","NL","Newfoundland",25-MAY-23
"A0A 4G0","Victoria Cb","D","NL","Newfoundland",25-MAY-23
"A0A 4H0","Bell Island","D","NL","Newfoundland",25-MAY-23
"A0A 4J0","Western Bay","D","NL","Newfoundland",25-MAY-23
"A0A 4K0","Witless Bay","D","NL","Newfoundland",25-MAY-23
"A0A 4L0","Woodfords","D","NL","Newfoundland",25-MAY-23
"A0B 0A1","Chance Cove","D","NL","Newfoundland",25-MAY-23
"A0B 0A2","Come by Chance","D","NL","Newfoundland",25-MAY-23
"A0B 0A3","Dildo","D","NL","Newfoundland",25-MAY-23
"A0B 0A4","Winterton","D","NL","Newfoundland",25-MAY-23
"A0B 0A5","Bellevue","D","NL","Newfoundland",25-MAY-23
"A0B 0A6","Heart's Content","D","NL","Newfoundland",25-MAY-23
"A0B 0A7","Brigus Junction","D","NL","Newfoundland",25-MAY-23
"A0B 0A8","Branch","D","NL","Newfoundland",25-MAY-23
"A0B 0A9","Brownsdale","D","NL","Newfoundland",25-MAY-23
"A0B 0B1","Cavendish","D","NL","Newfoundland",25-MAY-23
"A0B 0B2","Freshwater PB","D","NL","Newfoundland",25-MAY-23
"A0B 0B3","Jerseyside","D","NL","Newfoundland",25-MAY-23
"A0B 0B4","Long Harbour","D","NL","Newfoundland",25-MAY-23
"A0B 0B5","St Brides","D","NL","Newfoundland",25-MAY-23
"A0B 0B6","Chapel Arm","D","NL","Newfoundland",25-MAY-23
"A0B 0B7","Fair Haven","D","NL","Newfoundland",25-MAY-23
"A0B 0B8","Greens Harbour","D","NL","Newfoundland",25-MAY-23
"A0B 0B9","Placentia","D","NL","Newfoundland",25-MAY-23
"A0B 0C1","Sunnyside","D","NL","Newfoundland",25-MAY-23
"A0B 0C2","Whitbourne","D","NL","Newfoundland",25-MAY-23
"A0B 0C3","Arnolds Cove","D","NL","Newfoundland",25-MAY-23
"A0B 0C4","St Vincents","D","NL","Newfoundland",25-MAY-23
"A0B 0C5","Ship Harbour PB","D","NL","Newfoundland",25-MAY-23
"A0B 0C6","Colinet","D","NL","Newfoundland",25-MAY-23
"A0B 0C7","Mount Carmel","D","NL","Newfoundland",25-MAY-23
"A0B 0C8","New Harbour TB","D","NL","Newfoundland",25-MAY-23
"A0B 0C9","Southern Harbour PB","D","NL","Newfoundland",25-MAY-23
"A0B 0E1","Blaketown","D","NL","Newfoundland",25-MAY-23
"A0B 0E2","Normans Cove","D","NL","Newfoundland",25-MAY-23
"A0B 0E3","St Marys","D","NL","Newfoundland",25-MAY-23
"A0B 0E4","Hopeall","D","NL","Newfoundland",25-MAY-23
"A0B 0E5","Whiteway","D","NL","Newfoundland",25-MAY-23
"A0B 0E6","Dunville","D","NL","Newfoundland",25-MAY-23
"A0B 0E7","Hants Harbour","D","NL","Newfoundland",25-MAY-23
"A0B 0E8","Islington","D","NL","Newfoundland",25-MAY-23
"A0B 0E9","Fox Harbour PB","D","NL","Newfoundland",25-MAY-23
"A0B 1A0","Arnolds Cove","D","NL","Newfoundland",25-MAY-23
"A0B 1B0","Bellevue","D","NL","Newfoundland",25-MAY-23
"A0B 1C0","Blaketown","D","NL","Newfoundland",25-MAY-23
"A0B 1E0","Branch","D","NL","Newfoundland",25-MAY-23
"A0B 1G0","Brigus Junction","D","NL","Newfoundland",25-MAY-23
"A0B 1H0","Brownsdale","D","NL","Newfoundland",25-MAY-23
"A0B 1J0","Cavendish","D","NL","Newfoundland",25-MAY-23
"A0B 1K0","Chance Cove","D","NL","Newfoundland",25-MAY-23
"A0B 1L0","Chapel Arm","D","NL","Newfoundland",25-MAY-23
"A0B 1M0","Colinet","D","NL","Newfoundland",25-MAY-23
"A0B 1N0","Come by Chance","D","NL","Newfoundland",25-MAY-23
"A0B 1P0","Dildo","D","NL","Newfoundland",25-MAY-23
"A0B 1R0","South Dildo","D","NL","Newfoundland",25-MAY-23
"A0B 1S0","Dunville","D","NL","Newfoundland",25-MAY-23
"A0B 1T0","Fair Haven","D","NL","Newfoundland",25-MAY-23
"A0B 1V0","Fox Harbour PB","D","NL","Newfoundland",25-MAY-23
"A0B 1W0","Freshwater PB","D","NL","Newfoundland",25-MAY-23
"A0B 1X0","Greens Harbour","D","NL","Newfoundland",25-MAY-23
"A0B 1Y0","Hants Harbour","D","NL","Newfoundland",25-MAY-23
"A0B 1Z0","Heart's Content","D","NL","Newfoundland",25-MAY-23
"A0B 2A0","Heart's Delight","D","NL","Newfoundland",25-MAY-23
"A0B 2B0","Heart's Desire","D","NL","Newfoundland",25-MAY-23
"A0B 2C0","Hopeall","D","NL","Newfoundland",25-MAY-23
"A0B 2E0","Islington","D","NL","Newfoundland",25-MAY-23
"A0B 2G0","Jerseyside","D","NL","Newfoundland",25-MAY-23
"A0B 2H0","Little Harbour East PB","D","NL","Newfoundland",25-MAY-23
"A0B 2J0","Long Harbour","D","NL","Newfoundland",25-MAY-23
"A0B 2L0","Mount Arlington Heights","D","NL","Newfoundland",25-MAY-23
"A0B 2M0","Mount Carmel","D","NL","Newfoundland",25-MAY-23
"A0B 2N0","New Chelsea","D","NL","Newfoundland",25-MAY-23
"A0B 2P0","New Harbour TB","D","NL","Newfoundland",25-MAY-23
"A0B 2R0","New Melbourne","D","NL","Newfoundland",25-MAY-23
"A0B 2S0","New Perlican","D","NL","Newfoundland",25-MAY-23
"A0B 2T0","Normans Cove","D","NL","Newfoundland",25-MAY-23
"A0B 2V0","North Harbour SMB","D","NL","Newfoundland",25-MAY-23
"A0B 2W0","Old Shop","D","NL","Newfoundland",25-MAY-23
"A0B 2Y0","Placentia","D","NL","Newfoundland",25-MAY-23
"A0B 2Z0","St Brides","D","NL","Newfoundland",25-MAY-23
"A0B 3A0","Mount Carmel","D","NL","Newfoundland",25-MAY-23
"A0B 3A0","St Josephs Sal","A","NL","Newfoundland",25-MAY-23
"A0B 3B0","St Marys","D","NL","Newfoundland",25-MAY-23
"A0B 3C0","St Vincents","D","NL","Newfoundland",25-MAY-23
"A0B 3E0","Ship Harbour PB","D","NL","Newfoundland",25-MAY-23
"A0B 3H0","Southern Harbour PB","D","NL","Newfoundland",25-MAY-23
"A0B 3J0","Sunnyside","D","NL","Newfoundland",25-MAY-23
"A0B 3K0","Whitbourne","D","NL","Newfoundland",25-MAY-23
"A0B 3L0","Whiteway","D","NL","Newfoundland",25-MAY-23
"A0B 3M0","Winterton","D","NL","Newfoundland",25-MAY-23
"A0C 0A1","Bunyans Cove","D","NL","Newfoundland",25-MAY-23
"A0C 0A2","Newmans Cove","D","NL","Newfoundland",25-MAY-23
"A0C 0A3","Plate Cove West","D","NL","Newfoundland",25-MAY-23
"A0C 0A4","Port Union","D","NL","Newfoundland",25-MAY-23
"A0C 0A5","Bloomfield","D","NL","Newfoundland",25-MAY-23
"A0C 0A6","Bonavista","D","NL","Newfoundland",25-MAY-23
"A0C 0A7","Elliston","D","NL","Newfoundland",25-MAY-23
"A0C 0A8","Knights Cove","D","NL","Newfoundland",25-MAY-23
"A0C 0A9","Sweet Bay","D","NL","Newfoundland",25-MAY-23
"A0C 0B1","Trinity TB","D","NL","Newfoundland",25-MAY-23
"A0C 0B2","Princeton","D","NL","Newfoundland",25-MAY-23
"A0C 0B3","Melrose","D","NL","Newfoundland",25-MAY-23
"A0C 0B4","Charlottetown","D","NL","Newfoundland",25-MAY-23
"A0C 0B5","Summerville","D","NL","Newfoundland",25-MAY-23
"A0C 0B6","Hickmans Harbour","D","NL","Newfoundland",25-MAY-23
"A0C 0B7","Lethbridge","D","NL","Newfoundland",25-MAY-23
"A0C 0B8","Tickle Cove","D","NL","Newfoundland",25-MAY-23
"A0C 0B9","Plate Cove East","D","NL","Newfoundland",25-MAY-23
"A0C 0C1","Little Catalina","D","NL","Newfoundland",25-MAY-23
"A0C 0C2","Kings Cove","D","NL","Newfoundland",25-MAY-23
"A0C 0C3","Catalina","D","NL","Newfoundland",25-MAY-23
"A0C 0C4","Port Rexton","D","NL","Newfoundland",25-MAY-23
"A0C 0C5","Southern Bay","D","NL","Newfoundland",25-MAY-23
"A0C 0C6","Port Blandford","D","NL","Newfoundland",25-MAY-23
"A0C 0C7","Musgravetown","D","NL","Newfoundland",25-MAY-23
"A0C 0C8","Open Hall","D","NL","Newfoundland",25-MAY-23
"A0C 0C9","Keels","D","NL","Newfoundland",25-MAY-23
"A0C 1A0","Bloomfield","D","NL","Newfoundland",25-MAY-23
"A0C 1B0","Bonavista","D","NL","Newfoundland",25-MAY-23
"A0C 1E0","Bunyans Cove","D","NL","Newfoundland",25-MAY-23
"A0C 1G0","Burgoynes Cove","D","NL","Newfoundland",25-MAY-23
"A0C 1H0","Cannings Cove","D","NL","Newfoundland",25-MAY-23
"A0C 1J0","Catalina","D","NL","Newfoundland",25-MAY-23
"A0C 1K0","Charleston","D","NL","Newfoundland",25-MAY-23
"A0C 1L0","Charlottetown","D","NL","Newfoundland",25-MAY-23
"A0C 1M0","Duntara","D","NL","Newfoundland",25-MAY-23
"A0C 1N0","Elliston","D","NL","Newfoundland",25-MAY-23
"A0C 1P0","Hickmans Harbour","D","NL","Newfoundland",25-MAY-23
"A0C 1R0","Keels","D","NL","Newfoundland",25-MAY-23
"A0C 1S0","Kings Cove","D","NL","Newfoundland",25-MAY-23
"A0C 1T0","Knights Cove","D","NL","Newfoundland",25-MAY-23
"A0C 1V0","Lethbridge","D","NL","Newfoundland",25-MAY-23
"A0C 1W0","Little Catalina","D","NL","Newfoundland",25-MAY-23
"A0C 1Y0","Melrose","D","NL","Newfoundland",25-MAY-23
"A0C 1Z0","Musgravetown","D","NL","Newfoundland",25-MAY-23
"A0C 2A0","Newmans Cove","D","NL","Newfoundland",25-MAY-23
"A0C 2B0","Open Hall","D","NL","Newfoundland",25-MAY-23
"A0C 2C0","Plate Cove East","D","NL","Newfoundland",25-MAY-23
"A0C 2E0","Plate Cove West","D","NL","Newfoundland",25-MAY-23
"A0C 2G0","Port Blandford","D","NL","Newfoundland",25-MAY-23
"A0C 2H0","Port Rexton","D","NL","Newfoundland",25-MAY-23
"A0C 2J0","Port Union","D","NL","Newfoundland",25-MAY-23
"A0C 2K0","Princeton","D","NL","Newfoundland",25-MAY-23
"A0C 2M0","Southern Bay","D","NL","Newfoundland",25-MAY-23
"A0C 2N0","Summerville","D","NL","Newfoundland",25-MAY-23
"A0C 2P0","Sweet Bay","D","NL","Newfoundland",25-MAY-23
"A0C 2R0","Tickle Cove","D","NL","Newfoundland",25-MAY-23
"A0C 2S0","Trinity TB","D","NL","Newfoundland",25-MAY-23
"A0E 0A1","Baine Harbour","D","NL","Newfoundland",25-MAY-23
"A0E 0A2","Burin","D","NL","Newfoundland",25-MAY-23
"A0E 0A3","English Harbour East","D","NL","Newfoundland",25-MAY-23
"A0E 0A4","Garnish","D","NL","Newfoundland",25-MAY-23
"A0E 0A5","Lamaline","D","NL","Newfoundland",25-MAY-23
"A0E 0A6","Marystown","D","NL","Newfoundland",25-MAY-23
"A0E 0A7","Swift Current","D","NL","Newfoundland",25-MAY-23
"A0E 0A8","Grand Bank","D","NL","Newfoundland",25-MAY-23
"A0E 0A9","Hillview","D","NL","Newfoundland",25-MAY-23
"A0E 0B1","Lawn","D","NL","Newfoundland",25-MAY-23
"A0E 0B2","Red Harbour PB","D","NL","Newfoundland",25-MAY-23
"A0E 0B3","St Bernards-Jacques Fontaine","D","NL","Newfoundland",25-MAY-23
"A0E 0B4","Lewins Cove","D","NL","Newfoundland",25-MAY-23
"A0E 0B5","Monkstown","D","NL","Newfoundland",25-MAY-23
"A0E 0B6","Garden Cove PB","D","NL","Newfoundland",25-MAY-23
"A0E 0B7","Terrenceville","D","NL","Newfoundland",25-MAY-23
"A0E 0B8","Hodges Cove","D","NL","Newfoundland",25-MAY-23
"A0E 0B9","Little Bay East","D","NL","Newfoundland",25-MAY-23
"A0E 0C1","Burin Bay Arm","D","NL","Newfoundland",25-MAY-23
"A0E 0C2","Gooseberry Cove","D","NL","Newfoundland",25-MAY-23
"A0E 0C3","Harbour Mille","D","NL","Newfoundland",25-MAY-23
"A0E 0C4","South East Bight","D","NL","Newfoundland",25-MAY-23
"A0E 0C5","Creston","D","NL","Newfoundland",25-MAY-23
"A0E 0C6","Parkers Cove","D","NL","Newfoundland",25-MAY-23
"A0E 0C7","Fortune","D","NL","Newfoundland",25-MAY-23
"A0E 0C8","Creston North","D","NL","Newfoundland",25-MAY-23
