"BUILDING_ROOM","BUILDING_COMPONENT","FLOOR","SPACE_USAGE","SPACE_UNIT_CODE","HR_ORG_UNIT_ID","ACCESS_LEVEL"
"1-044","1","0","UTILITY/MECH RM","591000","10000853","0"
"1-047","1","0","TEACHING LAB","063000","10000320","2"
"1-047A","1","0","LABORATORY SVC","063000","10000320","2"
"1-047B","1","0","LABORATORY SVC","063000","10000320","2"
"1-050","1","0","LABORATORY SVC","063000","10000320","2"
"1-050AA","1","0","UTILITY/MECH RM","591000","10000853","0"
"1-050T","1","0","TELECOM CLOSET","591000","10000853","0"
"1-053","1","0","TEACHING LAB","063000","10000320","2"
"1-053A","1","0","LABORATORY SVC","063000","10000320","2"
"1-063","1","0","TEACHING LAB","063000","10000320","2"
"1-065","1","0","RESEARCH LAB","063000","10000320","2"
"1-067","1","0","RESEARCH LAB","063000","10000320","2"
"1-068","1","0","LABORATORY SVC","063000","10000320","2"
"1-068A","1","0","LABORATORY SVC","063000","10000320","2"
"1-069J","1","0","CUSTODIAL CLOSET","591000","10000853","1"
"1-070J","1","0","CUSTODIAL CLOSET","591000","10000853","1"
"1-071","1","0","RESEARCH LAB","063000","10000320","2"
"1-071E","1","0","ELECTRIC CLOSET","591000","10000853","0"
"1-074","1","0","UTILITY/MECH RM","591000","10000853","0"
"1-078","1","0","LABORATORY SVC","063000","10000320","2"
"1-080","1","0","LABORATORY SVC","063000","10000320","2"
"1-081","1","0","RESEARCH LAB","063000","10000320","2"
"1-081A","1","0","LABORATORY SVC","063000","10000320","2"
"1-081B","1","0","LABORATORY SVC","063000","10000320","2"
"1-081BA","1","0","RESEARCH LAB","063000","10000320","2"
"1-084","1","0","LABORATORY SVC","063000","10000320","2"
"1-084A","1","0","UTILITY/MECH RM","591000","10000853","0"
"1-085","1","0","RESEARCH LAB","063000","10000320","2"
"1-087","1","0","RESEARCH LAB","063000","10000320","2"
"1-090","1","0","LABORATORY SVC","063000","10000320","2"
"1-090A","1","0","LABORATORY SVC","063000","10000320","2"
"1-100CA","1","1","CORRIDOR","591000","10000853","3"
"1-100CB","1","1","CORRIDOR","591000","10000853","3"
"1-100CC","1","1","CORRIDOR","591000","10000853","3"
"1-100LA","1","1","LOBBY","591000","10000853","3"
"1-100LB","1","1","LOBBY","591000","10000853","3"
"1-100LC","1","1","LOBBY","591000","10000853","3"
"1-100SA","1","1","STAIRWAY","591000","10000853","3"
"1-100SB","1","1","STAIRWAY","591000","10000853","3"
"1-100SC","1","1","STAIRWAY","591000","10000853","3"
"1-100Z","1","1","SHAFT SPACE","591000","10000853","0"
"1-101","1","1","MALE LAVATORY","591000","10000853","3"
"1-101J","1","1","CUSTODIAL CLOSET","591000","10000853","1"
"1-101Z","1","1","SHAFT SPACE","591000","10000853","0"
"1-103","1","1","OFFICE SERVICE","065000","10000324","2"
"1-103A","1","1","OFFICE SERVICE","065000","10000324","2"
"1-103B","1","1","OFFICE","065000","10000324","2"
"1-103C","1","1","OFFICE","065000","10000324","2"
"1-103D","1","1","OFFICE","065000","10000324","2"
"1-104","1","1","RECEPTION","065000","10000324","2"
"1-104A","1","1","OFFICE","065000","10000324","2"
"1-104B","1","1","OFFICE","065000","10000324","2"
"1-104C","1","1","OFFICE","065000","10000324","2"
"1-107","1","1","PVT CIRCULATION","065000","10000324","1"
"1-107A","1","1","OFFICE SERVICE","065000","10000324","2"
"1-107B","1","1","OFFICE","065000","10000324","2"
"1-107C","1","1","OFFICE","065000","10000324","1"
"1-107D","1","1","OFFICE","065000","10000324","2"
"1-107F","1","1","OFFICE","065000","10000324","1"
"1-107G","1","1","OFFICE","065000","10000324","2"
"1-107H","1","1","RECEPTION","065000","10000324","2"
"1-107K","1","1","OFFICE","065000","10000324","2"
"1-108E","1","1","ELECTRIC CLOSET","591000","10000853","0"
"1-110","1","1","RECEPTION","065000","10000324","2"
"1-110A","1","1","OFFICE","065000","10000324","2"
"1-110AA","1","1","OFFICE","065000","10000324","2"
"1-112","1","1","OFFICE SERVICE","065000","10000324","2"
"1-112A","1","1","OFFICE","065000","10000324","2"
"1-112B","1","1","RECEPTION","065000","10000324","2"
"1-112C","1","1","RECEPTION","065000","10000324","2"
"1-114","1","1","OFFICE SERVICE","065000","10000324","2"
"1-114A","1","1","OFFICE SERVICE","065000","10000324","2"
"1-115","1","1","CLASSROOM","065000","10000324","2"
"1-115E","1","1","ELECTRIC CLOSET","591000","10000853","0"
"1-123","1","1","RECEPTION","060000","10000284","2"
"1-123A","1","1","OFFICE","060000","10000284","2"
"1-123C","1","1","OFFICE SERVICE","060000","10000284","2"
"1-125","1","1","OFFICE","060000","10000284","2"
"1-131","1","1","CLASSROOM","063000","10000320","2"
"1-132","1","1","CLASSROOM","446700","10000760","2"
"1-132E","1","1","ELECTRIC CLOSET","591000","10000853","0"
"1-134","1","1","CLASSROOM","446700","10000760","2"
"1-134E","1","1","ELECTRIC CLOSET","591000","10000853","0"
"1-135","1","1","CLASSROOM","446700","10000760","2"
"1-136","1","1","CLASSROOM","446700","10000760","2"
"1-137E","1","1","ELECTRIC CLOSET","591000","10000853","0"
"1-138","1","1","OFFICE","063000","10000320","2"
"1-139A","1","1","OFFICE","063000","10000320","2"
"1-139B","1","1","OFFICE","063000","10000320","2"
"1-141","1","1","CLASSROOM","063000","10000320","1"
"1-142","1","1","RESEARCH LAB","401800","10000603","2"
"1-142T","1","1","TELECOM CLOSET","591000","10000853","0"
"1-143","1","1","CLASSROOM SVC","063000","10000320","2"
"1-143A","1","1","CLASSROOM","063000","10000320","2"
"1-143B","1","1","OFFICE SERVICE","063000","10000320","2"
"1-150","1","1","CLASSROOM","446700","10000760","2"
"1-150A","1","1","CLASSROOM SVC","446700","10000760","2"
"1-150AA","1","1","UTILITY/MECH RM","591000","10000853","0"
"1-150AB","1","1","CUSTODIAL STORAGE","591000","10000853","1"
"1-151","1","1","OFFICE","063000","10000320","2"
"1-151A","1","1","OFFICE SERVICE","063000","10000320","2"
"1-153","1","1","OFFICE SERVICE","063000","10000320","2"
"1-153B","1","1","OFFICE","063000","10000320","2"
"1-163","1","1","OFFICE SERVICE","063000","10000320","2"
"1-163A","1","1","OFFICE","063000","10000320","2"
"1-163B","1","1","OFFICE SERVICE","063000","10000320","2"
"1-163C","1","1","OFFICE SERVICE","063000","10000320","2"
"1-165","1","1","OFFICE","063000","10000320","2"
"1-165A","1","1","OFFICE SERVICE","063000","10000320","2"
"1-166E","1","1","ELECTRIC CLOSET","591000","10000853","0"
"1-167","1","1","FEMALE LAVATORY","591000","10000853","3"
"1-167J","1","1","CUSTODIAL CLOSET","591000","10000853","1"
"1-167Z","1","1","SHAFT SPACE","591000","10000853","0"
"1-170","1","1","OFFICE","063000","10000320","2"
"1-171","1","1","OFFICE","063000","10000320","2"
"1-171E","1","1","ELECTRIC CLOSET","591000","10000853","0"
"1-172","1","1","OFFICE","063000","10000320","2"
"1-173","1","1","OFFICE","063000","10000320","2"
"1-174","1","1","OFFICE","063000","10000320","2"
"1-175","1","1","OFFICE","063000","10000320","2"
"1-175A","1","1","OFFICE","063000","10000320","2"
"1-176","1","1","OFFICE","063000","10000320","2"
"1-178","1","1","OFFICE","063000","10000320","2"
"1-179","1","1","OFFICE","063000","10000320","2"
"1-179A","1","1","OFFICE","063000","10000320","2"
"1-180","1","1","OFFICE","063000","10000320","2"
"1-181","1","1","OFFICE","063000","10000320","2"
"1-182","1","1","UTILITY/MECH RM","591000","10000853","1"
"1-190","1","1","LECTURE HALL","446700","10000760","2"
"1-190A","1","1","UTILITY/MECH RM","591000","10000853","1"
"1-190B","1","1","UTILITY/MECH RM","591000","10000853","1"
"1-190C","1","1","UTILITY/MECH RM","591000","10000853","1"
"1-190D","1","1","UTILITY/MECH RM","591000","10000853","1"
"1-190E","1","1","ELECTRIC CLOSET","591000","10000853","1"
"1-200CA","1","2","CORRIDOR","591000","10000853","3"
"1-200CB","1","2","CORRIDOR","591000","10000853","3"
"1-200CC","1","2","CORRIDOR","591000","10000853","3"
"1-200SA","1","2","STAIRWAY","591000","10000853","3"
"1-200SB","1","2","STAIRWAY","591000","10000853","3"
"1-200SC","1","2","STAIRWAY","591000","10000853","3"
"1-200Z","1","2","SHAFT SPACE","591000","10000853","0"
"1-201","1","2","MALE LAVATORY","591000","10000853","3"
"1-201J","1","2","CUSTODIAL CLOSET","591000","10000853","1"
"1-201Z","1","2","SHAFT SPACE","591000","10000853","0"
"1-203","1","2","RECEPTION","060000","10000284","2"
"1-203A","1","2","OFFICE","060000","10000284","2"
"1-203B","1","2","OFFICE","060000","10000284","2"
"1-203C","1","2","OFFICE SERVICE","060000","10000284","2"
"1-206","1","2","OFFICE SERVICE","060000","10000284","2"
"1-206A","1","2","OFFICE","060000","10000284","2"
"1-206B","1","2","OFFICE SERVICE","060000","10000284","2"
"1-206C","1","2","OFFICE SERVICE","060000","10000284","2"
"1-206D","1","2","OFFICE","060000","10000284","2"
"1-206F","1","2","CONFERENCE ROOM","060000","10000284","1"
"1-206G","1","2","OFFICE","060000","10000284","1"
"1-206H","1","2","RECEPTION","060000","10000284","1"
"1-206K","1","2","RECEPTION","060000","10000284","1"
"1-206L","1","2","OFFICE SERVICE","060000","10000284","1"
"1-207","1","2","OFFICE SERVICE","060000","10000284","2"
"1-207A","1","2","OFFICE","060000","10000284","2"
"1-207B","1","2","OFFICE","060000","10000284","2"
"1-207C","1","2","OFFICE SERVICE","060000","10000284","2"
"1-207D","1","2","RECEPTION","060000","10000284","2"
"1-208E","1","2","ELECTRIC CLOSET","591000","10000853","0"
"1-211","1","2","RECEPTION","060000","10000284","2"
"1-211A","1","2","OFFICE","060000","10000284","2"
"1-211B","1","2","OFFICE","060000","10000284","2"
"1-213T","1","2","TELECOM CLOSET","591000","10000853","0"
"1-214","1","2","CONFERENCE ROOM","060000","10000284","2"
"1-215","1","2","CONFERENCE ROOM","063000","10000320","2"
"1-215B","1","2","UTILITY/MECH RM","591000","10000853","0"
"1-225","1","2","RSCH LAB-OFFICE","065000","10000324","2"
"1-225A","1","2","RESEARCH LAB","065000","10000324","2"
"1-228T","1","2","TELECOM CLOSET","591000","10000853","0"
"1-229","1","2","OFFICE SERVICE","060000","10000284","2"
"1-229A","1","2","OFFICE","060000","10000284","2"
"1-229B","1","2","OFFICE","060000","10000284","2"
"1-230","1","2","OFFICE","060000","10000284","2"
"1-232","1","2","OFFICE","063000","10000320","2"
"1-235","1","2","OFFICE SERVICE","063000","10000320","2"
"1-235C","1","2","OFFICE","063000","10000320","2"
"1-235D","1","2","OFFICE","063000","10000320","2"
"1-235F","1","2","OFFICE","063000","10000320","2"
"1-235G","1","2","OFFICE","063000","10000320","2"
"1-235H","1","2","OFFICE SERVICE","063000","10000320","2"
"1-235HA","1","2","OFFICE SERVICE","063000","10000320","2"
"1-235K","1","2","OFFICE","063000","10000320","2"
"1-235L","1","2","OFFICE SERVICE","063000","10000320","2"
"1-235P","1","2","OFFICE","063000","10000320","2"
"1-236","1","2","CONFERENCE ROOM","063000","10000320","2"
"1-236B","1","2","OFFICE SERVICE","063000","10000320","2"
"1-237E","1","2","ELECTRIC CLOSET","591000","10000853","0"
"1-238","1","2","OFFICE","063000","10000320","2"
"1-238A","1","2","OFFICE SERVICE","063000","10000320","2"
"1-239","1","2","RECEPTION","063000","10000320","2"
"1-239A","1","2","OFFICE","063000","10000320","2"
"1-240","1","2","RECEPTION","063000","10000320","2"
"1-240A","1","2","OFFICE","063000","10000320","2"
"1-241","1","2","OFFICE","063000","10000320","2"
"1-242","1","2","CLASSROOM","446700","10000760","2"
"1-242A","1","2","CLASSROOM SVC","446700","10000760","2"
"1-242B","1","2","CLASSROOM SVC","446700","10000760","2"
"1-242C","1","2","CLASSROOM SVC","446700","10000760","2"
"1-245","1","2","OFFICE","063000","10000320","2"
"1-246","1","2","CLASSROOM","446700","10000760","2"
"1-246E","1","2","ELECTRIC CLOSET","591000","10000853","0"
"1-249","1","2","OFFICE","063000","10000320","2"
"1-250","1","2","OFFICE","063000","10000320","2"
"1-250AA","1","2","UTILITY/MECH RM","591000","10000853","0"
"1-251","1","2","OFFICE SERVICE","063000","10000320","2"
"1-252","1","2","OFFICE SERVICE","063000","10000320","2"
"1-252T","1","2","TELECOM CLOSET","591000","10000853","0"
"1-253","1","2","OFFICE SERVICE","063000","10000320","2"
"1-253B","1","2","OFFICE","063000","10000320","2"
"1-253C","1","2","OFFICE","063000","10000320","2"
"1-253D","1","2","OFFICE SERVICE","063000","10000320","2"
"1-253F","1","2","OFFICE SERVICE","063000","10000320","2"
"1-263","1","2","OFFICE","063000","10000320","2"
"1-265","1","2","FEMALE LAVATORY","591000","10000853","3"
"1-267","1","2","MALE LAVATORY","591000","10000853","3"
"1-267J","1","2","CUSTODIAL CLOSET","591000","10000853","1"
"1-267Z","1","2","SHAFT SPACE","591000","10000853","0"
"1-270","1","2","OFFICE","063000","10000320","2"
"1-271","1","2","OFFICE","063000","10000320","2"
"1-271E","1","2","ELECTRIC CLOSET","591000","10000853","0"
"1-272","1","2","OFFICE","063000","10000320","2"
"1-273","1","2","CLASSROOM","446700","10000760","2"
"1-274","1","2","OFFICE","063000","10000320","2"
"1-276","1","2","OFFICE","063000","10000320","2"
"1-277","1","2","CLASSROOM","446700","10000760","2"
"1-278","1","2","OFFICE","063000","10000320","2"
"1-280","1","2","OFFICE","063000","10000320","2"
"1-281","1","2","OFFICE","063000","10000320","2"
"1-282","1","2","OFFICE","063000","10000320","2"
"1-284","1","2","OFFICE","063000","10000320","2"
"1-290","1","2","OFFICE SERVICE","063000","10000320","2"
"1-290A","1","2","OFFICE SERVICE","063000","10000320","2"
"1-290B","1","2","OFFICE","063000","10000320","2"
"1-290C","1","2","OFFICE SERVICE","063000","10000320","2"
"1-290D","1","2","OFFICE","063000","10000320","2"
"1-290F","1","2","OFFICE","063000","10000320","2"
"1-290G","1","2","OFFICE SERVICE","063000","10000320","2"
"1-290H","1","2","RECEPTION","063000","10000320","2"
"1-290K","1","2","RECEPTION","063000","10000320","2"
"1-290L","1","2","OFFICE SERVICE","063000","10000320","2"
"1-290N","1","2","OFFICE","063000","10000320","2"
"1-300CA","1","3","CORRIDOR","591000","10000853","3"
"1-300CB","1","3","CORRIDOR","591000","10000853","3"
"1-300CC","1","3","CORRIDOR","591000","10000853","3"
"1-300SA","1","3","STAIRWAY","591000","10000853","3"
"1-300SB","1","3","STAIRWAY","591000","10000853","3"
"1-300SC","1","3","STAIRWAY","591000","10000853","3"
"1-300SD","1","3","CLASSROOM SVC","446700","10000760","2"
"1-300Z","1","3","SHAFT SPACE","591000","10000853","0"
"1-301","1","3","FEMALE LAVATORY","591000","10000853","3"
"1-301J","1","3","CUSTODIAL CLOSET","591000","10000853","1"
"1-301Z","1","3","SHAFT SPACE","591000","10000853","0"
"1-303A","1","3","LAB SUPPORT SHOP","065000","10000324","2"
"1-304","1","3","RECEPTION","065000","10000324","2"
"1-304A","1","3","OFFICE","065000","10000324","2"
"1-304C","1","3","OFFICE","065000","10000324","2"
"1-304D","1","3","OFFICE","065000","10000324","2"
"1-307","1","3","TEACHING LAB","065000","10000324","2"
"1-308","1","3","OFFICE","065000","10000324","2"
"1-308E","1","3","ELECTRIC CLOSET","591000","10000853","0"
"1-310","1","3","RECEPTION","065000","10000324","2"
"1-310A","1","3","OFFICE","065000","10000324","2"
"1-310B","1","3","OFFICE","065000","10000324","2"
"1-310C","1","3","OFFICE","065000","10000324","2"
"1-313","1","3","LAB SUPPORT SHOP","065000","10000324","2"
"1-313A","1","3","RSCH LAB-OFFICE","065000","10000324","2"
"1-313E","1","3","ELECTRIC CLOSET","591000","10000853","0"
"1-314","1","3","RSCH LAB-OFFICE","065000","10000324","2"
"1-314A","1","3","LABORATORY SVC","065000","10000324","2"
"1-321","1","3","OFFICE SERVICE","065000","10000324","2"
"1-321A","1","3","OFFICE","065000","10000324","2"
"1-321B","1","3","OFFICE","065000","10000324","2"
"1-321C","1","3","OFFICE","065000","10000324","2"
"1-321D","1","3","OFFICE","065000","10000324","2"
"1-321F","1","3","OFFICE","065000","10000324","2"
"1-321G","1","3","OFFICE","065000","10000324","2"
"1-321H","1","3","OFFICE","065000","10000324","2"
"1-321K","1","3","OFFICE","065000","10000324","2"
"1-321L","1","3","OFFICE","065000","10000324","2"
"1-321N","1","3","OFFICE","065000","10000324","2"
"1-321P","1","3","OFFICE","065000","10000324","2"
"1-321Q","1","3","OFFICE","065000","10000324","2"
"1-321R","1","3","OFFICE","065000","10000324","2"
"1-321S","1","3","OFFICE","065000","10000324","2"
"1-321U","1","3","OFFICE","065000","10000324","2"
"1-321V","1","3","OFFICE SERVICE","065000","10000324","2"
"1-321W","1","3","OFFICE","065000","10000324","2"
"1-321X","1","3","OFFICE","065000","10000324","2"
"1-321Y","1","3","OFFICE","065000","10000324","2"
"1-330","1","3","OFFICE","063000","10000320","2"
"1-331","1","3","OFFICE","063000","10000320","2"
"1-333","1","3","LABORATORY SVC","063000","10000320","2"
"1-333A","1","3","RESEARCH LAB","063000","10000320","2"
"1-334","1","3","RESEARCH LAB","063000","10000320","2"
"1-334A","1","3","RESEARCH LAB","063000","10000320","2"
"1-334AB","1","3","RESEARCH LAB","063000","10000320","2"
"1-335","1","3","RESEARCH LAB","063000","10000320","2"
"1-335A","1","3","RESEARCH LAB","063000","10000320","2"
"1-336","1","3","LABORATORY SVC","063000","10000320","2"
"1-336A","1","3","RESEARCH LAB","063000","10000320","2"
"1-336B","1","3","LABORATORY SVC","063000","10000320","2"
"1-337","1","3","RESEARCH LAB","063000","10000320","2"
"1-337A","1","3","LABORATORY SVC","063000","10000320","2"
"1-337B","1","3","RESEARCH LAB","063000","10000320","2"
"1-337C","1","3","RESEARCH LAB","063000","10000320","2"
"1-337E","1","3","ELECTRIC CLOSET","591000","10000853","0"
"1-339","1","3","LABORATORY SVC","063000","10000320","2"
"1-340","1","3","RESEARCH LAB","063000","10000320","2"
"1-340A","1","3","LABORATORY SVC","063000","10000320","2"
"1-340B","1","3","RESEARCH LAB","063000","10000320","2"
"1-342","1","3","RECEPTION","063000","10000320","2"
"1-342A","1","3","OFFICE SERVICE","063000","10000320","2"
"1-342B","1","3","OFFICE","063000","10000320","2"
"1-342C","1","3","OFFICE SERVICE","063000","10000320","2"
"1-343","1","3","PVT CIRCULATION","063000","10000320","2"
"1-343A","1","3","OFFICE","063000","10000320","2"
"1-343B","1","3","OFFICE","063000","10000320","2"
"1-343C","1","3","OFFICE","063000","10000320","2"
"1-345","1","3","OFFICE SERVICE","063000","10000320","2"
"1-346","1","3","OFFICE","063000","10000320","2"
"1-347","1","3","PVT CIRCULATION","063000","10000320","2"
"1-347A","1","3","RSCH LAB-OFFICE","063000","10000320","2"
"1-347B","1","3","RESEARCH LAB","063000","10000320","2"
"1-348","1","3","RECEPTION","063000","10000320","2"
"1-348A","1","3","OFFICE","063000","10000320","2"
"1-350","1","3","OFFICE","063000","10000320","2"
"1-350AA","1","3","UTILITY/MECH RM","591000","10000853","0"
"1-350T","1","3","TELECOM CLOSET","591000","10000853","0"
"1-351","1","3","RESEARCH LAB","063000","10000320","2"
"1-353","1","3","RECEPTION","063000","10000320","2"
"1-353A","1","3","OFFICE","063000","10000320","2"
"1-353B","1","3","OFFICE SERVICE","063000","10000320","2"
"1-363","1","3","OFFICE SERVICE","063000","10000320","2"
"1-363A","1","3","OFFICE","063000","10000320","2"
"1-363B","1","3","OFFICE","063000","10000320","2"
"1-363C","1","3","CONFERENCE ROOM","063000","10000320","2"
"1-367","1","3","MALE LAVATORY","591000","10000853","3"
"1-367J","1","3","CUSTODIAL CLOSET","591000","10000853","1"
"1-367Z","1","3","SHAFT SPACE","591000","10000853","0"
"1-370","1","3","OFFICE","063000","10000320","2"
"1-370A","1","3","OFFICE SERVICE","063000","10000320","2"
"1-371","1","3","CLASSROOM","446700","10000760","2"
"1-371E","1","3","ELECTRIC CLOSET","591000","10000853","0"
"1-372","1","3","OFFICE","063000","10000320","2"
"1-374","1","3","OFFICE","063000","10000320","2"
"1-375","1","3","CLASSROOM","446700","10000760","2"
"1-376","1","3","OFFICE","063000","10000320","2"
"1-377E","1","3","ELECTRIC CLOSET","591000","10000853","0"
"1-378","1","3","OFFICE","063000","10000320","2"
"1-379","1","3","CLASSROOM","446700","10000760","2"
"1-380","1","3","OFFICE","063000","10000320","2"
"1-382","1","3","OFFICE","063000","10000320","2"
"1-383","1","3","OFFICE","063000","10000320","2"
"1-384","1","3","LOUNGE","591040","10002459","2"
"1-385","1","3","UTILITY/MECH RM","591000","10000853","0"
"1-386","1","3","CLASSROOM SVC","446700","10000760","2"
"1-387","1","3","CUSTODIAL STORAGE","591000","10000853","1"
"1-389","1","3","CLASSROOM SVC","446700","10000760","2"
"1-390","1","3","LECTURE HALL","446700","10000760","2"
"1-390A","1","3","CLASSROOM SVC","446700","10000760","2"
"1-490","1","4","UTILITY/MECH RM","591000","10000853","0"
"10-000CA","10","0","CORRIDOR","591000","10000853","3"
"10-000CB","10","0","CORRIDOR","591000","10000853","3"
"10-000E1","10","0","ELEVATOR","591000","10000853","3"
"10-000E2","10","0","ELEVATOR","591000","10000853","3"
"10-000LA","10","0","LOBBY","591000","10000853","3"
"10-000SA","10","0","STAIRWAY","591000","10000853","3"
"10-000SB","10","0","STAIRWAY","591000","10000853","3"
"10-000SE","10","0","STAIRWAY","591000","10000853","3"
"10-000Z","10","0","SHAFT SPACE","591000","10000853","0"
"10-002","10","0","UTILITY/MECH RM","591000","10000853","0"
"10-003","10","0","OFFICE SERVICE","065000","10000324","2"
"10-003A","10","0","STORAGE FACILITY","065000","10000324","2"
"10-006","10","0","UTILITY/MECH RM","591000","10000853","0"
"10-006E","10","0","ELECTRIC CLOSET","591000","10000853","0"
"10-022","10","0","LABORATORY SVC","267000","10000578","2"
"10-023","10","0","CUSTODIAL STORAGE","591000","10000853","1"
"10-023A","10","0","CUSTODIAL STORAGE","591000","10000853","1"
"10-023B","10","0","CUSTODIAL STORAGE","591000","10000853","1"
"10-024","10","0","OFFICE","267000","10000578","2"
"10-025","10","0","OFFICE SERVICE","267000","10000578","2"
"10-026","10","0","OFFICE","267000","10000578","2"
"10-028","10","0","OFFICE","267000","10000578","2"
"10-030","10","0","OFFICE","267000","10000578","2"
"10-032","10","0","OFFICE","267000","10000578","2"
"10-034","10","0","OFFICE","267000","10000578","2"
"10-038","10","0","OFFICE","267000","10000578","2"
"10-039","10","0","OFFICE","267000","10000578","2"
"10-044AE","10","0","ELECTRIC CLOSET","591000","10000853","0"
"10-044E","10","0","ELECTRIC CLOSET","591000","10000853","0"
"10-046","10","0","RESEARCH LAB","267000","10000578","2"
"10-047","10","0","ACTIVE TRANSPO STOR","267000","10000578","2"
"10-047A","10","0","UTILITY/MECH RM","591000","10000853","2"
"10-047B","10","0","ACTIVE TRANSPO STOR","267000","10000578","2"
"10-050","10","0","RESEARCH LAB","267000","10000578","2"
"10-050E","10","0","ELECTRIC CLOSET","591000","10000853","0"
"10-059","10","0","OFFICE","267000","10000578","2"
"10-061","10","0","OFFICE SERVICE","267000","10000578","2"
"10-061A","10","0","OFFICE","267000","10000578","2"
"10-061AA","10","0","OFFICE","267000","10000578","2"
"10-061AB","10","0","OFFICE","267000","10000578","2"
"10-061AC","10","0","OFFICE SERVICE","267000","10000578","2"
"10-061AD","10","0","OFFICE","267000","10000578","2"
"10-061AF","10","0","OFFICE","267000","10000578","2"
"10-061AG","10","0","OFFICE","267000","10000578","2"
"10-061AH","10","0","OFFICE","267000","10000578","2"
"10-061AY","10","0","UTILITY/MECH RM","591000","10000853","0"
"10-061B","10","0","OFFICE","267000","10000578","2"
"10-061BA","10","0","OFFICE","267000","10000578","2"
"10-061BB","10","0","OFFICE","267000","10000578","2"
"10-061BC","10","0","OFFICE","267000","10000578","2"
"10-061BD","10","0","OFFICE","267000","10000578","2"
"10-061BF","10","0","OFFICE","267000","10000578","2"
"10-061BG","10","0","OFFICE SERVICE","267000","10000578","2"
"10-061BH","10","0","OFFICE","267000","10000578","2"
"10-061BK","10","0","OFFICE","267000","10000578","2"
"10-061C","10","0","OFFICE","267000","10000578","2"
"10-061D","10","0","OFFICE","267000","10000578","2"
"10-061E","10","0","ELECTRIC CLOSET","591000","10000853","0"
"10-061F","10","0","OFFICE","267000","10000578","2"
"10-061G","10","0","OFFICE","267000","10000578","2"
"10-061H","10","0","OFFICE","267000","10000578","2"
"10-061K","10","0","OFFICE","267000","10000578","2"
"10-061L","10","0","OFFICE","267000","10000578","2"
"10-061N","10","0","OFFICE","267000","10000578","2"
"10-061P","10","0","OFFICE","267000","10000578","2"
"10-063","10","0","OFFICE SERVICE","320000","10000582","2"
"10-063A","10","0","OFFICE SERVICE","320000","10000582","2"
"10-063B","10","0","OFFICE SERVICE","320000","10000582","2"
"10-063C","10","0","OFFICE SERVICE","320000","10000582","2"
"10-063D","10","0","STUDY ROOM","320000","10000582","2"
"10-063DA","10","0","OFFICE SERVICE","320000","10000582","2"
"10-063F","10","0","STUDY ROOM","320000","10000582","2"
"10-063G","10","0","STUDY ROOM","320000","10000582","2"
"10-067","10","0","SHOP SERVICE","267000","10000578","2"
