"SIS_ADMIN_DEPARTMENT_CODE","SIS_ADMIN_DEPARTMENT_NAME","DEPARTMENT_PHONE_AREA_CODE","DEPARTMENT_PHONE_NUMBER","CLEARING_COST_COLLECTOR","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"ARC","Academic Resource Center","","","",25-AUG-98,28-OCT-24
"ESD","Engineering Systems Division","","","1554900",01-OCT-99,28-OCT-24
"CMS","Comparative Media Studies","","","1326500",04-FEB-00,28-OCT-24
"IS","Information Systems","","2537548","",23-JUN-22,28-OCT-24
"BE","Biological Engineering Div.","","2535804","1329500",26-SEP-02,28-OCT-24
"BEH","Bioeng. & Environmental Hlth.","","2535804","1329500",26-SEP-02,28-OCT-24
"ASA","Assoc. of Student Activies","","","",23-MAY-03,28-OCT-24
"CDO","Computation for Des & Optimiz","","","1134356",18-SEP-05,28-OCT-24
"UAAP","Undergrad Adv & Acad Prog","","","",05-NOV-07,28-OCT-24
"ODGE","Dean for Graduate Education","","2534860","1646800",22-JUL-08,28-OCT-24
"15F2","Master of Finance","","2535617","3894201",19-JUN-09,28-OCT-24
"ENE","Energy Initiative","","2538995","",25-AUG-09,28-OCT-24
"AMPS","Academic Media Production Serv","","","",13-APR-10,28-OCT-24
"PEP","Professional Education Program","","","1323600",21-SEP-10,28-OCT-24
"RES","Residence Life - ILG","","","",15-APR-09,28-OCT-24
"15F","Master of Finance","","2535617","3894201",12-JUN-09,28-OCT-24
"15S","Management Studies","","2535617","3894202",12-JUN-09,28-OCT-24
"DDS","DUE Desktop Support","","","",06-APR-10,28-OCT-24
"CAC","Campus Activities Complex","","","",13-APR-10,28-OCT-24
"OEIT","Office Educational Innovation","","","",17-DEC-08,28-OCT-24
"DISC","Disciplinary Office","","2537848","",28-AUG-08,28-OCT-24
"FAC","Department of Facilities","","","",13-APR-10,28-OCT-24
"15E","Executive MBA","","2536011","3933000",06-OCT-10,28-OCT-24
"15E2","Executive MBA","","2536011","3933000",06-OCT-10,28-OCT-24
"SKOL","MIT Skoltech Initiative","","3249718","",25-FEB-13,28-OCT-24
"21G","Global Languages","","","",23-MAY-20,28-OCT-24
"SCM","Supply Chain Management","","3246564","1590000",10-JUL-15,28-OCT-24
"IDS","Inst for Data, Syst, & Soc","","","1554900",13-JAN-16,28-OCT-24
"CSE","Computational Sci and Eng","","","",30-JUL-20,28-OCT-24
"15N","Master of Business Analytics","","","3894203",31-MAR-16,28-OCT-24
"INN","Innovation Initiative","","7152331","",04-MAY-16,28-OCT-24
"ESI","Environmental Sol Initiative","","2538995","",02-FEB-18,28-OCT-24
"SAP","School of Arch and Planning","","","1574836",18-SEP-18,28-OCT-24
"21T","Theater Arts","","","",10-JAN-24,28-OCT-24
"15V","Sloan Visiting Fellows","","","3933000",01-AUG-14,28-OCT-24
"15L","Leaders for Global Operations","","","3890900",01-AUG-14,28-OCT-24
"15D","Sloan Doctoral Program","","","1504012",22-SEP-14,28-OCT-24
"EM","Engineering Management","","","2737363",29-JUL-15,28-OCT-24
"ASC","Atlas Service Center","","","",12-MAY-17,28-OCT-24
"SA&P","School of Architecture & Plann","","","1574836",14-SEP-18,28-OCT-24
"ADM","Admissions Office","","2534791","",12-AUG-96,28-OCT-24
"BUR","Student Financial Services","","2588600","1133500",15-OCT-98,28-OCT-24
"CP","Campus Police","","2532996","",12-AUG-96,28-OCT-24
"DIN","Dining Office","","2532815","",12-AUG-96,28-OCT-24
"GSO","Office of Graduate Education","","2534860","1646800",12-AUG-96,28-OCT-24
"HASS","HASS Information Office","","","",05-NOV-91,28-OCT-24
"HLTH","Health Plans","","2531616","",05-AUG-03,28-OCT-24
"ISO","International Student Office","","","",12-NOV-91,28-OCT-24
"LIB","Library","","2535671","",05-NOV-96,28-OCT-24
"OHOU","Off Campus Housing Office","","","",05-NOV-91,28-OCT-24
"OME","Office of Minority Education","","","",05-NOV-91,28-OCT-24
"PYED","Physical Education","","2534291","",23-OCT-09,28-OCT-24
"RA","Residence Activities","","","",05-NOV-91,28-OCT-24
"REG","Registrar's Office","","2586409","",21-JUL-06,28-OCT-24
"SAS","Student Assistance Services","","","",05-NOV-91,28-OCT-24
"SFAO","Student Financial Records","","2534971","1130000",15-OCT-98,28-OCT-24
"SYS","System Generated","","","",05-NOV-91,28-OCT-24
"UASO","Undergraduate Academic Support","","","",05-NOV-91,28-OCT-24
"UEO","Undergraduate Education Office","","","",05-NOV-91,28-OCT-24
"WRIT","Writing Requirement Office","","","",05-NOV-91,28-OCT-24
"HIS","Health Information System","","","",08-NOV-91,28-OCT-24
"SCHD","Schedules Office","","","",08-JAN-93,28-OCT-24
"UROP","Undergraduate Research Opp Prg","","","",06-JAN-93,28-OCT-24
"UAAO","Undergraduate Acad Affairs","","","",28-SEP-93,28-OCT-24
"DIR","Directory Information","","","",08-JUN-93,28-OCT-24
"AERO","Aeronautics & Astronautics","","","",12-AUG-96,28-OCT-24
"ANTH","Anthroplogy/Archaeology","","","",03-NOV-92,28-OCT-24
"ARCH","Architecture","","","",03-NOV-92,28-OCT-24
"AS","Air Science","","","",03-NOV-92,28-OCT-24
"BCS","Brain & Cognitive Sciences","","","",03-NOV-92,28-OCT-24
"BIOL","Biology","","","",03-NOV-92,28-OCT-24
"CEE","Civil & Environmental Eng.","","","",03-NOV-92,28-OCT-24
"CHEM","Chemistry","","","",03-NOV-92,28-OCT-24
"CHME","Chemical Engineering","","","",03-NOV-92,28-OCT-24
"CONC","Concourse Program","","2533200","",12-AUG-96,28-OCT-24
"EAPS","Earth, Atmospheric & Planetary","","","",03-NOV-92,28-OCT-24
"ECON","Economics","","","",03-NOV-92,28-OCT-24
"EECS","Electrical Eng. & Computer Sci","","","1463500",18-MAR-97,28-OCT-24
"ESG","Experimental Study Group","","","",03-NOV-92,28-OCT-24
"FLL","Foreign Languages & Literature","","","",03-NOV-92,28-OCT-24
"HIST","History","","","",03-NOV-92,28-OCT-24
"HST","Health Sciences & Technology","","2531445","1328200",25-AUG-98,28-OCT-24
"ISP","Integrated Studies Program","","","",03-NOV-92,28-OCT-24
"LIT","Literature","","","",03-NOV-92,28-OCT-24
"LSP","Linguistics & Philosophy","","","",03-NOV-92,28-OCT-24
"MAS","Media Arts & Sciences","","2535114","1329000",05-OCT-00,28-OCT-24
"MATH","Mathematics","","","",03-NOV-92,28-OCT-24
"MGT","Sloan School of Management","","","",03-NOV-92,28-OCT-24
"MS","Military Science","","","",03-NOV-92,28-OCT-24
"MSE","Materials Science & Eng.","","","",03-NOV-92,28-OCT-24
"ME","Mechanical Engineering","","","",03-NOV-92,28-OCT-24
"MSTA","Music & Theatre Arts","","","",03-NOV-92,28-OCT-24
"NS","Naval Science","","","",03-NOV-92,28-OCT-24
"NUCE","Nuclear Engineering","","","",03-NOV-92,28-OCT-24
"OE","Ocean Engineering","","","",03-NOV-92,28-OCT-24
"PABS","Program in Applied Biological","","","",03-NOV-92,28-OCT-24
"PSCI","Political Science","","","",03-NOV-92,28-OCT-24
"STS","Science,Technology & Society","","2534085","1329900",20-JAN-99,28-OCT-24
"SWE","School Wide Electives","","","",03-NOV-92,28-OCT-24
"TPP","Technology & Policy","","2537693","1554900",12-AUG-96,28-OCT-24
"USP","Urban Studies & Planning","","2534409","",17-OCT-96,28-OCT-24
"WRO","Writing Requirement Office","","","",03-NOV-92,28-OCT-24
"WS","Women's Studies","","","",04-NOV-92,28-OCT-24
"HFS","Housing and Food Services","","2580327","",13-JUL-12,28-OCT-24
"PHY","Physics","","","",08-DEC-93,28-OCT-24
"21W","Writing & Humanistic Studies","","2534741","1329600",03-SEP-02,28-OCT-24
"OR","Operations Research","","2533603","1326300",12-AUG-96,28-OCT-24
"TOX","Division of Toxicology","","2535804","1329500",12-AUG-96,28-OCT-24
"CAES","Ctr Advanced Educational Srvcs","","2535543","1323600",04-FEB-97,28-OCT-24
"LFM","Leaders for Manufacturing","","2530846","1329800",12-AUG-96,28-OCT-24
"RED","Ctr Real Estate Development","","","",11-OCT-94,28-OCT-24
"CTS","Ctr for Transportation Studies","","","",12-OCT-94,28-OCT-24
"MSB","Medical Services Billing","","2534303","",17-OCT-96,28-OCT-24
"TCC","Tech Catholic Community","","","",17-DEC-93,28-OCT-24
"LEM","Lutheran Episcopal Ministry","","","",17-DEC-93,28-OCT-24
"HIL","Hillel","","","",17-DEC-93,28-OCT-24
"BAP","Baptist Ministry","","","",17-DEC-93,28-OCT-24
"ATH","Athletic Department","","2586199","",12-AUG-96,28-OCT-24
"BEN","Benefits Office","","2536109","",12-AUG-96,28-OCT-24
"11","Urban Studies and Planning","","2534409","1322700",12-AUG-96,28-OCT-24
"DCM","Div Comparative Medicine","","","",10-MAR-94,28-OCT-24
"6","Electrical Eng & Computer Sci","","2534605","1463500",21-MAR-97,28-OCT-24
"LLAB","Lincoln Lab","","","",10-MAR-94,28-OCT-24
"MOT","Mgmt of Technology","","2533734","",12-AUG-96,28-OCT-24
"MCLB","Microreproduction Lab","","","",10-MAR-94,28-OCT-24
"OLS","Purchasing and Stores","","","",10-MAR-94,28-OCT-24
"15A","Sloan Fellows","","2533734","3914700",01-AUG-14,28-OCT-24
"15M","Sloan School of Management","","2530275","3894200",04-FEB-97,28-OCT-24
"RCA","Undergrad Housing & Campus Act","","","",10-MAR-94,28-OCT-24
"WHOI","Woods Hole","","2537544","1590700",23-AUG-99,28-OCT-24
"SENG","School of Engineering Office","","","",15-MAR-94,28-OCT-24
"CASH","Cashier's Office","","2533340","",12-AUG-96,28-OCT-24
"LBOX","Wachovia Lockbox","","","",10-MAR-94,28-OCT-24
"SSCI","School of Science Office","","","",15-MAR-94,28-OCT-24
"ANA","Athena","","2531101","",27-APR-00,28-OCT-24
"BURA","Loan Services","","2533343","",15-OCT-98,28-OCT-24
"16","Aeronautics and Astronautics","","2532260","1322800",12-AUG-96,28-OCT-24
"7","Biology","","2534738","1324600",12-AUG-96,28-OCT-24
"10","Chemical Engineering","","2534577","1322900",12-AUG-96,28-OCT-24
