"CIP_WITH_VERSION_KEY","VERSION","PROGRAM_CODE","PROGRAM_TITLE","CATEGORY_CODE","CATEGORY_TITLE","FOUR_DIGIT_CODE","FOUR_DIGIT_TITLE","WAREHOUSE_LOAD_DATE"
"1406012000","2000","140601","Ceramic Sciences and Engineering","14","ENGINEERING","1406","Ceramic Sciences and Engineering",27-MAR-03
"1407012000","2000","140701","Chemical Engineering","14","ENGINEERING","1407","Chemical Engineering",27-MAR-03
"1408012000","2000","140801","Civil Engineering, General","14","ENGINEERING","1408","Civil Engineering",27-MAR-03
"1408022000","2000","140802","Geotechnical Engineering","14","ENGINEERING","1408","Civil Engineering",27-MAR-03
"1408032000","2000","140803","Structural Engineering","14","ENGINEERING","1408","Civil Engineering",27-MAR-03
"1408042000","2000","140804","Transportation and Highway Engineering","14","ENGINEERING","1408","Civil Engineering",27-MAR-03
"1408052000","2000","140805","Water Resources Engineering","14","ENGINEERING","1408","Civil Engineering",27-MAR-03
"1408992000","2000","140899","Civil Engineering, Other","14","ENGINEERING","1408","Civil Engineering",27-MAR-03
"1409012000","2000","140901","Computer Engineering, General","14","ENGINEERING","1409","Computer Engineering, General",27-MAR-03
"1409022000","2000","140902","Computer Hardware Engineering","14","ENGINEERING","1409","Computer Engineering, General",27-MAR-03
"1409032000","2000","140903","Computer Software Engineering","14","ENGINEERING","1409","Computer Engineering, General",27-MAR-03
"1409992000","2000","140999","Computer Engineering, Other","14","ENGINEERING","1409","Computer Engineering, General",27-MAR-03
"1410012000","2000","141001","Electrical, Electronics and Communications Engineering","14","ENGINEERING","1410","Electrical, Electronics and Communications Engineering",27-MAR-03
"1411012000","2000","141101","Engineering Mechanics","14","ENGINEERING","1411","Engineering Mechanics",27-MAR-03
"1412012000","2000","141201","Engineering Physics","14","ENGINEERING","1412","Engineering Physics",27-MAR-03
"1413012000","2000","141301","Engineering Science","14","ENGINEERING","1413","Engineering Science",27-MAR-03
"1414012000","2000","141401","Environmental/Environmental Health Engineering","14","ENGINEERING","1414","Environmental/Environmental Health Engineering",27-MAR-03
"1418012000","2000","141801","Materials Engineering","14","ENGINEERING","1418","Materials Engineering",27-MAR-03
"1419012000","2000","141901","Mechanical Engineering","14","ENGINEERING","1419","Mechanical Engineering",27-MAR-03
"1420012000","2000","142001","Metallurgical Engineering","14","ENGINEERING","1420","Metallurgical Engineering",27-MAR-03
"1421012000","2000","142101","Mining and Mineral Engineering","14","ENGINEERING","1421","Mining and Mineral Engineering",27-MAR-03
"1422012000","2000","142201","Naval Architecture and Marine Engineering","14","ENGINEERING","1422","Naval Architecture and Marine Engineering",27-MAR-03
"1423012000","2000","142301","Nuclear Engineering","14","ENGINEERING","1423","Nuclear Engineering",27-MAR-03
"1424012000","2000","142401","Ocean Engineering","14","ENGINEERING","1424","Ocean Engineering",27-MAR-03
"1425012000","2000","142501","Petroleum Engineering","14","ENGINEERING","1425","Petroleum Engineering",27-MAR-03
"1427012000","2000","142701","Systems Engineering","14","ENGINEERING","1427","Systems Engineering",27-MAR-03
"1428012000","2000","142801","Textile Sciences and Engineering","14","ENGINEERING","1428","Textile Sciences and Engineering",27-MAR-03
"1431012000","2000","143101","Materials Science","14","ENGINEERING","1431","Materials Science",27-MAR-03
"1432012000","2000","143201","Polymer/Plastics Engineering","14","ENGINEERING","1432","Polymer/Plastics Engineering",27-MAR-03
"1433012000","2000","143301","Construction Engineering","14","ENGINEERING","1433","Construction Engineering",27-MAR-03
"1434012000","2000","143401","Forest Engineering","14","ENGINEERING","1434","Forest Engineering",27-MAR-03
"1435012000","2000","143501","Industrial Engineering","14","ENGINEERING","1435","Industrial Engineering",27-MAR-03
"1436012000","2000","143601","Manufacturing Engineering","14","ENGINEERING","1436","Manufacturing Engineering",27-MAR-03
"1437012000","2000","143701","Operations Research","14","ENGINEERING","1437","Operations Research",27-MAR-03
"1438012000","2000","143801","Surveying Engineering","14","ENGINEERING","1438","Surveying Engineering",27-MAR-03
"1439012000","2000","143901","Geological/Geophysical Engineering","14","ENGINEERING","1439","Geological/Geophysical Engineering",27-MAR-03
"1499992000","2000","149999","Engineering, Other","14","ENGINEERING","1499","Engineering, Other",27-MAR-03
"1500002000","2000","150000","Engineering Technology, General","15","ENGINEERING TECHNOLOGIES/TECHNICIANS","1500","Engineering Technology, General",27-MAR-03
"1501012000","2000","150101","Architectural Engineering Technology/Technician","15","ENGINEERING TECHNOLOGIES/TECHNICIANS","1501","Architectural Engineering Technologies/Technicians",27-MAR-03
"1502012000","2000","150201","Civil Engineering Technology/Technician","15","ENGINEERING TECHNOLOGIES/TECHNICIANS","1502","Civil Engineering Technologies/Technicians",27-MAR-03
"1205072010","2010","120507","Food Service, Waiter/Waitress, and Dining Room Management/Manager","12","PERSONAL AND CULINARY SERVICES","1205","Culinary Arts and Related Services",17-OCT-10
"1205082010","2010","120508","Institutional Food Workers","12","PERSONAL AND CULINARY SERVICES","1205","Culinary Arts and Related Services",17-OCT-10
"1205092010","2010","120509","Culinary Science/Culinology","12","PERSONAL AND CULINARY SERVICES","1205","Culinary Arts and Related Services",17-OCT-10
"1205102010","2010","120510","Wine Steward/Sommelier","12","PERSONAL AND CULINARY SERVICES","1205","Culinary Arts and Related Services",17-OCT-10
"1205992010","2010","120599","Culinary Arts and Related Services, Other","12","PERSONAL AND CULINARY SERVICES","1205","Culinary Arts and Related Services",17-OCT-10
"1299992010","2010","129999","Personal and Culinary Services, Other","12","PERSONAL AND CULINARY SERVICES","1299","Personal and Culinary Services, Other",17-OCT-10
"1301012010","2010","130101","Education, General","13","EDUCATION","1301","Education, General",17-OCT-10
"1302012010","2010","130201","Bilingual and Multilingual Education","13","EDUCATION","1302","Bilingual, Multilingual, and Multicultural Education",17-OCT-10
"1302022010","2010","130202","Multicultural Education","13","EDUCATION","1302","Bilingual, Multilingual, and Multicultural Education",17-OCT-10
"1302032010","2010","130203","Indian/Native American Education","13","EDUCATION","1302","Bilingual, Multilingual, and Multicultural Education",17-OCT-10
"1302992010","2010","130299","Bilingual, Multilingual, and Multicultural Education, Other","13","EDUCATION","1302","Bilingual, Multilingual, and Multicultural Education",17-OCT-10
"1303012010","2010","130301","Curriculum and Instruction","13","EDUCATION","1303","Curriculum and Instruction",17-OCT-10
"1304012010","2010","130401","Educational Leadership and Administration, General","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304022010","2010","130402","Administration of Special Education","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304032010","2010","130403","Adult and Continuing Education Administration","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304042010","2010","130404","Educational, Instructional, and Curriculum Supervision","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304062010","2010","130406","Higher Education/Higher Education Administration","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304072010","2010","130407","Community College Education","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304082010","2010","130408","Elementary and Middle School Administration/Principalship","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304092010","2010","130409","Secondary School Administration/Principalship","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304102010","2010","130410","Urban Education and Leadership","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304112010","2010","130411","Superintendency and Educational System Administration","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1304992010","2010","130499","Educational Administration and Supervision, Other","13","EDUCATION","1304","Educational Administration and Supervision",17-OCT-10
"1305012010","2010","130501","Educational/Instructional Technology","13","EDUCATION","1305","Educational/Instructional Media Design",17-OCT-10
"1306012010","2010","130601","Educational Evaluation and Research","13","EDUCATION","1306","Educational Assessment, Evaluation, and Research",17-OCT-10
"1306032010","2010","130603","Educational Statistics and Research Methods","13","EDUCATION","1306","Educational Assessment, Evaluation, and Research",17-OCT-10
"1306042010","2010","130604","Educational Assessment, Testing, and Measurement","13","EDUCATION","1306","Educational Assessment, Evaluation, and Research",17-OCT-10
"1306072010","2010","130607","Learning Sciences","13","EDUCATION","1306","Educational Assessment, Evaluation, and Research",17-OCT-10
"1306992010","2010","130699","Educational Assessment, Evaluation, and Research, Other","13","EDUCATION","1306","Educational Assessment, Evaluation, and Research",17-OCT-10
"1307012010","2010","130701","International and Comparative Education","13","EDUCATION","1307","International and Comparative Education",17-OCT-10
"1309012010","2010","130901","Social and Philosophical Foundations of Education","13","EDUCATION","1309","Social and Philosophical Foundations of Education",17-OCT-10
"1310012010","2010","131001","Special Education and Teaching, General","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310032010","2010","131003","Education/Teaching of Individuals with Hearing Impairments Including Deafness","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310042010","2010","131004","Education/Teaching of the Gifted and Talented","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310052010","2010","131005","Education/Teaching of Individuals with Emotional Disturbances","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310062010","2010","131006","Education/Teaching of Individuals with Mental Retardation","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310072010","2010","131007","Education/Teaching of Individuals with Multiple Disabilities","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310082010","2010","131008","Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310092010","2010","131009","Education/Teaching of Individuals with Vision Impairments Including Blindness","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310112010","2010","131011","Education/Teaching of Individuals with Specific Learning Disabilities","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310122010","2010","131012","Education/Teaching of Individuals with Speech or Language Impairments","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310132010","2010","131013","Education/Teaching of Individuals with Autism","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310142010","2010","131014","Education/Teaching of Individuals Who are Developmentally Delayed","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310152010","2010","131015","Education/Teaching of Individuals in Early Childhood Special Education Programs","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310162010","2010","131016","Education/Teaching of Individuals with Traumatic Brain Injuries","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310172010","2010","131017","Education/Teaching of Individuals in Elementary Special Education Programs","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310182010","2010","131018","Education/Teaching of Individuals in Junior High/Middle School Special Education Programs","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310192010","2010","131019","Education/Teaching of Individuals in Secondary Special Education Programs","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1310992010","2010","131099","Special Education and Teaching, Other","13","EDUCATION","1310","Special Education and Teaching",17-OCT-10
"1311012010","2010","131101","Counselor Education/School Counseling and Guidance Services","13","EDUCATION","1311","Student Counseling and Personnel Services",17-OCT-10
"1311022010","2010","131102","College Student Counseling and Personnel Services","13","EDUCATION","1311","Student Counseling and Personnel Services",17-OCT-10
"1311992010","2010","131199","Student Counseling and Personnel Services, Other","13","EDUCATION","1311","Student Counseling and Personnel Services",17-OCT-10
"1312012010","2010","131201","Adult and Continuing Education and Teaching","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312022010","2010","131202","Elementary Education and Teaching","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312032010","2010","131203","Junior High/Intermediate/Middle School Education and Teaching","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312052010","2010","131205","Secondary Education and Teaching","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312062010","2010","131206","Teacher Education, Multiple Levels","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312072010","2010","131207","Montessori Teacher Education","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312082010","2010","131208","Waldorf/Steiner Teacher Education","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312092010","2010","131209","Kindergarten/Preschool Education and Teaching","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312102010","2010","131210","Early Childhood Education and Teaching","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1312992010","2010","131299","Teacher Education and Professional Development, Specific Levels and Methods, Other","13","EDUCATION","1312","Teacher Education and Professional Development, Specific Levels and Methods",17-OCT-10
"1313012010","2010","131301","Agricultural Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313022010","2010","131302","Art Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313032010","2010","131303","Business Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313042010","2010","131304","Driver and Safety Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313052010","2010","131305","English/Language Arts Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313062010","2010","131306","Foreign Language Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313072010","2010","131307","Health Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313082010","2010","131308","Family and Consumer Sciences/Home Economics Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313092010","2010","131309","Technology Teacher Education/Industrial Arts Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313102010","2010","131310","Sales and Marketing Operations/Marketing and Distribution Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"1313112010","2010","131311","Mathematics Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",17-OCT-10
"6005262010","2010","600526","Immunopathology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005272010","2010","600527","Infectious Disease Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005282010","2010","600528","Interventional Cardiology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005292010","2010","600529","Laboratory Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005302010","2010","600530","Maternal and Fetal Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005312010","2010","600531","Medical Biochemical Genetics Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005322010","2010","600532","Medical Microbiology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005332010","2010","600533","Medical Nuclear Physics Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005342010","2010","600534","Medical Oncology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005352010","2010","600535","Medical Toxicology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005362010","2010","600536","Molecular Genetic Pathology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005372010","2010","600537","Musculoskeletal Oncology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005382010","2010","600538","Neonatal-Perinatal Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005392010","2010","600539","Nephrology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005402010","2010","600540","Neurodevelopmental Disabilities Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005412010","2010","600541","Neuromuscular Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005422010","2010","600542","Neuropathology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005432010","2010","600543","Neuroradiology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005442010","2010","600544","Neurotology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005452010","2010","600545","Nuclear Radiology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005462010","2010","600546","Orthopedic Sports Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005472010","2010","600547","Orthopedic Surgery of the Spine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005482010","2010","600548","Pain Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005492010","2010","600549","Pediatric Cardiology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005502010","2010","600550","Pediatric Critical Care Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005512010","2010","600551","Pediatric Dermatology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005522010","2010","600552","Pediatric Emergency Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005532010","2010","600553","Pediatric Endocrinology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005542010","2010","600554","Pediatric Gastroenterology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005552010","2010","600555","Pediatric Hematology-Oncology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005562010","2010","600556","Pediatric Infectious Diseases Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005572010","2010","600557","Pediatric Nephrology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005582010","2010","600558","Pediatric Orthopedics Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005592010","2010","600559","Pediatric Otolaryngology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005602010","2010","600560","Pediatric Pathology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005612010","2010","600561","Pediatric Pulmonology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005622010","2010","600562","Pediatric Radiology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005632010","2010","600563","Pediatric Rehabilitation Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005642010","2010","600564","Pediatric Rheumatology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005652010","2010","600565","Pediatric Surgery Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005662010","2010","600566","Pediatric Transplant Hepatology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005672010","2010","600567","Pediatric Urology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005682010","2010","600568","Physical Medicine and Rehabilitation/Psychiatry Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005692010","2010","600569","Plastic Surgery Within the Head and Neck Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005702010","2010","600570","Psychosomatic Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005712010","2010","600571","Pulmonary Disease Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005722010","2010","600572","Radioisotopic Pathology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005732010","2010","600573","Reproductive Endocrinology/Infertility Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005742010","2010","600574","Rheumatology Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005752010","2010","600575","Sleep Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005762010","2010","600576","Spinal Cord Injury Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005772010","2010","600577","Sports Medicine Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005782010","2010","600578","Surgery of the Hand Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
"6005792010","2010","600579","Surgical Critical Care Residency Program","60","RESIDENCY PROGRAMS","6005","Medical Residency Programs - Subspecialty Certificates",17-OCT-10
