"FCLT_MAJOR_USE_HIST_KEY","FISCAL_PERIOD","FCLT_MAJOR_USE_KEY","MAJOR_USE","DESCRIPTION","ASSIGNABLE","WAREHOUSE_LOAD_DATE"
"104-201610","201610","104","GENERAL","GENERAL USE","1",01-MAY-16
"105-201610","201610","105","HEALTH","HEALTH CARE","1",01-MAY-16
"106-201610","201610","106","LABS","LABORATORIES","1",01-MAY-16
"107-201610","201610","107","MECHANIC","MECHANICAL AREA","0",01-MAY-16
"108-201610","201610","108","OFFICES","OFFICES","1",01-MAY-16
"109-201610","201610","109","RESIDENT","RESIDENTIAL","1",01-MAY-16
"110-201610","201610","110","SPECIAL","SPECIAL USE","1",01-MAY-16
"111-201610","201610","111","STUDY","STUDY","1",01-MAY-16
"112-201610","201610","112","SUPPORT","SUPPORT","1",01-MAY-16
"113-201610","201610","113","UNCLASS","UNCLASSIFIED","1",01-MAY-16
"114-201610","201610","114","ZUSE","ZUSE ICR ONLY","1",01-MAY-16
"101-201611","201611","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUN-16
"102-201611","201611","102","CIRCULAT","CIRCULATION AREA","0",01-JUN-16
"103-201611","201611","103","CLASSRMS","CLASSROOMS","1",01-JUN-16
"104-201611","201611","104","GENERAL","GENERAL USE","1",01-JUN-16
"105-201611","201611","105","HEALTH","HEALTH CARE","1",01-JUN-16
"106-201611","201611","106","LABS","LABORATORIES","1",01-JUN-16
"107-201611","201611","107","MECHANIC","MECHANICAL AREA","0",01-JUN-16
"108-201611","201611","108","OFFICES","OFFICES","1",01-JUN-16
"109-201611","201611","109","RESIDENT","RESIDENTIAL","1",01-JUN-16
"110-201611","201611","110","SPECIAL","SPECIAL USE","1",01-JUN-16
"111-201611","201611","111","STUDY","STUDY","1",01-JUN-16
"112-201611","201611","112","SUPPORT","SUPPORT","1",01-JUN-16
"113-201611","201611","113","UNCLASS","UNCLASSIFIED","1",01-JUN-16
"114-201611","201611","114","ZUSE","ZUSE ICR ONLY","1",01-JUN-16
"101-201701","201701","101","BLDG SRV","BLDG SERVICE AREA","0",01-AUG-16
"102-201701","201701","102","CIRCULAT","CIRCULATION AREA","0",01-AUG-16
"103-201701","201701","103","CLASSRMS","CLASSROOMS","1",01-AUG-16
"104-201701","201701","104","GENERAL","GENERAL USE","1",01-AUG-16
"105-201701","201701","105","HEALTH","HEALTH CARE","1",01-AUG-16
"106-201701","201701","106","LABS","LABORATORIES","1",01-AUG-16
"107-201701","201701","107","MECHANIC","MECHANICAL AREA","0",01-AUG-16
"108-201701","201701","108","OFFICES","OFFICES","1",01-AUG-16
"109-201701","201701","109","RESIDENT","RESIDENTIAL","1",01-AUG-16
"110-201701","201701","110","SPECIAL","SPECIAL USE","1",01-AUG-16
"111-201701","201701","111","STUDY","STUDY","1",01-AUG-16
"112-201701","201701","112","SUPPORT","SUPPORT","1",01-AUG-16
"113-201701","201701","113","UNCLASS","UNCLASSIFIED","1",01-AUG-16
"114-201701","201701","114","ZUSE","ZUSE ICR ONLY","1",01-AUG-16
"101-201702","201702","101","BLDG SRV","BLDG SERVICE AREA","0",01-SEP-16
"102-201702","201702","102","CIRCULAT","CIRCULATION AREA","0",01-SEP-16
"103-201702","201702","103","CLASSRMS","CLASSROOMS","1",01-SEP-16
"104-201702","201702","104","GENERAL","GENERAL USE","1",01-SEP-16
"105-201702","201702","105","HEALTH","HEALTH CARE","1",01-SEP-16
"106-201702","201702","106","LABS","LABORATORIES","1",01-SEP-16
"107-201702","201702","107","MECHANIC","MECHANICAL AREA","0",01-SEP-16
"108-201702","201702","108","OFFICES","OFFICES","1",01-SEP-16
"109-201702","201702","109","RESIDENT","RESIDENTIAL","1",01-SEP-16
"110-201702","201702","110","SPECIAL","SPECIAL USE","1",01-SEP-16
"111-201702","201702","111","STUDY","STUDY","1",01-SEP-16
"112-201702","201702","112","SUPPORT","SUPPORT","1",01-SEP-16
"113-201702","201702","113","UNCLASS","UNCLASSIFIED","1",01-SEP-16
"114-201702","201702","114","ZUSE","ZUSE ICR ONLY","1",01-SEP-16
"101-201705","201705","101","BLDG SRV","BLDG SERVICE AREA","0",01-DEC-16
"102-201705","201705","102","CIRCULAT","CIRCULATION AREA","0",01-DEC-16
"103-201705","201705","103","CLASSRMS","CLASSROOMS","1",01-DEC-16
"104-201705","201705","104","GENERAL","GENERAL USE","1",01-DEC-16
"105-201705","201705","105","HEALTH","HEALTH CARE","1",01-DEC-16
"106-201705","201705","106","LABS","LABORATORIES","1",01-DEC-16
"107-201705","201705","107","MECHANIC","MECHANICAL AREA","0",01-DEC-16
"108-201705","201705","108","OFFICES","OFFICES","1",01-DEC-16
"109-201705","201705","109","RESIDENT","RESIDENTIAL","1",01-DEC-16
"110-201705","201705","110","SPECIAL","SPECIAL USE","1",01-DEC-16
"111-201705","201705","111","STUDY","STUDY","1",01-DEC-16
"112-201705","201705","112","SUPPORT","SUPPORT","1",01-DEC-16
"113-201705","201705","113","UNCLASS","UNCLASSIFIED","1",01-DEC-16
"114-201705","201705","114","ZUSE","ZUSE ICR ONLY","1",01-DEC-16
"101-201802","201802","101","BLDG SRV","BLDG SERVICE AREA","0",01-SEP-17
"102-201802","201802","102","CIRCULAT","CIRCULATION AREA","0",01-SEP-17
"103-201802","201802","103","CLASSRMS","CLASSROOMS","1",01-SEP-17
"104-201802","201802","104","GENERAL","GENERAL USE","1",01-SEP-17
"105-201802","201802","105","HEALTH","HEALTH CARE","1",01-SEP-17
"106-201802","201802","106","LABS","LABORATORIES","1",01-SEP-17
"107-201802","201802","107","MECHANIC","MECHANICAL AREA","0",01-SEP-17
"108-201802","201802","108","OFFICES","OFFICES","1",01-SEP-17
"109-201802","201802","109","RESIDENT","RESIDENTIAL","1",01-SEP-17
"110-201802","201802","110","SPECIAL","SPECIAL USE","1",01-SEP-17
"111-201802","201802","111","STUDY","STUDY","1",01-SEP-17
"112-201802","201802","112","SUPPORT","SUPPORT","1",01-SEP-17
"113-201802","201802","113","UNCLASS","UNCLASSIFIED","1",01-SEP-17
"114-201802","201802","114","ZUSE","ZUSE ICR ONLY","1",01-SEP-17
"101-201805","201805","101","BLDG SRV","BLDG SERVICE AREA","0",01-DEC-17
"102-201805","201805","102","CIRCULAT","CIRCULATION AREA","0",01-DEC-17
"103-201805","201805","103","CLASSRMS","CLASSROOMS","1",01-DEC-17
"104-201805","201805","104","GENERAL","GENERAL USE","1",01-DEC-17
"105-201805","201805","105","HEALTH","HEALTH CARE","1",01-DEC-17
"106-201805","201805","106","LABS","LABORATORIES","1",01-DEC-17
"107-201805","201805","107","MECHANIC","MECHANICAL AREA","0",01-DEC-17
"108-201805","201805","108","OFFICES","OFFICES","1",01-DEC-17
"109-201805","201805","109","RESIDENT","RESIDENTIAL","1",01-DEC-17
"110-201805","201805","110","SPECIAL","SPECIAL USE","1",01-DEC-17
"111-201805","201805","111","STUDY","STUDY","1",01-DEC-17
"112-201805","201805","112","SUPPORT","SUPPORT","1",01-DEC-17
"113-201805","201805","113","UNCLASS","UNCLASSIFIED","1",01-DEC-17
"114-201805","201805","114","ZUSE","ZUSE ICR ONLY","1",01-DEC-17
"101-201806","201806","101","BLDG SRV","BLDG SERVICE AREA","0",01-JAN-18
"101-201507","201507","101","BLDG SRV","BLDG SERVICE AREA","0",01-FEB-15
"102-201507","201507","102","CIRCULAT","CIRCULATION AREA","0",01-FEB-15
"103-201507","201507","103","CLASSRMS","CLASSROOMS","1",01-FEB-15
"104-201507","201507","104","GENERAL","GENERAL USE","1",01-FEB-15
"105-201507","201507","105","HEALTH","HEALTH CARE","1",01-FEB-15
"106-201507","201507","106","LABS","LABORATORIES","1",01-FEB-15
"107-201507","201507","107","MECHANIC","MECHANICAL AREA","0",01-FEB-15
"108-201507","201507","108","OFFICES","OFFICES","1",01-FEB-15
"109-201507","201507","109","RESIDENT","RESIDENTIAL","1",01-FEB-15
"110-201507","201507","110","SPECIAL","SPECIAL USE","1",01-FEB-15
"111-201507","201507","111","STUDY","STUDY","1",01-FEB-15
"112-201507","201507","112","SUPPORT","SUPPORT","1",01-FEB-15
"113-201507","201507","113","UNCLASS","UNCLASSIFIED","1",01-FEB-15
"114-201507","201507","114","ZUSE","ZUSE ICR ONLY","1",01-FEB-15
"101-201508","201508","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAR-15
"102-201508","201508","102","CIRCULAT","CIRCULATION AREA","0",01-MAR-15
"103-201508","201508","103","CLASSRMS","CLASSROOMS","1",01-MAR-15
"104-201508","201508","104","GENERAL","GENERAL USE","1",01-MAR-15
"105-201508","201508","105","HEALTH","HEALTH CARE","1",01-MAR-15
"106-201508","201508","106","LABS","LABORATORIES","1",01-MAR-15
"107-201508","201508","107","MECHANIC","MECHANICAL AREA","0",01-MAR-15
"108-201508","201508","108","OFFICES","OFFICES","1",01-MAR-15
"109-201508","201508","109","RESIDENT","RESIDENTIAL","1",01-MAR-15
"110-201508","201508","110","SPECIAL","SPECIAL USE","1",01-MAR-15
"111-201508","201508","111","STUDY","STUDY","1",01-MAR-15
"112-201508","201508","112","SUPPORT","SUPPORT","1",01-MAR-15
"113-201508","201508","113","UNCLASS","UNCLASSIFIED","1",01-MAR-15
"114-201508","201508","114","ZUSE","ZUSE ICR ONLY","1",01-MAR-15
"101-201510","201510","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAY-15
"102-201510","201510","102","CIRCULAT","CIRCULATION AREA","0",01-MAY-15
"103-201510","201510","103","CLASSRMS","CLASSROOMS","1",01-MAY-15
"104-201510","201510","104","GENERAL","GENERAL USE","1",01-MAY-15
"105-201510","201510","105","HEALTH","HEALTH CARE","1",01-MAY-15
"106-201510","201510","106","LABS","LABORATORIES","1",01-MAY-15
"107-201510","201510","107","MECHANIC","MECHANICAL AREA","0",01-MAY-15
"108-201510","201510","108","OFFICES","OFFICES","1",01-MAY-15
"109-201510","201510","109","RESIDENT","RESIDENTIAL","1",01-MAY-15
"110-201510","201510","110","SPECIAL","SPECIAL USE","1",01-MAY-15
"111-201510","201510","111","STUDY","STUDY","1",01-MAY-15
"112-201510","201510","112","SUPPORT","SUPPORT","1",01-MAY-15
"113-201510","201510","113","UNCLASS","UNCLASSIFIED","1",01-MAY-15
"114-201510","201510","114","ZUSE","ZUSE ICR ONLY","1",01-MAY-15
"101-201511","201511","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUN-15
"102-201511","201511","102","CIRCULAT","CIRCULATION AREA","0",01-JUN-15
"103-201511","201511","103","CLASSRMS","CLASSROOMS","1",01-JUN-15
"104-201511","201511","104","GENERAL","GENERAL USE","1",01-JUN-15
"105-201511","201511","105","HEALTH","HEALTH CARE","1",01-JUN-15
"106-201511","201511","106","LABS","LABORATORIES","1",01-JUN-15
"107-201511","201511","107","MECHANIC","MECHANICAL AREA","0",01-JUN-15
"108-201511","201511","108","OFFICES","OFFICES","1",01-JUN-15
"109-201511","201511","109","RESIDENT","RESIDENTIAL","1",01-JUN-15
"110-201511","201511","110","SPECIAL","SPECIAL USE","1",01-JUN-15
"111-201511","201511","111","STUDY","STUDY","1",01-JUN-15
"112-201511","201511","112","SUPPORT","SUPPORT","1",01-JUN-15
"113-201511","201511","113","UNCLASS","UNCLASSIFIED","1",01-JUN-15
"114-201511","201511","114","ZUSE","ZUSE ICR ONLY","1",01-JUN-15
"101-201703","201703","101","BLDG SRV","BLDG SERVICE AREA","0",01-OCT-16
"102-201703","201703","102","CIRCULAT","CIRCULATION AREA","0",01-OCT-16
"103-201703","201703","103","CLASSRMS","CLASSROOMS","1",01-OCT-16
"104-201703","201703","104","GENERAL","GENERAL USE","1",01-OCT-16
"105-201703","201703","105","HEALTH","HEALTH CARE","1",01-OCT-16
"106-201703","201703","106","LABS","LABORATORIES","1",01-OCT-16
"107-201703","201703","107","MECHANIC","MECHANICAL AREA","0",01-OCT-16
"108-201703","201703","108","OFFICES","OFFICES","1",01-OCT-16
"109-201703","201703","109","RESIDENT","RESIDENTIAL","1",01-OCT-16
"110-201703","201703","110","SPECIAL","SPECIAL USE","1",01-OCT-16
"111-201703","201703","111","STUDY","STUDY","1",01-OCT-16
"112-201703","201703","112","SUPPORT","SUPPORT","1",01-OCT-16
"113-201703","201703","113","UNCLASS","UNCLASSIFIED","1",01-OCT-16
"114-201703","201703","114","ZUSE","ZUSE ICR ONLY","1",01-OCT-16
"101-201704","201704","101","BLDG SRV","BLDG SERVICE AREA","0",01-NOV-16
"102-201704","201704","102","CIRCULAT","CIRCULATION AREA","0",01-NOV-16
"103-201704","201704","103","CLASSRMS","CLASSROOMS","1",01-NOV-16
"104-201704","201704","104","GENERAL","GENERAL USE","1",01-NOV-16
"105-201704","201704","105","HEALTH","HEALTH CARE","1",01-NOV-16
"106-201704","201704","106","LABS","LABORATORIES","1",01-NOV-16
"107-201704","201704","107","MECHANIC","MECHANICAL AREA","0",01-NOV-16
"108-201704","201704","108","OFFICES","OFFICES","1",01-NOV-16
"109-201704","201704","109","RESIDENT","RESIDENTIAL","1",01-NOV-16
"110-201704","201704","110","SPECIAL","SPECIAL USE","1",01-NOV-16
"111-201704","201704","111","STUDY","STUDY","1",01-NOV-16
"112-201704","201704","112","SUPPORT","SUPPORT","1",01-NOV-16
"113-201704","201704","113","UNCLASS","UNCLASSIFIED","1",01-NOV-16
"114-201704","201704","114","ZUSE","ZUSE ICR ONLY","1",01-NOV-16
"101-201707","201707","101","BLDG SRV","BLDG SERVICE AREA","0",01-FEB-17
"102-201707","201707","102","CIRCULAT","CIRCULATION AREA","0",01-FEB-17
"103-201707","201707","103","CLASSRMS","CLASSROOMS","1",01-FEB-17
"104-201707","201707","104","GENERAL","GENERAL USE","1",01-FEB-17
"105-201707","201707","105","HEALTH","HEALTH CARE","1",01-FEB-17
"106-201707","201707","106","LABS","LABORATORIES","1",01-FEB-17
"107-201707","201707","107","MECHANIC","MECHANICAL AREA","0",01-FEB-17
"108-201707","201707","108","OFFICES","OFFICES","1",01-FEB-17
"109-201707","201707","109","RESIDENT","RESIDENTIAL","1",01-FEB-17
"110-201707","201707","110","SPECIAL","SPECIAL USE","1",01-FEB-17
"111-201707","201707","111","STUDY","STUDY","1",01-FEB-17
"112-201707","201707","112","SUPPORT","SUPPORT","1",01-FEB-17
"113-201707","201707","113","UNCLASS","UNCLASSIFIED","1",01-FEB-17
"114-201707","201707","114","ZUSE","ZUSE ICR ONLY","1",01-FEB-17
"101-201712","201712","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-17
"102-201712","201712","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-17
"103-201712","201712","103","CLASSRMS","CLASSROOMS","1",01-JUL-17
"104-201712","201712","104","GENERAL","GENERAL USE","1",01-JUL-17
"105-201712","201712","105","HEALTH","HEALTH CARE","1",01-JUL-17
"106-201712","201712","106","LABS","LABORATORIES","1",01-JUL-17
"107-201712","201712","107","MECHANIC","MECHANICAL AREA","0",01-JUL-17
"108-201712","201712","108","OFFICES","OFFICES","1",01-JUL-17
"109-201712","201712","109","RESIDENT","RESIDENTIAL","1",01-JUL-17
"110-201712","201712","110","SPECIAL","SPECIAL USE","1",01-JUL-17
"111-201712","201712","111","STUDY","STUDY","1",01-JUL-17
"112-201712","201712","112","SUPPORT","SUPPORT","1",01-JUL-17
"113-201712","201712","113","UNCLASS","UNCLASSIFIED","1",01-JUL-17
"114-201712","201712","114","ZUSE","ZUSE ICR ONLY","1",01-JUL-17
"101-201801","201801","101","BLDG SRV","BLDG SERVICE AREA","0",01-AUG-17
"102-201801","201801","102","CIRCULAT","CIRCULATION AREA","0",01-AUG-17
"103-201801","201801","103","CLASSRMS","CLASSROOMS","1",01-AUG-17
"104-201801","201801","104","GENERAL","GENERAL USE","1",01-AUG-17
"105-201801","201801","105","HEALTH","HEALTH CARE","1",01-AUG-17
"106-201801","201801","106","LABS","LABORATORIES","1",01-AUG-17
"107-201801","201801","107","MECHANIC","MECHANICAL AREA","0",01-AUG-17
"108-201801","201801","108","OFFICES","OFFICES","1",01-AUG-17
"109-201801","201801","109","RESIDENT","RESIDENTIAL","1",01-AUG-17
"110-201801","201801","110","SPECIAL","SPECIAL USE","1",01-AUG-17
"111-201801","201801","111","STUDY","STUDY","1",01-AUG-17
"112-201801","201801","112","SUPPORT","SUPPORT","1",01-AUG-17
"113-201801","201801","113","UNCLASS","UNCLASSIFIED","1",01-AUG-17
"114-201801","201801","114","ZUSE","ZUSE ICR ONLY","1",01-AUG-17
"101-201803","201803","101","BLDG SRV","BLDG SERVICE AREA","0",01-OCT-17
"101-201506","201506","101","BLDG SRV","BLDG SERVICE AREA","0",01-JAN-15
"102-201506","201506","102","CIRCULAT","CIRCULATION AREA","0",01-JAN-15
"103-201506","201506","103","CLASSRMS","CLASSROOMS","1",01-JAN-15
"104-201506","201506","104","GENERAL","GENERAL USE","1",01-JAN-15
"105-201506","201506","105","HEALTH","HEALTH CARE","1",01-JAN-15
"106-201506","201506","106","LABS","LABORATORIES","1",01-JAN-15
"107-201506","201506","107","MECHANIC","MECHANICAL AREA","0",01-JAN-15
"108-201506","201506","108","OFFICES","OFFICES","1",01-JAN-15
"109-201506","201506","109","RESIDENT","RESIDENTIAL","1",01-JAN-15
"110-201506","201506","110","SPECIAL","SPECIAL USE","1",01-JAN-15
"111-201506","201506","111","STUDY","STUDY","1",01-JAN-15
"112-201506","201506","112","SUPPORT","SUPPORT","1",01-JAN-15
"113-201506","201506","113","UNCLASS","UNCLASSIFIED","1",01-JAN-15
"114-201506","201506","114","ZUSE","ZUSE ICR ONLY","1",01-JAN-15
"101-201509","201509","101","BLDG SRV","BLDG SERVICE AREA","0",01-APR-15
"102-201509","201509","102","CIRCULAT","CIRCULATION AREA","0",01-APR-15
"103-201509","201509","103","CLASSRMS","CLASSROOMS","1",01-APR-15
"104-201509","201509","104","GENERAL","GENERAL USE","1",01-APR-15
"105-201509","201509","105","HEALTH","HEALTH CARE","1",01-APR-15
"106-201509","201509","106","LABS","LABORATORIES","1",01-APR-15
"107-201509","201509","107","MECHANIC","MECHANICAL AREA","0",01-APR-15
"108-201509","201509","108","OFFICES","OFFICES","1",01-APR-15
"109-201509","201509","109","RESIDENT","RESIDENTIAL","1",01-APR-15
"110-201509","201509","110","SPECIAL","SPECIAL USE","1",01-APR-15
"111-201509","201509","111","STUDY","STUDY","1",01-APR-15
"112-201509","201509","112","SUPPORT","SUPPORT","1",01-APR-15
"113-201509","201509","113","UNCLASS","UNCLASSIFIED","1",01-APR-15
"114-201509","201509","114","ZUSE","ZUSE ICR ONLY","1",01-APR-15
"101-201512","201512","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-15
"102-201512","201512","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-15
"103-201512","201512","103","CLASSRMS","CLASSROOMS","1",01-JUL-15
"104-201512","201512","104","GENERAL","GENERAL USE","1",01-JUL-15
"105-201512","201512","105","HEALTH","HEALTH CARE","1",01-JUL-15
"106-201512","201512","106","LABS","LABORATORIES","1",01-JUL-15
"107-201512","201512","107","MECHANIC","MECHANICAL AREA","0",01-JUL-15
"108-201512","201512","108","OFFICES","OFFICES","1",01-JUL-15
"109-201512","201512","109","RESIDENT","RESIDENTIAL","1",01-JUL-15
"110-201512","201512","110","SPECIAL","SPECIAL USE","1",01-JUL-15
"111-201512","201512","111","STUDY","STUDY","1",01-JUL-15
"112-201512","201512","112","SUPPORT","SUPPORT","1",01-JUL-15
"113-201512","201512","113","UNCLASS","UNCLASSIFIED","1",01-JUL-15
"114-201512","201512","114","ZUSE","ZUSE ICR ONLY","1",01-JUL-15
"101-201605","201605","101","BLDG SRV","BLDG SERVICE AREA","0",01-DEC-15
"102-201605","201605","102","CIRCULAT","CIRCULATION AREA","0",01-DEC-15
"103-201605","201605","103","CLASSRMS","CLASSROOMS","1",01-DEC-15
"104-201605","201605","104","GENERAL","GENERAL USE","1",01-DEC-15
"105-201605","201605","105","HEALTH","HEALTH CARE","1",01-DEC-15
"106-201605","201605","106","LABS","LABORATORIES","1",01-DEC-15
"107-201605","201605","107","MECHANIC","MECHANICAL AREA","0",01-DEC-15
"108-201605","201605","108","OFFICES","OFFICES","1",01-DEC-15
"109-201605","201605","109","RESIDENT","RESIDENTIAL","1",01-DEC-15
"110-201605","201605","110","SPECIAL","SPECIAL USE","1",01-DEC-15
"111-201605","201605","111","STUDY","STUDY","1",01-DEC-15
"112-201605","201605","112","SUPPORT","SUPPORT","1",01-DEC-15
"113-201605","201605","113","UNCLASS","UNCLASSIFIED","1",01-DEC-15
"114-201605","201605","114","ZUSE","ZUSE ICR ONLY","1",01-DEC-15
"101-201606","201606","101","BLDG SRV","BLDG SERVICE AREA","0",01-JAN-16
"102-201606","201606","102","CIRCULAT","CIRCULATION AREA","0",01-JAN-16
"103-201606","201606","103","CLASSRMS","CLASSROOMS","1",01-JAN-16
"104-201606","201606","104","GENERAL","GENERAL USE","1",01-JAN-16
"105-201606","201606","105","HEALTH","HEALTH CARE","1",01-JAN-16
"106-201606","201606","106","LABS","LABORATORIES","1",01-JAN-16
"107-201606","201606","107","MECHANIC","MECHANICAL AREA","0",01-JAN-16
"108-201606","201606","108","OFFICES","OFFICES","1",01-JAN-16
"109-201606","201606","109","RESIDENT","RESIDENTIAL","1",01-JAN-16
"110-201606","201606","110","SPECIAL","SPECIAL USE","1",01-JAN-16
"111-201606","201606","111","STUDY","STUDY","1",01-JAN-16
"112-201606","201606","112","SUPPORT","SUPPORT","1",01-JAN-16
"113-201606","201606","113","UNCLASS","UNCLASSIFIED","1",01-JAN-16
"114-201606","201606","114","ZUSE","ZUSE ICR ONLY","1",01-JAN-16
"101-201706","201706","101","BLDG SRV","BLDG SERVICE AREA","0",01-JAN-17
"102-201706","201706","102","CIRCULAT","CIRCULATION AREA","0",01-JAN-17
"103-201706","201706","103","CLASSRMS","CLASSROOMS","1",01-JAN-17
"104-201706","201706","104","GENERAL","GENERAL USE","1",01-JAN-17
"105-201706","201706","105","HEALTH","HEALTH CARE","1",01-JAN-17
"106-201706","201706","106","LABS","LABORATORIES","1",01-JAN-17
"107-201706","201706","107","MECHANIC","MECHANICAL AREA","0",01-JAN-17
"108-201706","201706","108","OFFICES","OFFICES","1",01-JAN-17
"109-201706","201706","109","RESIDENT","RESIDENTIAL","1",01-JAN-17
"110-201706","201706","110","SPECIAL","SPECIAL USE","1",01-JAN-17
"111-201706","201706","111","STUDY","STUDY","1",01-JAN-17
"112-201706","201706","112","SUPPORT","SUPPORT","1",01-JAN-17
"113-201706","201706","113","UNCLASS","UNCLASSIFIED","1",01-JAN-17
"114-201706","201706","114","ZUSE","ZUSE ICR ONLY","1",01-JAN-17
"101-201708","201708","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAR-17
"102-201708","201708","102","CIRCULAT","CIRCULATION AREA","0",01-MAR-17
"103-201708","201708","103","CLASSRMS","CLASSROOMS","1",01-MAR-17
"104-201708","201708","104","GENERAL","GENERAL USE","1",01-MAR-17
"105-201708","201708","105","HEALTH","HEALTH CARE","1",01-MAR-17
"106-201708","201708","106","LABS","LABORATORIES","1",01-MAR-17
"107-201708","201708","107","MECHANIC","MECHANICAL AREA","0",01-MAR-17
"108-201708","201708","108","OFFICES","OFFICES","1",01-MAR-17
"109-201708","201708","109","RESIDENT","RESIDENTIAL","1",01-MAR-17
"110-201708","201708","110","SPECIAL","SPECIAL USE","1",01-MAR-17
"111-201708","201708","111","STUDY","STUDY","1",01-MAR-17
"112-201708","201708","112","SUPPORT","SUPPORT","1",01-MAR-17
"113-201708","201708","113","UNCLASS","UNCLASSIFIED","1",01-MAR-17
"114-201708","201708","114","ZUSE","ZUSE ICR ONLY","1",01-MAR-17
"101-201710","201710","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAY-17
"102-201710","201710","102","CIRCULAT","CIRCULATION AREA","0",01-MAY-17
"103-201710","201710","103","CLASSRMS","CLASSROOMS","1",01-MAY-17
"104-201710","201710","104","GENERAL","GENERAL USE","1",01-MAY-17
"105-201710","201710","105","HEALTH","HEALTH CARE","1",01-MAY-17
"106-201710","201710","106","LABS","LABORATORIES","1",01-MAY-17
"107-201710","201710","107","MECHANIC","MECHANICAL AREA","0",01-MAY-17
"108-201710","201710","108","OFFICES","OFFICES","1",01-MAY-17
