"DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_CODE","SCHOOL_NAME"
"NIN","Endicott Coll Cross-Enroll Pro","NIN-Endicott Coll Cross-Enroll Pro","Z","Non-MIT"
"NIR","Brandeis Cross-Enroll Prog","NIR-Brandeis Cross-Enroll Prog","Z","Non-MIT"
"NIS","Salem State Cross-Enroll Prog","NIS-Salem State Cross-Enroll Prog","Z","Non-MIT"
"NIT","Tufts Cross-Enrollment Prog","NIT-Tufts Cross-Enrollment Prog","Z","Non-MIT"
"NIU","BU Cross-Enrollment Prog","NIU-BU Cross-Enrollment Prog","Z","Non-MIT"
"NIV","Visiting Research Cross-Enroll","NIV-Visiting Research Cross-Enroll","Z","Non-MIT"
"NIW","Wellesley Cross-Enrollment Pro","NIW-Wellesley Cross-Enrollment Pro","Z","Non-MIT"
"OGE","Office of Graduate Education","OGE-Office of Graduate Education","Y","MIT, academic"
"PEP","Professional Education Prog","PEP-Professional Education Prog","E","Engineering"
"RED","Center for Real Estate Develop","RED-Center for Real Estate Develop","A","Architecture and Planning"
"SCM","Supply Chain Management Progra","SCM-Supply Chain Management Progra","E","Engineering"
"SDM","System Design & Management Prg","SDM-System Design & Management Prg","E","Engineering"
"STS","Science, Technology & Society","STS-Science, Technology & Society","H","Hum, Arts & Social Sciences"
"TOX","Division of Toxicology","TOX-Division of Toxicology","T","Whitaker Coll of HST;  HST"
"TPP","Technology and Policy Program","TPP-Technology and Policy Program","E","Engineering"
"UND","Undesignated Sophomore","UND-Undesignated Sophomore","Y","MIT, academic"
"WCD","Wellesley Double Degree Prog","WCD-Wellesley Double Degree Prog","Y","MIT, academic"
"CAES","Center for Adv Educ Services","CAES-Center for Adv Educ Services","Y","MIT, academic"
"NONE","Freshmen","NONE-Freshmen","Y","MIT, academic"
