"LIBRARY_SUBJECT_OFFERED_KEY","TERM_CODE","MASTER_COURSE_NUMBER","MASTER_COURSE_NUMBER_SORT","MASTER_COURSE_NUMBER_DESC","MASTER_SUBJECT_ID","MASTER_SUBJECT_ID_SORT","COURSE_NUMBER","COURSE_NUMBER_SORT","COURSE_NUMBER_DESC","SUBJECT_ID","SUBJECT_ID_SORT","SUBJECT_TITLE","OFFER_DEPT_CODE","OFFER_DEPT_NAME","OFFER_SCHOOL_NAME","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","NUM_ENROLLED_STUDENTS","WAREHOUSE_LOAD_DATE"
"1.0012008SP","2008SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro to Computers & Eng Prob","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",8,28-OCT-24
"1.0012010SP","2010SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",15,28-OCT-24
"1.0012011FA","2011FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",9,28-OCT-24
"1.0012011SP","2011SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",16,28-OCT-24
"1.0012012FA","2012FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",12,28-OCT-24
"1.0012013FA","2013FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",13,28-OCT-24
"1.0012013SP","2013SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",14,28-OCT-24
"1.0012014FA","2014FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",12,28-OCT-24
"1.0012016SP","2016SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Eng Computation & Data Science","1","Civil and Environmental Eng","Engineering","Williams, John","900022457",14,28-OCT-24
"1.0012017SP","2017SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Eng Computation & Data Science","1","Civil and Environmental Eng","Engineering","Williams, John","900022457",35,28-OCT-24
"1.0012019SP","2019SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Eng Computation & Data Science","1","Civil and Environmental Eng","Engineering","Williams, John","900022457",10,28-OCT-24
"1.0012021SP","2021SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.001","  1.001","Eng Computation & Data Science","1","Civil and Environmental Eng","Engineering","Williams, John","900022457",7,28-OCT-24
"1.0022013FA","2013FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.002","  1.002","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",9,28-OCT-24
"1.0022013SP","2013SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.002","  1.002","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",0,28-OCT-24
"1.0022014FA","2014FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.002","  1.002","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",6,28-OCT-24
"1.0102010FA","2010FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Uncertainty in Engineering","1","Civil and Environmental Eng","Engineering","Veneziano, Daniele","900003196",20,28-OCT-24
"1.0102012FA","2012FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Uncertainty in Engineering","1","Civil and Environmental Eng","Engineering","Veneziano, Daniele","900003196",21,28-OCT-24
"1.0102013FA","2013FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Uncertainty in Engineering","1","Civil and Environmental Eng","Engineering","Veneziano, Daniele","900003196",18,28-OCT-24
"1.0102014FA","2014FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Uncertainty in Engineering","1","Civil and Environmental Eng","Engineering","Veneziano, Daniele","900003196",20,28-OCT-24
"1.0102015FA","2015FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Uncertainty in Engineering","1","Civil and Environmental Eng","Engineering","Veneziano, Daniele","900003196",23,28-OCT-24
"1.0102017FA","2017FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Uncertainty in Engineering","1","Civil and Environmental Eng","Engineering","Saavedra Sanchez, Serguei","920230990",26,28-OCT-24
"1.0102019FA","2019FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Intro to Prob & Stats in Eng","1","Civil and Environmental Eng","Engineering","Saavedra Sanchez, Serguei","920230990",23,28-OCT-24
"1.0102020FA","2020FA","1","  1","Civil and Environmental Eng","1.010","1.010","1","  1","Civil and Environmental Eng","1.010","  1.010","Probability & Causal Inference","1","Civil and Environmental Eng","Engineering","Saavedra Sanchez, Serguei","920230990",17,28-OCT-24
"1.0112008SP","2008SP","1","  1","Civil and Environmental Eng","1.011","1.011","1","  1","Civil and Environmental Eng","1.011","  1.011","Project Evaluation","1","Civil and Environmental Eng","Engineering","Jaillet, Patrick","900032946",28,28-OCT-24
"1.0112009SP","2009SP","1","  1","Civil and Environmental Eng","1.011","1.011","1","  1","Civil and Environmental Eng","1.011","  1.011","Project Evaluation","1","Civil and Environmental Eng","Engineering","Jaillet, Patrick","900032946",19,28-OCT-24
"1.0112011SP","2011SP","1","  1","Civil and Environmental Eng","1.011","1.011","1","  1","Civil and Environmental Eng","1.011","  1.011","Project Evaluation","1","Civil and Environmental Eng","Engineering","Sussman, Joseph","900019181",20,28-OCT-24
"1.0112012SP","2012SP","1","  1","Civil and Environmental Eng","1.011","1.011","1","  1","Civil and Environmental Eng","1.011","  1.011","Project Evaluation","1","Civil and Environmental Eng","Engineering","Sussman, Joseph","900019181",16,28-OCT-24
"1.0112013SP","2013SP","1","  1","Civil and Environmental Eng","1.011","1.011","1","  1","Civil and Environmental Eng","1.011","  1.011","Project Evaluation","1","Civil and Environmental Eng","Engineering","Sussman, Joseph","900019181",12,28-OCT-24
"1.0112014SP","2014SP","1","  1","Civil and Environmental Eng","1.011","1.011","1","  1","Civil and Environmental Eng","1.011","  1.011","Project Evaluation","1","Civil and Environmental Eng","Engineering","Sussman, Joseph","900019181",14,28-OCT-24
"1.0112016SP","2016SP","1","  1","Civil and Environmental Eng","1.011","1.011","1","  1","Civil and Environmental Eng","1.011","  1.011","Project Evaluation & Managemnt","1","Civil and Environmental Eng","Engineering","Sussman, Joseph","900019181",22,28-OCT-24
"1.0132008SP","2008SP","1","  1","Civil and Environmental Eng","1.013","1.013","1","  1","Civil and Environmental Eng","1.013","  1.013","Civil Eng Design Project","1","Civil and Environmental Eng","Engineering","Einstein, Herbert","900012303",21,28-OCT-24
"1.0132009SP","2009SP","1","  1","Civil and Environmental Eng","1.013","1.013","1","  1","Civil and Environmental Eng","1.013","  1.013","Civil Engr Design Project","1","Civil and Environmental Eng","Engineering","Einstein, Herbert","900012303",42,28-OCT-24
"1.0132011SP","2011SP","1","  1","Civil and Environmental Eng","1.013","1.013","1","  1","Civil and Environmental Eng","1.013","  1.013","Civil Engr Design Project","1","Civil and Environmental Eng","Engineering","Einstein, Herbert","900012303",40,28-OCT-24
"1.0132013SP","2013SP","1","  1","Civil and Environmental Eng","1.013","1.013","1","  1","Civil and Environmental Eng","1.013","  1.013","Civil Engr Design Project","1","Civil and Environmental Eng","Engineering","Einstein, Herbert","900012303",29,28-OCT-24
"1.0132014SP","2014SP","1","  1","Civil and Environmental Eng","1.013","1.013","1","  1","Civil and Environmental Eng","1.013","  1.013","Civil Engr Design Project","1","Civil and Environmental Eng","Engineering","Kroll, Jesse","968323924",20,28-OCT-24
"1.0152016SP","2016SP","2","  2","Mechanical Engineering","2.017","2.017","1","  1","Civil and Environmental Eng","1.015","  1.015","Design Electromech Robotic Sys","1","Civil and Environmental Eng","Engineering","Hover, Franz","900044120",0,28-OCT-24
"1.0152017SP","2017SP","2","  2","Mechanical Engineering","2.017","2.017","1","  1","Civil and Environmental Eng","1.015","  1.015","Design Electromech Robotic Sys","1","Civil and Environmental Eng","Engineering","Consi, Tom","900020074",0,28-OCT-24
"1.0152019SP","2019SP","2","  2","Mechanical Engineering","2.017","2.017","1","  1","Civil and Environmental Eng","1.015","  1.015","Design Electromech Robotic Sys","1","Civil and Environmental Eng","Engineering","Consi, Tom","900020074",0,28-OCT-24
"1.0152020SP","2020SP","2","  2","Mechanical Engineering","2.017","2.017","1","  1","Civil and Environmental Eng","1.015","  1.015","Design Electromech Robotic Sys","1","Civil and Environmental Eng","Engineering","Consi, Tom","900020074",0,28-OCT-24
"1.0152021SP","2021SP","2","  2","Mechanical Engineering","2.017","2.017","1","  1","Civil and Environmental Eng","1.015","  1.015","Design Electromech Robotic Sys","1","Civil and Environmental Eng","Engineering","Triantafyllou, Michael","900006243",0,28-OCT-24
"1.0162019SP","2019SP","2","  2","Mechanical Engineering","2.00C","2.00C","1","  1","Civil and Environmental Eng","1.016","  1.016","Design for Envir Issues","1","Civil and Environmental Eng","Engineering","Epstein, Ari","958120776",0,28-OCT-24
"1.0162020SP","2020SP","2","  2","Mechanical Engineering","2.00C","2.00C","1","  1","Civil and Environmental Eng","1.016","  1.016","Design for Envir Issues","1","Civil and Environmental Eng","Engineering","Epstein, Ari","958120776",3,28-OCT-24
"1.0162021SP","2021SP","2","  2","Mechanical Engineering","2.00C","2.00C","1","  1","Civil and Environmental Eng","1.016","  1.016","Design for Envir Issues","1","Civil and Environmental Eng","Engineering","Epstein, Ari","958120776",0,28-OCT-24
"1.0182009FA","2009FA","1","  1","Civil and Environmental Eng","1.018","1.018","1","  1","Civil and Environmental Eng","1.018","  1.018","Ecology I: The Earth System","1","Civil and Environmental Eng","Engineering","Chisholm, Sallie","900024997",57,28-OCT-24
"1.0182011FA","2011FA","1","  1","Civil and Environmental Eng","1.018","1.018","1","  1","Civil and Environmental Eng","1.018","  1.018","Ecology I: The Earth System","1","Civil and Environmental Eng","Engineering","Chisholm, Sallie","900024997",32,28-OCT-24
"1.0182012FA","2012FA","1","  1","Civil and Environmental Eng","1.018","1.018","1","  1","Civil and Environmental Eng","1.018","  1.018","Ecology I: The Earth System","1","Civil and Environmental Eng","Engineering","Chisholm, Sallie","900024997",31,28-OCT-24
"1.0182013FA","2013FA","1","  1","Civil and Environmental Eng","1.018","1.018","1","  1","Civil and Environmental Eng","1.018","  1.018","Ecology I: The Earth System","1","Civil and Environmental Eng","Engineering","DeLong, Edward","921316953",27,28-OCT-24
"1.0182014FA","2014FA","1","  1","Civil and Environmental Eng","1.018","1.018","1","  1","Civil and Environmental Eng","1.018","  1.018","Ecology I: The Earth System","1","Civil and Environmental Eng","Engineering","DeLong, Edward","921316953",28,28-OCT-24
"1.018A2015FA","2015FA","1","  1","Civil and Environmental Eng","1.018A","1.018A","1","  1","Civil and Environmental Eng","1.018A","  1.018A","Fundamentals of Ecology I","1","Civil and Environmental Eng","Engineering","Chisholm, Sallie","900024997",18,28-OCT-24
"1.018A2017FA","2017FA","1","  1","Civil and Environmental Eng","1.018A","1.018A","1","  1","Civil and Environmental Eng","1.018A","  1.018A","Fundamentals of Ecology I","1","Civil and Environmental Eng","Engineering","Cordero Sanchez, Otto","922471443",8,28-OCT-24
"1.0202013SP","2013SP","1","  1","Civil and Environmental Eng","1.020","1.020","1","  1","Civil and Environmental Eng","1.020","  1.020","Ecol II: Engr Sustainability","1","Civil and Environmental Eng","Engineering","Amin, Saurabh","923797094",29,28-OCT-24
"1.0202014SP","2014SP","1","  1","Civil and Environmental Eng","1.020","1.020","1","  1","Civil and Environmental Eng","1.020","  1.020","Ecol II: Engr Sustainability","1","Civil and Environmental Eng","Engineering","Amin, Saurabh","923797094",19,28-OCT-24
"1.0202017SP","2017SP","1","  1","Civil and Environmental Eng","1.020","1.020","1","  1","Civil and Environmental Eng","1.020","  1.020","Energy & Water Sustainability","1","Civil and Environmental Eng","Engineering","Amin, Saurabh","923797094",12,28-OCT-24
"1.0212011SP","2011SP","3","  3","Materials Science and Eng","3.021","3.021","1","  1","Civil and Environmental Eng","1.021","  1.021","Intro to Modeling & Simulation","1","Civil and Environmental Eng","Engineering","Buehler, Marcus","929572678",3,28-OCT-24
"1.0212016SP","2016SP","3","  3","Materials Science and Eng","3.021","3.021","1","  1","Civil and Environmental Eng","1.021","  1.021","Intro to Modeling & Simulation","1","Civil and Environmental Eng","Engineering","Buehler, Marcus","929572678",7,28-OCT-24
"1.0212019SP","2019SP","3","  3","Materials Science and Eng","3.021","3.021","1","  1","Civil and Environmental Eng","1.021","  1.021","Intro to Modeling & Simulation","1","Civil and Environmental Eng","Engineering","Buehler, Marcus","929572678",1,28-OCT-24
"1.0212020SP","2020SP","3","  3","Materials Science and Eng","3.021","3.021","1","  1","Civil and Environmental Eng","1.021","  1.021","Intro to Modeling & Simulation","1","Civil and Environmental Eng","Engineering","Buehler, Marcus","929572678",2,28-OCT-24
"1.0212021SP","2021SP","3","  3","Materials Science and Eng","3.021","3.021","1","  1","Civil and Environmental Eng","1.021","  1.021","Intro to Modeling & Simulation","1","Civil and Environmental Eng","Engineering","Buehler, Marcus","929572678",2,28-OCT-24
"1.0222018FA","2018FA","1","  1","Civil and Environmental Eng","1.022","1.022","1","  1","Civil and Environmental Eng","1.022","  1.022","Introduction to Network Models","1","Civil and Environmental Eng","Engineering","Jadbabaie-Moghadam, Ali","916900917",15,28-OCT-24
"1.0222019FA","2019FA","1","  1","Civil and Environmental Eng","1.022","1.022","1","  1","Civil and Environmental Eng","1.022","  1.022","Introduction to Network Models","1","Civil and Environmental Eng","Engineering","Ajorlou, Amir","923875927",6,28-OCT-24
"1.0222020FA","2020FA","1","  1","Civil and Environmental Eng","1.022","1.022","1","  1","Civil and Environmental Eng","1.022","  1.022","Introduction to Network Models","1","Civil and Environmental Eng","Engineering","Jadbabaie-Moghadam, Ali","916900917",6,28-OCT-24
"1.0352010FA","2010FA","1","  1","Civil and Environmental Eng","1.035","1.035","1","  1","Civil and Environmental Eng","1.035","  1.035","Mech  of Structures & Soils","1","Civil and Environmental Eng","Engineering","Kausel, Eduardo","900006166",27,28-OCT-24
"1.0352014FA","2014FA","1","  1","Civil and Environmental Eng","1.035","1.035","1","  1","Civil and Environmental Eng","1.035","  1.035","Mech  of Structures & Soils","1","Civil and Environmental Eng","Engineering","Germaine, John","900015686",15,28-OCT-24
"1.0352015FA","2015FA","1","  1","Civil and Environmental Eng","1.035","1.035","1","  1","Civil and Environmental Eng","1.035","  1.035","Mech  of Structures & Soils","1","Civil and Environmental Eng","Engineering","Whittle, Andrew","900012511",9,28-OCT-24
"1.0362008SP","2008SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural & Geotechnical Eng","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",17,28-OCT-24
"1.0362010SP","2010SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural & Geotechnical Engr","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",19,28-OCT-24
"1.0362011SP","2011SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural & Geotechnical Engr","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",16,28-OCT-24
"1.0362012SP","2012SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural & Geotechnical Engr","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",16,28-OCT-24
"1.0362015SP","2015SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural & Geotechnical Engr","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",9,28-OCT-24
"1.0362016SP","2016SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural Mechanics & Design","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",5,28-OCT-24
"1.0362017SP","2017SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural Mechanics & Design","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",4,28-OCT-24
"1.0362018SP","2018SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural Mechanics & Design","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",7,28-OCT-24
"1.0362020SP","2020SP","1","  1","Civil and Environmental Eng","1.036","1.036","1","  1","Civil and Environmental Eng","1.036","  1.036","Structural Mechanics & Design","1","Civil and Environmental Eng","Engineering","Lau, Tak Bun Denvid","923438319",7,28-OCT-24
"1.0402013SP","2013SP","1","  1","Civil and Environmental Eng","1.040","1.040","1","  1","Civil and Environmental Eng","1.040","  1.040","Project Management","1","Civil and Environmental Eng","Engineering","Schuhmann, Richard","924448129",15,28-OCT-24
"1.0442009FA","2009FA","4","  4","Architecture","4.42","4.42","1","  1","Civil and Environmental Eng","1.044","  1.044","Fund of Energy in Buildings","1","Civil and Environmental Eng","Engineering","Glicksman, Leon","900026100",1,28-OCT-24
"1.0442014FA","2014FA","4","  4","Architecture","4.42","4.42","1","  1","Civil and Environmental Eng","1.044","  1.044","Fund of Energy in Buildings","1","Civil and Environmental Eng","Engineering","Glicksman, Leon","900026100",3,28-OCT-24
"1.0442016FA","2016FA","4","  4","Architecture","4.42","4.42","1","  1","Civil and Environmental Eng","1.044","  1.044","Fund of Energy in Buildings","1","Civil and Environmental Eng","Engineering","Glicksman, Leon","900026100",3,28-OCT-24
"1.0532010SP","2010SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Sarma, Sanjay","900041355",0,28-OCT-24
"1.0532011FA","2011FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Vandiver, J","900027718",0,28-OCT-24
"1.0532011SP","2011SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Patrikalakis, Nicholas","900002007",0,28-OCT-24
"1.0532012SP","2012SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Turitsyn, Konstantin","919095225",1,28-OCT-24
"1.0532013FA","2013FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Gossard, David","900023806",3,28-OCT-24
"1.0532013SP","2013SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Gossard, David","900023806",4,28-OCT-24
"1.0532014FA","2014FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Gossard, David","900023806",3,28-OCT-24
"1.0532014SP","2014SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Turitsyn, Konstantin","919095225",4,28-OCT-24
"1.0532015FA","2015FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Hover, Franz","900044120",4,28-OCT-24
"1.0532015SP","2015SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Turitsyn, Konstantin","919095225",2,28-OCT-24
"1.0532016FA","2016FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Rodriguez Garcia, Alberto","924914431",2,28-OCT-24
"1.0532016SP","2016SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Peacock, Thomas","900051284",2,28-OCT-24
"1.0532017SP","2017SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Hover, Franz","900044120",1,28-OCT-24
"1.0532018FA","2018FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Sapsis, Themistoklis","922151039",3,28-OCT-24
"1.0532019FA","2019FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Rodriguez Garcia, Alberto","924914431",0,28-OCT-24
"1.0532019SP","2019SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Rodriguez Garcia, Alberto","924914431",3,28-OCT-24
"1.0532020FA","2020FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Hover, Franz","900044120",1,28-OCT-24
"1.0532020SP","2020SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Rodriguez Garcia, Alberto","924914431",0,28-OCT-24
"1.0532021FA","2021FA","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Rodriguez Garcia, Alberto","924914431",0,28-OCT-24
"1.0532021SP","2021SP","2","  2","Mechanical Engineering","2.003","2.003","1","  1","Civil and Environmental Eng","1.053","  1.053","Dynamics and Control I","1","Civil and Environmental Eng","Engineering","Rodriguez Garcia, Alberto","924914431",0,28-OCT-24
"1.0542009FA","2009FA","1","  1","Civil and Environmental Eng","1.541","1.541","1","  1","Civil and Environmental Eng","1.054","  1.054","Mech & Des:Concrete Structures","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",6,28-OCT-24
"1.0542010FA","2010FA","1","  1","Civil and Environmental Eng","1.541","1.541","1","  1","Civil and Environmental Eng","1.054","  1.054","Mech & Des:Concrete Structures","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",8,28-OCT-24
"1.0542012FA","2012FA","1","  1","Civil and Environmental Eng","1.054","1.054","1","  1","Civil and Environmental Eng","1.054","  1.054","Mech & Dsgn:Concrete Strctures","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",11,28-OCT-24
"1.0542013FA","2013FA","1","  1","Civil and Environmental Eng","1.054","1.054","1","  1","Civil and Environmental Eng","1.054","  1.054","Mech & Dsgn:Concrete Strctures","1","Civil and Environmental Eng","Engineering","Buyukozturk, Oral","900017152",5,28-OCT-24
