"STAR_ID","STAR_NAME","DESCRIPTION","BUSINESS_AREA_ID","URL_OF_MODEL"
682,"UROP Project","Information about UROP (Undergraduate Research Opportunities Program) projects.",4,"http://web.mit.edu/whdev/docs/images/urop_project_detail.jpg"
1102,"Employee Education","Information about Education Level, Subjects and Degrees",3,"https://wikis.mit.edu/confluence/display/DATAADMIN/Employee+Education+Star"
785,"RT Custom Field","Information about Request Tracker ticket's custom fields.",203,"http://web.mit.edu/whdev/docs/images/rt_custom_field_detail.jpg"
667,"OSP Proposal IDC Rate","Information about OSP Proposal Inderect Cost Rate",224,"http://web.mit.edu/whdev/docs/images/osp_proposal_idc_rate.jpg"
1042,"IR Awards and Honors","Information of Awards and Honors bestowed to current and former MIT faculty and staff members, and alumni; maintained by the Office of Institutional Research.",2,"http://web.mit.edu/whdev/docs/images/ir_award_honor.jpg"
668,"OSP Award Indirect Cost","Information about OSP Award Indirect Costs",224,"http://web.mit.edu/whdev/docs/images/osp_award_indirect_cost.jpg"
783,"RT Ticket","Information about Request Tracker tickets, their status, queue assigned to, user's questions and problems notes, and IS&T staff members solution.",203,"http://web.mit.edu/whdev/docs/images/rt_ticket_detail.jpg"
861,"Student Minors","This area contains the proposed and completed minors of the students.",4,"http://web.mit.edu/whdev/docs/images/student_minor_detail.jpg"
841,"Moira Lists","Information about visible Moira Lists, including list names, list owners, list members, and last update date.",2,"http://web.mit.edu/whdev/docs/images/moira_list_detail.jpg"
666,"OSP Proposal Cost Sharing","Information about OSP Proposal Cost Sharing",224,"http://web.mit.edu/whdev/docs/images/osp_proposal_costsharing.jpg"
762,"HR Vacation Balances","Data with to-date balances and details (number of hours/days deducted, dates, etc.) for Vacation and Fifth-week Vacation.",3,"http://web.mit.edu/whdev/docs/images/hr_vacation_balance_detail.jpg"
669,"OSP Award Terms and Conditions","Information about OSP Award Terms and Conditions",224,"http://web.mit.edu/whdev/docs/images/osp_award_terms.jpg"
1123,"Who's Teaching What","This area contains department-wide teaching data as entered in the <b>current version</b> of the Who’s Teaching What application beginning in Spring 2008.   Teaching data are organized by academic terms, subjects, and sections, with instructors in the following roles: Lecturer, Recitation Instructor, Lab Instructor, Teaching Assistant, Writing Instructor, etc.",284,"http://web.mit.edu/whdev/docs/images/wtw_teaching_detail.jpg"
1124,"Who's Teaching What - Old WTW","This area contains department-wide teaching data as entered in the <b>old version</b> of the Who’s Teaching What application used in conjunction with paper-based subject evaluations from Fall 1999 through Spring 2010.",284,"http://web.mit.edu/whdev/docs/images/wtw_old_teaching_detail.jpg"
724,"Payroll Distributions","This area contains FYTD payroll (e-DACCA) distribution information that shows the percent distribution of salaries to Cost Object.",143,"http://web.mit.edu/whdev/docs/images/payroll_edacca_detail.jpg"
725,"Payroll e-DACCA Certifications","This area contains the Quarterly Dacca Certification information.  Data include cost collectors by supervisor and cost object, with name of certifier and date certified.  The date certified field is blank if the cost object has not yet been certified.",143,"http://web.mit.edu/whdev/docs/images/payroll_edacca_cert_detail.jpg"
723,"Payroll Deductions","This area contains information about payroll deductions.  This information enables each central area making payroll deductions, such as Credit Union, Parking, to report on the deductions by person made by that area.",143,"http://web.mit.edu/whdev/docs/images/payroll_deduction_detail.jpg"
742,"HR Absences","Data with to-date absences by absence type (vacation, sick leave, jury duty, bereavement, etc.).  Balances are included for those absence types with balance quotas.",3,"http://web.mit.edu/whdev/docs/images/hr_absence_detail_balance.jpg"
784,"RT Transaction","Information about Transactions associated with a Request Tracker ticket. Some of the data included are Transaction Subject and Description, Start Date, Due Date, Resolved Date, Transfer to another Queue Date, and Days on Hold.",203,"http://web.mit.edu/whdev/docs/images/rt_transaction_detail.jpg"
664,"OSP Proposal Investigator","Information about OSP Proposal Investigator",224,"http://web.mit.edu/whdev/docs/images/osp_proposal_investigator.jpg"
1081,"Degrees","Student Degree Information",4,""
665,"OSP Award Costshare","Information about OSP Award Cost Sharing",224,"http://web.mit.edu/whdev/docs/images/osp_award_costshare.jpg"
1001,"Subject Enrollment with Grades","Subject enrollment/registration records (""Class Lists"") with grades",4,"http://web.mit.edu/whdev/docs/images/subject_enroll_graded_detail.jpg"
1002,"Subject Grades","This area contains student grade data, by academic terms and subjects",4,""
670,"OSP Award Special Review","Information about Osp Award Special Review",224,"http://web.mit.edu/whdev/docs/images/osp_award_special_review.jpg"
